# _root_ Neuspěje - li ani do této doby , je to signál , že cena byla špatně stanovena a je na místě úvaha o jejím snížení .
#goldHeads=3,3,9,7,1,7,5,3,0,9,9,13,11,17,17,17,18,13,18,19,20,19,22,25,23,0,
#predictedHeads=3,3,9,7,1,7,5,3,0,9,9,13,11,15,18,17,18,13,18,19,20,19,22,25,23,0,
(0,1),-0.350585 # DEPENDENCYPART_ARC
(0,2),-0.703087 # DEPENDENCYPART_ARC
(0,3),-1.09915 # DEPENDENCYPART_ARC
(0,4),-1.84986 # DEPENDENCYPART_ARC
(0,5),-1.79115 # DEPENDENCYPART_ARC
(0,8),-0.610049 # DEPENDENCYPART_ARC
(0,9),0.0654137 # DEPENDENCYPART_ARC
(0,12),-1.198 # DEPENDENCYPART_ARC
(0,15),-0.992426 # DEPENDENCYPART_ARC
(0,17),-2.38468 # DEPENDENCYPART_ARC
(0,18),-1.38278 # DEPENDENCYPART_ARC
(0,19),-3.09562 # DEPENDENCYPART_ARC
(0,26),4.65399 # DEPENDENCYPART_ARC
(1,2),0.674432 # DEPENDENCYPART_ARC
(1,3),0.961168 # DEPENDENCYPART_ARC
(1,4),1.42625 # DEPENDENCYPART_ARC
(1,5),0.971424 # DEPENDENCYPART_ARC
(1,6),-1.63715 # DEPENDENCYPART_ARC
(1,7),-0.323833 # DEPENDENCYPART_ARC
(1,8),0.823007 # DEPENDENCYPART_ARC
(1,9),-1.07876 # DEPENDENCYPART_ARC
(1,10),-0.0434603 # DEPENDENCYPART_ARC
(1,11),-0.0580904 # DEPENDENCYPART_ARC
(1,12),0.0389897 # DEPENDENCYPART_ARC
(1,13),-0.10052 # DEPENDENCYPART_ARC
(1,16),-1.08807 # DEPENDENCYPART_ARC
(1,18),-0.794231 # DEPENDENCYPART_ARC
(2,1),-0.448869 # DEPENDENCYPART_ARC
(2,3),-0.279011 # DEPENDENCYPART_ARC
(2,4),-0.476095 # DEPENDENCYPART_ARC
(2,5),-1.18029 # DEPENDENCYPART_ARC
(2,7),-0.52822 # DEPENDENCYPART_ARC
(2,8),-0.236033 # DEPENDENCYPART_ARC
(2,18),-1.46349 # DEPENDENCYPART_ARC
(3,1),2.92519 # DEPENDENCYPART_ARC
(3,2),2.93055 # DEPENDENCYPART_ARC
(3,4),0.656745 # DEPENDENCYPART_ARC
(3,5),0.171499 # DEPENDENCYPART_ARC
(3,8),2.12169 # DEPENDENCYPART_ARC
(3,9),0.369311 # DEPENDENCYPART_ARC
(3,12),0.681251 # DEPENDENCYPART_ARC
(3,18),-0.162188 # DEPENDENCYPART_ARC
(4,1),-0.222486 # DEPENDENCYPART_ARC
(4,2),0.380222 # DEPENDENCYPART_ARC
(4,3),0.54563 # DEPENDENCYPART_ARC
(4,5),0.161102 # DEPENDENCYPART_ARC
(4,6),-0.266868 # DEPENDENCYPART_ARC
(4,7),-0.478688 # DEPENDENCYPART_ARC
(4,8),-0.0436551 # DEPENDENCYPART_ARC
(4,9),-0.51087 # DEPENDENCYPART_ARC
(4,10),-1.33573 # DEPENDENCYPART_ARC
(4,12),-1.37314 # DEPENDENCYPART_ARC
(4,18),-1.0919 # DEPENDENCYPART_ARC
(5,2),0.635857 # DEPENDENCYPART_ARC
(5,6),1.98519 # DEPENDENCYPART_ARC
(5,7),3.84059 # DEPENDENCYPART_ARC
(5,8),0.0534294 # DEPENDENCYPART_ARC
(5,11),-3.56853 # DEPENDENCYPART_ARC
(6,1),-3.06136 # DEPENDENCYPART_ARC
(6,4),-0.451348 # DEPENDENCYPART_ARC
(6,13),-1.38524 # DEPENDENCYPART_ARC
(7,2),-0.0579601 # DEPENDENCYPART_ARC
(7,3),-0.103301 # DEPENDENCYPART_ARC
(7,4),1.46084 # DEPENDENCYPART_ARC
(7,6),5.32645 # DEPENDENCYPART_ARC
(7,13),-1.20429 # DEPENDENCYPART_ARC
(8,1),0.50185 # DEPENDENCYPART_ARC
(8,2),-0.129115 # DEPENDENCYPART_ARC
(8,3),0.257794 # DEPENDENCYPART_ARC
(8,4),0.129632 # DEPENDENCYPART_ARC
(8,5),-0.153119 # DEPENDENCYPART_ARC
(8,6),0.271889 # DEPENDENCYPART_ARC
(8,7),0.0838414 # DEPENDENCYPART_ARC
(8,9),-0.0198267 # DEPENDENCYPART_ARC
(8,10),-0.562123 # DEPENDENCYPART_ARC
(8,11),-0.943347 # DEPENDENCYPART_ARC
(8,12),-0.124155 # DEPENDENCYPART_ARC
(9,1),-2.00233 # DEPENDENCYPART_ARC
(9,2),-0.709031 # DEPENDENCYPART_ARC
(9,3),1.65579 # DEPENDENCYPART_ARC
(9,4),-0.0402555 # DEPENDENCYPART_ARC
(9,5),0.350831 # DEPENDENCYPART_ARC
(9,6),-3.50978 # DEPENDENCYPART_ARC
(9,7),-2.06892 # DEPENDENCYPART_ARC
(9,8),0.0985015 # DEPENDENCYPART_ARC
(9,10),3.6597 # DEPENDENCYPART_ARC
(9,11),3.57676 # DEPENDENCYPART_ARC
(9,12),0.402204 # DEPENDENCYPART_ARC
(9,13),0.969359 # DEPENDENCYPART_ARC
(9,14),-1.29293 # DEPENDENCYPART_ARC
(9,15),-1.95751 # DEPENDENCYPART_ARC
(9,16),-0.815976 # DEPENDENCYPART_ARC
(9,17),-0.45962 # DEPENDENCYPART_ARC
(9,18),-0.779005 # DEPENDENCYPART_ARC
(9,19),-4.34733 # DEPENDENCYPART_ARC
(9,20),-2.32158 # DEPENDENCYPART_ARC
(10,11),-0.821923 # DEPENDENCYPART_ARC
(10,13),-0.86416 # DEPENDENCYPART_ARC
(10,14),-0.869572 # DEPENDENCYPART_ARC
(10,17),-4.03683 # DEPENDENCYPART_ARC
(11,6),-0.882839 # DEPENDENCYPART_ARC
(11,10),0.836001 # DEPENDENCYPART_ARC
(11,13),1.08586 # DEPENDENCYPART_ARC
(11,14),0.0108228 # DEPENDENCYPART_ARC
(11,15),-1.56496 # DEPENDENCYPART_ARC
(11,17),-2.43756 # DEPENDENCYPART_ARC
(11,18),-0.562505 # DEPENDENCYPART_ARC
(12,1),-1.291 # DEPENDENCYPART_ARC
(12,2),-0.927672 # DEPENDENCYPART_ARC
(12,8),-0.622313 # DEPENDENCYPART_ARC
(12,9),0.308748 # DEPENDENCYPART_ARC
(12,10),-0.766562 # DEPENDENCYPART_ARC
(12,11),-0.540543 # DEPENDENCYPART_ARC
(12,14),-1.17067 # DEPENDENCYPART_ARC
(12,15),-0.236776 # DEPENDENCYPART_ARC
(12,16),-1.37936 # DEPENDENCYPART_ARC
(12,17),-1.41005 # DEPENDENCYPART_ARC
(12,18),-1.15797 # DEPENDENCYPART_ARC
(12,19),-2.52695 # DEPENDENCYPART_ARC
(13,1),-3.74829 # DEPENDENCYPART_ARC
(13,7),-1.36307 # DEPENDENCYPART_ARC
(13,8),-0.887534 # DEPENDENCYPART_ARC
(13,9),-1.95919 # DEPENDENCYPART_ARC
(13,11),-0.287874 # DEPENDENCYPART_ARC
(13,12),2.68497 # DEPENDENCYPART_ARC
(13,14),-1.26985 # DEPENDENCYPART_ARC
(13,15),1.74724 # DEPENDENCYPART_ARC
(13,16),-1.2307 # DEPENDENCYPART_ARC
(13,17),0.327933 # DEPENDENCYPART_ARC
(13,18),1.0161 # DEPENDENCYPART_ARC
(13,19),-1.44053 # DEPENDENCYPART_ARC
(13,20),-2.7459 # DEPENDENCYPART_ARC
(13,23),-2.95354 # DEPENDENCYPART_ARC
(14,13),-1.71984 # DEPENDENCYPART_ARC
(14,15),-0.443262 # DEPENDENCYPART_ARC
(14,16),-0.649785 # DEPENDENCYPART_ARC
(14,17),-1.58532 # DEPENDENCYPART_ARC
(14,23),-1.44954 # DEPENDENCYPART_ARC
(15,3),-0.0959773 # DEPENDENCYPART_ARC
(15,5),-1.61665 # DEPENDENCYPART_ARC
(15,7),-4.27273 # DEPENDENCYPART_ARC
(15,9),-1.50304 # DEPENDENCYPART_ARC
(15,10),-1.03162 # DEPENDENCYPART_ARC
(15,11),-0.945314 # DEPENDENCYPART_ARC
(15,12),-0.569152 # DEPENDENCYPART_ARC
(15,13),-1.05954 # DEPENDENCYPART_ARC
(15,14),2.74615 # DEPENDENCYPART_ARC
(15,16),0.950331 # DEPENDENCYPART_ARC
(15,17),0.404601 # DEPENDENCYPART_ARC
(15,18),0.259014 # DEPENDENCYPART_ARC
(15,19),-2.96803 # DEPENDENCYPART_ARC
(15,20),-1.13735 # DEPENDENCYPART_ARC
(15,21),-3.36278 # DEPENDENCYPART_ARC
(15,22),-0.386157 # DEPENDENCYPART_ARC
(15,23),-1.70663 # DEPENDENCYPART_ARC
(15,25),-3.49782 # DEPENDENCYPART_ARC
(16,14),-1.30002 # DEPENDENCYPART_ARC
(16,15),-1.13999 # DEPENDENCYPART_ARC
(16,19),-2.08847 # DEPENDENCYPART_ARC
(16,20),-1.37463 # DEPENDENCYPART_ARC
(16,23),-1.84112 # DEPENDENCYPART_ARC
(17,4),-1.94571 # DEPENDENCYPART_ARC
(17,5),-1.17265 # DEPENDENCYPART_ARC
(17,7),-3.58199 # DEPENDENCYPART_ARC
(17,9),-1.84323 # DEPENDENCYPART_ARC
(17,10),-1.52117 # DEPENDENCYPART_ARC
(17,11),-0.901946 # DEPENDENCYPART_ARC
(17,12),-1.24993 # DEPENDENCYPART_ARC
(17,13),-1.39547 # DEPENDENCYPART_ARC
(17,14),1.80352 # DEPENDENCYPART_ARC
(17,15),2.02879 # DEPENDENCYPART_ARC
(17,16),2.17736 # DEPENDENCYPART_ARC
(17,19),-2.81939 # DEPENDENCYPART_ARC
(17,20),-1.19071 # DEPENDENCYPART_ARC
(17,21),-2.81335 # DEPENDENCYPART_ARC
(17,22),-1.2789 # DEPENDENCYPART_ARC
(17,23),-2.14084 # DEPENDENCYPART_ARC
(17,25),-3.05365 # DEPENDENCYPART_ARC
(18,1),-0.467094 # DEPENDENCYPART_ARC
(18,2),0.282339 # DEPENDENCYPART_ARC
(18,3),0.747689 # DEPENDENCYPART_ARC
(18,4),-0.552108 # DEPENDENCYPART_ARC
(18,5),-0.539687 # DEPENDENCYPART_ARC
(18,6),-0.304463 # DEPENDENCYPART_ARC
(18,7),-0.747378 # DEPENDENCYPART_ARC
(18,8),0.519985 # DEPENDENCYPART_ARC
(18,9),0.490059 # DEPENDENCYPART_ARC
(18,10),-0.205447 # DEPENDENCYPART_ARC
(18,11),-0.310319 # DEPENDENCYPART_ARC
(18,12),0.730071 # DEPENDENCYPART_ARC
(18,13),0.35132 # DEPENDENCYPART_ARC
(18,14),1.97902 # DEPENDENCYPART_ARC
(18,15),2.9453 # DEPENDENCYPART_ARC
(18,16),1.35851 # DEPENDENCYPART_ARC
(18,17),3.58767 # DEPENDENCYPART_ARC
(18,19),2.33937 # DEPENDENCYPART_ARC
(18,20),0.464777 # DEPENDENCYPART_ARC
(18,21),-0.0146718 # DEPENDENCYPART_ARC
(18,22),0.0445333 # DEPENDENCYPART_ARC
(18,23),-0.47203 # DEPENDENCYPART_ARC
(18,25),-1.7064 # DEPENDENCYPART_ARC
(18,26),-0.123073 # DEPENDENCYPART_ARC
(19,3),-0.474588 # DEPENDENCYPART_ARC
(19,10),-1.61723 # DEPENDENCYPART_ARC
(19,14),0.987177 # DEPENDENCYPART_ARC
(19,15),-2.43513 # DEPENDENCYPART_ARC
(19,16),-0.161019 # DEPENDENCYPART_ARC
(19,17),-1.2102 # DEPENDENCYPART_ARC
(19,20),1.62451 # DEPENDENCYPART_ARC
(19,21),-0.0460679 # DEPENDENCYPART_ARC
(19,22),2.33039 # DEPENDENCYPART_ARC
(19,23),-0.649564 # DEPENDENCYPART_ARC
(19,25),0.00174316 # DEPENDENCYPART_ARC
(20,21),3.94895 # DEPENDENCYPART_ARC
(20,22),-1.79526 # DEPENDENCYPART_ARC
(20,25),-1.12715 # DEPENDENCYPART_ARC
(21,16),-1.66959 # DEPENDENCYPART_ARC
(21,20),1.04928 # DEPENDENCYPART_ARC
(21,22),1.68278 # DEPENDENCYPART_ARC
(21,23),0.776578 # DEPENDENCYPART_ARC
(21,25),-1.14989 # DEPENDENCYPART_ARC
(22,20),-0.387969 # DEPENDENCYPART_ARC
(22,21),-1.15948 # DEPENDENCYPART_ARC
(22,23),1.35703 # DEPENDENCYPART_ARC
(22,25),-1.11988 # DEPENDENCYPART_ARC
(22,26),-0.865106 # DEPENDENCYPART_ARC
(23,21),-0.334129 # DEPENDENCYPART_ARC
(23,22),-1.65631 # DEPENDENCYPART_ARC
(23,24),1.49014 # DEPENDENCYPART_ARC
(23,25),4.2473 # DEPENDENCYPART_ARC
(23,26),-0.164814 # DEPENDENCYPART_ARC
(25,20),-0.312665 # DEPENDENCYPART_ARC
(25,21),0.193693 # DEPENDENCYPART_ARC
(25,22),-3.40961 # DEPENDENCYPART_ARC
(25,23),-0.357866 # DEPENDENCYPART_ARC
(25,24),6.34627 # DEPENDENCYPART_ARC
(25,26),0.543669 # DEPENDENCYPART_ARC
