# _root_ Ptáte se , zda to byl Burdys , nebo Pouzar .
#goldHeads=0,1,4,1,6,4,9,9,6,9,0,
#predictedHeads=0,1,4,1,6,4,6,9,7,9,0,
(0,1),0.186894 # DEPENDENCYPART_ARC
(0,3),-0.642805 # DEPENDENCYPART_ARC
(0,4),-1.89682 # DEPENDENCYPART_ARC
(0,5),-2.17057 # DEPENDENCYPART_ARC
(0,6),-1.5859 # DEPENDENCYPART_ARC
(0,7),-2.91442 # DEPENDENCYPART_ARC
(0,8),-1.15932 # DEPENDENCYPART_ARC
(0,9),-2.11428 # DEPENDENCYPART_ARC
(0,10),-3.40756 # DEPENDENCYPART_ARC
(0,11),3.49675 # DEPENDENCYPART_ARC
(1,2),3.29508 # DEPENDENCYPART_ARC
(1,3),0.118246 # DEPENDENCYPART_ARC
(1,4),1.43197 # DEPENDENCYPART_ARC
(1,5),-0.704442 # DEPENDENCYPART_ARC
(1,6),-1.4336 # DEPENDENCYPART_ARC
(1,7),-1.78814 # DEPENDENCYPART_ARC
(1,8),-0.161448 # DEPENDENCYPART_ARC
(1,9),0.484099 # DEPENDENCYPART_ARC
(1,10),-3.09644 # DEPENDENCYPART_ARC
(1,11),-0.609471 # DEPENDENCYPART_ARC
(3,1),-0.814381 # DEPENDENCYPART_ARC
(3,2),-0.260704 # DEPENDENCYPART_ARC
(3,4),0.127487 # DEPENDENCYPART_ARC
(3,5),-0.233389 # DEPENDENCYPART_ARC
(3,6),-0.308067 # DEPENDENCYPART_ARC
(3,7),-1.49115 # DEPENDENCYPART_ARC
(3,8),-0.600961 # DEPENDENCYPART_ARC
(3,9),-1.15721 # DEPENDENCYPART_ARC
(3,10),-2.30915 # DEPENDENCYPART_ARC
(4,1),-0.404572 # DEPENDENCYPART_ARC
(4,3),1.94863 # DEPENDENCYPART_ARC
(4,5),-0.525647 # DEPENDENCYPART_ARC
(4,6),1.86441 # DEPENDENCYPART_ARC
(4,7),-0.568447 # DEPENDENCYPART_ARC
(4,8),1.05217 # DEPENDENCYPART_ARC
(4,9),0.610322 # DEPENDENCYPART_ARC
(4,10),-1.16174 # DEPENDENCYPART_ARC
(4,11),0.405736 # DEPENDENCYPART_ARC
(5,1),-2.35882 # DEPENDENCYPART_ARC
(5,3),-0.290545 # DEPENDENCYPART_ARC
(5,4),0.253124 # DEPENDENCYPART_ARC
(5,6),-0.427174 # DEPENDENCYPART_ARC
(5,7),-1.01671 # DEPENDENCYPART_ARC
(5,8),-0.20132 # DEPENDENCYPART_ARC
(5,9),-0.917634 # DEPENDENCYPART_ARC
(5,10),-1.18439 # DEPENDENCYPART_ARC
(6,1),0.0366997 # DEPENDENCYPART_ARC
(6,2),-1.24303 # DEPENDENCYPART_ARC
(6,3),0.079506 # DEPENDENCYPART_ARC
(6,4),-0.391415 # DEPENDENCYPART_ARC
(6,5),2.49521 # DEPENDENCYPART_ARC
(6,7),3.07678 # DEPENDENCYPART_ARC
(6,8),0.396955 # DEPENDENCYPART_ARC
(6,9),0.216547 # DEPENDENCYPART_ARC
(6,10),-0.336431 # DEPENDENCYPART_ARC
(6,11),-0.89133 # DEPENDENCYPART_ARC
(7,1),-2.63127 # DEPENDENCYPART_ARC
(7,2),-4.7899 # DEPENDENCYPART_ARC
(7,3),-0.376557 # DEPENDENCYPART_ARC
(7,4),-0.258828 # DEPENDENCYPART_ARC
(7,5),0.610249 # DEPENDENCYPART_ARC
(7,6),-2.92349 # DEPENDENCYPART_ARC
(7,8),-0.341979 # DEPENDENCYPART_ARC
(7,9),0.636526 # DEPENDENCYPART_ARC
(7,10),-2.43601 # DEPENDENCYPART_ARC
(7,11),-1.1131 # DEPENDENCYPART_ARC
(8,1),-1.17051 # DEPENDENCYPART_ARC
(8,3),0.046501 # DEPENDENCYPART_ARC
(8,4),0.234003 # DEPENDENCYPART_ARC
(8,5),-1.01391 # DEPENDENCYPART_ARC
(8,6),-0.724173 # DEPENDENCYPART_ARC
(8,7),-0.598864 # DEPENDENCYPART_ARC
(8,9),-0.710498 # DEPENDENCYPART_ARC
(8,10),-0.603573 # DEPENDENCYPART_ARC
(8,11),-1.13703 # DEPENDENCYPART_ARC
(9,1),-0.142466 # DEPENDENCYPART_ARC
(9,2),-0.208348 # DEPENDENCYPART_ARC
(9,3),0.528008 # DEPENDENCYPART_ARC
(9,4),0.286118 # DEPENDENCYPART_ARC
(9,5),0.280182 # DEPENDENCYPART_ARC
(9,6),0.305004 # DEPENDENCYPART_ARC
(9,7),2.79016 # DEPENDENCYPART_ARC
(9,8),2.27007 # DEPENDENCYPART_ARC
(9,10),2.60229 # DEPENDENCYPART_ARC
(9,11),0.428684 # DEPENDENCYPART_ARC
(10,4),-2.72718 # DEPENDENCYPART_ARC
(10,5),-2.48469 # DEPENDENCYPART_ARC
(10,6),-5.52397 # DEPENDENCYPART_ARC
(10,7),-1.05264 # DEPENDENCYPART_ARC
(10,8),-0.734715 # DEPENDENCYPART_ARC
(10,9),-0.951003 # DEPENDENCYPART_ARC
(10,11),0.860677 # DEPENDENCYPART_ARC
(11,1),-4.15516 # DEPENDENCYPART_ARC
(11,4),-3.30237 # DEPENDENCYPART_ARC
(11,5),-3.59657 # DEPENDENCYPART_ARC
(11,6),-3.47608 # DEPENDENCYPART_ARC
(11,7),-2.09065 # DEPENDENCYPART_ARC
(11,9),-3.35888 # DEPENDENCYPART_ARC
(11,10),-3.18276 # DEPENDENCYPART_ARC
