# _root_ Situaci ztěžuje skutečnost , že výrobní družstva invalidů musejí být zisková , aby se udržela .
#goldHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
#predictedHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
(0,1),-2.17441 # DEPENDENCYPART_ARC
(0,2),-0.0836524 # DEPENDENCYPART_ARC
(0,3),-1.4641 # DEPENDENCYPART_ARC
(0,4),-0.722812 # DEPENDENCYPART_ARC
(0,5),-2.96623 # DEPENDENCYPART_ARC
(0,9),-0.221337 # DEPENDENCYPART_ARC
(0,10),-1.94912 # DEPENDENCYPART_ARC
(0,12),-1.39814 # DEPENDENCYPART_ARC
(0,13),-4.71943 # DEPENDENCYPART_ARC
(0,15),-2.00021 # DEPENDENCYPART_ARC
(0,16),3.53195 # DEPENDENCYPART_ARC
(1,2),0.126377 # DEPENDENCYPART_ARC
(1,3),-1.30815 # DEPENDENCYPART_ARC
(1,5),-0.0846295 # DEPENDENCYPART_ARC
(2,1),2.539 # DEPENDENCYPART_ARC
(2,3),3.53527 # DEPENDENCYPART_ARC
(2,4),0.159855 # DEPENDENCYPART_ARC
(2,5),1.06945 # DEPENDENCYPART_ARC
(2,6),-2.68728 # DEPENDENCYPART_ARC
(2,7),-1.39407 # DEPENDENCYPART_ARC
(2,8),-3.95455 # DEPENDENCYPART_ARC
(2,9),-2.81568 # DEPENDENCYPART_ARC
(2,11),-3.36384 # DEPENDENCYPART_ARC
(2,12),-0.559364 # DEPENDENCYPART_ARC
(2,13),-0.675948 # DEPENDENCYPART_ARC
(3,1),-2.67345 # DEPENDENCYPART_ARC
(3,2),-1.14052 # DEPENDENCYPART_ARC
(3,4),-0.147291 # DEPENDENCYPART_ARC
(3,5),2.39125 # DEPENDENCYPART_ARC
(3,6),-2.19405 # DEPENDENCYPART_ARC
(3,7),0.521364 # DEPENDENCYPART_ARC
(3,8),1.24475 # DEPENDENCYPART_ARC
(3,9),-1.09092 # DEPENDENCYPART_ARC
(3,10),-0.68655 # DEPENDENCYPART_ARC
(3,11),-3.48766 # DEPENDENCYPART_ARC
(3,13),-0.115879 # DEPENDENCYPART_ARC
(3,15),-3.11535 # DEPENDENCYPART_ARC
(4,1),-0.788173 # DEPENDENCYPART_ARC
(4,2),-0.502903 # DEPENDENCYPART_ARC
(4,3),-0.260722 # DEPENDENCYPART_ARC
(4,5),0.0307726 # DEPENDENCYPART_ARC
(4,6),-0.921043 # DEPENDENCYPART_ARC
(4,7),-0.852326 # DEPENDENCYPART_ARC
(4,9),-0.301141 # DEPENDENCYPART_ARC
(4,10),-0.828321 # DEPENDENCYPART_ARC
(4,11),-2.60369 # DEPENDENCYPART_ARC
(4,12),-0.783677 # DEPENDENCYPART_ARC
(4,15),-2.44188 # DEPENDENCYPART_ARC
(5,1),-1.14319 # DEPENDENCYPART_ARC
(5,2),-1.73903 # DEPENDENCYPART_ARC
(5,3),0.175732 # DEPENDENCYPART_ARC
(5,4),2.482 # DEPENDENCYPART_ARC
(5,6),0.961554 # DEPENDENCYPART_ARC
(5,7),-0.769174 # DEPENDENCYPART_ARC
(5,8),-1.9831 # DEPENDENCYPART_ARC
(5,9),2.32286 # DEPENDENCYPART_ARC
(5,10),0.980234 # DEPENDENCYPART_ARC
(5,12),0.686152 # DEPENDENCYPART_ARC
(5,13),-0.763892 # DEPENDENCYPART_ARC
(5,15),-0.886858 # DEPENDENCYPART_ARC
(6,4),-1.40866 # DEPENDENCYPART_ARC
(6,5),-1.15411 # DEPENDENCYPART_ARC
(6,7),-1.23948 # DEPENDENCYPART_ARC
(6,8),-1.43618 # DEPENDENCYPART_ARC
(7,3),-3.80848 # DEPENDENCYPART_ARC
(7,4),-0.215849 # DEPENDENCYPART_ARC
(7,5),-0.35797 # DEPENDENCYPART_ARC
(7,6),4.61629 # DEPENDENCYPART_ARC
(7,8),3.44924 # DEPENDENCYPART_ARC
(7,9),-1.15813 # DEPENDENCYPART_ARC
(7,10),-1.48119 # DEPENDENCYPART_ARC
(7,11),-1.82818 # DEPENDENCYPART_ARC
(7,12),-1.12781 # DEPENDENCYPART_ARC
(7,13),-1.396 # DEPENDENCYPART_ARC
(7,15),-4.70835 # DEPENDENCYPART_ARC
(8,1),-7.55888 # DEPENDENCYPART_ARC
(8,3),-7.42594 # DEPENDENCYPART_ARC
(8,5),-1.46471 # DEPENDENCYPART_ARC
(8,6),-1.37579 # DEPENDENCYPART_ARC
(8,7),-3.15896 # DEPENDENCYPART_ARC
(8,9),-1.30813 # DEPENDENCYPART_ARC
(8,10),-2.69264 # DEPENDENCYPART_ARC
(8,11),-4.50462 # DEPENDENCYPART_ARC
(9,1),0.0485823 # DEPENDENCYPART_ARC
(9,2),-2.64377 # DEPENDENCYPART_ARC
(9,3),-1.47991 # DEPENDENCYPART_ARC
(9,4),0.0597666 # DEPENDENCYPART_ARC
(9,5),-0.855016 # DEPENDENCYPART_ARC
(9,6),-1.35464 # DEPENDENCYPART_ARC
(9,7),1.92176 # DEPENDENCYPART_ARC
