# _root_ Sociální demokraté namítají , že vláda se školným přichází v době , kdy rostou náklady na základní životní potřeby .
#goldHeads=2,3,0,5,3,9,9,7,5,9,10,14,14,11,14,15,19,19,16,0,
#predictedHeads=2,3,0,5,3,9,6,7,5,9,10,14,14,11,14,15,19,19,16,0,
(0,1),-1.2796 # DEPENDENCYPART_ARC
(0,2),-1.69536 # DEPENDENCYPART_ARC
(0,3),0.330722 # DEPENDENCYPART_ARC
(0,4),-0.193503 # DEPENDENCYPART_ARC
(0,5),-2.54254 # DEPENDENCYPART_ARC
(0,9),-0.597709 # DEPENDENCYPART_ARC
(0,12),-0.964437 # DEPENDENCYPART_ARC
(0,14),-1.54267 # DEPENDENCYPART_ARC
(0,20),3.52502 # DEPENDENCYPART_ARC
(1,2),-0.88603 # DEPENDENCYPART_ARC
(1,3),-2.44248 # DEPENDENCYPART_ARC
(1,5),-0.859521 # DEPENDENCYPART_ARC
(2,1),5.37933 # DEPENDENCYPART_ARC
(2,3),-1.36019 # DEPENDENCYPART_ARC
(2,4),-1.44047 # DEPENDENCYPART_ARC
(2,5),-0.9009 # DEPENDENCYPART_ARC
(2,6),-1.64599 # DEPENDENCYPART_ARC
(2,7),-1.35312 # DEPENDENCYPART_ARC
(2,9),-4.85552 # DEPENDENCYPART_ARC
(3,1),0.396481 # DEPENDENCYPART_ARC
(3,2),3.22245 # DEPENDENCYPART_ARC
(3,4),0.809882 # DEPENDENCYPART_ARC
(3,5),1.78472 # DEPENDENCYPART_ARC
(3,6),-1.18665 # DEPENDENCYPART_ARC
(3,7),-0.319207 # DEPENDENCYPART_ARC
(3,9),-2.06771 # DEPENDENCYPART_ARC
(3,10),-0.897853 # DEPENDENCYPART_ARC
(3,12),-0.463626 # DEPENDENCYPART_ARC
(3,14),-3.6335 # DEPENDENCYPART_ARC
(4,1),-0.946882 # DEPENDENCYPART_ARC
(4,2),-0.826642 # DEPENDENCYPART_ARC
(4,3),-0.866692 # DEPENDENCYPART_ARC
(4,5),-0.0531681 # DEPENDENCYPART_ARC
(4,6),-1.36654 # DEPENDENCYPART_ARC
(4,7),-1.18795 # DEPENDENCYPART_ARC
(4,9),-0.909877 # DEPENDENCYPART_ARC
(5,2),-1.56721 # DEPENDENCYPART_ARC
(5,3),-1.55876 # DEPENDENCYPART_ARC
(5,4),2.64301 # DEPENDENCYPART_ARC
(5,6),-1.03211 # DEPENDENCYPART_ARC
(5,7),-1.18593 # DEPENDENCYPART_ARC
(5,9),1.45363 # DEPENDENCYPART_ARC
(5,12),-0.12152 # DEPENDENCYPART_ARC
(5,14),-0.272917 # DEPENDENCYPART_ARC
(6,2),-4.99936 # DEPENDENCYPART_ARC
(6,4),-1.52287 # DEPENDENCYPART_ARC
(6,5),-1.79177 # DEPENDENCYPART_ARC
(6,7),1.89053 # DEPENDENCYPART_ARC
(6,8),-0.954785 # DEPENDENCYPART_ARC
(6,9),-0.965612 # DEPENDENCYPART_ARC
(6,10),-1.2734 # DEPENDENCYPART_ARC
(6,11),-2.6651 # DEPENDENCYPART_ARC
(6,12),-0.6682 # DEPENDENCYPART_ARC
(6,13),-0.563314 # DEPENDENCYPART_ARC
(6,14),-2.88583 # DEPENDENCYPART_ARC
(6,16),-1.81786 # DEPENDENCYPART_ARC
(7,4),-0.348037 # DEPENDENCYPART_ARC
(7,6),-1.79851 # DEPENDENCYPART_ARC
(7,8),5.33764 # DEPENDENCYPART_ARC
(7,11),-1.07646 # DEPENDENCYPART_ARC
(8,3),-2.61205 # DEPENDENCYPART_ARC
(8,5),-1.65133 # DEPENDENCYPART_ARC
(8,6),-4.1347 # DEPENDENCYPART_ARC
(8,9),-0.787082 # DEPENDENCYPART_ARC
(8,10),-0.796145 # DEPENDENCYPART_ARC
(8,11),-1.63615 # DEPENDENCYPART_ARC
(8,14),-2.49187 # DEPENDENCYPART_ARC
(9,1),-2.00491 # DEPENDENCYPART_ARC
(9,2),-0.597943 # DEPENDENCYPART_ARC
(9,3),-3.24484 # DEPENDENCYPART_ARC
(9,4),-0.444952 # DEPENDENCYPART_ARC
(9,5),-1.19434 # DEPENDENCYPART_ARC
(9,6),2.86406 # DEPENDENCYPART_ARC
(9,7),0.772871 # DEPENDENCYPART_ARC
(9,8),1.19923 # DEPENDENCYPART_ARC
(9,10),2.8294 # DEPENDENCYPART_ARC
(9,11),0.41798 # DEPENDENCYPART_ARC
(9,12),0.59365 # DEPENDENCYPART_ARC
(9,13),0.272047 # DEPENDENCYPART_ARC
(9,14),-1.01451 # DEPENDENCYPART_ARC
(9,15),0.274705 # DEPENDENCYPART_ARC
(9,16),1.11983 # DEPENDENCYPART_ARC
(9,17),-4.40131 # DEPENDENCYPART_ARC
(9,19),-0.77846 # DEPENDENCYPART_ARC
(9,20),-0.244963 # DEPENDENCYPART_ARC
(10,11),4.09555 # DEPENDENCYPART_ARC
(10,12),-0.294109 # DEPENDENCYPART_ARC
(10,13),-0.122901 # DEPENDENCYPART_ARC
(10,14),-1.18609 # DEPENDENCYPART_ARC
(10,15),-4.25208 # DEPENDENCYPART_ARC
(11,7),-0.611182 # DEPENDENCYPART_ARC
(11,10),0.774222 # DEPENDENCYPART_ARC
(11,12),-0.549543 # DEPENDENCYPART_ARC
(11,13),-0.166766 # DEPENDENCYPART_ARC
(11,14),0.759999 # DEPENDENCYPART_ARC
(11,15),-3.08959 # DEPENDENCYPART_ARC
(11,16),-0.470474 # DEPENDENCYPART_ARC
(11,17),-3.04595 # DEPENDENCYPART_ARC
(11,19),-5.23719 # DEPENDENCYPART_ARC
(12,2),-2.16174 # DEPENDENCYPART_ARC
(12,3),-1.27124 # DEPENDENCYPART_ARC
(12,4),-1.02061 # DEPENDENCYPART_ARC
(12,5),-1.47539 # DEPENDENCYPART_ARC
(12,6),-1.18591 # DEPENDENCYPART_ARC
(12,7),-1.39977 # DEPENDENCYPART_ARC
(12,8),-0.53867 # DEPENDENCYPART_ARC
(12,9),-0.0393708 # DEPENDENCYPART_ARC
(12,10),-0.552166 # DEPENDENCYPART_ARC
(12,11),0.301249 # DEPENDENCYPART_ARC
(12,13),-0.649294 # DEPENDENCYPART_ARC
(12,14),-0.0203033 # DEPENDENCYPART_ARC
(12,15),-1.07004 # DEPENDENCYPART_ARC
(12,16),-0.953797 # DEPENDENCYPART_ARC
(12,17),-1.27222 # DEPENDENCYPART_ARC
(12,19),-1.40995 # DEPENDENCYPART_ARC
(12,20),-0.804992 # DEPENDENCYPART_ARC
(13,2),-2.85196 # DEPENDENCYPART_ARC
(13,3),-1.94508 # DEPENDENCYPART_ARC
(13,4),-2.53228 # DEPENDENCYPART_ARC
(13,6),-1.62316 # DEPENDENCYPART_ARC
(13,7),-1.32168 # DEPENDENCYPART_ARC
(13,9),-1.2385 # DEPENDENCYPART_ARC
(13,10),-0.530355 # DEPENDENCYPART_ARC
(13,11),-0.339958 # DEPENDENCYPART_ARC
(13,12),-0.734116 # DEPENDENCYPART_ARC
(13,14),-0.165719 # DEPENDENCYPART_ARC
(13,15),-0.890023 # DEPENDENCYPART_ARC
(13,16),-1.34991 # DEPENDENCYPART_ARC
(13,19),-2.0981 # DEPENDENCYPART_ARC
(13,20),-1.38832 # DEPENDENCYPART_ARC
(14,2),-0.292329 # DEPENDENCYPART_ARC
(14,3),-4.82757 # DEPENDENCYPART_ARC
(14,4),-0.885559 # DEPENDENCYPART_ARC
(14,5),-1.44782 # DEPENDENCYPART_ARC
(14,6),0.504484 # DEPENDENCYPART_ARC
(14,7),-0.971465 # DEPENDENCYPART_ARC
(14,8),-0.509999 # DEPENDENCYPART_ARC
(14,9),-1.26502 # DEPENDENCYPART_ARC
(14,10),0.390241 # DEPENDENCYPART_ARC
(14,11),-1.6426 # DEPENDENCYPART_ARC
(14,12),1.34835 # DEPENDENCYPART_ARC
(14,13),2.71595 # DEPENDENCYPART_ARC
(14,15),4.12107 # DEPENDENCYPART_ARC
(14,16),1.81199 # DEPENDENCYPART_ARC
(14,17),-1.8984 # DEPENDENCYPART_ARC
(14,18),-2.42499 # DEPENDENCYPART_ARC
(14,19),1.62529 # DEPENDENCYPART_ARC
(14,20),0.0448528 # DEPENDENCYPART_ARC
(15,10),-1.40341 # DEPENDENCYPART_ARC
(15,13),-0.852236 # DEPENDENCYPART_ARC
(15,16),2.40751 # DEPENDENCYPART_ARC
(15,17),-2.76105 # DEPENDENCYPART_ARC
(15,18),-2.83598 # DEPENDENCYPART_ARC
(15,19),-3.35442 # DEPENDENCYPART_ARC
(15,20),-0.916863 # DEPENDENCYPART_ARC
(16,11),-0.996657 # DEPENDENCYPART_ARC
(16,12),-0.646458 # DEPENDENCYPART_ARC
(16,15),-1.11333 # DEPENDENCYPART_ARC
(16,17),0.892761 # DEPENDENCYPART_ARC
(16,18),0.588886 # DEPENDENCYPART_ARC
(16,19),2.88488 # DEPENDENCYPART_ARC
(16,20),-0.0447913 # DEPENDENCYPART_ARC
(17,13),-1.71706 # DEPENDENCYPART_ARC
(17,15),-3.98405 # DEPENDENCYPART_ARC
(17,16),-0.44991 # DEPENDENCYPART_ARC
(17,18),-0.676811 # DEPENDENCYPART_ARC
(17,19),-0.90479 # DEPENDENCYPART_ARC
(17,20),-0.455659 # DEPENDENCYPART_ARC
(18,13),-1.1941 # DEPENDENCYPART_ARC
(18,15),-3.57707 # DEPENDENCYPART_ARC
(18,16),0.103666 # DEPENDENCYPART_ARC
(18,17),-0.948688 # DEPENDENCYPART_ARC
(18,19),-0.836651 # DEPENDENCYPART_ARC
(18,20),-0.413205 # DEPENDENCYPART_ARC
(19,10),-1.7025 # DEPENDENCYPART_ARC
(19,13),-1.00273 # DEPENDENCYPART_ARC
(19,15),-3.057 # DEPENDENCYPART_ARC
(19,16),-0.474676 # DEPENDENCYPART_ARC
(19,17),5.04543 # DEPENDENCYPART_ARC
(19,18),5.0596 # DEPENDENCYPART_ARC
(19,20),0.361468 # DEPENDENCYPART_ARC
