# _root_ Během SNP působily na území Slovenska vojenské mise Spojenců , a to sovětská , britská a americká .
#goldHeads=3,1,0,3,4,5,8,3,8,16,12,16,16,16,16,8,16,0,
#predictedHeads=3,1,0,3,4,5,8,3,8,11,12,16,16,16,16,5,16,0,
(0,1),-0.877279 # DEPENDENCYPART_ARC
(0,2),-1.7976 # DEPENDENCYPART_ARC
(0,3),0.276597 # DEPENDENCYPART_ARC
(0,4),-1.85689 # DEPENDENCYPART_ARC
(0,5),-2.3536 # DEPENDENCYPART_ARC
(0,10),-0.787464 # DEPENDENCYPART_ARC
(0,11),-0.440501 # DEPENDENCYPART_ARC
(0,14),-1.48969 # DEPENDENCYPART_ARC
(0,16),-1.92345 # DEPENDENCYPART_ARC
(0,18),3.43479 # DEPENDENCYPART_ARC
(1,2),4.15394 # DEPENDENCYPART_ARC
(1,3),-2.19314 # DEPENDENCYPART_ARC
(1,5),-1.21075 # DEPENDENCYPART_ARC
(2,1),-0.58012 # DEPENDENCYPART_ARC
(2,3),-2.93293 # DEPENDENCYPART_ARC
(2,4),-1.89321 # DEPENDENCYPART_ARC
(3,1),3.42713 # DEPENDENCYPART_ARC
(3,2),-0.682104 # DEPENDENCYPART_ARC
(3,4),2.54865 # DEPENDENCYPART_ARC
(3,5),-0.0804497 # DEPENDENCYPART_ARC
(3,6),-0.756087 # DEPENDENCYPART_ARC
(3,7),0.330115 # DEPENDENCYPART_ARC
(3,8),1.81314 # DEPENDENCYPART_ARC
(3,9),-0.664879 # DEPENDENCYPART_ARC
(3,10),0.312361 # DEPENDENCYPART_ARC
(3,11),0.510226 # DEPENDENCYPART_ARC
(3,12),-1.16175 # DEPENDENCYPART_ARC
(3,13),-1.20808 # DEPENDENCYPART_ARC
(3,14),-0.127573 # DEPENDENCYPART_ARC
(3,16),-0.498284 # DEPENDENCYPART_ARC
(3,17),-2.57516 # DEPENDENCYPART_ARC
(3,18),-1.01562 # DEPENDENCYPART_ARC
(4,5),3.99142 # DEPENDENCYPART_ARC
(4,6),-1.34366 # DEPENDENCYPART_ARC
