# _root_ Za karty bude chybět Novotný a o tom , zda nastoupí Chovanec , rozhodne lékař až po dnešním tréninku .
#goldHeads=4,1,4,6,4,0,14,7,10,8,10,11,10,6,14,19,14,19,17,0,
#predictedHeads=4,1,4,6,4,0,6,7,10,8,10,11,10,10,14,19,14,19,17,0,
(0,1),-0.786113 # DEPENDENCYPART_ARC
(0,2),-1.88186 # DEPENDENCYPART_ARC
(0,3),0.0397662 # DEPENDENCYPART_ARC
(0,4),-0.336935 # DEPENDENCYPART_ARC
(0,6),-0.469157 # DEPENDENCYPART_ARC
(0,7),-3.10244 # DEPENDENCYPART_ARC
(0,8),-2.3015 # DEPENDENCYPART_ARC
(0,9),-0.743461 # DEPENDENCYPART_ARC
(0,10),-2.24028 # DEPENDENCYPART_ARC
(0,11),-1.84091 # DEPENDENCYPART_ARC
(0,13),-0.817375 # DEPENDENCYPART_ARC
(0,14),0.144147 # DEPENDENCYPART_ARC
(0,20),4.36785 # DEPENDENCYPART_ARC
(1,2),4.76163 # DEPENDENCYPART_ARC
(1,5),-3.90217 # DEPENDENCYPART_ARC
(2,1),-0.133628 # DEPENDENCYPART_ARC
(2,3),-1.01474 # DEPENDENCYPART_ARC
(2,4),-0.586188 # DEPENDENCYPART_ARC
(2,6),-0.241142 # DEPENDENCYPART_ARC
(3,1),1.3356 # DEPENDENCYPART_ARC
(3,2),-1.56674 # DEPENDENCYPART_ARC
(3,4),1.21726 # DEPENDENCYPART_ARC
(3,5),-0.0621084 # DEPENDENCYPART_ARC
(3,6),-0.266647 # DEPENDENCYPART_ARC
(3,7),-1.66224 # DEPENDENCYPART_ARC
(3,8),-2.63365 # DEPENDENCYPART_ARC
(3,9),-0.951111 # DEPENDENCYPART_ARC
(3,10),-0.559826 # DEPENDENCYPART_ARC
(3,13),-0.299453 # DEPENDENCYPART_ARC
(3,16),-1.86598 # DEPENDENCYPART_ARC
(4,1),3.19931 # DEPENDENCYPART_ARC
(4,2),2.6358 # DEPENDENCYPART_ARC
(4,3),4.98043 # DEPENDENCYPART_ARC
(4,5),1.81574 # DEPENDENCYPART_ARC
(4,6),1.03302 # DEPENDENCYPART_ARC
(4,7),0.0690868 # DEPENDENCYPART_ARC
(4,8),0.240522 # DEPENDENCYPART_ARC
(4,9),-0.00500397 # DEPENDENCYPART_ARC
(4,10),0.796453 # DEPENDENCYPART_ARC
(4,11),-2.39629 # DEPENDENCYPART_ARC
(4,13),0.390442 # DEPENDENCYPART_ARC
(4,16),-1.55056 # DEPENDENCYPART_ARC
(5,1),0.161202 # DEPENDENCYPART_ARC
(5,4),-0.207087 # DEPENDENCYPART_ARC
(5,6),-0.575062 # DEPENDENCYPART_ARC
(5,7),-1.85334 # DEPENDENCYPART_ARC
(6,1),0.835076 # DEPENDENCYPART_ARC
(6,2),0.849013 # DEPENDENCYPART_ARC
(6,3),1.96907 # DEPENDENCYPART_ARC
(6,4),2.1204 # DEPENDENCYPART_ARC
(6,5),1.035 # DEPENDENCYPART_ARC
(6,7),1.49412 # DEPENDENCYPART_ARC
(6,8),0.405755 # DEPENDENCYPART_ARC
(6,9),-0.0376132 # DEPENDENCYPART_ARC
(6,10),0.548485 # DEPENDENCYPART_ARC
(6,11),0.626563 # DEPENDENCYPART_ARC
(6,12),-1.06223 # DEPENDENCYPART_ARC
(6,13),0.361828 # DEPENDENCYPART_ARC
(6,14),-0.622222 # DEPENDENCYPART_ARC
(6,15),-2.51464 # DEPENDENCYPART_ARC
(6,17),-1.08211 # DEPENDENCYPART_ARC
(7,8),3.36072 # DEPENDENCYPART_ARC
(7,9),-0.179798 # DEPENDENCYPART_ARC
(7,10),-0.787035 # DEPENDENCYPART_ARC
(7,11),-0.739155 # DEPENDENCYPART_ARC
(7,12),-3.38211 # DEPENDENCYPART_ARC
(8,3),-0.821225 # DEPENDENCYPART_ARC
(8,4),0.12576 # DEPENDENCYPART_ARC
(8,5),-1.39258 # DEPENDENCYPART_ARC
(8,6),0.520897 # DEPENDENCYPART_ARC
(8,9),0.0970784 # DEPENDENCYPART_ARC
(8,10),2.0432 # DEPENDENCYPART_ARC
(8,11),-0.272609 # DEPENDENCYPART_ARC
(8,12),-0.672779 # DEPENDENCYPART_ARC
(8,13),0.330256 # DEPENDENCYPART_ARC
(8,14),-1.96552 # DEPENDENCYPART_ARC
(8,17),-1.06283 # DEPENDENCYPART_ARC
(9,1),-1.78293 # DEPENDENCYPART_ARC
(9,3),-0.474454 # DEPENDENCYPART_ARC
(9,4),-0.798126 # DEPENDENCYPART_ARC
(9,5),-0.577653 # DEPENDENCYPART_ARC
(9,6),-0.304314 # DEPENDENCYPART_ARC
(9,7),-0.773992 # DEPENDENCYPART_ARC
(9,8),0.0231146 # DEPENDENCYPART_ARC
(9,11),-0.168399 # DEPENDENCYPART_ARC
(9,12),-1.18985 # DEPENDENCYPART_ARC
(9,14),-0.995769 # DEPENDENCYPART_ARC
(10,3),-0.504087 # DEPENDENCYPART_ARC
(10,5),-1.32714 # DEPENDENCYPART_ARC
(10,6),-1.05141 # DEPENDENCYPART_ARC
(10,7),-0.351407 # DEPENDENCYPART_ARC
(10,9),2.0288 # DEPENDENCYPART_ARC
(10,11),2.30069 # DEPENDENCYPART_ARC
(10,12),0.0898886 # DEPENDENCYPART_ARC
(10,13),1.77854 # DEPENDENCYPART_ARC
(10,14),0.632851 # DEPENDENCYPART_ARC
(10,15),-1.87156 # DEPENDENCYPART_ARC
(10,17),-0.988552 # DEPENDENCYPART_ARC
(10,20),-0.368797 # DEPENDENCYPART_ARC
(11,1),-0.880731 # DEPENDENCYPART_ARC
(11,3),-2.83672 # DEPENDENCYPART_ARC
(11,4),-2.07663 # DEPENDENCYPART_ARC
(11,5),-1.57633 # DEPENDENCYPART_ARC
(11,7),-0.414174 # DEPENDENCYPART_ARC
(11,8),-3.18078 # DEPENDENCYPART_ARC
(11,9),0.0300022 # DEPENDENCYPART_ARC
(11,10),0.0240792 # DEPENDENCYPART_ARC
(11,12),2.90148 # DEPENDENCYPART_ARC
(11,13),0.336168 # DEPENDENCYPART_ARC
(11,14),-1.3647 # DEPENDENCYPART_ARC
(11,15),0.329241 # DEPENDENCYPART_ARC
(11,16),-0.42121 # DEPENDENCYPART_ARC
(11,17),0.147591 # DEPENDENCYPART_ARC
(11,19),-1.57533 # DEPENDENCYPART_ARC
(12,7),-0.553305 # DEPENDENCYPART_ARC
(12,8),-2.30078 # DEPENDENCYPART_ARC
(12,10),-0.197442 # DEPENDENCYPART_ARC
(12,13),-0.790792 # DEPENDENCYPART_ARC
(12,14),-1.15349 # DEPENDENCYPART_ARC
(12,15),-2.263 # DEPENDENCYPART_ARC
(12,16),-0.635366 # DEPENDENCYPART_ARC
(12,17),-1.40585 # DEPENDENCYPART_ARC
(13,1),-2.2422 # DEPENDENCYPART_ARC
(13,3),0.228125 # DEPENDENCYPART_ARC
(13,4),-0.198426 # DEPENDENCYPART_ARC
(13,5),-0.117325 # DEPENDENCYPART_ARC
