# _root_ Tomáš Seidl Pistolnice , USA , 1994 .
#goldHeads=2,0,0,5,0,7,0,0,
#predictedHeads=2,3,4,0,6,7,2,0,
(0,1),-0.358771 # DEPENDENCYPART_ARC
(0,2),0.262721 # DEPENDENCYPART_ARC
(0,3),-0.00173883 # DEPENDENCYPART_ARC
(0,4),0.187831 # DEPENDENCYPART_ARC
(0,5),-0.347918 # DEPENDENCYPART_ARC
(0,6),-0.288359 # DEPENDENCYPART_ARC
(0,7),-1.44138 # DEPENDENCYPART_ARC
(0,8),2.80746 # DEPENDENCYPART_ARC
(1,2),-0.181173 # DEPENDENCYPART_ARC
(1,3),-0.627846 # DEPENDENCYPART_ARC
(1,4),-0.306868 # DEPENDENCYPART_ARC
(1,5),-0.00945168 # DEPENDENCYPART_ARC
(1,6),-0.670791 # DEPENDENCYPART_ARC
(1,7),-1.19142 # DEPENDENCYPART_ARC
(1,8),-3.07649 # DEPENDENCYPART_ARC
(2,1),5.44395 # DEPENDENCYPART_ARC
(2,3),1.93675 # DEPENDENCYPART_ARC
(2,4),0.621117 # DEPENDENCYPART_ARC
(2,5),1.10951 # DEPENDENCYPART_ARC
(2,6),0.542481 # DEPENDENCYPART_ARC
(2,7),0.198881 # DEPENDENCYPART_ARC
(2,8),-1.57751 # DEPENDENCYPART_ARC
(3,1),1.12354 # DEPENDENCYPART_ARC
(3,2),1.92504 # DEPENDENCYPART_ARC
(3,4),0.126225 # DEPENDENCYPART_ARC
(3,5),1.6464 # DEPENDENCYPART_ARC
(3,6),-0.328153 # DEPENDENCYPART_ARC
(3,7),-0.384912 # DEPENDENCYPART_ARC
(3,8),-1.75647 # DEPENDENCYPART_ARC
(4,1),0.59846 # DEPENDENCYPART_ARC
(4,2),0.729678 # DEPENDENCYPART_ARC
(4,3),1.47843 # DEPENDENCYPART_ARC
(4,5),1.20057 # DEPENDENCYPART_ARC
(4,6),0.108473 # DEPENDENCYPART_ARC
(4,7),-0.680434 # DEPENDENCYPART_ARC
(4,8),-0.491183 # DEPENDENCYPART_ARC
(5,1),-1.04362 # DEPENDENCYPART_ARC
(5,2),0.31103 # DEPENDENCYPART_ARC
(5,3),-2.30231 # DEPENDENCYPART_ARC
(5,4),-0.452894 # DEPENDENCYPART_ARC
(5,6),-0.964787 # DEPENDENCYPART_ARC
(5,7),-0.613866 # DEPENDENCYPART_ARC
(5,8),-1.21788 # DEPENDENCYPART_ARC
(6,1),0.8256 # DEPENDENCYPART_ARC
(6,2),0.837349 # DEPENDENCYPART_ARC
(6,3),1.28849 # DEPENDENCYPART_ARC
(6,4),1.03026 # DEPENDENCYPART_ARC
(6,5),1.79689 # DEPENDENCYPART_ARC
(6,7),-0.153633 # DEPENDENCYPART_ARC
(6,8),-0.316297 # DEPENDENCYPART_ARC
(7,1),-0.970298 # DEPENDENCYPART_ARC
(7,2),-0.625183 # DEPENDENCYPART_ARC
(7,3),-0.469664 # DEPENDENCYPART_ARC
(7,4),-0.772704 # DEPENDENCYPART_ARC
(7,5),-0.308872 # DEPENDENCYPART_ARC
(7,6),0.598171 # DEPENDENCYPART_ARC
(7,8),0.850815 # DEPENDENCYPART_ARC
(8,1),-2.47289 # DEPENDENCYPART_ARC
(8,3),-2.4946 # DEPENDENCYPART_ARC
(8,4),-2.17094 # DEPENDENCYPART_ARC
(8,5),-2.4219 # DEPENDENCYPART_ARC
(8,6),-2.06783 # DEPENDENCYPART_ARC
(8,7),-3.0576 # DEPENDENCYPART_ARC
