# _root_ Politizování odborů nelze zabránit , nelze ho zakázat , je legitimní .
#goldHeads=4,1,9,3,9,9,8,6,0,9,10,0,
#predictedHeads=4,1,0,3,3,9,8,6,3,9,10,0,
(0,1),-0.298014 # DEPENDENCYPART_ARC
(0,2),-2.05718 # DEPENDENCYPART_ARC
(0,3),0.728559 # DEPENDENCYPART_ARC
(0,4),-0.696633 # DEPENDENCYPART_ARC
(0,5),-0.0301422 # DEPENDENCYPART_ARC
(0,6),-0.0436697 # DEPENDENCYPART_ARC
(0,7),-2.00705 # DEPENDENCYPART_ARC
(0,8),-1.98963 # DEPENDENCYPART_ARC
(0,9),-0.227212 # DEPENDENCYPART_ARC
(0,10),-0.572916 # DEPENDENCYPART_ARC
(0,12),3.82666 # DEPENDENCYPART_ARC
(1,2),4.24922 # DEPENDENCYPART_ARC
(1,3),-1.49552 # DEPENDENCYPART_ARC
(1,4),-0.650583 # DEPENDENCYPART_ARC
(1,5),-0.891625 # DEPENDENCYPART_ARC
(1,6),-4.49652 # DEPENDENCYPART_ARC
(1,8),-2.77617 # DEPENDENCYPART_ARC
(1,9),-1.03436 # DEPENDENCYPART_ARC
(1,10),-6.48158 # DEPENDENCYPART_ARC
(1,11),-3.88506 # DEPENDENCYPART_ARC
(2,1),-0.747029 # DEPENDENCYPART_ARC
(2,3),-2.45488 # DEPENDENCYPART_ARC
(2,4),-2.36493 # DEPENDENCYPART_ARC
(2,5),-1.36368 # DEPENDENCYPART_ARC
(2,6),-5.51957 # DEPENDENCYPART_ARC
(2,8),-4.68842 # DEPENDENCYPART_ARC
(3,1),2.25019 # DEPENDENCYPART_ARC
(3,2),-1.33012 # DEPENDENCYPART_ARC
(3,4),3.28163 # DEPENDENCYPART_ARC
(3,5),0.717403 # DEPENDENCYPART_ARC
(3,6),-3.03749 # DEPENDENCYPART_ARC
(3,8),0.0822184 # DEPENDENCYPART_ARC
(3,9),0.287253 # DEPENDENCYPART_ARC
(3,10),-3.81178 # DEPENDENCYPART_ARC
(3,11),-3.00677 # DEPENDENCYPART_ARC
(4,1),2.96593 # DEPENDENCYPART_ARC
(4,2),0.939204 # DEPENDENCYPART_ARC
(4,3),0.307088 # DEPENDENCYPART_ARC
(4,5),0.436447 # DEPENDENCYPART_ARC
(4,6),-1.67873 # DEPENDENCYPART_ARC
(4,8),0.422933 # DEPENDENCYPART_ARC
(4,9),-0.665359 # DEPENDENCYPART_ARC
(4,10),-3.30805 # DEPENDENCYPART_ARC
(4,11),-3.40348 # DEPENDENCYPART_ARC
(5,1),0.215841 # DEPENDENCYPART_ARC
(5,2),0.371492 # DEPENDENCYPART_ARC
(5,3),0.500183 # DEPENDENCYPART_ARC
(5,4),0.39499 # DEPENDENCYPART_ARC
(5,6),0.375049 # DEPENDENCYPART_ARC
(5,8),-0.797571 # DEPENDENCYPART_ARC
(5,9),0.178985 # DEPENDENCYPART_ARC
(5,10),-1.80462 # DEPENDENCYPART_ARC
(5,11),-2.04987 # DEPENDENCYPART_ARC
(6,1),1.60716 # DEPENDENCYPART_ARC
(6,2),-2.88937 # DEPENDENCYPART_ARC
(6,3),-0.188932 # DEPENDENCYPART_ARC
(6,4),1.49283 # DEPENDENCYPART_ARC
(6,5),0.211062 # DEPENDENCYPART_ARC
(6,7),1.36834 # DEPENDENCYPART_ARC
(6,8),3.03324 # DEPENDENCYPART_ARC
(6,9),0.571507 # DEPENDENCYPART_ARC
(6,10),-1.46854 # DEPENDENCYPART_ARC
(6,11),-0.0406716 # DEPENDENCYPART_ARC
(6,12),-0.721075 # DEPENDENCYPART_ARC
(8,1),1.32923 # DEPENDENCYPART_ARC
(8,2),-0.928437 # DEPENDENCYPART_ARC
(8,3),-2.64195 # DEPENDENCYPART_ARC
(8,4),-1.39362 # DEPENDENCYPART_ARC
(8,5),-0.595187 # DEPENDENCYPART_ARC
(8,6),-0.206746 # DEPENDENCYPART_ARC
(8,7),4.03543 # DEPENDENCYPART_ARC
(8,9),0.741895 # DEPENDENCYPART_ARC
(8,10),-1.06889 # DEPENDENCYPART_ARC
(8,11),-1.61098 # DEPENDENCYPART_ARC
(9,1),-0.864462 # DEPENDENCYPART_ARC
(9,2),-0.88173 # DEPENDENCYPART_ARC
(9,3),0.235922 # DEPENDENCYPART_ARC
(9,4),-0.535624 # DEPENDENCYPART_ARC
(9,5),0.503447 # DEPENDENCYPART_ARC
(9,6),1.15521 # DEPENDENCYPART_ARC
(9,8),0.250945 # DEPENDENCYPART_ARC
(9,10),-0.254722 # DEPENDENCYPART_ARC
(9,11),-1.24975 # DEPENDENCYPART_ARC
(10,1),1.88502 # DEPENDENCYPART_ARC
(10,2),-2.58194 # DEPENDENCYPART_ARC
(10,3),-1.85269 # DEPENDENCYPART_ARC
(10,4),-0.959927 # DEPENDENCYPART_ARC
(10,5),-1.37516 # DEPENDENCYPART_ARC
(10,6),0.222772 # DEPENDENCYPART_ARC
(10,7),0.837754 # DEPENDENCYPART_ARC
(10,8),1.11839 # DEPENDENCYPART_ARC
(10,9),0.0733149 # DEPENDENCYPART_ARC
(10,11),3.68121 # DEPENDENCYPART_ARC
(10,12),-0.282302 # DEPENDENCYPART_ARC
(11,1),-2.15075 # DEPENDENCYPART_ARC
(11,2),-4.85153 # DEPENDENCYPART_ARC
(11,3),-2.74027 # DEPENDENCYPART_ARC
(11,5),-2.53186 # DEPENDENCYPART_ARC
(11,6),-2.44518 # DEPENDENCYPART_ARC
(11,9),-0.823148 # DEPENDENCYPART_ARC
(11,10),-1.89137 # DEPENDENCYPART_ARC
(11,12),0.0380052 # DEPENDENCYPART_ARC
(12,9),-1.92264 # DEPENDENCYPART_ARC
(12,10),-3.52273 # DEPENDENCYPART_ARC
(12,11),-2.13941 # DEPENDENCYPART_ARC
