# _root_ jiná , určená k setí přímo do země , se mohou prodávat i později .
#goldHeads=2,11,2,3,4,8,5,7,2,11,0,11,14,12,0,
#predictedHeads=2,9,2,3,4,8,3,7,11,12,0,11,14,12,0,
(0,1),-0.844755 # DEPENDENCYPART_ARC
(0,2),-0.270175 # DEPENDENCYPART_ARC
(0,3),-1.3975 # DEPENDENCYPART_ARC
(0,4),-0.109489 # DEPENDENCYPART_ARC
(0,6),-0.329261 # DEPENDENCYPART_ARC
(0,7),0.0576549 # DEPENDENCYPART_ARC
(0,9),-0.286552 # DEPENDENCYPART_ARC
(0,11),0.609657 # DEPENDENCYPART_ARC
(0,12),0.217447 # DEPENDENCYPART_ARC
(0,13),-2.47894 # DEPENDENCYPART_ARC
(0,14),-1.91455 # DEPENDENCYPART_ARC
(0,15),3.8043 # DEPENDENCYPART_ARC
(1,2),-0.0139301 # DEPENDENCYPART_ARC
(1,3),-1.10901 # DEPENDENCYPART_ARC
(2,1),0.945545 # DEPENDENCYPART_ARC
(2,3),1.67137 # DEPENDENCYPART_ARC
(2,4),0.291794 # DEPENDENCYPART_ARC
(2,5),-0.162616 # DEPENDENCYPART_ARC
(2,6),0.0202516 # DEPENDENCYPART_ARC
(2,7),-0.306806 # DEPENDENCYPART_ARC
(2,9),-0.0928979 # DEPENDENCYPART_ARC
(2,11),0.0603285 # DEPENDENCYPART_ARC
(2,12),-0.454245 # DEPENDENCYPART_ARC
(2,13),-1.15647 # DEPENDENCYPART_ARC
(2,14),-0.540307 # DEPENDENCYPART_ARC
(2,15),-0.00547196 # DEPENDENCYPART_ARC
(3,1),-1.22495 # DEPENDENCYPART_ARC
(3,2),1.19105 # DEPENDENCYPART_ARC
(3,4),2.11401 # DEPENDENCYPART_ARC
(3,5),0.725198 # DEPENDENCYPART_ARC
(3,6),0.0631427 # DEPENDENCYPART_ARC
(3,7),0.867851 # DEPENDENCYPART_ARC
(3,8),-1.77488 # DEPENDENCYPART_ARC
(3,9),0.574762 # DEPENDENCYPART_ARC
(3,11),-2.52915 # DEPENDENCYPART_ARC
(3,12),-1.07006 # DEPENDENCYPART_ARC
(3,13),-1.03031 # DEPENDENCYPART_ARC
(3,15),-1.30346 # DEPENDENCYPART_ARC
(4,3),-1.48186 # DEPENDENCYPART_ARC
(4,5),4.18122 # DEPENDENCYPART_ARC
(4,6),-1.05889 # DEPENDENCYPART_ARC
(4,8),-2.12468 # DEPENDENCYPART_ARC
(5,1),-4.60015 # DEPENDENCYPART_ARC
(5,3),-3.23658 # DEPENDENCYPART_ARC
(5,6),-0.760473 # DEPENDENCYPART_ARC
(5,7),0.0973265 # DEPENDENCYPART_ARC
(5,8),0.247323 # DEPENDENCYPART_ARC
(5,11),-0.606882 # DEPENDENCYPART_ARC
(5,12),-0.637434 # DEPENDENCYPART_ARC
(5,13),-1.66126 # DEPENDENCYPART_ARC
(5,14),-1.63263 # DEPENDENCYPART_ARC
(6,2),-0.548372 # DEPENDENCYPART_ARC
(6,4),0.222357 # DEPENDENCYPART_ARC
(6,5),-0.711208 # DEPENDENCYPART_ARC
(6,7),0.250471 # DEPENDENCYPART_ARC
(6,8),-0.410999 # DEPENDENCYPART_ARC
(6,9),-0.871048 # DEPENDENCYPART_ARC
(6,11),-2.43748 # DEPENDENCYPART_ARC
(6,12),-1.41753 # DEPENDENCYPART_ARC
(6,15),-1.22174 # DEPENDENCYPART_ARC
(7,2),-0.399928 # DEPENDENCYPART_ARC
(7,5),-0.403771 # DEPENDENCYPART_ARC
(7,6),0.0137032 # DEPENDENCYPART_ARC
(7,8),3.75172 # DEPENDENCYPART_ARC
(7,9),0.0930237 # DEPENDENCYPART_ARC
(7,13),-2.16794 # DEPENDENCYPART_ARC
(8,1),-7.82792 # DEPENDENCYPART_ARC
(8,3),-7.13486 # DEPENDENCYPART_ARC
(8,4),-0.509579 # DEPENDENCYPART_ARC
(8,5),-3.05094 # DEPENDENCYPART_ARC
(8,6),1.48912 # DEPENDENCYPART_ARC
(8,9),-0.678241 # DEPENDENCYPART_ARC
(8,11),0.0482336 # DEPENDENCYPART_ARC
(8,12),0.502899 # DEPENDENCYPART_ARC
(8,13),-0.840075 # DEPENDENCYPART_ARC
(8,14),-0.938729 # DEPENDENCYPART_ARC
(8,15),-1.14028 # DEPENDENCYPART_ARC
(9,1),-1.15408 # DEPENDENCYPART_ARC
(9,2),-0.257487 # DEPENDENCYPART_ARC
(9,3),-1.31176 # DEPENDENCYPART_ARC
(9,4),-0.665896 # DEPENDENCYPART_ARC
(9,5),-0.164385 # DEPENDENCYPART_ARC
(9,7),-0.786381 # DEPENDENCYPART_ARC
(9,8),0.519079 # DEPENDENCYPART_ARC
(9,11),0.60193 # DEPENDENCYPART_ARC
(9,12),-0.479655 # DEPENDENCYPART_ARC
(9,13),-1.17029 # DEPENDENCYPART_ARC
(9,14),-0.703545 # DEPENDENCYPART_ARC
(9,15),-0.109986 # DEPENDENCYPART_ARC
(11,1),-2.46198 # DEPENDENCYPART_ARC
(11,2),-0.612143 # DEPENDENCYPART_ARC
(11,3),-1.62818 # DEPENDENCYPART_ARC
(11,4),-1.38033 # DEPENDENCYPART_ARC
(11,5),-2.11668 # DEPENDENCYPART_ARC
(11,6),-0.124657 # DEPENDENCYPART_ARC
(11,7),0.379526 # DEPENDENCYPART_ARC
(11,8),-4.30823 # DEPENDENCYPART_ARC
(11,9),1.94111 # DEPENDENCYPART_ARC
(11,10),2.04078 # DEPENDENCYPART_ARC
(11,12),3.27672 # DEPENDENCYPART_ARC
(11,13),0.0814753 # DEPENDENCYPART_ARC
(11,14),0.442504 # DEPENDENCYPART_ARC
(11,15),0.130705 # DEPENDENCYPART_ARC
(12,1),-1.52137 # DEPENDENCYPART_ARC
(12,2),-1.03368 # DEPENDENCYPART_ARC
(12,3),-1.02144 # DEPENDENCYPART_ARC
(12,4),-0.00685883 # DEPENDENCYPART_ARC
(12,5),0.031594 # DEPENDENCYPART_ARC
(12,6),-0.0281909 # DEPENDENCYPART_ARC
(12,7),0.395765 # DEPENDENCYPART_ARC
(12,8),-2.08928 # DEPENDENCYPART_ARC
(12,9),0.782955 # DEPENDENCYPART_ARC
(12,10),2.96702 # DEPENDENCYPART_ARC
(12,11),-0.460699 # DEPENDENCYPART_ARC
(12,13),-0.239588 # DEPENDENCYPART_ARC
(12,14),1.32415 # DEPENDENCYPART_ARC
(12,15),-0.38105 # DEPENDENCYPART_ARC
(13,1),-1.70818 # DEPENDENCYPART_ARC
(13,2),-1.57427 # DEPENDENCYPART_ARC
(13,3),-2.0371 # DEPENDENCYPART_ARC
(13,4),-1.17454 # DEPENDENCYPART_ARC
(13,6),-0.876395 # DEPENDENCYPART_ARC
(13,7),-0.363626 # DEPENDENCYPART_ARC
(13,8),-1.26252 # DEPENDENCYPART_ARC
(13,9),-0.665475 # DEPENDENCYPART_ARC
(13,10),0.0789213 # DEPENDENCYPART_ARC
(13,11),-0.681559 # DEPENDENCYPART_ARC
(13,12),-0.0377921 # DEPENDENCYPART_ARC
(13,14),0.711208 # DEPENDENCYPART_ARC
(13,15),0.347507 # DEPENDENCYPART_ARC
(14,2),-0.835348 # DEPENDENCYPART_ARC
(14,4),-0.433631 # DEPENDENCYPART_ARC
(14,5),-1.06586 # DEPENDENCYPART_ARC
