# _root_ Předseda Halík považuje Wintrovo jednání za jistou odplatu Spartě z doby , kdy byl požádán , aby projednal odstupné za sparťanského hráče Františka Kučeru v Chicagu .
#goldHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,19,22,24,24,20,24,25,0,
#predictedHeads=2,3,0,5,3,3,8,6,8,5,10,15,15,15,11,17,15,17,18,19,22,24,24,18,19,25,0,
(0,1),-0.227565 # DEPENDENCYPART_ARC
(0,2),-0.784799 # DEPENDENCYPART_ARC
(0,3),0.70835 # DEPENDENCYPART_ARC
(0,5),-1.71581 # DEPENDENCYPART_ARC
(0,6),-0.694529 # DEPENDENCYPART_ARC
(0,12),-0.366652 # DEPENDENCYPART_ARC
(0,14),-0.128489 # DEPENDENCYPART_ARC
(0,15),-0.788112 # DEPENDENCYPART_ARC
(0,16),-0.799728 # DEPENDENCYPART_ARC
(0,17),-3.93949 # DEPENDENCYPART_ARC
(0,18),-1.32313 # DEPENDENCYPART_ARC
(0,27),3.79851 # DEPENDENCYPART_ARC
(1,2),1.77409 # DEPENDENCYPART_ARC
(1,3),-1.13776 # DEPENDENCYPART_ARC
(1,4),-3.02547 # DEPENDENCYPART_ARC
(1,5),-3.85933 # DEPENDENCYPART_ARC
(1,6),-0.702977 # DEPENDENCYPART_ARC
(1,7),-4.45697 # DEPENDENCYPART_ARC
(1,8),-5.23707 # DEPENDENCYPART_ARC
(1,10),-0.477306 # DEPENDENCYPART_ARC
(2,1),5.59456 # DEPENDENCYPART_ARC
(2,3),-0.955996 # DEPENDENCYPART_ARC
(2,4),-2.79944 # DEPENDENCYPART_ARC
(2,5),-3.75445 # DEPENDENCYPART_ARC
(2,6),-2.003 # DEPENDENCYPART_ARC
(3,1),2.54317 # DEPENDENCYPART_ARC
(3,2),2.02842 # DEPENDENCYPART_ARC
(3,5),3.16368 # DEPENDENCYPART_ARC
(3,6),2.76106 # DEPENDENCYPART_ARC
(3,7),-2.58842 # DEPENDENCYPART_ARC
(3,8),1.80572 # DEPENDENCYPART_ARC
(3,9),0.460026 # DEPENDENCYPART_ARC
(3,10),0.920465 # DEPENDENCYPART_ARC
(3,11),-1.8664 # DEPENDENCYPART_ARC
(3,12),0.125148 # DEPENDENCYPART_ARC
(3,13),-0.443336 # DEPENDENCYPART_ARC
(3,14),-1.36172 # DEPENDENCYPART_ARC
(3,15),0.19847 # DEPENDENCYPART_ARC
(3,16),-0.189635 # DEPENDENCYPART_ARC
(3,17),-0.354707 # DEPENDENCYPART_ARC
(3,18),-4.00118 # DEPENDENCYPART_ARC
(3,20),-0.0526535 # DEPENDENCYPART_ARC
(3,25),-0.957861 # DEPENDENCYPART_ARC
(4,1),-3.98029 # DEPENDENCYPART_ARC
(4,2),-4.84942 # DEPENDENCYPART_ARC
(5,1),-2.17225 # DEPENDENCYPART_ARC
(5,2),-2.56532 # DEPENDENCYPART_ARC
(5,3),-1.29956 # DEPENDENCYPART_ARC
(5,4),4.93022 # DEPENDENCYPART_ARC
(5,6),2.34809 # DEPENDENCYPART_ARC
(5,7),-0.0382707 # DEPENDENCYPART_ARC
(5,8),-0.739764 # DEPENDENCYPART_ARC
(5,9),-0.185747 # DEPENDENCYPART_ARC
(5,10),1.35241 # DEPENDENCYPART_ARC
(5,14),-1.57153 # DEPENDENCYPART_ARC
(5,15),-1.35587 # DEPENDENCYPART_ARC
(6,5),-2.34971 # DEPENDENCYPART_ARC
(6,7),1.50317 # DEPENDENCYPART_ARC
(6,8),3.17392 # DEPENDENCYPART_ARC
(6,9),-0.726471 # DEPENDENCYPART_ARC
