# _root_ Havlova tvrdá a otevřená slova o Mnichově , okupaci , odsunu Němců a zločinech komunismu jsou jednoznačná .
#goldHeads=5,3,5,3,16,5,13,13,13,13,13,11,6,13,14,0,16,0,
#predictedHeads=5,3,5,3,16,5,6,13,13,13,13,13,6,13,14,0,16,0,
(0,2),-1.19539 # DEPENDENCYPART_ARC
(0,3),-1.16342 # DEPENDENCYPART_ARC
(0,5),-1.47421 # DEPENDENCYPART_ARC
(0,6),-0.546072 # DEPENDENCYPART_ARC
(0,8),-0.682067 # DEPENDENCYPART_ARC
(0,10),-0.887479 # DEPENDENCYPART_ARC
(0,11),-2.34366 # DEPENDENCYPART_ARC
(0,12),-2.60423 # DEPENDENCYPART_ARC
(0,13),-1.72612 # DEPENDENCYPART_ARC
(0,14),-3.36287 # DEPENDENCYPART_ARC
(0,16),0.0853231 # DEPENDENCYPART_ARC
(0,18),3.2535 # DEPENDENCYPART_ARC
(2,1),-1.09191 # DEPENDENCYPART_ARC
(3,1),1.05491 # DEPENDENCYPART_ARC
(3,2),3.79976 # DEPENDENCYPART_ARC
(3,4),6.41747 # DEPENDENCYPART_ARC
(3,5),0.616273 # DEPENDENCYPART_ARC
(3,6),0.0509122 # DEPENDENCYPART_ARC
(3,7),-0.204006 # DEPENDENCYPART_ARC
(3,8),-0.201113 # DEPENDENCYPART_ARC
(3,10),-0.540614 # DEPENDENCYPART_ARC
(3,11),-1.62181 # DEPENDENCYPART_ARC
(3,16),-0.828853 # DEPENDENCYPART_ARC
(3,17),-1.04465 # DEPENDENCYPART_ARC
(4,2),-2.82588 # DEPENDENCYPART_ARC
(4,5),-1.83214 # DEPENDENCYPART_ARC
(4,6),-0.965362 # DEPENDENCYPART_ARC
(5,1),3.14917 # DEPENDENCYPART_ARC
(5,2),1.19718 # DEPENDENCYPART_ARC
(5,3),2.24825 # DEPENDENCYPART_ARC
(5,4),4.3433 # DEPENDENCYPART_ARC
(5,6),2.3375 # DEPENDENCYPART_ARC
(5,7),0.0862479 # DEPENDENCYPART_ARC
(5,8),-0.305442 # DEPENDENCYPART_ARC
(5,9),-0.958257 # DEPENDENCYPART_ARC
(5,10),-0.487568 # DEPENDENCYPART_ARC
