# _root_ Úřad slovenského prezidenta nejdříve vyvrátil slova Hornovy mluvčí , za několik dní však vydal prohlášení , v němž svoji původní verzi odvolal .
#goldHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
#predictedHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
(0,1),-0.660016 # DEPENDENCYPART_ARC
(0,2),-1.6018 # DEPENDENCYPART_ARC
(0,3),-1.7875 # DEPENDENCYPART_ARC
(0,5),-0.0608579 # DEPENDENCYPART_ARC
(0,9),-0.693483 # DEPENDENCYPART_ARC
(0,11),-2.86242 # DEPENDENCYPART_ARC
(0,13),2.25409 # DEPENDENCYPART_ARC
(0,14),-1.06446 # DEPENDENCYPART_ARC
(0,16),-0.921132 # DEPENDENCYPART_ARC
(0,22),-1.77531 # DEPENDENCYPART_ARC
(0,23),3.75416 # DEPENDENCYPART_ARC
(1,2),1.02457 # DEPENDENCYPART_ARC
(1,3),3.17878 # DEPENDENCYPART_ARC
(1,4),-0.688986 # DEPENDENCYPART_ARC
(1,5),0.155815 # DEPENDENCYPART_ARC
(1,6),-3.65627 # DEPENDENCYPART_ARC
(1,8),0.00182582 # DEPENDENCYPART_ARC
(1,10),-0.512803 # DEPENDENCYPART_ARC
(2,1),-2.45171 # DEPENDENCYPART_ARC
(2,3),0.567738 # DEPENDENCYPART_ARC
(2,4),-0.558771 # DEPENDENCYPART_ARC
(2,6),-2.26493 # DEPENDENCYPART_ARC
(3,1),-3.63348 # DEPENDENCYPART_ARC
(3,2),4.76897 # DEPENDENCYPART_ARC
(3,4),-1.0756 # DEPENDENCYPART_ARC
(3,5),-1.72333 # DEPENDENCYPART_ARC
(3,7),-1.20391 # DEPENDENCYPART_ARC
(3,8),-0.107282 # DEPENDENCYPART_ARC
(4,1),-1.59738 # DEPENDENCYPART_ARC
(4,2),0.233163 # DEPENDENCYPART_ARC
(4,3),-1.31764 # DEPENDENCYPART_ARC
(4,5),-1.23585 # DEPENDENCYPART_ARC
(4,6),-0.515822 # DEPENDENCYPART_ARC
(5,1),2.85239 # DEPENDENCYPART_ARC
(5,2),-2.92871 # DEPENDENCYPART_ARC
(5,3),-0.890756 # DEPENDENCYPART_ARC
(5,4),1.83566 # DEPENDENCYPART_ARC
(5,6),2.86141 # DEPENDENCYPART_ARC
(5,7),-3.10529 # DEPENDENCYPART_ARC
(5,8),-1.14109 # DEPENDENCYPART_ARC
(5,9),-0.0725103 # DEPENDENCYPART_ARC
(5,10),0.260507 # DEPENDENCYPART_ARC
