# _root_ Ne tak kvůli ní samé , jako kvůli ekonomické i politické transformaci , jíž je garantem a která tou dobou ještě nebude zcela u konce .
#goldHeads=2,0,0,3,4,7,0,7,10,12,10,8,17,16,17,15,12,22,20,22,22,17,22,22,24,0,
#predictedHeads=2,4,5,3,12,7,0,7,10,12,10,8,15,17,12,15,15,20,20,22,22,17,25,22,24,0,
(0,1),0.0958051 # DEPENDENCYPART_ARC
(0,2),-0.253944 # DEPENDENCYPART_ARC
(0,3),-0.588816 # DEPENDENCYPART_ARC
(0,5),-1.5077 # DEPENDENCYPART_ARC
(0,6),-0.477556 # DEPENDENCYPART_ARC
(0,7),-0.297723 # DEPENDENCYPART_ARC
(0,8),-1.69941 # DEPENDENCYPART_ARC
(0,12),-1.02137 # DEPENDENCYPART_ARC
(0,13),-0.878476 # DEPENDENCYPART_ARC
(0,15),-0.449619 # DEPENDENCYPART_ARC
(0,17),-1.62792 # DEPENDENCYPART_ARC
(0,18),-2.7568 # DEPENDENCYPART_ARC
(0,22),-2.13542 # DEPENDENCYPART_ARC
(0,26),4.51694 # DEPENDENCYPART_ARC
(1,2),-0.389677 # DEPENDENCYPART_ARC
(1,3),-0.835827 # DEPENDENCYPART_ARC
(1,6),-1.00629 # DEPENDENCYPART_ARC
(1,13),-1.2847 # DEPENDENCYPART_ARC
(2,1),1.4322 # DEPENDENCYPART_ARC
(2,3),0.293261 # DEPENDENCYPART_ARC
(2,5),-0.721911 # DEPENDENCYPART_ARC
(2,12),-1.95204 # DEPENDENCYPART_ARC
(3,2),-0.255765 # DEPENDENCYPART_ARC
(3,4),2.73329 # DEPENDENCYPART_ARC
(3,5),0.989954 # DEPENDENCYPART_ARC
(3,6),-0.343895 # DEPENDENCYPART_ARC
(3,7),-2.03583 # DEPENDENCYPART_ARC
(3,12),0.266739 # DEPENDENCYPART_ARC
(4,2),0.608255 # DEPENDENCYPART_ARC
(4,8),-1.87666 # DEPENDENCYPART_ARC
(5,3),0.0524421 # DEPENDENCYPART_ARC
(5,6),-0.00230769 # DEPENDENCYPART_ARC
(5,8),-0.647544 # DEPENDENCYPART_ARC
(6,1),-0.284361 # DEPENDENCYPART_ARC
(6,2),-1.48303 # DEPENDENCYPART_ARC
(6,3),-0.272903 # DEPENDENCYPART_ARC
(6,5),-0.0105336 # DEPENDENCYPART_ARC
(6,7),0.0243336 # DEPENDENCYPART_ARC
(6,8),-0.382887 # DEPENDENCYPART_ARC
(6,9),-0.401216 # DEPENDENCYPART_ARC
(6,11),-0.305426 # DEPENDENCYPART_ARC
(6,13),-0.436074 # DEPENDENCYPART_ARC
(6,15),-0.789523 # DEPENDENCYPART_ARC
(7,2),-2.36207 # DEPENDENCYPART_ARC
(7,3),-1.30405 # DEPENDENCYPART_ARC
(7,6),1.18106 # DEPENDENCYPART_ARC
(7,8),1.14453 # DEPENDENCYPART_ARC
(7,9),-0.176555 # DEPENDENCYPART_ARC
(7,10),-0.441787 # DEPENDENCYPART_ARC
(7,11),-0.462595 # DEPENDENCYPART_ARC
(7,12),-0.0596914 # DEPENDENCYPART_ARC
(7,13),0.214766 # DEPENDENCYPART_ARC
(7,15),-1.24279 # DEPENDENCYPART_ARC
(7,17),-0.951941 # DEPENDENCYPART_ARC
(7,22),-1.50001 # DEPENDENCYPART_ARC
(8,6),1.09737 # DEPENDENCYPART_ARC
(8,9),2.63693 # DEPENDENCYPART_ARC
(8,10),0.698425 # DEPENDENCYPART_ARC
(8,11),0.837367 # DEPENDENCYPART_ARC
(8,12),3.39131 # DEPENDENCYPART_ARC
(8,13),0.357578 # DEPENDENCYPART_ARC
(8,16),-2.35289 # DEPENDENCYPART_ARC
(8,17),-0.33066 # DEPENDENCYPART_ARC
(9,5),-1.42055 # DEPENDENCYPART_ARC
(9,7),0.0458465 # DEPENDENCYPART_ARC
(9,8),-0.329276 # DEPENDENCYPART_ARC
(9,10),0.367147 # DEPENDENCYPART_ARC
(9,11),-0.812658 # DEPENDENCYPART_ARC
(9,15),-2.49585 # DEPENDENCYPART_ARC
(10,1),-1.15374 # DEPENDENCYPART_ARC
(10,2),-1.96055 # DEPENDENCYPART_ARC
(10,3),-1.13507 # DEPENDENCYPART_ARC
(10,5),-1.10128 # DEPENDENCYPART_ARC
(10,6),0.0164323 # DEPENDENCYPART_ARC
(10,7),-0.688109 # DEPENDENCYPART_ARC
(10,9),3.48764 # DEPENDENCYPART_ARC
(10,11),5.73294 # DEPENDENCYPART_ARC
(10,12),0.138095 # DEPENDENCYPART_ARC
(10,13),-0.442083 # DEPENDENCYPART_ARC
(10,15),-2.2427 # DEPENDENCYPART_ARC
(10,16),-1.40494 # DEPENDENCYPART_ARC
(10,17),-1.17164 # DEPENDENCYPART_ARC
(10,21),-1.68247 # DEPENDENCYPART_ARC
(10,23),-1.93548 # DEPENDENCYPART_ARC
(10,24),-2.32217 # DEPENDENCYPART_ARC
(11,5),-1.8215 # DEPENDENCYPART_ARC
(11,9),-0.835061 # DEPENDENCYPART_ARC
(11,10),0.398868 # DEPENDENCYPART_ARC
(12,1),-0.0902516 # DEPENDENCYPART_ARC
(12,2),-1.84424 # DEPENDENCYPART_ARC
(12,5),1.42747 # DEPENDENCYPART_ARC
(12,7),1.2664 # DEPENDENCYPART_ARC
(12,9),1.64389 # DEPENDENCYPART_ARC
(12,10),3.74064 # DEPENDENCYPART_ARC
(12,11),4.15569 # DEPENDENCYPART_ARC
(12,13),-0.0660033 # DEPENDENCYPART_ARC
(12,15),1.21884 # DEPENDENCYPART_ARC
(12,16),-2.33031 # DEPENDENCYPART_ARC
(12,17),0.804963 # DEPENDENCYPART_ARC
(12,21),-0.169752 # DEPENDENCYPART_ARC
