# _root_ " Turnaj je zařazen do nejnižší kategorie , a proto jsme museli sehnat bydlení do 80 dolarů za noc , což znamenalo v Praze velký problém .
#goldHeads=9,4,4,9,4,7,5,9,0,9,12,20,12,13,14,17,15,17,18,9,22,20,22,23,26,22,0,
#predictedHeads=20,4,4,9,4,7,5,9,0,9,12,9,12,13,14,17,15,17,18,10,22,20,22,23,26,22,0,
(0,1),-0.509636 # DEPENDENCYPART_ARC
(0,2),-0.949426 # DEPENDENCYPART_ARC
(0,3),-0.300651 # DEPENDENCYPART_ARC
(0,4),-0.526466 # DEPENDENCYPART_ARC
(0,5),-1.85732 # DEPENDENCYPART_ARC
(0,7),-2.54372 # DEPENDENCYPART_ARC
(0,8),-0.324179 # DEPENDENCYPART_ARC
(0,9),0.0941706 # DEPENDENCYPART_ARC
(0,10),0.40974 # DEPENDENCYPART_ARC
(0,11),-2.61608 # DEPENDENCYPART_ARC
(0,12),-1.78013 # DEPENDENCYPART_ARC
(0,13),-2.24045 # DEPENDENCYPART_ARC
(0,20),-0.426054 # DEPENDENCYPART_ARC
(0,22),-2.50128 # DEPENDENCYPART_ARC
(0,27),3.72146 # DEPENDENCYPART_ARC
(1,2),-3.55074 # DEPENDENCYPART_ARC
(1,3),-2.73657 # DEPENDENCYPART_ARC
(1,4),-3.18853 # DEPENDENCYPART_ARC
(2,1),0.21366 # DEPENDENCYPART_ARC
(2,3),-0.217477 # DEPENDENCYPART_ARC
(3,1),1.4207 # DEPENDENCYPART_ARC
(3,2),2.53125 # DEPENDENCYPART_ARC
(3,4),2.4293 # DEPENDENCYPART_ARC
(3,5),0.727382 # DEPENDENCYPART_ARC
(3,6),-3.91585 # DEPENDENCYPART_ARC
(3,7),-1.45754 # DEPENDENCYPART_ARC
(3,8),-0.627259 # DEPENDENCYPART_ARC
(3,9),-0.370254 # DEPENDENCYPART_ARC
(3,10),-0.46259 # DEPENDENCYPART_ARC
(3,12),-5.12183 # DEPENDENCYPART_ARC
(3,13),-2.77182 # DEPENDENCYPART_ARC
(4,1),1.83305 # DEPENDENCYPART_ARC
(4,2),2.68946 # DEPENDENCYPART_ARC
(4,3),2.66091 # DEPENDENCYPART_ARC
(4,5),1.84522 # DEPENDENCYPART_ARC
(4,6),-3.7518 # DEPENDENCYPART_ARC
(4,7),-1.02063 # DEPENDENCYPART_ARC
(4,8),-0.103507 # DEPENDENCYPART_ARC
(4,9),-0.127031 # DEPENDENCYPART_ARC
(4,10),-0.0390489 # DEPENDENCYPART_ARC
(4,11),-3.24674 # DEPENDENCYPART_ARC
(4,12),-3.59708 # DEPENDENCYPART_ARC
(4,13),-2.1451 # DEPENDENCYPART_ARC
(4,20),-0.98054 # DEPENDENCYPART_ARC
(5,6),0.713336 # DEPENDENCYPART_ARC
(5,7),3.78443 # DEPENDENCYPART_ARC
(5,8),-0.341475 # DEPENDENCYPART_ARC
(5,9),-0.495757 # DEPENDENCYPART_ARC
(7,5),0.00153413 # DEPENDENCYPART_ARC
(7,6),4.93144 # DEPENDENCYPART_ARC
(7,8),-0.39654 # DEPENDENCYPART_ARC
(7,9),0.148137 # DEPENDENCYPART_ARC
(7,10),-0.618539 # DEPENDENCYPART_ARC
(7,11),-1.93068 # DEPENDENCYPART_ARC
(7,12),-2.09907 # DEPENDENCYPART_ARC
(7,13),-2.34418 # DEPENDENCYPART_ARC
(8,1),0.346416 # DEPENDENCYPART_ARC
(8,3),-0.819992 # DEPENDENCYPART_ARC
(8,4),-0.580216 # DEPENDENCYPART_ARC
(8,5),-0.379571 # DEPENDENCYPART_ARC
(8,6),-0.462741 # DEPENDENCYPART_ARC
(8,7),-0.636079 # DEPENDENCYPART_ARC
(8,11),-1.57322 # DEPENDENCYPART_ARC
(9,1),0.990792 # DEPENDENCYPART_ARC
(9,2),0.0858862 # DEPENDENCYPART_ARC
(9,3),0.958843 # DEPENDENCYPART_ARC
(9,4),0.943433 # DEPENDENCYPART_ARC
(9,5),0.62538 # DEPENDENCYPART_ARC
(9,6),1.16386 # DEPENDENCYPART_ARC
(9,7),1.18259 # DEPENDENCYPART_ARC
(9,8),2.13019 # DEPENDENCYPART_ARC
(9,10),2.52269 # DEPENDENCYPART_ARC
(9,11),1.82923 # DEPENDENCYPART_ARC
(9,12),1.88449 # DEPENDENCYPART_ARC
(9,13),1.08838 # DEPENDENCYPART_ARC
(9,14),-1.38934 # DEPENDENCYPART_ARC
(9,15),-0.570563 # DEPENDENCYPART_ARC
(9,16),-1.35951 # DEPENDENCYPART_ARC
(9,18),0.0450468 # DEPENDENCYPART_ARC
(9,20),0.759644 # DEPENDENCYPART_ARC
(9,22),0.531896 # DEPENDENCYPART_ARC
(10,1),0.445093 # DEPENDENCYPART_ARC
(10,2),-1.21538 # DEPENDENCYPART_ARC
(10,3),-0.215815 # DEPENDENCYPART_ARC
