# _root_ Jakmile bude toto perspektivně levné vozidlo předvedeno potencionálním zájemcům in natura , bude jim jasné , že na něco podobného vlastně čekali .
#goldHeads=13,7,6,5,6,7,1,9,7,11,7,1,0,13,13,17,13,22,18,19,22,17,0,
#predictedHeads=13,7,6,7,6,7,1,9,7,9,10,1,0,13,13,17,13,22,18,19,22,17,0,
(0,1),0.00204885 # DEPENDENCYPART_ARC
(0,2),-0.706806 # DEPENDENCYPART_ARC
(0,7),-0.976504 # DEPENDENCYPART_ARC
(0,12),-0.830454 # DEPENDENCYPART_ARC
(0,13),0.29708 # DEPENDENCYPART_ARC
(0,14),-2.91267 # DEPENDENCYPART_ARC
(0,16),-1.25773 # DEPENDENCYPART_ARC
(0,19),-2.93108 # DEPENDENCYPART_ARC
(0,22),-1.3283 # DEPENDENCYPART_ARC
(0,23),4.40482 # DEPENDENCYPART_ARC
(1,2),2.15036 # DEPENDENCYPART_ARC
(1,3),-0.242845 # DEPENDENCYPART_ARC
(1,4),-0.122268 # DEPENDENCYPART_ARC
(1,5),-0.295764 # DEPENDENCYPART_ARC
(1,6),-1.24001 # DEPENDENCYPART_ARC
(1,7),0.828112 # DEPENDENCYPART_ARC
(1,12),2.15979 # DEPENDENCYPART_ARC
(1,16),0.0321129 # DEPENDENCYPART_ARC
(2,1),0.995481 # DEPENDENCYPART_ARC
(2,3),2.36949 # DEPENDENCYPART_ARC
(2,4),1.07851 # DEPENDENCYPART_ARC
(2,5),1.57477 # DEPENDENCYPART_ARC
(2,6),0.532851 # DEPENDENCYPART_ARC
(2,7),0.483759 # DEPENDENCYPART_ARC
(2,8),-1.4549 # DEPENDENCYPART_ARC
(2,9),-0.856884 # DEPENDENCYPART_ARC
(2,10),-0.697052 # DEPENDENCYPART_ARC
(2,11),-1.72439 # DEPENDENCYPART_ARC
(2,12),-0.110785 # DEPENDENCYPART_ARC
(2,15),0.0742418 # DEPENDENCYPART_ARC
(2,17),-1.82735 # DEPENDENCYPART_ARC
(2,20),-4.44701 # DEPENDENCYPART_ARC
(2,21),-1.535 # DEPENDENCYPART_ARC
(3,1),-0.640804 # DEPENDENCYPART_ARC
(3,2),-0.512496 # DEPENDENCYPART_ARC
(3,5),-0.601642 # DEPENDENCYPART_ARC
(3,6),-1.24482 # DEPENDENCYPART_ARC
(3,7),-0.384845 # DEPENDENCYPART_ARC
(3,13),-4.20773 # DEPENDENCYPART_ARC
