# _root_ Obecně ve světě platí , že takovéto osoby požívají zvláštní důstojnosti a nedotknutelnosti , uvedl Dobal .
#goldHeads=4,4,2,15,6,4,8,9,6,12,12,9,12,4,0,15,0,
#predictedHeads=4,4,2,0,6,4,8,9,6,11,12,9,12,6,0,15,0,
(0,1),0.00984761 # DEPENDENCYPART_ARC
(0,2),-0.372846 # DEPENDENCYPART_ARC
(0,3),-1.62628 # DEPENDENCYPART_ARC
(0,4),0.119166 # DEPENDENCYPART_ARC
(0,5),-0.145446 # DEPENDENCYPART_ARC
(0,6),-1.4685 # DEPENDENCYPART_ARC
(0,9),-0.0219826 # DEPENDENCYPART_ARC
(0,12),-1.57349 # DEPENDENCYPART_ARC
(0,14),-0.753254 # DEPENDENCYPART_ARC
(0,15),1.98811 # DEPENDENCYPART_ARC
(0,17),4.14226 # DEPENDENCYPART_ARC
(1,2),0.129523 # DEPENDENCYPART_ARC
(1,3),-0.511897 # DEPENDENCYPART_ARC
(1,4),-1.04774 # DEPENDENCYPART_ARC
(1,5),-0.420778 # DEPENDENCYPART_ARC
(1,6),-1.40138 # DEPENDENCYPART_ARC
(2,1),-0.913082 # DEPENDENCYPART_ARC
(2,3),5.06601 # DEPENDENCYPART_ARC
(2,5),-0.458005 # DEPENDENCYPART_ARC
(3,1),-0.227467 # DEPENDENCYPART_ARC
(3,2),0.347527 # DEPENDENCYPART_ARC
(3,4),-1.43903 # DEPENDENCYPART_ARC
(3,6),-0.753567 # DEPENDENCYPART_ARC
(3,8),-2.3762 # DEPENDENCYPART_ARC
(4,1),1.80528 # DEPENDENCYPART_ARC
(4,2),2.06335 # DEPENDENCYPART_ARC
(4,3),0.740778 # DEPENDENCYPART_ARC
(4,5),0.847383 # DEPENDENCYPART_ARC
(4,6),1.41151 # DEPENDENCYPART_ARC
(4,7),-2.89367 # DEPENDENCYPART_ARC
(4,8),-2.02956 # DEPENDENCYPART_ARC
(4,9),-1.28904 # DEPENDENCYPART_ARC
(4,10),-5.96053 # DEPENDENCYPART_ARC
(4,11),-4.248 # DEPENDENCYPART_ARC
(4,12),-0.461117 # DEPENDENCYPART_ARC
(4,14),0.559468 # DEPENDENCYPART_ARC
(5,1),-0.621507 # DEPENDENCYPART_ARC
(5,2),-0.277511 # DEPENDENCYPART_ARC
(5,4),-0.638673 # DEPENDENCYPART_ARC
(5,7),-1.36851 # DEPENDENCYPART_ARC
(5,9),-0.443223 # DEPENDENCYPART_ARC
(6,2),-1.59477 # DEPENDENCYPART_ARC
(6,3),-0.545485 # DEPENDENCYPART_ARC
(6,4),-1.18367 # DEPENDENCYPART_ARC
(6,5),2.82014 # DEPENDENCYPART_ARC
(6,7),-0.138961 # DEPENDENCYPART_ARC
(6,8),-1.78789 # DEPENDENCYPART_ARC
(6,9),2.19279 # DEPENDENCYPART_ARC
(6,10),-1.33831 # DEPENDENCYPART_ARC
(6,11),-2.47394 # DEPENDENCYPART_ARC
(6,12),0.268377 # DEPENDENCYPART_ARC
(6,14),1.05386 # DEPENDENCYPART_ARC
(6,15),-0.127729 # DEPENDENCYPART_ARC
(7,1),-1.4833 # DEPENDENCYPART_ARC
(7,4),-3.62754 # DEPENDENCYPART_ARC
(7,6),-0.212079 # DEPENDENCYPART_ARC
(7,8),-0.146802 # DEPENDENCYPART_ARC
(7,9),-0.620833 # DEPENDENCYPART_ARC
(7,10),-0.758602 # DEPENDENCYPART_ARC
(7,11),-1.1815 # DEPENDENCYPART_ARC
(7,12),-0.381682 # DEPENDENCYPART_ARC
(7,14),-0.309493 # DEPENDENCYPART_ARC
(7,15),-2.98624 # DEPENDENCYPART_ARC
(8,1),-1.62964 # DEPENDENCYPART_ARC
(8,2),-2.21206 # DEPENDENCYPART_ARC
(8,5),-0.158597 # DEPENDENCYPART_ARC
(8,6),-0.407267 # DEPENDENCYPART_ARC
(8,7),4.69027 # DEPENDENCYPART_ARC
(8,9),-0.519456 # DEPENDENCYPART_ARC
(8,10),-2.56925 # DEPENDENCYPART_ARC
(8,11),0.0535312 # DEPENDENCYPART_ARC
(8,12),-0.797125 # DEPENDENCYPART_ARC
(8,13),-1.56809 # DEPENDENCYPART_ARC
(9,1),0.215355 # DEPENDENCYPART_ARC
(9,2),-0.551038 # DEPENDENCYPART_ARC
(9,3),-1.80283 # DEPENDENCYPART_ARC
(9,4),-2.2044 # DEPENDENCYPART_ARC
