# _root_ ( Herečky navíc údajně strávily tři týdny speciálním výcvikem na ranči , kde se učily jezdit na koních , zacházet se zbraněmi a dokonce i žvýkat tabák . )
#goldHeads=5,5,5,5,0,7,5,9,5,5,10,15,15,15,11,23,16,17,23,23,20,21,15,26,26,23,26,0,5,
#predictedHeads=5,5,5,5,0,7,5,9,5,9,10,15,15,15,11,15,16,17,15,23,20,21,15,26,26,23,26,0,23,
(0,1),0.903381 # DEPENDENCYPART_ARC
(0,2),-0.137306 # DEPENDENCYPART_ARC
(0,3),0.422916 # DEPENDENCYPART_ARC
(0,4),-0.249208 # DEPENDENCYPART_ARC
(0,5),0.0810431 # DEPENDENCYPART_ARC
(0,6),-2.13695 # DEPENDENCYPART_ARC
(0,12),-0.237183 # DEPENDENCYPART_ARC
(0,15),-0.996071 # DEPENDENCYPART_ARC
(0,16),-1.61535 # DEPENDENCYPART_ARC
(0,19),-0.565334 # DEPENDENCYPART_ARC
(0,20),-1.41575 # DEPENDENCYPART_ARC
(0,23),-0.805738 # DEPENDENCYPART_ARC
(0,26),-3.36549 # DEPENDENCYPART_ARC
(0,28),2.91998 # DEPENDENCYPART_ARC
(0,29),-3.18187 # DEPENDENCYPART_ARC
(1,2),-1.56962 # DEPENDENCYPART_ARC
(1,3),-1.58253 # DEPENDENCYPART_ARC
(1,5),-1.79063 # DEPENDENCYPART_ARC
(1,8),-2.54434 # DEPENDENCYPART_ARC
(2,1),-0.777813 # DEPENDENCYPART_ARC
(2,3),0.312584 # DEPENDENCYPART_ARC
(2,4),-0.479533 # DEPENDENCYPART_ARC
(2,5),-0.727 # DEPENDENCYPART_ARC
(2,6),-2.82892 # DEPENDENCYPART_ARC
(2,7),-4.19205 # DEPENDENCYPART_ARC
(2,8),-3.74733 # DEPENDENCYPART_ARC
(2,10),-0.17595 # DEPENDENCYPART_ARC
(3,1),-0.760008 # DEPENDENCYPART_ARC
(3,2),-0.882414 # DEPENDENCYPART_ARC
(3,4),0.402509 # DEPENDENCYPART_ARC
(3,6),-0.866371 # DEPENDENCYPART_ARC
(4,1),-1.00531 # DEPENDENCYPART_ARC
(4,2),-1.78132 # DEPENDENCYPART_ARC
(4,3),0.799341 # DEPENDENCYPART_ARC
(4,6),-1.46534 # DEPENDENCYPART_ARC
(5,1),1.76863 # DEPENDENCYPART_ARC
(5,2),2.96247 # DEPENDENCYPART_ARC
(5,3),2.41849 # DEPENDENCYPART_ARC
(5,4),2.97956 # DEPENDENCYPART_ARC
(5,6),0.133824 # DEPENDENCYPART_ARC
(5,7),3.11402 # DEPENDENCYPART_ARC
(5,8),-1.33256 # DEPENDENCYPART_ARC
(5,9),1.67414 # DEPENDENCYPART_ARC
(5,10),1.16879 # DEPENDENCYPART_ARC
(5,11),-0.832757 # DEPENDENCYPART_ARC
(5,12),0.434798 # DEPENDENCYPART_ARC
(5,13),-0.107282 # DEPENDENCYPART_ARC
(5,15),-1.83033 # DEPENDENCYPART_ARC
(5,17),-0.70017 # DEPENDENCYPART_ARC
(5,19),0.249297 # DEPENDENCYPART_ARC
(5,21),-0.917203 # DEPENDENCYPART_ARC
(5,23),-0.689253 # DEPENDENCYPART_ARC
(5,24),-2.71035 # DEPENDENCYPART_ARC
(5,29),-0.466761 # DEPENDENCYPART_ARC
(6,3),-0.828682 # DEPENDENCYPART_ARC
(6,4),-1.10388 # DEPENDENCYPART_ARC
(6,7),1.01361 # DEPENDENCYPART_ARC
(6,8),-1.24841 # DEPENDENCYPART_ARC
(6,9),-1.02837 # DEPENDENCYPART_ARC
(7,2),-2.90512 # DEPENDENCYPART_ARC
(7,3),0.273747 # DEPENDENCYPART_ARC
(7,4),0.144668 # DEPENDENCYPART_ARC
(7,5),-0.963117 # DEPENDENCYPART_ARC
(7,6),3.83633 # DEPENDENCYPART_ARC
(7,8),-0.0855018 # DEPENDENCYPART_ARC
(7,9),0.352687 # DEPENDENCYPART_ARC
(7,10),0.891286 # DEPENDENCYPART_ARC
(7,11),-0.171268 # DEPENDENCYPART_ARC
(7,13),-0.555246 # DEPENDENCYPART_ARC
(7,15),0.400568 # DEPENDENCYPART_ARC
(7,16),-0.514714 # DEPENDENCYPART_ARC
(8,3),-0.536771 # DEPENDENCYPART_ARC
(8,4),-0.0796468 # DEPENDENCYPART_ARC
(8,7),-1.16436 # DEPENDENCYPART_ARC
(8,9),1.638 # DEPENDENCYPART_ARC
(8,10),0.272676 # DEPENDENCYPART_ARC
(8,11),-2.71763 # DEPENDENCYPART_ARC
(9,6),-1.89468 # DEPENDENCYPART_ARC
(9,7),-2.11433 # DEPENDENCYPART_ARC
(9,8),5.02369 # DEPENDENCYPART_ARC
(9,10),1.95745 # DEPENDENCYPART_ARC
(9,11),-0.168538 # DEPENDENCYPART_ARC
(9,15),-0.563041 # DEPENDENCYPART_ARC
(9,16),0.253525 # DEPENDENCYPART_ARC
(10,11),3.86558 # DEPENDENCYPART_ARC
(10,12),-0.519084 # DEPENDENCYPART_ARC
(11,6),-4.01226 # DEPENDENCYPART_ARC
(11,8),0.166052 # DEPENDENCYPART_ARC
(11,10),0.441674 # DEPENDENCYPART_ARC
(11,12),-0.44762 # DEPENDENCYPART_ARC
(11,13),-0.206123 # DEPENDENCYPART_ARC
(11,15),0.707226 # DEPENDENCYPART_ARC
(11,16),0.925662 # DEPENDENCYPART_ARC
(11,20),-1.63338 # DEPENDENCYPART_ARC
(11,23),-0.391393 # DEPENDENCYPART_ARC
(12,1),0.0986452 # DEPENDENCYPART_ARC
(12,5),-0.397582 # DEPENDENCYPART_ARC
(12,6),-0.836257 # DEPENDENCYPART_ARC
(12,7),-0.837043 # DEPENDENCYPART_ARC
(12,8),-0.790084 # DEPENDENCYPART_ARC
(12,9),-0.447654 # DEPENDENCYPART_ARC
(12,10),-0.931734 # DEPENDENCYPART_ARC
(12,11),0.283477 # DEPENDENCYPART_ARC
(12,13),-0.801212 # DEPENDENCYPART_ARC
(12,15),-0.190514 # DEPENDENCYPART_ARC
(12,16),-0.567044 # DEPENDENCYPART_ARC
(12,19),-0.512216 # DEPENDENCYPART_ARC
(12,20),-1.9202 # DEPENDENCYPART_ARC
(12,23),-0.558097 # DEPENDENCYPART_ARC
(13,8),-0.916933 # DEPENDENCYPART_ARC
(13,9),-0.950711 # DEPENDENCYPART_ARC
(13,10),-0.670276 # DEPENDENCYPART_ARC
(13,11),0.0577381 # DEPENDENCYPART_ARC
(13,12),-0.487893 # DEPENDENCYPART_ARC
(13,18),-1.57963 # DEPENDENCYPART_ARC
(15,1),0.528892 # DEPENDENCYPART_ARC
(15,2),0.838583 # DEPENDENCYPART_ARC
(15,3),0.616592 # DEPENDENCYPART_ARC
(15,4),0.697649 # DEPENDENCYPART_ARC
(15,5),-2.02341 # DEPENDENCYPART_ARC
(15,6),-0.0675251 # DEPENDENCYPART_ARC
(15,7),0.715515 # DEPENDENCYPART_ARC
