# _root_ Jedná se o projekty snižující zamoření ovzduší , zlepšující kvalitu vod , hospodaření s odpady .
#goldHeads=0,1,1,3,8,5,6,4,8,12,10,9,12,13,14,0,
#predictedHeads=0,1,1,3,4,5,6,9,4,9,10,9,12,13,14,0,
(0,1),0.178638 # DEPENDENCYPART_ARC
(0,3),-1.89767 # DEPENDENCYPART_ARC
(0,4),-2.35552 # DEPENDENCYPART_ARC
(0,8),-0.906615 # DEPENDENCYPART_ARC
(0,12),-1.46662 # DEPENDENCYPART_ARC
(0,16),3.11878 # DEPENDENCYPART_ARC
(1,2),3.77438 # DEPENDENCYPART_ARC
(1,3),2.11297 # DEPENDENCYPART_ARC
(1,4),0.410435 # DEPENDENCYPART_ARC
(1,5),-2.54417 # DEPENDENCYPART_ARC
(1,6),1.08476 # DEPENDENCYPART_ARC
(1,7),-1.0716 # DEPENDENCYPART_ARC
(1,8),0.138943 # DEPENDENCYPART_ARC
(1,10),-0.171373 # DEPENDENCYPART_ARC
(1,11),-2.43991 # DEPENDENCYPART_ARC
(1,12),-0.0808965 # DEPENDENCYPART_ARC
(1,13),-1.08927 # DEPENDENCYPART_ARC
(1,14),0.0708607 # DEPENDENCYPART_ARC
(1,15),-2.11664 # DEPENDENCYPART_ARC
(1,16),-0.980918 # DEPENDENCYPART_ARC
(3,4),3.14556 # DEPENDENCYPART_ARC
(3,5),-1.04219 # DEPENDENCYPART_ARC
(3,6),0.56551 # DEPENDENCYPART_ARC
(3,8),0.137385 # DEPENDENCYPART_ARC
(3,12),0.233158 # DEPENDENCYPART_ARC
(4,1),-2.61471 # DEPENDENCYPART_ARC
(4,2),-3.0841 # DEPENDENCYPART_ARC
(4,3),0.609313 # DEPENDENCYPART_ARC
(4,5),2.71189 # DEPENDENCYPART_ARC
(4,6),1.25264 # DEPENDENCYPART_ARC
(4,7),1.53031 # DEPENDENCYPART_ARC
(4,8),0.19295 # DEPENDENCYPART_ARC
(4,9),1.23296 # DEPENDENCYPART_ARC
(4,10),-0.672235 # DEPENDENCYPART_ARC
(4,11),0.238613 # DEPENDENCYPART_ARC
(4,12),0.210491 # DEPENDENCYPART_ARC
(4,13),-1.85941 # DEPENDENCYPART_ARC
(4,14),0.541211 # DEPENDENCYPART_ARC
(4,15),-3.30075 # DEPENDENCYPART_ARC
(5,3),1.30279 # DEPENDENCYPART_ARC
(5,4),1.57045 # DEPENDENCYPART_ARC
(5,6),4.32213 # DEPENDENCYPART_ARC
(5,7),0.889675 # DEPENDENCYPART_ARC
(5,8),-0.128067 # DEPENDENCYPART_ARC
(5,10),1.11087 # DEPENDENCYPART_ARC
(5,16),-2.4247 # DEPENDENCYPART_ARC
(6,1),-1.89425 # DEPENDENCYPART_ARC
(6,2),-2.73829 # DEPENDENCYPART_ARC
(6,3),-0.0365092 # DEPENDENCYPART_ARC
(6,4),-0.624857 # DEPENDENCYPART_ARC
(6,5),0.355993 # DEPENDENCYPART_ARC
(6,7),3.57472 # DEPENDENCYPART_ARC
(6,8),0.2137 # DEPENDENCYPART_ARC
(6,9),-0.184155 # DEPENDENCYPART_ARC
(6,10),-0.545776 # DEPENDENCYPART_ARC
(6,11),1.11275 # DEPENDENCYPART_ARC
(6,13),-1.50294 # DEPENDENCYPART_ARC
(6,14),1.01832 # DEPENDENCYPART_ARC
(7,1),-2.17004 # DEPENDENCYPART_ARC
(7,2),-3.1875 # DEPENDENCYPART_ARC
(7,3),-1.05542 # DEPENDENCYPART_ARC
(7,4),-2.85888 # DEPENDENCYPART_ARC
(7,5),-3.3665 # DEPENDENCYPART_ARC
(7,6),-0.555366 # DEPENDENCYPART_ARC
(7,8),-0.669114 # DEPENDENCYPART_ARC
(7,9),-2.72568 # DEPENDENCYPART_ARC
(7,10),-2.9262 # DEPENDENCYPART_ARC
(7,11),0.754254 # DEPENDENCYPART_ARC
(7,14),-0.221702 # DEPENDENCYPART_ARC
(8,1),-0.384178 # DEPENDENCYPART_ARC
(8,3),-0.164697 # DEPENDENCYPART_ARC
(8,4),1.1798 # DEPENDENCYPART_ARC
(8,5),0.488633 # DEPENDENCYPART_ARC
(8,6),0.597706 # DEPENDENCYPART_ARC
(8,7),1.25209 # DEPENDENCYPART_ARC
(8,9),-0.155633 # DEPENDENCYPART_ARC
(8,10),0.737628 # DEPENDENCYPART_ARC
(8,11),0.614306 # DEPENDENCYPART_ARC
(8,12),-0.141086 # DEPENDENCYPART_ARC
(8,13),-0.549698 # DEPENDENCYPART_ARC
(8,14),-0.716352 # DEPENDENCYPART_ARC
(8,15),-0.999876 # DEPENDENCYPART_ARC
(8,16),-0.82636 # DEPENDENCYPART_ARC
(9,3),-0.676263 # DEPENDENCYPART_ARC
(9,6),-0.842378 # DEPENDENCYPART_ARC
(9,7),-2.28776 # DEPENDENCYPART_ARC
(9,8),1.09828 # DEPENDENCYPART_ARC
(9,10),3.70708 # DEPENDENCYPART_ARC
(9,11),0.522675 # DEPENDENCYPART_ARC
(9,12),0.622016 # DEPENDENCYPART_ARC
(9,13),0.908494 # DEPENDENCYPART_ARC
(9,14),0.540544 # DEPENDENCYPART_ARC
(9,15),-1.61631 # DEPENDENCYPART_ARC
(9,16),-0.718328 # DEPENDENCYPART_ARC
(10,1),-1.57077 # DEPENDENCYPART_ARC
(10,3),-0.319944 # DEPENDENCYPART_ARC
(10,5),-2.39325 # DEPENDENCYPART_ARC
(10,7),-3.286 # DEPENDENCYPART_ARC
(10,8),0.327702 # DEPENDENCYPART_ARC
(10,9),-0.418716 # DEPENDENCYPART_ARC
(10,11),3.35512 # DEPENDENCYPART_ARC
(10,12),0.383917 # DEPENDENCYPART_ARC
(10,13),-0.635975 # DEPENDENCYPART_ARC
(10,14),1.40737 # DEPENDENCYPART_ARC
(10,15),-2.17499 # DEPENDENCYPART_ARC
(10,16),-1.95893 # DEPENDENCYPART_ARC
(11,4),-3.30154 # DEPENDENCYPART_ARC
(11,5),-4.0937 # DEPENDENCYPART_ARC
(11,6),-3.83914 # DEPENDENCYPART_ARC
(11,7),-3.7034 # DEPENDENCYPART_ARC
(11,9),-2.00048 # DEPENDENCYPART_ARC
(11,10),-0.971438 # DEPENDENCYPART_ARC
(11,12),0.0325446 # DEPENDENCYPART_ARC
(11,13),-3.19134 # DEPENDENCYPART_ARC
(11,14),0.187601 # DEPENDENCYPART_ARC
(11,15),-4.32511 # DEPENDENCYPART_ARC
(12,1),-0.698336 # DEPENDENCYPART_ARC
