# _root_ Mezi pašeráky byli v Průhonicích u Prahy zadrženi i dva policisté z Bratislavy , kteří - jak se po prvním výslechu ukázalo - nepřísluší ke kriminální , ale k dopravní policii .
#goldHeads=8,1,8,8,4,5,6,0,11,11,8,11,12,24,24,22,22,22,22,21,19,24,22,11,28,25,28,24,28,31,29,0,
#predictedHeads=3,1,8,3,4,8,6,0,11,11,8,11,12,22,24,22,22,22,22,21,19,13,22,28,28,25,28,22,28,31,29,0,
(0,1),-0.34975 # DEPENDENCYPART_ARC
(0,2),-1.66355 # DEPENDENCYPART_ARC
(0,3),0.348023 # DEPENDENCYPART_ARC
(0,8),0.223531 # DEPENDENCYPART_ARC
(0,10),-2.6339 # DEPENDENCYPART_ARC
(0,14),-0.288357 # DEPENDENCYPART_ARC
(0,15),-2.92829 # DEPENDENCYPART_ARC
(0,16),-0.983186 # DEPENDENCYPART_ARC
(0,22),-0.981225 # DEPENDENCYPART_ARC
(0,23),-1.24278 # DEPENDENCYPART_ARC
(0,24),-0.655083 # DEPENDENCYPART_ARC
(0,27),-1.05521 # DEPENDENCYPART_ARC
(0,28),-0.735317 # DEPENDENCYPART_ARC
(0,32),4.84331 # DEPENDENCYPART_ARC
(1,2),3.67708 # DEPENDENCYPART_ARC
(1,5),-1.90527 # DEPENDENCYPART_ARC
(2,1),-0.544939 # DEPENDENCYPART_ARC
(2,3),-0.26131 # DEPENDENCYPART_ARC
(2,4),-1.26027 # DEPENDENCYPART_ARC
(2,6),-0.406158 # DEPENDENCYPART_ARC
(3,1),2.29235 # DEPENDENCYPART_ARC
(3,2),1.39125 # DEPENDENCYPART_ARC
(3,4),2.57048 # DEPENDENCYPART_ARC
(3,5),-1.34105 # DEPENDENCYPART_ARC
(3,6),1.46388 # DEPENDENCYPART_ARC
(3,7),-3.60598 # DEPENDENCYPART_ARC
(3,8),0.592228 # DEPENDENCYPART_ARC
(3,9),-0.531221 # DEPENDENCYPART_ARC
(3,10),-0.923826 # DEPENDENCYPART_ARC
(3,11),-0.622993 # DEPENDENCYPART_ARC
(3,12),-0.543058 # DEPENDENCYPART_ARC
(3,14),0.0602653 # DEPENDENCYPART_ARC
(3,17),-1.51958 # DEPENDENCYPART_ARC
(3,19),-0.8817 # DEPENDENCYPART_ARC
(3,22),-3.99637 # DEPENDENCYPART_ARC
(3,23),-0.109916 # DEPENDENCYPART_ARC
(3,27),-1.50278 # DEPENDENCYPART_ARC
(3,28),-0.684715 # DEPENDENCYPART_ARC
(3,29),-2.87946 # DEPENDENCYPART_ARC
(4,5),4.20069 # DEPENDENCYPART_ARC
(4,7),-1.27809 # DEPENDENCYPART_ARC
(5,1),-1.25328 # DEPENDENCYPART_ARC
(5,2),-2.29693 # DEPENDENCYPART_ARC
(5,4),-0.570217 # DEPENDENCYPART_ARC
(5,6),0.671088 # DEPENDENCYPART_ARC
(5,7),0.00438579 # DEPENDENCYPART_ARC
(5,8),-0.282798 # DEPENDENCYPART_ARC
(5,9),-1.00665 # DEPENDENCYPART_ARC
(5,12),-1.30256 # DEPENDENCYPART_ARC
(6,2),-1.17319 # DEPENDENCYPART_ARC
(6,4),0.15347 # DEPENDENCYPART_ARC
(6,5),0.823914 # DEPENDENCYPART_ARC
(6,7),5.66067 # DEPENDENCYPART_ARC
(6,9),-1.17164 # DEPENDENCYPART_ARC
(6,10),-2.49616 # DEPENDENCYPART_ARC
(6,11),-3.83012 # DEPENDENCYPART_ARC
(7,4),-1.42081 # DEPENDENCYPART_ARC
(7,5),-4.58618 # DEPENDENCYPART_ARC
(8,1),1.98009 # DEPENDENCYPART_ARC
(8,2),1.74544 # DEPENDENCYPART_ARC
(8,3),2.41749 # DEPENDENCYPART_ARC
(8,4),2.38243 # DEPENDENCYPART_ARC
(8,5),-1.34485 # DEPENDENCYPART_ARC
(8,6),2.01007 # DEPENDENCYPART_ARC
(8,7),-2.25386 # DEPENDENCYPART_ARC
(8,9),-0.0804281 # DEPENDENCYPART_ARC
(8,11),0.759271 # DEPENDENCYPART_ARC
(8,12),0.387395 # DEPENDENCYPART_ARC
(8,13),-2.6005 # DEPENDENCYPART_ARC
(8,14),-0.0885257 # DEPENDENCYPART_ARC
(8,17),-0.743151 # DEPENDENCYPART_ARC
(8,19),-0.208777 # DEPENDENCYPART_ARC
(8,22),-1.83501 # DEPENDENCYPART_ARC
(8,23),-0.419144 # DEPENDENCYPART_ARC
(8,25),-1.49548 # DEPENDENCYPART_ARC
(8,28),-0.515817 # DEPENDENCYPART_ARC
(9,1),-0.605093 # DEPENDENCYPART_ARC
(9,2),-0.682412 # DEPENDENCYPART_ARC
(9,3),-1.81009 # DEPENDENCYPART_ARC
(9,4),0.147422 # DEPENDENCYPART_ARC
(9,5),0.812312 # DEPENDENCYPART_ARC
(9,6),0.560623 # DEPENDENCYPART_ARC
(9,7),0.912246 # DEPENDENCYPART_ARC
(9,8),0.148476 # DEPENDENCYPART_ARC
(9,10),0.0905426 # DEPENDENCYPART_ARC
(9,11),1.07323 # DEPENDENCYPART_ARC
(9,12),-0.310947 # DEPENDENCYPART_ARC
(9,13),-0.146415 # DEPENDENCYPART_ARC
(10,6),-0.0367019 # DEPENDENCYPART_ARC
(10,7),-3.28638 # DEPENDENCYPART_ARC
(10,9),1.15783 # DEPENDENCYPART_ARC
(10,11),0.0855765 # DEPENDENCYPART_ARC
(10,12),0.866965 # DEPENDENCYPART_ARC
(10,13),-2.49314 # DEPENDENCYPART_ARC
(11,1),-1.3139 # DEPENDENCYPART_ARC
(11,6),-1.21401 # DEPENDENCYPART_ARC
(11,7),-4.64558 # DEPENDENCYPART_ARC
(11,9),1.84471 # DEPENDENCYPART_ARC
(11,10),4.30933 # DEPENDENCYPART_ARC
(11,12),2.09481 # DEPENDENCYPART_ARC
(11,13),0.910166 # DEPENDENCYPART_ARC
(11,17),-0.491613 # DEPENDENCYPART_ARC
(11,22),-1.58451 # DEPENDENCYPART_ARC
(11,24),-2.22425 # DEPENDENCYPART_ARC
(11,28),-0.156409 # DEPENDENCYPART_ARC
(12,13),4.16389 # DEPENDENCYPART_ARC
(12,14),-0.0367609 # DEPENDENCYPART_ARC
(13,9),0.233881 # DEPENDENCYPART_ARC
(13,10),-4.60424 # DEPENDENCYPART_ARC
(13,12),-0.196766 # DEPENDENCYPART_ARC
(13,14),-0.806113 # DEPENDENCYPART_ARC
(13,15),-2.94608 # DEPENDENCYPART_ARC
(13,16),-0.529666 # DEPENDENCYPART_ARC
(13,17),-0.617964 # DEPENDENCYPART_ARC
(13,21),-2.88872 # DEPENDENCYPART_ARC
(13,22),1.13606 # DEPENDENCYPART_ARC
(13,24),-2.97739 # DEPENDENCYPART_ARC
(13,26),-3.96135 # DEPENDENCYPART_ARC
(13,28),-0.12467 # DEPENDENCYPART_ARC
(14,3),-0.323267 # DEPENDENCYPART_ARC
(14,8),-0.17973 # DEPENDENCYPART_ARC
(14,10),-1.72892 # DEPENDENCYPART_ARC
(14,11),-0.856929 # DEPENDENCYPART_ARC
(14,13),-0.528686 # DEPENDENCYPART_ARC
(14,16),-0.863561 # DEPENDENCYPART_ARC
(14,20),-1.5627 # DEPENDENCYPART_ARC
(14,22),-0.941622 # DEPENDENCYPART_ARC
(15,14),0.212338 # DEPENDENCYPART_ARC
(15,16),0.189343 # DEPENDENCYPART_ARC
(15,17),0.505508 # DEPENDENCYPART_ARC
(15,20),1.15812 # DEPENDENCYPART_ARC
(15,21),-1.16993 # DEPENDENCYPART_ARC
(15,23),-0.292798 # DEPENDENCYPART_ARC
(16,3),-0.77151 # DEPENDENCYPART_ARC
(16,8),-0.797769 # DEPENDENCYPART_ARC
(16,10),-0.835127 # DEPENDENCYPART_ARC
(16,11),-0.633916 # DEPENDENCYPART_ARC
(16,13),0.431396 # DEPENDENCYPART_ARC
(16,14),-0.586086 # DEPENDENCYPART_ARC
(16,15),-0.0465686 # DEPENDENCYPART_ARC
(16,17),-0.181569 # DEPENDENCYPART_ARC
(16,19),-0.301876 # DEPENDENCYPART_ARC
(16,20),0.0249688 # DEPENDENCYPART_ARC
(16,21),-0.0747791 # DEPENDENCYPART_ARC
(16,22),0.222325 # DEPENDENCYPART_ARC
(16,23),-0.0249071 # DEPENDENCYPART_ARC
(16,24),-0.429431 # DEPENDENCYPART_ARC
(16,26),-1.03291 # DEPENDENCYPART_ARC
(16,27),-0.892517 # DEPENDENCYPART_ARC
(16,28),-0.228511 # DEPENDENCYPART_ARC
(16,29),-1.64303 # DEPENDENCYPART_ARC
(16,31),-2.02768 # DEPENDENCYPART_ARC
(17,12),-1.07825 # DEPENDENCYPART_ARC
(17,13),-0.683859 # DEPENDENCYPART_ARC
(17,15),-0.66075 # DEPENDENCYPART_ARC
(17,16),-0.210364 # DEPENDENCYPART_ARC
(17,19),-0.316973 # DEPENDENCYPART_ARC
(17,21),-0.911894 # DEPENDENCYPART_ARC
(19,16),-0.11035 # DEPENDENCYPART_ARC
(19,20),1.13204 # DEPENDENCYPART_ARC
(19,21),5.01903 # DEPENDENCYPART_ARC
(19,23),-0.208385 # DEPENDENCYPART_ARC
(19,24),-1.10376 # DEPENDENCYPART_ARC
(19,31),-2.28745 # DEPENDENCYPART_ARC
(20,21),1.93074 # DEPENDENCYPART_ARC
(21,9),-0.975287 # DEPENDENCYPART_ARC
(21,15),-3.65161 # DEPENDENCYPART_ARC
(21,16),0.263617 # DEPENDENCYPART_ARC
(21,17),-0.141066 # DEPENDENCYPART_ARC
(21,18),-1.96607 # DEPENDENCYPART_ARC
(21,19),0.33478 # DEPENDENCYPART_ARC
(21,20),4.51685 # DEPENDENCYPART_ARC
(21,25),-2.10048 # DEPENDENCYPART_ARC
(21,26),-4.41431 # DEPENDENCYPART_ARC
(22,1),0.670961 # DEPENDENCYPART_ARC
(22,2),-1.62034 # DEPENDENCYPART_ARC
(22,3),-3.11698 # DEPENDENCYPART_ARC
(22,4),0.738244 # DEPENDENCYPART_ARC
(22,5),-2.75889 # DEPENDENCYPART_ARC
(22,6),-0.198497 # DEPENDENCYPART_ARC
(22,7),-3.66507 # DEPENDENCYPART_ARC
(22,8),-2.80923 # DEPENDENCYPART_ARC
(22,10),-0.41188 # DEPENDENCYPART_ARC
(22,11),-0.0711535 # DEPENDENCYPART_ARC
(22,12),-0.626255 # DEPENDENCYPART_ARC
(22,14),1.98921 # DEPENDENCYPART_ARC
(22,15),-0.130912 # DEPENDENCYPART_ARC
(22,16),1.04591 # DEPENDENCYPART_ARC
(22,17),2.31697 # DEPENDENCYPART_ARC
(22,18),4.36293 # DEPENDENCYPART_ARC
(22,19),3.31204 # DEPENDENCYPART_ARC
(22,20),-1.04129 # DEPENDENCYPART_ARC
(22,21),1.29438 # DEPENDENCYPART_ARC
(22,23),1.34265 # DEPENDENCYPART_ARC
(22,24),-2.84836 # DEPENDENCYPART_ARC
(22,25),0.385772 # DEPENDENCYPART_ARC
(22,26),-1.69569 # DEPENDENCYPART_ARC
(22,27),0.0576272 # DEPENDENCYPART_ARC
(22,28),0.529293 # DEPENDENCYPART_ARC
(22,29),-0.817868 # DEPENDENCYPART_ARC
(22,31),-1.54316 # DEPENDENCYPART_ARC
(23,3),-0.446196 # DEPENDENCYPART_ARC
(23,8),-0.803813 # DEPENDENCYPART_ARC
(23,15),-0.405246 # DEPENDENCYPART_ARC
(23,19),-0.27459 # DEPENDENCYPART_ARC
(23,20),0.591274 # DEPENDENCYPART_ARC
(23,21),0.952576 # DEPENDENCYPART_ARC
(23,22),0.011852 # DEPENDENCYPART_ARC
(23,24),-0.28817 # DEPENDENCYPART_ARC
(23,25),-1.23536 # DEPENDENCYPART_ARC
(23,26),-0.706021 # DEPENDENCYPART_ARC
(23,29),-1.86236 # DEPENDENCYPART_ARC
(23,31),-1.80267 # DEPENDENCYPART_ARC
(24,1),0.593781 # DEPENDENCYPART_ARC
(24,2),-1.21285 # DEPENDENCYPART_ARC
(24,3),-1.10172 # DEPENDENCYPART_ARC
(24,4),-1.02051 # DEPENDENCYPART_ARC
(24,5),-2.10312 # DEPENDENCYPART_ARC
(24,6),-1.25351 # DEPENDENCYPART_ARC
(24,7),-4.25659 # DEPENDENCYPART_ARC
(24,8),-1.14852 # DEPENDENCYPART_ARC
(24,9),-0.861022 # DEPENDENCYPART_ARC
(24,10),-0.165037 # DEPENDENCYPART_ARC
(24,11),0.6074 # DEPENDENCYPART_ARC
(24,13),-3.97611 # DEPENDENCYPART_ARC
(24,14),0.894387 # DEPENDENCYPART_ARC
(24,15),0.598588 # DEPENDENCYPART_ARC
(24,16),0.367595 # DEPENDENCYPART_ARC
(24,17),1.33498 # DEPENDENCYPART_ARC
(24,18),1.76691 # DEPENDENCYPART_ARC
(24,19),1.29212 # DEPENDENCYPART_ARC
(24,21),-0.191511 # DEPENDENCYPART_ARC
(24,22),0.708971 # DEPENDENCYPART_ARC
(24,23),0.305594 # DEPENDENCYPART_ARC
(24,25),2.03361 # DEPENDENCYPART_ARC
(24,26),-0.296487 # DEPENDENCYPART_ARC
(24,27),0.185294 # DEPENDENCYPART_ARC
(24,28),0.966875 # DEPENDENCYPART_ARC
(24,29),0.197646 # DEPENDENCYPART_ARC
(24,31),-0.167014 # DEPENDENCYPART_ARC
(24,32),-0.593783 # DEPENDENCYPART_ARC
(25,23),-0.263214 # DEPENDENCYPART_ARC
(25,26),2.37559 # DEPENDENCYPART_ARC
(25,27),-0.0807517 # DEPENDENCYPART_ARC
(25,28),0.212517 # DEPENDENCYPART_ARC
(25,31),2.3528 # DEPENDENCYPART_ARC
(26,19),-1.71874 # DEPENDENCYPART_ARC
(26,24),-3.86255 # DEPENDENCYPART_ARC
(26,25),-0.0817542 # DEPENDENCYPART_ARC
(26,27),-0.165263 # DEPENDENCYPART_ARC
(26,29),-1.13058 # DEPENDENCYPART_ARC
(26,31),-1.87795 # DEPENDENCYPART_ARC
(27,24),-0.419432 # DEPENDENCYPART_ARC
(27,25),-1.11594 # DEPENDENCYPART_ARC
(27,26),-0.437281 # DEPENDENCYPART_ARC
(27,29),-0.284514 # DEPENDENCYPART_ARC
(27,30),0.906353 # DEPENDENCYPART_ARC
(27,31),-0.877287 # DEPENDENCYPART_ARC
(28,1),-1.92384 # DEPENDENCYPART_ARC
(28,2),-0.153596 # DEPENDENCYPART_ARC
(28,3),0.112872 # DEPENDENCYPART_ARC
(28,4),-1.39446 # DEPENDENCYPART_ARC
(28,5),-0.363582 # DEPENDENCYPART_ARC
(28,6),-0.282886 # DEPENDENCYPART_ARC
(28,8),0.365547 # DEPENDENCYPART_ARC
(28,9),-2.37731 # DEPENDENCYPART_ARC
(28,11),-0.98116 # DEPENDENCYPART_ARC
(28,12),-1.03087 # DEPENDENCYPART_ARC
(28,13),-0.217035 # DEPENDENCYPART_ARC
(28,14),0.0211795 # DEPENDENCYPART_ARC
(28,15),0.487605 # DEPENDENCYPART_ARC
(28,16),-0.0644011 # DEPENDENCYPART_ARC
(28,17),-0.177836 # DEPENDENCYPART_ARC
(28,18),-0.0346841 # DEPENDENCYPART_ARC
(28,19),0.410037 # DEPENDENCYPART_ARC
(28,20),-1.29643 # DEPENDENCYPART_ARC
(28,21),-0.409215 # DEPENDENCYPART_ARC
(28,22),0.7053 # DEPENDENCYPART_ARC
(28,23),0.124463 # DEPENDENCYPART_ARC
(28,24),1.45858 # DEPENDENCYPART_ARC
(28,25),2.14983 # DEPENDENCYPART_ARC
(28,26),1.16157 # DEPENDENCYPART_ARC
(28,27),2.72636 # DEPENDENCYPART_ARC
(28,29),1.19573 # DEPENDENCYPART_ARC
(28,30),0.920676 # DEPENDENCYPART_ARC
(28,31),0.862592 # DEPENDENCYPART_ARC
(28,32),0.0684243 # DEPENDENCYPART_ARC
(29,27),0.0515808 # DEPENDENCYPART_ARC
(29,30),1.26244 # DEPENDENCYPART_ARC
(29,31),3.71915 # DEPENDENCYPART_ARC
(29,32),-0.379579 # DEPENDENCYPART_ARC
(30,25),-1.79691 # DEPENDENCYPART_ARC
(30,29),-0.267871 # DEPENDENCYPART_ARC
(31,20),-2.5543 # DEPENDENCYPART_ARC
(31,25),-1.6091 # DEPENDENCYPART_ARC
(31,26),0.881761 # DEPENDENCYPART_ARC
(31,27),0.359168 # DEPENDENCYPART_ARC
(31,28),0.444388 # DEPENDENCYPART_ARC
(31,29),-0.85786 # DEPENDENCYPART_ARC
(31,30),5.22181 # DEPENDENCYPART_ARC
(31,32),-0.521465 # DEPENDENCYPART_ARC
