# _root_ Jasně , přeháněli , ale vás to potěší a motivuje pokračovat . "
#goldHeads=3,3,5,5,0,9,9,9,5,9,10,0,5,
#predictedHeads=3,5,5,5,0,8,8,9,5,9,10,0,5,
(0,1),0.181582 # DEPENDENCYPART_ARC
(0,2),0.225962 # DEPENDENCYPART_ARC
(0,3),1.17629 # DEPENDENCYPART_ARC
(0,4),0.0653099 # DEPENDENCYPART_ARC
(0,5),1.08347 # DEPENDENCYPART_ARC
(0,6),-1.23875 # DEPENDENCYPART_ARC
(0,7),-0.807318 # DEPENDENCYPART_ARC
(0,8),-0.0608858 # DEPENDENCYPART_ARC
(0,9),-0.163492 # DEPENDENCYPART_ARC
(0,10),-1.24608 # DEPENDENCYPART_ARC
(0,11),-1.27466 # DEPENDENCYPART_ARC
(0,12),2.442 # DEPENDENCYPART_ARC
(0,13),-2.27956 # DEPENDENCYPART_ARC
(1,2),0.810961 # DEPENDENCYPART_ARC
(1,3),-1.39966 # DEPENDENCYPART_ARC
(1,4),-0.756401 # DEPENDENCYPART_ARC
(1,5),-1.04574 # DEPENDENCYPART_ARC
(1,10),-1.98629 # DEPENDENCYPART_ARC
(1,12),-1.42833 # DEPENDENCYPART_ARC
(2,1),0.513614 # DEPENDENCYPART_ARC
(2,3),0.692373 # DEPENDENCYPART_ARC
(2,4),0.0714515 # DEPENDENCYPART_ARC
(2,5),-0.0968199 # DEPENDENCYPART_ARC
(2,6),-1.13999 # DEPENDENCYPART_ARC
(2,8),-1.23414 # DEPENDENCYPART_ARC
(2,9),-0.682714 # DEPENDENCYPART_ARC
(2,12),0.66323 # DEPENDENCYPART_ARC
(2,13),0.66861 # DEPENDENCYPART_ARC
(3,1),1.56659 # DEPENDENCYPART_ARC
(3,2),1.02306 # DEPENDENCYPART_ARC
(3,4),0.88313 # DEPENDENCYPART_ARC
(3,5),0.965973 # DEPENDENCYPART_ARC
(3,6),-0.544405 # DEPENDENCYPART_ARC
(3,7),-0.932717 # DEPENDENCYPART_ARC
(3,8),-0.322692 # DEPENDENCYPART_ARC
(3,9),-0.131245 # DEPENDENCYPART_ARC
(3,10),-2.38293 # DEPENDENCYPART_ARC
(3,11),-0.742062 # DEPENDENCYPART_ARC
(3,12),-0.730255 # DEPENDENCYPART_ARC
(3,13),0.0510106 # DEPENDENCYPART_ARC
(4,1),-1.20336 # DEPENDENCYPART_ARC
(4,2),-0.728664 # DEPENDENCYPART_ARC
(4,3),-0.716085 # DEPENDENCYPART_ARC
(4,6),-1.19598 # DEPENDENCYPART_ARC
(4,8),-0.54446 # DEPENDENCYPART_ARC
(4,10),-1.70066 # DEPENDENCYPART_ARC
(4,11),-2.10348 # DEPENDENCYPART_ARC
(4,13),-0.155374 # DEPENDENCYPART_ARC
(5,1),0.737712 # DEPENDENCYPART_ARC
(5,2),1.85956 # DEPENDENCYPART_ARC
(5,3),2.02627 # DEPENDENCYPART_ARC
(5,4),2.89344 # DEPENDENCYPART_ARC
