# _root_ srovnání s citovaností našeho dobrého pracoviště , jako je Ústav Heyrovského , by nedopadlo nijak špatně ) .
#goldHeads=14,1,2,6,6,9,9,9,3,9,10,9,14,0,16,14,14,0,
#predictedHeads=9,1,2,6,6,3,8,0,8,9,10,8,14,12,16,14,14,0,
(0,1),-0.500348 # DEPENDENCYPART_ARC
(0,2),-0.0677514 # DEPENDENCYPART_ARC
(0,3),-1.63422 # DEPENDENCYPART_ARC
(0,6),-1.72477 # DEPENDENCYPART_ARC
(0,7),-0.662451 # DEPENDENCYPART_ARC
(0,8),-0.273532 # DEPENDENCYPART_ARC
(0,9),-0.682843 # DEPENDENCYPART_ARC
(0,11),-2.44304 # DEPENDENCYPART_ARC
(0,12),-0.927483 # DEPENDENCYPART_ARC
(0,14),-0.536736 # DEPENDENCYPART_ARC
(0,15),-2.05543 # DEPENDENCYPART_ARC
(0,16),-2.20765 # DEPENDENCYPART_ARC
(0,17),-2.11575 # DEPENDENCYPART_ARC
(0,18),3.6844 # DEPENDENCYPART_ARC
(1,2),2.09633 # DEPENDENCYPART_ARC
(1,3),-0.203195 # DEPENDENCYPART_ARC
(1,5),-0.475618 # DEPENDENCYPART_ARC
(1,6),-0.384311 # DEPENDENCYPART_ARC
(1,7),-0.206874 # DEPENDENCYPART_ARC
(1,9),-1.36442 # DEPENDENCYPART_ARC
(2,1),-0.66637 # DEPENDENCYPART_ARC
(2,3),3.74692 # DEPENDENCYPART_ARC
(2,5),-2.37247 # DEPENDENCYPART_ARC
(2,6),-2.66143 # DEPENDENCYPART_ARC
(2,7),-0.612831 # DEPENDENCYPART_ARC
(3,1),-3.39686 # DEPENDENCYPART_ARC
(3,2),0.768316 # DEPENDENCYPART_ARC
(3,4),-0.870327 # DEPENDENCYPART_ARC
(3,5),-0.583492 # DEPENDENCYPART_ARC
(3,6),2.35673 # DEPENDENCYPART_ARC
(3,7),0.116859 # DEPENDENCYPART_ARC
(3,8),-0.270485 # DEPENDENCYPART_ARC
(3,9),-1.69891 # DEPENDENCYPART_ARC
(3,10),-1.70611 # DEPENDENCYPART_ARC
(3,11),0.624053 # DEPENDENCYPART_ARC
(3,12),-0.0316691 # DEPENDENCYPART_ARC
(5,1),-4.20876 # DEPENDENCYPART_ARC
(5,2),-0.262236 # DEPENDENCYPART_ARC
(5,4),-2.45726 # DEPENDENCYPART_ARC
(5,8),-0.544139 # DEPENDENCYPART_ARC
(6,1),-3.95781 # DEPENDENCYPART_ARC
(6,2),-0.3333 # DEPENDENCYPART_ARC
(6,3),-4.2361 # DEPENDENCYPART_ARC
(6,4),3.51336 # DEPENDENCYPART_ARC
(6,5),4.3457 # DEPENDENCYPART_ARC
(6,7),-0.551263 # DEPENDENCYPART_ARC
(6,8),-0.101272 # DEPENDENCYPART_ARC
(6,9),-2.02286 # DEPENDENCYPART_ARC
(6,10),-2.34464 # DEPENDENCYPART_ARC
(6,11),-0.07617 # DEPENDENCYPART_ARC
(6,14),-3.94204 # DEPENDENCYPART_ARC
(7,1),-0.478646 # DEPENDENCYPART_ARC
(7,2),-0.681792 # DEPENDENCYPART_ARC
(7,3),0.200419 # DEPENDENCYPART_ARC
(7,4),-0.0887771 # DEPENDENCYPART_ARC
(7,5),-0.229408 # DEPENDENCYPART_ARC
(7,6),-0.225427 # DEPENDENCYPART_ARC
(7,8),0.0470995 # DEPENDENCYPART_ARC
(7,9),0.0343186 # DEPENDENCYPART_ARC
(7,10),-1.06261 # DEPENDENCYPART_ARC
(7,11),-0.804603 # DEPENDENCYPART_ARC
(7,12),-0.116961 # DEPENDENCYPART_ARC
(7,14),-1.15963 # DEPENDENCYPART_ARC
(7,15),-1.34622 # DEPENDENCYPART_ARC
(7,16),-0.932677 # DEPENDENCYPART_ARC
(7,17),0.285345 # DEPENDENCYPART_ARC
(8,3),-1.36386 # DEPENDENCYPART_ARC
(8,5),-1.91547 # DEPENDENCYPART_ARC
(8,6),-2.18653 # DEPENDENCYPART_ARC
(8,7),1.21716 # DEPENDENCYPART_ARC
(8,9),1.59246 # DEPENDENCYPART_ARC
(8,10),-0.161858 # DEPENDENCYPART_ARC
(8,11),-0.491574 # DEPENDENCYPART_ARC
(8,12),0.809409 # DEPENDENCYPART_ARC
(8,14),-1.02142 # DEPENDENCYPART_ARC
(8,15),-1.18022 # DEPENDENCYPART_ARC
(8,16),-0.756245 # DEPENDENCYPART_ARC
(8,17),0.26845 # DEPENDENCYPART_ARC
(8,18),-0.799523 # DEPENDENCYPART_ARC
(9,1),1.55278 # DEPENDENCYPART_ARC
(9,2),-1.93406 # DEPENDENCYPART_ARC
(9,3),0.464093 # DEPENDENCYPART_ARC
(9,5),-2.88993 # DEPENDENCYPART_ARC
(9,6),-2.29096 # DEPENDENCYPART_ARC
(9,7),0.832442 # DEPENDENCYPART_ARC
(9,8),0.65862 # DEPENDENCYPART_ARC
(9,10),3.46217 # DEPENDENCYPART_ARC
(9,11),0.659974 # DEPENDENCYPART_ARC
(9,12),0.757345 # DEPENDENCYPART_ARC
(9,14),-2.90883 # DEPENDENCYPART_ARC
(9,15),-0.755225 # DEPENDENCYPART_ARC
(9,16),0.0815261 # DEPENDENCYPART_ARC
(9,17),0.674666 # DEPENDENCYPART_ARC
(9,18),-0.348757 # DEPENDENCYPART_ARC
(10,4),-2.5173 # DEPENDENCYPART_ARC
(10,8),-0.0212135 # DEPENDENCYPART_ARC
(10,11),3.49196 # DEPENDENCYPART_ARC
(10,12),-0.537664 # DEPENDENCYPART_ARC
(10,13),-0.828348 # DEPENDENCYPART_ARC
(10,14),-2.31222 # DEPENDENCYPART_ARC
(10,15),-0.370258 # DEPENDENCYPART_ARC
(10,16),-0.537777 # DEPENDENCYPART_ARC
(10,17),-0.836211 # DEPENDENCYPART_ARC
(11,2),-1.55592 # DEPENDENCYPART_ARC
(11,4),-0.125968 # DEPENDENCYPART_ARC
(11,8),0.148273 # DEPENDENCYPART_ARC
(11,9),-1.79549 # DEPENDENCYPART_ARC
(11,10),-0.375304 # DEPENDENCYPART_ARC
(11,12),-0.739745 # DEPENDENCYPART_ARC
(11,13),-1.27349 # DEPENDENCYPART_ARC
(11,14),-2.59177 # DEPENDENCYPART_ARC
(11,15),-1.19054 # DEPENDENCYPART_ARC
(11,16),-2.07614 # DEPENDENCYPART_ARC
(11,17),-0.845902 # DEPENDENCYPART_ARC
(12,1),-0.936675 # DEPENDENCYPART_ARC
(12,2),-2.1504 # DEPENDENCYPART_ARC
(12,3),-0.142857 # DEPENDENCYPART_ARC
(12,6),-0.81441 # DEPENDENCYPART_ARC
(12,7),-0.365752 # DEPENDENCYPART_ARC
(12,9),0.496863 # DEPENDENCYPART_ARC
(12,10),0.179697 # DEPENDENCYPART_ARC
(12,11),-0.264734 # DEPENDENCYPART_ARC
(12,14),-0.0545732 # DEPENDENCYPART_ARC
(12,15),-0.306366 # DEPENDENCYPART_ARC
(12,16),0.0188133 # DEPENDENCYPART_ARC
(12,17),1.34835 # DEPENDENCYPART_ARC
(12,18),0.394715 # DEPENDENCYPART_ARC
(14,1),0.557963 # DEPENDENCYPART_ARC
(14,2),-2.9398 # DEPENDENCYPART_ARC
(14,3),-1.60349 # DEPENDENCYPART_ARC
(14,6),-2.96216 # DEPENDENCYPART_ARC
(14,7),-1.05824 # DEPENDENCYPART_ARC
(14,8),0.0507812 # DEPENDENCYPART_ARC
(14,9),-2.04577 # DEPENDENCYPART_ARC
(14,10),0.324778 # DEPENDENCYPART_ARC
(14,11),-3.05035 # DEPENDENCYPART_ARC
(14,12),-0.143573 # DEPENDENCYPART_ARC
(14,13),4.00135 # DEPENDENCYPART_ARC
(14,15),1.25596 # DEPENDENCYPART_ARC
(14,16),1.79153 # DEPENDENCYPART_ARC
(14,17),1.60828 # DEPENDENCYPART_ARC
(14,18),0.354598 # DEPENDENCYPART_ARC
(15,10),-1.90986 # DEPENDENCYPART_ARC
(15,12),-1.44901 # DEPENDENCYPART_ARC
(15,16),-0.394753 # DEPENDENCYPART_ARC
(15,17),-0.249211 # DEPENDENCYPART_ARC
(15,18),-0.580201 # DEPENDENCYPART_ARC
(16,1),-2.46734 # DEPENDENCYPART_ARC
(16,3),-2.76939 # DEPENDENCYPART_ARC
(16,6),-1.38152 # DEPENDENCYPART_ARC
(16,7),-0.731967 # DEPENDENCYPART_ARC
(16,8),-0.453606 # DEPENDENCYPART_ARC
(16,9),-0.909848 # DEPENDENCYPART_ARC
(16,10),-1.26498 # DEPENDENCYPART_ARC
(16,11),-0.975903 # DEPENDENCYPART_ARC
(16,12),-0.107292 # DEPENDENCYPART_ARC
(16,14),-0.687444 # DEPENDENCYPART_ARC
(16,15),2.68927 # DEPENDENCYPART_ARC
(16,17),-0.383933 # DEPENDENCYPART_ARC
(16,18),-1.35001 # DEPENDENCYPART_ARC
(17,14),-2.32141 # DEPENDENCYPART_ARC
(17,15),-2.02715 # DEPENDENCYPART_ARC
(17,16),-2.02818 # DEPENDENCYPART_ARC
(17,18),-1.59389 # DEPENDENCYPART_ARC
