# _root_ Přesný počet osob zadržených při raziích , které policisté provádějí denně od 25 . srpna , nebyl sdělen .
#goldHeads=2,18,2,3,4,5,10,10,10,6,10,10,15,13,12,10,18,0,0,
#predictedHeads=2,18,2,3,4,5,10,10,10,6,10,10,15,13,12,10,18,0,0,
(0,1),-0.631319 # DEPENDENCYPART_ARC
(0,2),-0.89708 # DEPENDENCYPART_ARC
(0,3),-1.71789 # DEPENDENCYPART_ARC
(0,4),-2.09785 # DEPENDENCYPART_ARC
(0,5),-0.732723 # DEPENDENCYPART_ARC
(0,6),-2.01262 # DEPENDENCYPART_ARC
(0,7),-0.212741 # DEPENDENCYPART_ARC
(0,10),-0.142342 # DEPENDENCYPART_ARC
(0,14),0.365608 # DEPENDENCYPART_ARC
(0,15),-2.28219 # DEPENDENCYPART_ARC
(0,16),-0.812564 # DEPENDENCYPART_ARC
(0,17),-0.418153 # DEPENDENCYPART_ARC
(0,18),-0.765292 # DEPENDENCYPART_ARC
(0,19),3.68465 # DEPENDENCYPART_ARC
(1,3),-1.1819 # DEPENDENCYPART_ARC
(2,1),4.71093 # DEPENDENCYPART_ARC
(2,3),2.97206 # DEPENDENCYPART_ARC
(2,4),-1.70093 # DEPENDENCYPART_ARC
(2,5),0.271337 # DEPENDENCYPART_ARC
(2,6),-0.611429 # DEPENDENCYPART_ARC
(2,7),-0.234252 # DEPENDENCYPART_ARC
(2,9),-1.44253 # DEPENDENCYPART_ARC
(2,10),-0.489591 # DEPENDENCYPART_ARC
(2,17),-2.34573 # DEPENDENCYPART_ARC
(2,18),-1.27253 # DEPENDENCYPART_ARC
(3,1),-3.04176 # DEPENDENCYPART_ARC
(3,2),-2.11476 # DEPENDENCYPART_ARC
(3,4),3.05211 # DEPENDENCYPART_ARC
(3,5),0.486437 # DEPENDENCYPART_ARC
(3,6),-1.09469 # DEPENDENCYPART_ARC
(3,9),-2.12674 # DEPENDENCYPART_ARC
(3,10),0.230877 # DEPENDENCYPART_ARC
(3,18),-1.97215 # DEPENDENCYPART_ARC
(4,1),-3.52291 # DEPENDENCYPART_ARC
(4,2),-1.4516 # DEPENDENCYPART_ARC
(4,3),-0.725206 # DEPENDENCYPART_ARC
(4,5),2.40487 # DEPENDENCYPART_ARC
(4,6),-0.0500063 # DEPENDENCYPART_ARC
(4,7),0.322001 # DEPENDENCYPART_ARC
(4,9),-1.95622 # DEPENDENCYPART_ARC
