# _root_ avšak hlavním důvodem , proč se nekonají oba špičkové jazzové festivaly , je nedostatek peněz .
#goldHeads=0,3,13,7,7,7,3,11,11,11,7,7,1,13,14,0,
#predictedHeads=13,3,4,7,7,7,1,11,11,11,7,7,0,13,14,0,
(0,1),0.377307 # DEPENDENCYPART_ARC
(0,2),-1.35381 # DEPENDENCYPART_ARC
(0,3),-1.19756 # DEPENDENCYPART_ARC
(0,4),-0.674306 # DEPENDENCYPART_ARC
(0,5),-0.269903 # DEPENDENCYPART_ARC
(0,7),-0.196435 # DEPENDENCYPART_ARC
(0,8),-2.53117 # DEPENDENCYPART_ARC
(0,12),-0.734937 # DEPENDENCYPART_ARC
(0,13),0.169341 # DEPENDENCYPART_ARC
(0,16),3.78087 # DEPENDENCYPART_ARC
(1,2),1.25735 # DEPENDENCYPART_ARC
(1,3),0.0501324 # DEPENDENCYPART_ARC
(1,4),0.653607 # DEPENDENCYPART_ARC
(1,5),-0.919237 # DEPENDENCYPART_ARC
(1,7),0.444597 # DEPENDENCYPART_ARC
(1,9),-1.88837 # DEPENDENCYPART_ARC
(1,10),-2.04422 # DEPENDENCYPART_ARC
(1,11),-2.61337 # DEPENDENCYPART_ARC
(1,12),0.521425 # DEPENDENCYPART_ARC
(1,13),-0.635822 # DEPENDENCYPART_ARC
(1,15),-3.49642 # DEPENDENCYPART_ARC
(1,16),-1.50013 # DEPENDENCYPART_ARC
(2,1),-0.287599 # DEPENDENCYPART_ARC
(2,3),-0.157747 # DEPENDENCYPART_ARC
(2,4),-0.861918 # DEPENDENCYPART_ARC
(3,1),1.01536 # DEPENDENCYPART_ARC
(3,2),4.21696 # DEPENDENCYPART_ARC
(3,4),-0.389146 # DEPENDENCYPART_ARC
(3,5),-0.0326815 # DEPENDENCYPART_ARC
(3,7),0.476417 # DEPENDENCYPART_ARC
(3,8),-2.55531 # DEPENDENCYPART_ARC
(3,9),-2.77027 # DEPENDENCYPART_ARC
(3,10),-2.96666 # DEPENDENCYPART_ARC
(3,11),-2.3544 # DEPENDENCYPART_ARC
(3,12),-0.133446 # DEPENDENCYPART_ARC
(3,13),-2.19626 # DEPENDENCYPART_ARC
(3,14),-3.61982 # DEPENDENCYPART_ARC
(3,15),-1.23148 # DEPENDENCYPART_ARC
(4,1),-0.123624 # DEPENDENCYPART_ARC
(4,2),0.164839 # DEPENDENCYPART_ARC
(4,3),0.15952 # DEPENDENCYPART_ARC
(4,5),0.0719417 # DEPENDENCYPART_ARC
(4,7),0.608714 # DEPENDENCYPART_ARC
(4,8),-0.529524 # DEPENDENCYPART_ARC
(4,9),-0.304651 # DEPENDENCYPART_ARC
(4,10),-0.261906 # DEPENDENCYPART_ARC
(4,11),-0.409255 # DEPENDENCYPART_ARC
(4,12),0.229189 # DEPENDENCYPART_ARC
(4,13),-0.631905 # DEPENDENCYPART_ARC
(4,14),-1.89961 # DEPENDENCYPART_ARC
(4,15),-1.27855 # DEPENDENCYPART_ARC
(4,16),-0.547972 # DEPENDENCYPART_ARC
(5,1),-0.727217 # DEPENDENCYPART_ARC
(5,2),-0.306725 # DEPENDENCYPART_ARC
(5,3),-0.0174933 # DEPENDENCYPART_ARC
(5,4),-0.139436 # DEPENDENCYPART_ARC
(5,7),-0.171771 # DEPENDENCYPART_ARC
(5,8),-0.727063 # DEPENDENCYPART_ARC
(5,9),-0.88326 # DEPENDENCYPART_ARC
(5,11),-1.28637 # DEPENDENCYPART_ARC
(5,12),-0.315971 # DEPENDENCYPART_ARC
(5,13),-1.34493 # DEPENDENCYPART_ARC
(5,14),-2.42415 # DEPENDENCYPART_ARC
(5,15),-2.23139 # DEPENDENCYPART_ARC
(5,16),-1.6555 # DEPENDENCYPART_ARC
(7,1),0.341944 # DEPENDENCYPART_ARC
(7,2),-2.68479 # DEPENDENCYPART_ARC
(7,3),-1.12592 # DEPENDENCYPART_ARC
(7,4),1.67827 # DEPENDENCYPART_ARC
(7,5),2.62203 # DEPENDENCYPART_ARC
(7,6),3.36426 # DEPENDENCYPART_ARC
(7,8),0.891845 # DEPENDENCYPART_ARC
(7,9),0.635759 # DEPENDENCYPART_ARC
(7,10),-0.571097 # DEPENDENCYPART_ARC
(7,11),1.79828 # DEPENDENCYPART_ARC
(7,12),0.825098 # DEPENDENCYPART_ARC
(7,13),-2.03345 # DEPENDENCYPART_ARC
(7,14),-0.0759644 # DEPENDENCYPART_ARC
(7,15),-1.32218 # DEPENDENCYPART_ARC
(7,16),-0.593565 # DEPENDENCYPART_ARC
(8,5),-0.801158 # DEPENDENCYPART_ARC
(8,9),-0.524682 # DEPENDENCYPART_ARC
(8,10),-1.2954 # DEPENDENCYPART_ARC
(8,11),-0.443846 # DEPENDENCYPART_ARC
(8,12),-0.487416 # DEPENDENCYPART_ARC
(9,2),-3.07863 # DEPENDENCYPART_ARC
(9,3),-1.30905 # DEPENDENCYPART_ARC
(9,4),-1.00482 # DEPENDENCYPART_ARC
(9,5),-0.648087 # DEPENDENCYPART_ARC
(9,6),-1.51654 # DEPENDENCYPART_ARC
(9,7),-2.71464 # DEPENDENCYPART_ARC
(9,8),1.12548 # DEPENDENCYPART_ARC
(9,10),-1.09184 # DEPENDENCYPART_ARC
(9,11),-0.644019 # DEPENDENCYPART_ARC
(9,12),-0.243559 # DEPENDENCYPART_ARC
(9,13),-2.79856 # DEPENDENCYPART_ARC
(9,14),-2.94514 # DEPENDENCYPART_ARC
(9,15),-3.15367 # DEPENDENCYPART_ARC
(9,16),-1.52578 # DEPENDENCYPART_ARC
(10,5),-0.993352 # DEPENDENCYPART_ARC
(10,6),-1.66005 # DEPENDENCYPART_ARC
