# _root_ Ale také na úseku průmyslové a stavební výroby , kde dosud dominovalo Polsko , dochází i v České republice k významnému pokroku .
#goldHeads=0,4,15,3,6,8,6,4,12,12,12,8,12,12,1,19,15,19,17,15,22,20,0,
#predictedHeads=0,4,12,3,6,8,6,4,12,12,12,15,12,12,0,19,15,19,17,15,22,20,0,
(0,1),2.0575 # DEPENDENCYPART_ARC
(0,2),-0.541357 # DEPENDENCYPART_ARC
(0,3),0.0254033 # DEPENDENCYPART_ARC
(0,6),-0.61502 # DEPENDENCYPART_ARC
(0,9),-1.03758 # DEPENDENCYPART_ARC
(0,12),-0.191372 # DEPENDENCYPART_ARC
(0,14),-1.10097 # DEPENDENCYPART_ARC
(0,15),-0.0755426 # DEPENDENCYPART_ARC
(0,23),4.21616 # DEPENDENCYPART_ARC
(1,2),0.210355 # DEPENDENCYPART_ARC
(1,3),0.304652 # DEPENDENCYPART_ARC
(1,4),0.247184 # DEPENDENCYPART_ARC
(1,5),0.400502 # DEPENDENCYPART_ARC
(1,6),0.58403 # DEPENDENCYPART_ARC
(1,7),-0.194853 # DEPENDENCYPART_ARC
(1,8),-0.109883 # DEPENDENCYPART_ARC
(1,9),0.385242 # DEPENDENCYPART_ARC
(1,11),-0.592086 # DEPENDENCYPART_ARC
(1,12),-0.00708194 # DEPENDENCYPART_ARC
(1,14),0.573619 # DEPENDENCYPART_ARC
(1,15),-0.85195 # DEPENDENCYPART_ARC
(1,16),-0.532428 # DEPENDENCYPART_ARC
(1,17),-1.97613 # DEPENDENCYPART_ARC
(1,23),-0.533958 # DEPENDENCYPART_ARC
(2,1),-0.458771 # DEPENDENCYPART_ARC
(2,3),-0.257746 # DEPENDENCYPART_ARC
(2,4),-1.33651 # DEPENDENCYPART_ARC
(3,2),-0.710535 # DEPENDENCYPART_ARC
(3,4),3.6684 # DEPENDENCYPART_ARC
(3,5),-1.71899 # DEPENDENCYPART_ARC
(3,6),-0.209599 # DEPENDENCYPART_ARC
(3,8),-2.74257 # DEPENDENCYPART_ARC
(4,1),-0.51078 # DEPENDENCYPART_ARC
(4,2),1.37739 # DEPENDENCYPART_ARC
(4,3),0.965839 # DEPENDENCYPART_ARC
(4,5),0.120717 # DEPENDENCYPART_ARC
(4,6),1.04807 # DEPENDENCYPART_ARC
(4,7),-2.207 # DEPENDENCYPART_ARC
(4,8),1.45609 # DEPENDENCYPART_ARC
(4,9),-0.0341371 # DEPENDENCYPART_ARC
(4,10),-0.174193 # DEPENDENCYPART_ARC
(4,12),-0.885323 # DEPENDENCYPART_ARC
(4,13),-2.51548 # DEPENDENCYPART_ARC
(4,20),-1.4496 # DEPENDENCYPART_ARC
(5,1),-0.517996 # DEPENDENCYPART_ARC
(5,2),-1.12958 # DEPENDENCYPART_ARC
(5,3),0.0954066 # DEPENDENCYPART_ARC
(5,4),-2.0957 # DEPENDENCYPART_ARC
(6,1),0.149744 # DEPENDENCYPART_ARC
(6,2),1.21855 # DEPENDENCYPART_ARC
(6,3),0.729646 # DEPENDENCYPART_ARC
(6,4),1.77754 # DEPENDENCYPART_ARC
(6,5),4.59403 # DEPENDENCYPART_ARC
(6,7),6.57981 # DEPENDENCYPART_ARC
(6,8),0.795183 # DEPENDENCYPART_ARC
(6,9),-0.232131 # DEPENDENCYPART_ARC
(6,10),-0.13198 # DEPENDENCYPART_ARC
(6,11),-0.28904 # DEPENDENCYPART_ARC
(6,12),-0.388804 # DEPENDENCYPART_ARC
(6,13),-1.40234 # DEPENDENCYPART_ARC
(6,14),-0.184787 # DEPENDENCYPART_ARC
(6,15),-1.73362 # DEPENDENCYPART_ARC
(6,17),-0.900677 # DEPENDENCYPART_ARC
(6,18),0.0987509 # DEPENDENCYPART_ARC
(6,20),-2.1787 # DEPENDENCYPART_ARC
(6,21),-0.585696 # DEPENDENCYPART_ARC
(7,8),-1.07371 # DEPENDENCYPART_ARC
(8,1),-0.588288 # DEPENDENCYPART_ARC
(8,2),0.755117 # DEPENDENCYPART_ARC
(8,4),-3.34559 # DEPENDENCYPART_ARC
(8,5),1.2149 # DEPENDENCYPART_ARC
(8,6),2.61058 # DEPENDENCYPART_ARC
(8,7),4.12685 # DEPENDENCYPART_ARC
(8,9),-0.800327 # DEPENDENCYPART_ARC
(8,10),-0.598408 # DEPENDENCYPART_ARC
(8,11),-0.517581 # DEPENDENCYPART_ARC
(8,12),-0.108648 # DEPENDENCYPART_ARC
(8,13),-1.91086 # DEPENDENCYPART_ARC
(8,15),-2.61487 # DEPENDENCYPART_ARC
(9,1),-0.662935 # DEPENDENCYPART_ARC
(9,2),-0.26615 # DEPENDENCYPART_ARC
(9,3),-0.641221 # DEPENDENCYPART_ARC
(9,4),-0.131144 # DEPENDENCYPART_ARC
(9,5),-0.346052 # DEPENDENCYPART_ARC
(9,6),-0.616804 # DEPENDENCYPART_ARC
(9,7),-0.280733 # DEPENDENCYPART_ARC
(9,8),-0.343927 # DEPENDENCYPART_ARC
(9,10),-0.213974 # DEPENDENCYPART_ARC
(9,11),-0.514322 # DEPENDENCYPART_ARC
(9,12),-0.180479 # DEPENDENCYPART_ARC
(9,13),-0.701946 # DEPENDENCYPART_ARC
(9,14),-0.448888 # DEPENDENCYPART_ARC
(9,15),-1.86689 # DEPENDENCYPART_ARC
(9,16),-1.34565 # DEPENDENCYPART_ARC
(9,17),-2.13632 # DEPENDENCYPART_ARC
(10,4),-1.05216 # DEPENDENCYPART_ARC
(10,5),-1.0621 # DEPENDENCYPART_ARC
(10,6),-1.2957 # DEPENDENCYPART_ARC
