# _root_ Podle Janouška již skončilo období kontroly formálních náležitostí přiznání a druhá fáze , tedy podrobná kontrola věcné správnosti , se právě rozbíhá .
#goldHeads=4,1,4,10,4,5,8,6,8,0,12,14,14,22,16,14,18,16,14,22,22,10,0,
#predictedHeads=4,1,4,0,4,5,8,6,10,8,12,10,14,22,16,22,18,16,22,22,22,12,0,
(0,1),-0.857086 # DEPENDENCYPART_ARC
(0,2),-1.17318 # DEPENDENCYPART_ARC
(0,3),-0.241031 # DEPENDENCYPART_ARC
(0,4),0.547253 # DEPENDENCYPART_ARC
(0,5),-1.21899 # DEPENDENCYPART_ARC
(0,10),-1.09755 # DEPENDENCYPART_ARC
(0,13),-0.972977 # DEPENDENCYPART_ARC
(0,14),-1.69954 # DEPENDENCYPART_ARC
(0,19),-1.24795 # DEPENDENCYPART_ARC
(0,22),-1.19478 # DEPENDENCYPART_ARC
(0,23),3.87867 # DEPENDENCYPART_ARC
(1,2),4.52923 # DEPENDENCYPART_ARC
(1,3),-0.662557 # DEPENDENCYPART_ARC
(1,5),-3.66631 # DEPENDENCYPART_ARC
(1,6),-1.25943 # DEPENDENCYPART_ARC
(2,1),-0.137554 # DEPENDENCYPART_ARC
(2,3),0.350604 # DEPENDENCYPART_ARC
(2,4),-1.81223 # DEPENDENCYPART_ARC
(2,5),-2.76568 # DEPENDENCYPART_ARC
(2,6),-1.10018 # DEPENDENCYPART_ARC
(2,7),-2.89048 # DEPENDENCYPART_ARC
(2,10),-0.298785 # DEPENDENCYPART_ARC
(3,1),-0.808236 # DEPENDENCYPART_ARC
(3,2),-1.13819 # DEPENDENCYPART_ARC
(3,4),-1.0629 # DEPENDENCYPART_ARC
(4,1),3.49969 # DEPENDENCYPART_ARC
(4,2),-1.02719 # DEPENDENCYPART_ARC
(4,3),2.49504 # DEPENDENCYPART_ARC
(4,5),3.04277 # DEPENDENCYPART_ARC
(4,6),-0.302972 # DEPENDENCYPART_ARC
(4,7),-3.43471 # DEPENDENCYPART_ARC
(4,8),-1.93878 # DEPENDENCYPART_ARC
(4,9),-1.38741 # DEPENDENCYPART_ARC
(4,10),0.0574887 # DEPENDENCYPART_ARC
(4,12),-0.38653 # DEPENDENCYPART_ARC
(4,13),-0.152972 # DEPENDENCYPART_ARC
(4,14),0.19995 # DEPENDENCYPART_ARC
(4,16),-0.829286 # DEPENDENCYPART_ARC
(4,18),-2.91585 # DEPENDENCYPART_ARC
(4,19),-0.604736 # DEPENDENCYPART_ARC
(4,21),-2.45033 # DEPENDENCYPART_ARC
(5,1),-0.418396 # DEPENDENCYPART_ARC
(5,3),-0.0209818 # DEPENDENCYPART_ARC
(5,4),-2.32265 # DEPENDENCYPART_ARC
(5,6),3.44067 # DEPENDENCYPART_ARC
(5,7),-1.63601 # DEPENDENCYPART_ARC
(5,8),1.18721 # DEPENDENCYPART_ARC
(5,9),1.61619 # DEPENDENCYPART_ARC
(5,10),0.385588 # DEPENDENCYPART_ARC
(5,11),-1.59895 # DEPENDENCYPART_ARC
(5,12),-1.10136 # DEPENDENCYPART_ARC
(5,15),-1.54401 # DEPENDENCYPART_ARC
(5,22),-1.41208 # DEPENDENCYPART_ARC
(6,1),-1.15781 # DEPENDENCYPART_ARC
(6,2),-0.539235 # DEPENDENCYPART_ARC
(6,3),-0.108279 # DEPENDENCYPART_ARC
(6,4),-1.9029 # DEPENDENCYPART_ARC
(6,5),-1.72947 # DEPENDENCYPART_ARC
(6,7),1.01269 # DEPENDENCYPART_ARC
(6,8),2.99902 # DEPENDENCYPART_ARC
(6,9),1.83404 # DEPENDENCYPART_ARC
(6,10),0.630005 # DEPENDENCYPART_ARC
(6,11),-1.66782 # DEPENDENCYPART_ARC
(6,12),-0.954809 # DEPENDENCYPART_ARC
(6,15),-2.06294 # DEPENDENCYPART_ARC
(6,16),-1.83514 # DEPENDENCYPART_ARC
(6,17),-0.233502 # DEPENDENCYPART_ARC
(6,18),0.267568 # DEPENDENCYPART_ARC
(7,1),-1.31951 # DEPENDENCYPART_ARC
(7,3),-0.90472 # DEPENDENCYPART_ARC
(7,4),-2.61614 # DEPENDENCYPART_ARC
(7,6),-0.264208 # DEPENDENCYPART_ARC
(7,8),0.370478 # DEPENDENCYPART_ARC
(7,9),-1.3951 # DEPENDENCYPART_ARC
(7,12),-2.29984 # DEPENDENCYPART_ARC
(8,7),3.96011 # DEPENDENCYPART_ARC
(8,9),3.12555 # DEPENDENCYPART_ARC
(8,10),0.79324 # DEPENDENCYPART_ARC
(8,11),-3.43063 # DEPENDENCYPART_ARC
(8,12),-2.03568 # DEPENDENCYPART_ARC
(8,15),-3.88749 # DEPENDENCYPART_ARC
(8,17),-1.64089 # DEPENDENCYPART_ARC
(8,22),-2.13137 # DEPENDENCYPART_ARC
(9,2),-0.885677 # DEPENDENCYPART_ARC
(9,5),-1.64436 # DEPENDENCYPART_ARC
(9,6),-2.05457 # DEPENDENCYPART_ARC
(9,7),0.692366 # DEPENDENCYPART_ARC
(9,8),0.355216 # DEPENDENCYPART_ARC
(9,12),-2.4854 # DEPENDENCYPART_ARC
(10,1),-0.825814 # DEPENDENCYPART_ARC
(10,2),1.58657 # DEPENDENCYPART_ARC
(10,3),-0.631904 # DEPENDENCYPART_ARC
(10,4),0.944932 # DEPENDENCYPART_ARC
(10,5),1.79176 # DEPENDENCYPART_ARC
(10,6),1.53369 # DEPENDENCYPART_ARC
(10,7),1.22598 # DEPENDENCYPART_ARC
(10,8),1.90972 # DEPENDENCYPART_ARC
(10,9),3.54285 # DEPENDENCYPART_ARC
(10,11),0.890846 # DEPENDENCYPART_ARC
(10,12),3.09209 # DEPENDENCYPART_ARC
(10,13),0.0390851 # DEPENDENCYPART_ARC
