# _root_ Doposud jsme byli zvyklí na to , že školy organizovaly nejrůznější soutěže , zájezdy nebo přehlídky a peníze na ně byly vždy nějakým způsobem zajištěny .
#goldHeads=3,3,0,3,4,5,8,6,10,17,15,15,15,15,10,15,8,25,18,19,25,25,24,25,17,0,
#predictedHeads=3,3,0,3,4,5,8,6,10,8,12,10,15,15,25,15,15,17,25,19,25,25,24,25,12,0,
(0,1),-0.405409 # DEPENDENCYPART_ARC
(0,2),-0.359796 # DEPENDENCYPART_ARC
(0,3),0.0231696 # DEPENDENCYPART_ARC
(0,4),-2.23956 # DEPENDENCYPART_ARC
(0,5),-2.4546 # DEPENDENCYPART_ARC
(0,6),-1.85765 # DEPENDENCYPART_ARC
(0,7),-0.579458 # DEPENDENCYPART_ARC
(0,8),-3.0301 # DEPENDENCYPART_ARC
(0,10),-0.934753 # DEPENDENCYPART_ARC
(0,13),-1.22471 # DEPENDENCYPART_ARC
(0,17),-2.28611 # DEPENDENCYPART_ARC
(0,21),-2.42568 # DEPENDENCYPART_ARC
(0,25),-2.45997 # DEPENDENCYPART_ARC
(0,26),4.32044 # DEPENDENCYPART_ARC
(1,2),-0.205915 # DEPENDENCYPART_ARC
(1,3),-0.687169 # DEPENDENCYPART_ARC
(1,4),-1.04044 # DEPENDENCYPART_ARC
(1,5),-1.13564 # DEPENDENCYPART_ARC
(2,1),0.774901 # DEPENDENCYPART_ARC
(2,3),-1.01289 # DEPENDENCYPART_ARC
(2,4),-1.00524 # DEPENDENCYPART_ARC
(2,5),-1.3934 # DEPENDENCYPART_ARC
(2,6),-1.71086 # DEPENDENCYPART_ARC
(2,8),-0.938363 # DEPENDENCYPART_ARC
(3,1),1.59057 # DEPENDENCYPART_ARC
(3,2),3.80535 # DEPENDENCYPART_ARC
(3,4),3.5235 # DEPENDENCYPART_ARC
(3,5),0.859518 # DEPENDENCYPART_ARC
(3,6),-0.444167 # DEPENDENCYPART_ARC
(3,7),0.253555 # DEPENDENCYPART_ARC
(3,8),0.471339 # DEPENDENCYPART_ARC
(3,10),-3.47404 # DEPENDENCYPART_ARC
(3,11),-5.29439 # DEPENDENCYPART_ARC
(3,12),-2.08193 # DEPENDENCYPART_ARC
(3,13),0.417267 # DEPENDENCYPART_ARC
(3,15),-0.889934 # DEPENDENCYPART_ARC
(3,17),-1.07181 # DEPENDENCYPART_ARC
(4,1),-0.0781088 # DEPENDENCYPART_ARC
(4,2),0.273217 # DEPENDENCYPART_ARC
(4,3),-0.559465 # DEPENDENCYPART_ARC
(4,5),1.68285 # DEPENDENCYPART_ARC
(4,6),-1.65025 # DEPENDENCYPART_ARC
(4,7),0.0860546 # DEPENDENCYPART_ARC
(4,8),0.44788 # DEPENDENCYPART_ARC
(5,4),-1.76701 # DEPENDENCYPART_ARC
(5,6),3.42078 # DEPENDENCYPART_ARC
(5,7),-0.0177233 # DEPENDENCYPART_ARC
(5,8),-0.0822124 # DEPENDENCYPART_ARC
(5,9),-1.29358 # DEPENDENCYPART_ARC
(6,1),-0.13073 # DEPENDENCYPART_ARC
(6,2),-1.65755 # DEPENDENCYPART_ARC
(6,4),-2.73849 # DEPENDENCYPART_ARC
(6,7),0.145837 # DEPENDENCYPART_ARC
(6,8),2.28348 # DEPENDENCYPART_ARC
(6,9),-0.422467 # DEPENDENCYPART_ARC
(6,10),-0.308899 # DEPENDENCYPART_ARC
(6,15),-0.578619 # DEPENDENCYPART_ARC
(6,17),-0.25267 # DEPENDENCYPART_ARC
(7,3),-0.738589 # DEPENDENCYPART_ARC
(7,4),-0.89408 # DEPENDENCYPART_ARC
(7,6),-0.245557 # DEPENDENCYPART_ARC
(7,10),-0.226659 # DEPENDENCYPART_ARC
(8,5),-1.92085 # DEPENDENCYPART_ARC
(8,7),2.2875 # DEPENDENCYPART_ARC
(8,9),-1.20202 # DEPENDENCYPART_ARC
(8,10),2.21603 # DEPENDENCYPART_ARC
(8,11),-1.10431 # DEPENDENCYPART_ARC
(8,13),0.214416 # DEPENDENCYPART_ARC
(8,15),-0.0252809 # DEPENDENCYPART_ARC
(8,17),0.141695 # DEPENDENCYPART_ARC
(8,21),0.529582 # DEPENDENCYPART_ARC
(8,25),-0.550233 # DEPENDENCYPART_ARC
(9,6),-6.04653 # DEPENDENCYPART_ARC
(9,10),-0.406656 # DEPENDENCYPART_ARC
(9,11),-2.62017 # DEPENDENCYPART_ARC
(9,12),-4.21339 # DEPENDENCYPART_ARC
(9,14),-4.36018 # DEPENDENCYPART_ARC
(10,1),0.448021 # DEPENDENCYPART_ARC
(10,2),0.403784 # DEPENDENCYPART_ARC
(10,3),-2.20777 # DEPENDENCYPART_ARC
(10,4),-1.44072 # DEPENDENCYPART_ARC
(10,5),-0.344105 # DEPENDENCYPART_ARC
(10,6),-1.13931 # DEPENDENCYPART_ARC
(10,7),0.665728 # DEPENDENCYPART_ARC
(10,8),-0.102754 # DEPENDENCYPART_ARC
(10,9),3.47865 # DEPENDENCYPART_ARC
(10,11),-1.47527 # DEPENDENCYPART_ARC
(10,12),3.08722 # DEPENDENCYPART_ARC
(10,13),0.588297 # DEPENDENCYPART_ARC
(10,14),1.3425 # DEPENDENCYPART_ARC
(10,15),0.681572 # DEPENDENCYPART_ARC
(10,16),-0.220566 # DEPENDENCYPART_ARC
(10,17),0.289773 # DEPENDENCYPART_ARC
(10,18),0.0897942 # DEPENDENCYPART_ARC
(10,19),-0.204563 # DEPENDENCYPART_ARC
(10,21),-3.10129 # DEPENDENCYPART_ARC
(10,22),-0.798322 # DEPENDENCYPART_ARC
(10,24),-2.46639 # DEPENDENCYPART_ARC
(10,25),-1.08868 # DEPENDENCYPART_ARC
(11,12),0.0860271 # DEPENDENCYPART_ARC
(11,14),-1.88205 # DEPENDENCYPART_ARC
(12,9),-3.62334 # DEPENDENCYPART_ARC
(12,11),3.68701 # DEPENDENCYPART_ARC
(12,13),-0.275381 # DEPENDENCYPART_ARC
(12,14),-0.658004 # DEPENDENCYPART_ARC
(12,15),-0.170252 # DEPENDENCYPART_ARC
(12,16),-2.48062 # DEPENDENCYPART_ARC
(12,17),-0.595239 # DEPENDENCYPART_ARC
(12,21),-0.198079 # DEPENDENCYPART_ARC
(12,25),0.248882 # DEPENDENCYPART_ARC
(13,1),-1.11499 # DEPENDENCYPART_ARC
(13,2),-0.554939 # DEPENDENCYPART_ARC
(13,3),-0.487495 # DEPENDENCYPART_ARC
(13,5),-1.00606 # DEPENDENCYPART_ARC
(13,7),0.137817 # DEPENDENCYPART_ARC
(13,8),-0.0763935 # DEPENDENCYPART_ARC
