# _root_ Stál na břehu řeky s hořícím stromem v ruce a svítil té , která přeplouvala řeku , držíc se za chvost koně . . .
#goldHeads=10,1,2,3,1,7,5,7,8,0,10,11,15,15,12,15,18,14,18,18,20,21,0,0,0,
#predictedHeads=10,1,2,3,4,7,5,7,8,0,10,11,15,15,12,15,15,15,18,18,20,21,0,0,0,
(0,1),-0.0708252 # DEPENDENCYPART_ARC
(0,2),-2.0233 # DEPENDENCYPART_ARC
(0,3),-2.4055 # DEPENDENCYPART_ARC
(0,4),-2.41547 # DEPENDENCYPART_ARC
(0,5),-2.35247 # DEPENDENCYPART_ARC
(0,7),-2.43328 # DEPENDENCYPART_ARC
(0,8),-2.2778 # DEPENDENCYPART_ARC
(0,10),-0.468773 # DEPENDENCYPART_ARC
(0,11),-1.58262 # DEPENDENCYPART_ARC
(0,12),-2.9263 # DEPENDENCYPART_ARC
(0,13),-1.15159 # DEPENDENCYPART_ARC
(0,15),-1.79009 # DEPENDENCYPART_ARC
(0,17),-1.1499 # DEPENDENCYPART_ARC
(0,18),-1.54166 # DEPENDENCYPART_ARC
(0,23),1.66329 # DEPENDENCYPART_ARC
(0,24),1.5173 # DEPENDENCYPART_ARC
(0,25),3.37871 # DEPENDENCYPART_ARC
(1,2),2.16631 # DEPENDENCYPART_ARC
(1,3),0.0505953 # DEPENDENCYPART_ARC
(1,4),-0.35289 # DEPENDENCYPART_ARC
(1,5),1.27155 # DEPENDENCYPART_ARC
(1,7),0.38441 # DEPENDENCYPART_ARC
(1,8),0.161618 # DEPENDENCYPART_ARC
(1,9),-2.79348 # DEPENDENCYPART_ARC
(1,10),-0.318103 # DEPENDENCYPART_ARC
(1,11),-2.88207 # DEPENDENCYPART_ARC
(1,13),-0.624188 # DEPENDENCYPART_ARC
(1,15),-3.7709 # DEPENDENCYPART_ARC
(1,16),-2.21721 # DEPENDENCYPART_ARC
(1,17),-0.0845588 # DEPENDENCYPART_ARC
(1,18),-1.45939 # DEPENDENCYPART_ARC
(1,20),-1.80335 # DEPENDENCYPART_ARC
(2,3),3.66896 # DEPENDENCYPART_ARC
(2,4),-1.48143 # DEPENDENCYPART_ARC
(3,1),-3.8877 # DEPENDENCYPART_ARC
(3,2),1.44013 # DEPENDENCYPART_ARC
(3,4),3.49294 # DEPENDENCYPART_ARC
(3,5),1.03304 # DEPENDENCYPART_ARC
(3,6),-0.570734 # DEPENDENCYPART_ARC
(3,7),-1.65385 # DEPENDENCYPART_ARC
(3,8),0.113901 # DEPENDENCYPART_ARC
(3,10),-0.676998 # DEPENDENCYPART_ARC
(3,11),-1.48506 # DEPENDENCYPART_ARC
(3,15),-2.05755 # DEPENDENCYPART_ARC
(3,18),-3.47636 # DEPENDENCYPART_ARC
(4,2),-0.666515 # DEPENDENCYPART_ARC
(4,3),-0.936272 # DEPENDENCYPART_ARC
(4,5),2.07056 # DEPENDENCYPART_ARC
(4,6),-1.51473 # DEPENDENCYPART_ARC
