# _root_ V kvalifikaci stíhacího závodu družstev na 4 km zajelo čs . kvarteto Kadlec , Krejčí , Hudínek a Kábale čs . dorostenecký rekord časem 4 : 30.32 ( dosud 4 : 35.66 ) .
#goldHeads=9,1,4,2,4,4,8,6,0,12,10,9,18,18,18,18,18,12,18,23,20,23,9,9,26,24,26,24,24,31,24,31,24,0,
#predictedHeads=9,1,4,2,4,4,8,6,0,12,10,9,12,18,18,18,18,12,18,23,20,23,18,23,26,24,26,31,31,31,24,31,31,0,
(0,1),-0.964965 # DEPENDENCYPART_ARC
(0,2),-1.49672 # DEPENDENCYPART_ARC
(0,3),-1.54504 # DEPENDENCYPART_ARC
(0,4),-1.53601 # DEPENDENCYPART_ARC
(0,5),-1.80439 # DEPENDENCYPART_ARC
(0,6),-1.15359 # DEPENDENCYPART_ARC
(0,9),0.390316 # DEPENDENCYPART_ARC
(0,11),-0.0384079 # DEPENDENCYPART_ARC
(0,14),-1.16396 # DEPENDENCYPART_ARC
(0,16),-1.36086 # DEPENDENCYPART_ARC
(0,18),-1.53115 # DEPENDENCYPART_ARC
(0,21),-0.0754458 # DEPENDENCYPART_ARC
(0,26),-2.0685 # DEPENDENCYPART_ARC
(0,34),3.11879 # DEPENDENCYPART_ARC
(1,2),3.31752 # DEPENDENCYPART_ARC
(1,3),-1.85043 # DEPENDENCYPART_ARC
(1,4),-2.73175 # DEPENDENCYPART_ARC
(2,1),1.19875 # DEPENDENCYPART_ARC
(2,3),-0.309812 # DEPENDENCYPART_ARC
(2,4),3.05737 # DEPENDENCYPART_ARC
(2,5),1.54916 # DEPENDENCYPART_ARC
(2,6),0.953782 # DEPENDENCYPART_ARC
(2,8),0.277679 # DEPENDENCYPART_ARC
(2,18),0.0741538 # DEPENDENCYPART_ARC
(3,1),-0.499567 # DEPENDENCYPART_ARC
(3,2),-1.85607 # DEPENDENCYPART_ARC
(3,4),0.248138 # DEPENDENCYPART_ARC
(3,5),-1.16621 # DEPENDENCYPART_ARC
(3,6),-0.545571 # DEPENDENCYPART_ARC
(4,1),-0.484913 # DEPENDENCYPART_ARC
(4,2),-2.77635 # DEPENDENCYPART_ARC
(4,3),4.70974 # DEPENDENCYPART_ARC
(4,5),4.06526 # DEPENDENCYPART_ARC
(4,6),1.54559 # DEPENDENCYPART_ARC
(4,7),0.0585181 # DEPENDENCYPART_ARC
(4,8),1.04418 # DEPENDENCYPART_ARC
(4,14),0.469193 # DEPENDENCYPART_ARC
(4,18),0.269941 # DEPENDENCYPART_ARC
(5,2),-3.5125 # DEPENDENCYPART_ARC
(5,3),0.0762821 # DEPENDENCYPART_ARC
(5,4),0.291488 # DEPENDENCYPART_ARC
(5,6),1.05146 # DEPENDENCYPART_ARC
(5,7),-0.224547 # DEPENDENCYPART_ARC
