# _root_ Manažer si musí najít čas , kdy je zcela sám , kdy ho nikdo neruší při přemýšlení či analyzování situace podniku .
#goldHeads=3,4,0,3,4,11,8,11,10,8,5,15,15,15,11,15,18,16,18,19,20,0,
#predictedHeads=3,4,0,3,4,8,8,5,10,8,15,15,15,15,5,15,18,16,18,19,20,0,
(0,1),-1.57127 # DEPENDENCYPART_ARC
(0,3),-0.165846 # DEPENDENCYPART_ARC
(0,4),-0.878769 # DEPENDENCYPART_ARC
(0,5),-2.69096 # DEPENDENCYPART_ARC
(0,6),-0.532087 # DEPENDENCYPART_ARC
(0,8),-0.822633 # DEPENDENCYPART_ARC
(0,10),-2.11377 # DEPENDENCYPART_ARC
(0,11),-1.07372 # DEPENDENCYPART_ARC
(0,12),-1.9338 # DEPENDENCYPART_ARC
(0,13),-2.24061 # DEPENDENCYPART_ARC
(0,14),-2.58523 # DEPENDENCYPART_ARC
(0,15),-2.19898 # DEPENDENCYPART_ARC
(0,22),3.93457 # DEPENDENCYPART_ARC
(1,2),0.208427 # DEPENDENCYPART_ARC
(1,3),-1.10303 # DEPENDENCYPART_ARC
(1,4),-1.36106 # DEPENDENCYPART_ARC
(1,5),-4.82706 # DEPENDENCYPART_ARC
(1,10),1.10017 # DEPENDENCYPART_ARC
(3,1),2.94419 # DEPENDENCYPART_ARC
(3,2),2.23708 # DEPENDENCYPART_ARC
(3,4),3.31961 # DEPENDENCYPART_ARC
(3,5),1.66389 # DEPENDENCYPART_ARC
(3,6),0.458081 # DEPENDENCYPART_ARC
(3,7),-0.196616 # DEPENDENCYPART_ARC
(3,8),-1.592 # DEPENDENCYPART_ARC
(3,9),-1.19908 # DEPENDENCYPART_ARC
(3,11),-0.54245 # DEPENDENCYPART_ARC
(3,12),-1.69494 # DEPENDENCYPART_ARC
(3,15),-3.05619 # DEPENDENCYPART_ARC
(3,21),-5.49892 # DEPENDENCYPART_ARC
(4,1),0.341803 # DEPENDENCYPART_ARC
(4,2),3.24014 # DEPENDENCYPART_ARC
(4,3),-0.759355 # DEPENDENCYPART_ARC
(4,5),3.76657 # DEPENDENCYPART_ARC
(4,6),0.0960438 # DEPENDENCYPART_ARC
(4,7),-0.315682 # DEPENDENCYPART_ARC
(4,8),-0.411661 # DEPENDENCYPART_ARC
(4,9),-1.28988 # DEPENDENCYPART_ARC
(4,11),-0.772983 # DEPENDENCYPART_ARC
(4,12),-1.82362 # DEPENDENCYPART_ARC
(4,15),-2.47086 # DEPENDENCYPART_ARC
(4,16),-0.915662 # DEPENDENCYPART_ARC
(4,20),-3.61213 # DEPENDENCYPART_ARC
(4,21),-3.94863 # DEPENDENCYPART_ARC
(5,1),-2.9606 # DEPENDENCYPART_ARC
