# _root_ Ruští zástupci na jednáních navrhli , že by splátky mohly tvořit dodávky zbraní , což česká strana odmítla .
#goldHeads=2,5,5,3,14,7,5,10,11,7,10,10,12,0,18,17,18,14,0,
#predictedHeads=2,5,5,3,0,7,5,10,10,14,10,10,12,7,18,17,18,14,0,
(0,1),-1.00439 # DEPENDENCYPART_ARC
(0,2),-0.787799 # DEPENDENCYPART_ARC
(0,3),0.511392 # DEPENDENCYPART_ARC
(0,5),0.299957 # DEPENDENCYPART_ARC
(0,6),0.0272172 # DEPENDENCYPART_ARC
(0,7),-1.77424 # DEPENDENCYPART_ARC
(0,10),-0.596978 # DEPENDENCYPART_ARC
(0,11),-1.1951 # DEPENDENCYPART_ARC
(0,14),-0.549528 # DEPENDENCYPART_ARC
(0,18),-2.07956 # DEPENDENCYPART_ARC
(0,19),4.08409 # DEPENDENCYPART_ARC
(1,3),-0.402687 # DEPENDENCYPART_ARC
(2,1),4.58416 # DEPENDENCYPART_ARC
(2,3),1.36623 # DEPENDENCYPART_ARC
(2,4),-0.172896 # DEPENDENCYPART_ARC
(2,5),-0.812 # DEPENDENCYPART_ARC
(2,6),-0.522885 # DEPENDENCYPART_ARC
(2,7),-0.587391 # DEPENDENCYPART_ARC
(2,9),-5.51663 # DEPENDENCYPART_ARC
(2,10),-5.02113 # DEPENDENCYPART_ARC
(3,2),-3.62075 # DEPENDENCYPART_ARC
(3,4),5.6746 # DEPENDENCYPART_ARC
(3,5),-2.35819 # DEPENDENCYPART_ARC
(3,6),-1.15539 # DEPENDENCYPART_ARC
(3,7),-2.68648 # DEPENDENCYPART_ARC
(4,1),-2.35724 # DEPENDENCYPART_ARC
(4,2),-2.09238 # DEPENDENCYPART_ARC
(4,3),0.223505 # DEPENDENCYPART_ARC
(4,5),-0.753005 # DEPENDENCYPART_ARC
(4,7),-0.355616 # DEPENDENCYPART_ARC
(4,9),-4.63338 # DEPENDENCYPART_ARC
(5,1),1.00798 # DEPENDENCYPART_ARC
(5,2),2.56297 # DEPENDENCYPART_ARC
(5,3),1.88482 # DEPENDENCYPART_ARC
(5,4),0.982832 # DEPENDENCYPART_ARC
(5,6),0.527517 # DEPENDENCYPART_ARC
(5,7),1.57462 # DEPENDENCYPART_ARC
(5,8),0.480034 # DEPENDENCYPART_ARC
(5,9),-1.93326 # DEPENDENCYPART_ARC
(5,10),-4.23516 # DEPENDENCYPART_ARC
(5,11),-1.25017 # DEPENDENCYPART_ARC
(5,12),-3.50238 # DEPENDENCYPART_ARC
(5,13),-5.09779 # DEPENDENCYPART_ARC
(5,14),-1.15578 # DEPENDENCYPART_ARC
(5,18),-8.45091 # DEPENDENCYPART_ARC
(6,2),-0.826638 # DEPENDENCYPART_ARC
(6,3),-0.497349 # DEPENDENCYPART_ARC
(6,5),-0.860577 # DEPENDENCYPART_ARC
(6,10),-1.04201 # DEPENDENCYPART_ARC
(6,11),-1.76279 # DEPENDENCYPART_ARC
(7,2),-1.41875 # DEPENDENCYPART_ARC
(7,3),-1.75048 # DEPENDENCYPART_ARC
(7,4),0.114687 # DEPENDENCYPART_ARC
(7,5),-0.696083 # DEPENDENCYPART_ARC
(7,6),2.6318 # DEPENDENCYPART_ARC
(7,8),1.87182 # DEPENDENCYPART_ARC
(7,9),-1.33882 # DEPENDENCYPART_ARC
(7,10),1.37735 # DEPENDENCYPART_ARC
(7,11),1.35956 # DEPENDENCYPART_ARC
(7,12),-2.95021 # DEPENDENCYPART_ARC
(7,13),-2.98795 # DEPENDENCYPART_ARC
(7,14),0.969162 # DEPENDENCYPART_ARC
(7,18),-0.372832 # DEPENDENCYPART_ARC
(9,6),-1.0977 # DEPENDENCYPART_ARC
(9,7),-1.15601 # DEPENDENCYPART_ARC
(9,10),0.148833 # DEPENDENCYPART_ARC
(9,11),-1.07232 # DEPENDENCYPART_ARC
(9,12),-3.80491 # DEPENDENCYPART_ARC
(9,13),-1.09628 # DEPENDENCYPART_ARC
(9,17),-4.16261 # DEPENDENCYPART_ARC
(9,18),-4.75761 # DEPENDENCYPART_ARC
(10,1),-2.37763 # DEPENDENCYPART_ARC
(10,2),-0.125452 # DEPENDENCYPART_ARC
(10,3),-1.70696 # DEPENDENCYPART_ARC
(10,4),-1.21238 # DEPENDENCYPART_ARC
(10,5),-3.91385 # DEPENDENCYPART_ARC
(10,6),-0.0344567 # DEPENDENCYPART_ARC
(10,7),-0.25583 # DEPENDENCYPART_ARC
(10,8),4.19023 # DEPENDENCYPART_ARC
(10,9),2.87521 # DEPENDENCYPART_ARC
(10,11),2.89003 # DEPENDENCYPART_ARC
(10,12),2.00999 # DEPENDENCYPART_ARC
(10,13),-0.561204 # DEPENDENCYPART_ARC
(10,14),-0.37909 # DEPENDENCYPART_ARC
(10,16),-3.13456 # DEPENDENCYPART_ARC
(10,17),-0.944011 # DEPENDENCYPART_ARC
(10,18),-4.79631 # DEPENDENCYPART_ARC
(11,2),-1.43987 # DEPENDENCYPART_ARC
(11,3),-2.03747 # DEPENDENCYPART_ARC
(11,5),-5.38353 # DEPENDENCYPART_ARC
(11,6),-0.789725 # DEPENDENCYPART_ARC
(11,7),-0.735174 # DEPENDENCYPART_ARC
(11,9),1.93557 # DEPENDENCYPART_ARC
(11,10),-0.0647612 # DEPENDENCYPART_ARC
(11,12),1.38401 # DEPENDENCYPART_ARC
(11,13),0.545286 # DEPENDENCYPART_ARC
(11,14),-0.0942454 # DEPENDENCYPART_ARC
(11,16),-1.96926 # DEPENDENCYPART_ARC
(11,17),-2.26762 # DEPENDENCYPART_ARC
(11,18),-1.74147 # DEPENDENCYPART_ARC
(12,9),-3.02006 # DEPENDENCYPART_ARC
(12,10),-2.96107 # DEPENDENCYPART_ARC
(12,11),-0.585846 # DEPENDENCYPART_ARC
(12,13),3.31329 # DEPENDENCYPART_ARC
(12,14),-0.0610983 # DEPENDENCYPART_ARC
(12,16),-0.920361 # DEPENDENCYPART_ARC
(12,17),-0.475815 # DEPENDENCYPART_ARC
(12,18),-0.818616 # DEPENDENCYPART_ARC
(13,9),-2.44996 # DEPENDENCYPART_ARC
(13,11),-0.397785 # DEPENDENCYPART_ARC
(13,12),-0.021189 # DEPENDENCYPART_ARC
(13,14),-0.42444 # DEPENDENCYPART_ARC
(13,16),-2.52146 # DEPENDENCYPART_ARC
(13,17),-1.14171 # DEPENDENCYPART_ARC
(13,18),0.481433 # DEPENDENCYPART_ARC
(13,19),-1.29595 # DEPENDENCYPART_ARC
(14,2),-1.16959 # DEPENDENCYPART_ARC
(14,5),0.241176 # DEPENDENCYPART_ARC
(14,6),0.885606 # DEPENDENCYPART_ARC
(14,7),0.579285 # DEPENDENCYPART_ARC
(14,9),0.211249 # DEPENDENCYPART_ARC
(14,10),1.56715 # DEPENDENCYPART_ARC
(14,11),1.12827 # DEPENDENCYPART_ARC
(14,12),1.13706 # DEPENDENCYPART_ARC
(14,13),0.771166 # DEPENDENCYPART_ARC
(14,16),1.2311 # DEPENDENCYPART_ARC
(14,17),1.07079 # DEPENDENCYPART_ARC
(14,18),1.74121 # DEPENDENCYPART_ARC
(14,19),0.892901 # DEPENDENCYPART_ARC
(16,12),-4.03625 # DEPENDENCYPART_ARC
(16,13),-4.7592 # DEPENDENCYPART_ARC
(16,14),-1.89399 # DEPENDENCYPART_ARC
(16,17),-0.883631 # DEPENDENCYPART_ARC
(17,12),-1.35336 # DEPENDENCYPART_ARC
(17,13),-4.68474 # DEPENDENCYPART_ARC
(17,14),-0.531425 # DEPENDENCYPART_ARC
(17,16),5.09531 # DEPENDENCYPART_ARC
(17,18),-1.65831 # DEPENDENCYPART_ARC
(18,2),-0.243138 # DEPENDENCYPART_ARC
(18,3),-1.56784 # DEPENDENCYPART_ARC
(18,5),-6.39682 # DEPENDENCYPART_ARC
(18,6),-1.64931 # DEPENDENCYPART_ARC
(18,7),-1.7972 # DEPENDENCYPART_ARC
(18,8),2.3494 # DEPENDENCYPART_ARC
(18,9),1.2683 # DEPENDENCYPART_ARC
(18,10),-3.52209 # DEPENDENCYPART_ARC
(18,11),-0.19659 # DEPENDENCYPART_ARC
(18,12),1.76933 # DEPENDENCYPART_ARC
(18,13),-2.65174 # DEPENDENCYPART_ARC
(18,14),1.82191 # DEPENDENCYPART_ARC
(18,15),2.28388 # DEPENDENCYPART_ARC
(18,16),-0.532461 # DEPENDENCYPART_ARC
(18,17),3.47959 # DEPENDENCYPART_ARC
(18,19),-0.361051 # DEPENDENCYPART_ARC
