# _root_ Strana demokratické levice po přehodnocení faktu , že vedoucí silou SNP byla komunistická strana , se jednoznačně staví za antifašistický a demokratický odkaz povstání .
#goldHeads=18,3,1,18,4,5,8,6,10,12,10,8,14,12,8,18,18,0,18,21,23,21,19,23,0,
#predictedHeads=18,3,1,0,4,5,8,6,10,12,10,8,14,12,18,18,18,14,18,21,23,21,19,23,0,
(0,1),-0.719583 # DEPENDENCYPART_ARC
(0,2),-1.30452 # DEPENDENCYPART_ARC
(0,3),-1.43562 # DEPENDENCYPART_ARC
(0,4),-0.415643 # DEPENDENCYPART_ARC
(0,5),-1.9096 # DEPENDENCYPART_ARC
(0,6),-1.33123 # DEPENDENCYPART_ARC
(0,7),-0.72314 # DEPENDENCYPART_ARC
(0,8),-2.71969 # DEPENDENCYPART_ARC
(0,12),-0.46285 # DEPENDENCYPART_ARC
(0,14),-3.30064 # DEPENDENCYPART_ARC
(0,15),-1.1106 # DEPENDENCYPART_ARC
(0,18),-0.84326 # DEPENDENCYPART_ARC
(0,19),-3.71329 # DEPENDENCYPART_ARC
(0,21),-2.09361 # DEPENDENCYPART_ARC
(0,25),3.5863 # DEPENDENCYPART_ARC
(1,2),1.16174 # DEPENDENCYPART_ARC
(1,3),3.00969 # DEPENDENCYPART_ARC
(1,4),0.990194 # DEPENDENCYPART_ARC
(1,5),-0.443144 # DEPENDENCYPART_ARC
(1,6),0.722482 # DEPENDENCYPART_ARC
(1,7),0.0197423 # DEPENDENCYPART_ARC
(1,8),0.240504 # DEPENDENCYPART_ARC
(1,9),-0.854211 # DEPENDENCYPART_ARC
(1,10),-1.13309 # DEPENDENCYPART_ARC
(1,11),0.610029 # DEPENDENCYPART_ARC
(1,18),-2.21527 # DEPENDENCYPART_ARC
(2,1),-1.63064 # DEPENDENCYPART_ARC
(2,3),0.908529 # DEPENDENCYPART_ARC
(2,4),0.27924 # DEPENDENCYPART_ARC
(3,1),-1.72598 # DEPENDENCYPART_ARC
(3,2),4.88205 # DEPENDENCYPART_ARC
(3,4),1.3256 # DEPENDENCYPART_ARC
(3,5),-0.723259 # DEPENDENCYPART_ARC
(3,6),0.367855 # DEPENDENCYPART_ARC
(3,8),-0.393024 # DEPENDENCYPART_ARC
(3,9),-1.58594 # DEPENDENCYPART_ARC
(4,3),-2.51563 # DEPENDENCYPART_ARC
(4,5),4.04147 # DEPENDENCYPART_ARC
(4,6),-1.21023 # DEPENDENCYPART_ARC
(4,7),-0.171724 # DEPENDENCYPART_ARC
(4,8),-0.925841 # DEPENDENCYPART_ARC
(5,2),-2.57698 # DEPENDENCYPART_ARC
(5,4),0.936266 # DEPENDENCYPART_ARC
(5,6),3.74251 # DEPENDENCYPART_ARC
(5,7),-0.0751236 # DEPENDENCYPART_ARC
(5,8),1.37332 # DEPENDENCYPART_ARC
(5,9),-1.66141 # DEPENDENCYPART_ARC
