# _root_ V prvním poločase , kdy se domácí celek ujal ve 28 . minutě vedení brankou z kopačky Kellyho , rozpoutali podnapilí výtržníci z Anglie na horní části tribuny nepokoje .
#goldHeads=20,3,1,9,9,9,8,9,3,9,13,11,10,9,9,15,16,17,9,0,22,20,22,23,20,27,25,27,20,0,
#predictedHeads=9,3,1,9,9,9,8,9,19,9,13,11,10,13,14,15,16,17,20,0,22,20,22,23,20,27,25,27,20,0,
(0,1),-1.31452 # DEPENDENCYPART_ARC
(0,2),-2.01417 # DEPENDENCYPART_ARC
(0,3),-0.881174 # DEPENDENCYPART_ARC
(0,4),-0.184737 # DEPENDENCYPART_ARC
(0,5),-0.811465 # DEPENDENCYPART_ARC
(0,9),-0.432207 # DEPENDENCYPART_ARC
(0,12),-0.0572499 # DEPENDENCYPART_ARC
(0,19),-0.539075 # DEPENDENCYPART_ARC
(0,20),0.473759 # DEPENDENCYPART_ARC
(0,30),3.95394 # DEPENDENCYPART_ARC
(1,2),1.45351 # DEPENDENCYPART_ARC
(1,3),3.72275 # DEPENDENCYPART_ARC
(1,4),-0.519972 # DEPENDENCYPART_ARC
(1,5),-0.511834 # DEPENDENCYPART_ARC
(1,8),-2.09927 # DEPENDENCYPART_ARC
(2,1),-0.349262 # DEPENDENCYPART_ARC
(2,3),1.66397 # DEPENDENCYPART_ARC
(3,1),0.825478 # DEPENDENCYPART_ARC
(3,2),4.38697 # DEPENDENCYPART_ARC
(3,4),-0.38961 # DEPENDENCYPART_ARC
(3,5),-0.50735 # DEPENDENCYPART_ARC
(3,7),-1.56785 # DEPENDENCYPART_ARC
(3,8),-1.08176 # DEPENDENCYPART_ARC
(3,9),0.59076 # DEPENDENCYPART_ARC
(3,11),-1.62365 # DEPENDENCYPART_ARC
(3,12),-1.82302 # DEPENDENCYPART_ARC
(4,1),-0.963752 # DEPENDENCYPART_ARC
(4,2),-0.860364 # DEPENDENCYPART_ARC
(4,3),-0.368082 # DEPENDENCYPART_ARC
(4,5),-0.596001 # DEPENDENCYPART_ARC
(4,7),-0.070488 # DEPENDENCYPART_ARC
(4,8),-0.530377 # DEPENDENCYPART_ARC
(4,9),-0.314014 # DEPENDENCYPART_ARC
(4,10),-1.05811 # DEPENDENCYPART_ARC
(4,11),-1.15643 # DEPENDENCYPART_ARC
(4,12),-0.560059 # DEPENDENCYPART_ARC
(4,19),-0.629863 # DEPENDENCYPART_ARC
(4,20),-1.64953 # DEPENDENCYPART_ARC
(5,1),-0.846972 # DEPENDENCYPART_ARC
(5,3),-0.452962 # DEPENDENCYPART_ARC
(5,4),-0.763303 # DEPENDENCYPART_ARC
(5,7),-0.566591 # DEPENDENCYPART_ARC
(5,8),-1.08225 # DEPENDENCYPART_ARC
