# _root_ Ve Francii mi říkali , že kdyby moje auto šlapalo tak jako mistru Evropy Dubourgovi , koukali by se mi všichni na záda s kilometrovým odstupem .
#goldHeads=4,1,4,0,6,4,17,9,10,7,10,11,15,15,12,7,6,17,17,17,17,17,22,17,26,24,0,
#predictedHeads=4,1,4,0,6,4,17,9,10,7,10,13,15,13,10,7,6,17,17,17,17,17,22,23,26,24,0,
(0,1),-0.939613 # DEPENDENCYPART_ARC
(0,2),-1.10469 # DEPENDENCYPART_ARC
(0,3),-1.73105 # DEPENDENCYPART_ARC
(0,4),-0.351835 # DEPENDENCYPART_ARC
(0,5),-0.415425 # DEPENDENCYPART_ARC
(0,6),-2.45996 # DEPENDENCYPART_ARC
(0,7),-2.49271 # DEPENDENCYPART_ARC
(0,10),-0.289501 # DEPENDENCYPART_ARC
(0,16),-1.26063 # DEPENDENCYPART_ARC
(0,17),-0.506178 # DEPENDENCYPART_ARC
(0,20),-3.04412 # DEPENDENCYPART_ARC
(0,27),4.85584 # DEPENDENCYPART_ARC
(1,2),3.71346 # DEPENDENCYPART_ARC
(1,5),-0.979211 # DEPENDENCYPART_ARC
(2,1),-0.139461 # DEPENDENCYPART_ARC
(2,4),-2.11017 # DEPENDENCYPART_ARC
(2,5),-1.06989 # DEPENDENCYPART_ARC
(2,6),-0.815599 # DEPENDENCYPART_ARC
(2,7),-1.71183 # DEPENDENCYPART_ARC
(2,9),-2.58899 # DEPENDENCYPART_ARC
(2,10),-3.78493 # DEPENDENCYPART_ARC
(3,2),-0.80527 # DEPENDENCYPART_ARC
(4,1),2.5566 # DEPENDENCYPART_ARC
(4,2),-1.23793 # DEPENDENCYPART_ARC
(4,3),2.49096 # DEPENDENCYPART_ARC
(4,5),0.299992 # DEPENDENCYPART_ARC
(4,6),1.61655 # DEPENDENCYPART_ARC
(4,7),0.147135 # DEPENDENCYPART_ARC
(4,9),-2.299 # DEPENDENCYPART_ARC
(4,10),-3.19947 # DEPENDENCYPART_ARC
(4,11),-1.11766 # DEPENDENCYPART_ARC
(4,12),-1.22375 # DEPENDENCYPART_ARC
(4,13),-3.84724 # DEPENDENCYPART_ARC
(4,14),-5.65264 # DEPENDENCYPART_ARC
(4,15),-3.52841 # DEPENDENCYPART_ARC
(4,16),0.0529644 # DEPENDENCYPART_ARC
(5,1),-0.96344 # DEPENDENCYPART_ARC
(5,2),-0.485444 # DEPENDENCYPART_ARC
(5,4),-0.982096 # DEPENDENCYPART_ARC
(5,6),0.189111 # DEPENDENCYPART_ARC
(5,7),-1.03769 # DEPENDENCYPART_ARC
(5,10),-0.947813 # DEPENDENCYPART_ARC
(6,2),-0.825729 # DEPENDENCYPART_ARC
(6,4),-1.62407 # DEPENDENCYPART_ARC
