# _root_ V rámci pomoci Spojenců byl na území Slovenska přepravován vojenský , zdravotnický , spojovací a technický materiál .
#goldHeads=2,9,2,3,9,9,6,7,0,15,15,15,15,15,17,15,9,0,
#predictedHeads=2,9,2,3,9,9,6,7,0,15,15,15,15,15,17,15,9,0,
(0,1),-0.964965 # DEPENDENCYPART_ARC
(0,2),-1.34481 # DEPENDENCYPART_ARC
(0,3),-1.13707 # DEPENDENCYPART_ARC
(0,4),-2.38501 # DEPENDENCYPART_ARC
(0,5),-0.0163321 # DEPENDENCYPART_ARC
(0,9),-0.338624 # DEPENDENCYPART_ARC
(0,11),-0.972693 # DEPENDENCYPART_ARC
(0,13),-1.12904 # DEPENDENCYPART_ARC
(0,15),-1.41288 # DEPENDENCYPART_ARC
(0,17),-2.88952 # DEPENDENCYPART_ARC
(0,18),3.82104 # DEPENDENCYPART_ARC
(1,2),1.39943 # DEPENDENCYPART_ARC
(1,3),-3.05915 # DEPENDENCYPART_ARC
(1,4),-4.76525 # DEPENDENCYPART_ARC
(2,1),3.34684 # DEPENDENCYPART_ARC
(2,3),3.02701 # DEPENDENCYPART_ARC
(2,4),1.93152 # DEPENDENCYPART_ARC
(2,5),-0.950807 # DEPENDENCYPART_ARC
(2,6),-1.00686 # DEPENDENCYPART_ARC
(2,7),-4.77633 # DEPENDENCYPART_ARC
(2,8),0.835682 # DEPENDENCYPART_ARC
(2,9),-1.40483 # DEPENDENCYPART_ARC
(2,14),-2.9592 # DEPENDENCYPART_ARC
(2,15),-1.3612 # DEPENDENCYPART_ARC
(3,1),0.0268459 # DEPENDENCYPART_ARC
(3,2),-1.54482 # DEPENDENCYPART_ARC
(3,4),4.35321 # DEPENDENCYPART_ARC
(3,5),-1.13235 # DEPENDENCYPART_ARC
(3,6),-0.391979 # DEPENDENCYPART_ARC
(3,7),-4.86135 # DEPENDENCYPART_ARC
(3,8),1.59551 # DEPENDENCYPART_ARC
(3,9),-1.66458 # DEPENDENCYPART_ARC
(3,14),-4.01632 # DEPENDENCYPART_ARC
(3,15),-0.798035 # DEPENDENCYPART_ARC
(4,1),-1.00313 # DEPENDENCYPART_ARC
(4,2),-2.00542 # DEPENDENCYPART_ARC
(4,3),-0.851319 # DEPENDENCYPART_ARC
(4,5),-1.82517 # DEPENDENCYPART_ARC
(4,9),-1.91752 # DEPENDENCYPART_ARC
(5,1),1.53582 # DEPENDENCYPART_ARC
(5,2),-0.142085 # DEPENDENCYPART_ARC
(5,3),-1.69953 # DEPENDENCYPART_ARC
(5,4),-1.6432 # DEPENDENCYPART_ARC
(5,6),1.97641 # DEPENDENCYPART_ARC
(5,7),1.28036 # DEPENDENCYPART_ARC
(5,8),-0.971884 # DEPENDENCYPART_ARC
(5,9),-0.132285 # DEPENDENCYPART_ARC
(5,10),1.33773 # DEPENDENCYPART_ARC
(5,11),-0.289726 # DEPENDENCYPART_ARC
(5,12),-0.519594 # DEPENDENCYPART_ARC
(5,13),-0.582254 # DEPENDENCYPART_ARC
(5,14),-1.40697 # DEPENDENCYPART_ARC
(5,15),-0.733884 # DEPENDENCYPART_ARC
(5,17),-1.32743 # DEPENDENCYPART_ARC
(6,7),3.93629 # DEPENDENCYPART_ARC
(6,8),-1.07924 # DEPENDENCYPART_ARC
(6,10),-2.67407 # DEPENDENCYPART_ARC
(6,15),-1.12574 # DEPENDENCYPART_ARC
(7,5),-3.8104 # DEPENDENCYPART_ARC
(7,6),0.721752 # DEPENDENCYPART_ARC
(7,8),4.49679 # DEPENDENCYPART_ARC
(7,9),-0.315232 # DEPENDENCYPART_ARC
(7,10),-2.84228 # DEPENDENCYPART_ARC
(7,11),-0.698709 # DEPENDENCYPART_ARC
(7,12),-2.88828 # DEPENDENCYPART_ARC
(7,13),-0.74679 # DEPENDENCYPART_ARC
(7,14),-3.3346 # DEPENDENCYPART_ARC
(7,15),-0.165436 # DEPENDENCYPART_ARC
(7,17),-3.34601 # DEPENDENCYPART_ARC
(8,2),-4.24536 # DEPENDENCYPART_ARC
(8,3),-3.47528 # DEPENDENCYPART_ARC
(8,4),-1.95161 # DEPENDENCYPART_ARC
(8,5),-5.36375 # DEPENDENCYPART_ARC
(8,7),-0.468795 # DEPENDENCYPART_ARC
(8,9),-1.52134 # DEPENDENCYPART_ARC
(8,10),-3.82812 # DEPENDENCYPART_ARC
(8,12),-4.16379 # DEPENDENCYPART_ARC
(8,14),-4.68218 # DEPENDENCYPART_ARC
(9,1),1.72344 # DEPENDENCYPART_ARC
(9,2),0.407014 # DEPENDENCYPART_ARC
(9,3),-0.899821 # DEPENDENCYPART_ARC
(9,4),-1.56698 # DEPENDENCYPART_ARC
(9,5),3.14731 # DEPENDENCYPART_ARC
(9,6),2.34477 # DEPENDENCYPART_ARC
(9,7),-0.0346534 # DEPENDENCYPART_ARC
(9,8),-0.859166 # DEPENDENCYPART_ARC
(9,10),1.8383 # DEPENDENCYPART_ARC
(9,11),0.302573 # DEPENDENCYPART_ARC
(9,12),-1.09592 # DEPENDENCYPART_ARC
(9,13),0.169712 # DEPENDENCYPART_ARC
(9,15),-0.143709 # DEPENDENCYPART_ARC
(9,17),-0.641132 # DEPENDENCYPART_ARC
(9,18),-0.900653 # DEPENDENCYPART_ARC
(10,1),-1.81844 # DEPENDENCYPART_ARC
(10,6),0.190398 # DEPENDENCYPART_ARC
(10,7),-1.6763 # DEPENDENCYPART_ARC
(10,8),-2.05969 # DEPENDENCYPART_ARC
(10,11),-0.13746 # DEPENDENCYPART_ARC
(10,12),-1.36358 # DEPENDENCYPART_ARC
(10,13),-0.91355 # DEPENDENCYPART_ARC
(11,1),-0.394617 # DEPENDENCYPART_ARC
(11,2),-0.349524 # DEPENDENCYPART_ARC
(11,3),0.03352 # DEPENDENCYPART_ARC
(11,4),-0.308019 # DEPENDENCYPART_ARC
(11,5),0.546138 # DEPENDENCYPART_ARC
(11,6),-0.0371281 # DEPENDENCYPART_ARC
(11,7),1.03155 # DEPENDENCYPART_ARC
(11,8),0.475884 # DEPENDENCYPART_ARC
(11,9),0.36137 # DEPENDENCYPART_ARC
(11,10),2.584 # DEPENDENCYPART_ARC
(11,12),2.11401 # DEPENDENCYPART_ARC
(11,13),0.724337 # DEPENDENCYPART_ARC
(11,14),0.991728 # DEPENDENCYPART_ARC
(11,15),0.564863 # DEPENDENCYPART_ARC
(11,16),1.7096 # DEPENDENCYPART_ARC
(11,17),0.188468 # DEPENDENCYPART_ARC
(11,18),-0.0236851 # DEPENDENCYPART_ARC
(12,6),-1.10162 # DEPENDENCYPART_ARC
(12,10),-1.39933 # DEPENDENCYPART_ARC
(12,11),0.538396 # DEPENDENCYPART_ARC
(12,13),0.586183 # DEPENDENCYPART_ARC
(12,14),-1.24542 # DEPENDENCYPART_ARC
(12,17),-2.48267 # DEPENDENCYPART_ARC
(12,18),-1.13731 # DEPENDENCYPART_ARC
(13,1),-0.594351 # DEPENDENCYPART_ARC
(13,2),-0.881061 # DEPENDENCYPART_ARC
(13,3),-0.171675 # DEPENDENCYPART_ARC
(13,4),-0.491314 # DEPENDENCYPART_ARC
(13,5),0.385066 # DEPENDENCYPART_ARC
(13,6),-0.100036 # DEPENDENCYPART_ARC
(13,7),0.812234 # DEPENDENCYPART_ARC
(13,8),0.0438025 # DEPENDENCYPART_ARC
(13,9),0.156286 # DEPENDENCYPART_ARC
(13,10),1.92346 # DEPENDENCYPART_ARC
(13,11),1.21463 # DEPENDENCYPART_ARC
(13,12),1.88973 # DEPENDENCYPART_ARC
(13,14),1.75352 # DEPENDENCYPART_ARC
(13,15),0.0943722 # DEPENDENCYPART_ARC
(13,16),1.4976 # DEPENDENCYPART_ARC
(13,17),0.099111 # DEPENDENCYPART_ARC
(13,18),-0.380162 # DEPENDENCYPART_ARC
(14,11),-1.01114 # DEPENDENCYPART_ARC
(14,12),-1.75258 # DEPENDENCYPART_ARC
(14,13),-0.0824071 # DEPENDENCYPART_ARC
(14,18),-1.23624 # DEPENDENCYPART_ARC
(15,1),-0.748828 # DEPENDENCYPART_ARC
(15,2),-0.765907 # DEPENDENCYPART_ARC
(15,3),-0.246441 # DEPENDENCYPART_ARC
(15,4),-0.345004 # DEPENDENCYPART_ARC
(15,5),0.014123 # DEPENDENCYPART_ARC
(15,6),-0.148546 # DEPENDENCYPART_ARC
(15,7),0.908265 # DEPENDENCYPART_ARC
(15,8),0.254973 # DEPENDENCYPART_ARC
(15,9),0.195764 # DEPENDENCYPART_ARC
(15,10),2.87457 # DEPENDENCYPART_ARC
(15,11),2.10142 # DEPENDENCYPART_ARC
(15,12),3.08241 # DEPENDENCYPART_ARC
(15,13),2.42729 # DEPENDENCYPART_ARC
(15,14),4.53278 # DEPENDENCYPART_ARC
(15,16),6.60646 # DEPENDENCYPART_ARC
(15,17),1.02147 # DEPENDENCYPART_ARC
(15,18),0.00377229 # DEPENDENCYPART_ARC
(16,17),-1.24155 # DEPENDENCYPART_ARC
(16,18),-0.839867 # DEPENDENCYPART_ARC
(17,10),0.961769 # DEPENDENCYPART_ARC
(17,11),1.0073 # DEPENDENCYPART_ARC
(17,12),0.913679 # DEPENDENCYPART_ARC
(17,13),1.19634 # DEPENDENCYPART_ARC
(17,14),0.942329 # DEPENDENCYPART_ARC
(17,15),2.52941 # DEPENDENCYPART_ARC
(17,16),4.23379 # DEPENDENCYPART_ARC
(17,18),0.108907 # DEPENDENCYPART_ARC
(18,17),-3.79796 # DEPENDENCYPART_ARC
