# _root_ Obávám se , že Ivanu Hlinkovi a Stanislavu Neveselému zbyla už právě jen ta slepá víra v boží zázrak , který se nepochybně sám od sebe nedostaví .
#goldHeads=0,1,4,1,6,7,10,9,7,4,10,16,16,16,16,10,16,19,17,27,27,27,27,21,27,25,19,0,
#predictedHeads=0,1,4,1,6,7,4,7,7,4,10,16,16,16,16,10,16,19,17,27,27,27,27,21,27,25,19,0,
(0,1),-0.00223397 # DEPENDENCYPART_ARC
(0,3),-0.627378 # DEPENDENCYPART_ARC
(0,4),-2.35397 # DEPENDENCYPART_ARC
(0,5),-2.92366 # DEPENDENCYPART_ARC
(0,7),-1.82348 # DEPENDENCYPART_ARC
(0,10),-1.3657 # DEPENDENCYPART_ARC
(0,27),-3.24518 # DEPENDENCYPART_ARC
(0,28),4.24501 # DEPENDENCYPART_ARC
(1,2),3.52291 # DEPENDENCYPART_ARC
(1,3),0.317388 # DEPENDENCYPART_ARC
(1,4),1.94161 # DEPENDENCYPART_ARC
(1,5),-2.12403 # DEPENDENCYPART_ARC
(1,6),-1.07482 # DEPENDENCYPART_ARC
(1,7),0.505868 # DEPENDENCYPART_ARC
(1,8),-2.85287 # DEPENDENCYPART_ARC
(1,9),-2.15703 # DEPENDENCYPART_ARC
(1,10),-3.32775 # DEPENDENCYPART_ARC
(1,12),-1.17019 # DEPENDENCYPART_ARC
(1,13),-1.15256 # DEPENDENCYPART_ARC
(1,14),-1.3429 # DEPENDENCYPART_ARC
(1,16),-1.70836 # DEPENDENCYPART_ARC
(1,17),-1.82339 # DEPENDENCYPART_ARC
(1,19),-1.83262 # DEPENDENCYPART_ARC
(1,20),-0.534028 # DEPENDENCYPART_ARC
(1,23),-1.02811 # DEPENDENCYPART_ARC
(1,25),-1.08273 # DEPENDENCYPART_ARC
(3,1),-0.963812 # DEPENDENCYPART_ARC
(3,2),-0.459444 # DEPENDENCYPART_ARC
(3,4),-0.133539 # DEPENDENCYPART_ARC
(3,5),-1.05949 # DEPENDENCYPART_ARC
(3,7),-1.00296 # DEPENDENCYPART_ARC
(3,10),-1.21663 # DEPENDENCYPART_ARC
(4,1),-1.97776 # DEPENDENCYPART_ARC
(4,3),2.33458 # DEPENDENCYPART_ARC
(4,5),-0.576601 # DEPENDENCYPART_ARC
(4,6),-0.669489 # DEPENDENCYPART_ARC
(4,7),0.828377 # DEPENDENCYPART_ARC
(4,10),1.67959 # DEPENDENCYPART_ARC
(4,20),-0.181443 # DEPENDENCYPART_ARC
(4,27),-0.0614003 # DEPENDENCYPART_ARC
(5,2),-5.72197 # DEPENDENCYPART_ARC
(5,3),-0.966252 # DEPENDENCYPART_ARC
(5,4),-1.77147 # DEPENDENCYPART_ARC
(5,6),-1.29731 # DEPENDENCYPART_ARC
(5,7),1.71305 # DEPENDENCYPART_ARC
(5,8),-4.14473 # DEPENDENCYPART_ARC
(5,9),-1.42609 # DEPENDENCYPART_ARC
(5,10),-3.19425 # DEPENDENCYPART_ARC
(5,15),-4.75608 # DEPENDENCYPART_ARC
(5,17),-2.20173 # DEPENDENCYPART_ARC
(5,27),-2.8997 # DEPENDENCYPART_ARC
(6,4),-1.43414 # DEPENDENCYPART_ARC
(6,5),6.93735 # DEPENDENCYPART_ARC
(6,8),-3.07758 # DEPENDENCYPART_ARC
(7,1),0.0522549 # DEPENDENCYPART_ARC
(7,2),-0.385859 # DEPENDENCYPART_ARC
(7,3),0.614723 # DEPENDENCYPART_ARC
(7,4),0.124048 # DEPENDENCYPART_ARC
(7,5),1.52819 # DEPENDENCYPART_ARC
(7,6),4.00793 # DEPENDENCYPART_ARC
(7,8),3.47861 # DEPENDENCYPART_ARC
(7,9),0.511233 # DEPENDENCYPART_ARC
(7,10),0.929856 # DEPENDENCYPART_ARC
(7,11),-0.226581 # DEPENDENCYPART_ARC
(7,12),-0.499327 # DEPENDENCYPART_ARC
(7,13),-0.465608 # DEPENDENCYPART_ARC
(7,14),-0.74778 # DEPENDENCYPART_ARC
(7,15),-1.30917 # DEPENDENCYPART_ARC
(7,16),-0.713245 # DEPENDENCYPART_ARC
(7,17),-0.607474 # DEPENDENCYPART_ARC
(7,19),-0.986875 # DEPENDENCYPART_ARC
(7,20),-0.573419 # DEPENDENCYPART_ARC
(7,27),-0.087759 # DEPENDENCYPART_ARC
(8,6),-2.3347 # DEPENDENCYPART_ARC
(8,7),-0.4579 # DEPENDENCYPART_ARC
(8,9),-0.158539 # DEPENDENCYPART_ARC
(8,10),-3.16961 # DEPENDENCYPART_ARC
(8,15),-4.99941 # DEPENDENCYPART_ARC
(8,16),-4.08172 # DEPENDENCYPART_ARC
(8,17),-2.69373 # DEPENDENCYPART_ARC
(8,19),-6.35896 # DEPENDENCYPART_ARC
(8,24),-1.11425 # DEPENDENCYPART_ARC
(8,27),-2.96625 # DEPENDENCYPART_ARC
(9,1),-3.25119 # DEPENDENCYPART_ARC
(9,3),-0.481514 # DEPENDENCYPART_ARC
(9,5),1.00387 # DEPENDENCYPART_ARC
(9,6),-0.959396 # DEPENDENCYPART_ARC
(9,7),0.594618 # DEPENDENCYPART_ARC
(9,8),1.7034 # DEPENDENCYPART_ARC
(9,10),-1.4551 # DEPENDENCYPART_ARC
(9,11),-0.187606 # DEPENDENCYPART_ARC
(9,14),-2.44721 # DEPENDENCYPART_ARC
(9,16),-2.73042 # DEPENDENCYPART_ARC
(9,17),-0.541105 # DEPENDENCYPART_ARC
(9,19),-2.99924 # DEPENDENCYPART_ARC
(10,1),-0.529269 # DEPENDENCYPART_ARC
(10,2),0.270909 # DEPENDENCYPART_ARC
(10,3),-0.0660482 # DEPENDENCYPART_ARC
(10,4),-0.58724 # DEPENDENCYPART_ARC
(10,5),0.439792 # DEPENDENCYPART_ARC
(10,6),-0.730682 # DEPENDENCYPART_ARC
(10,7),0.792151 # DEPENDENCYPART_ARC
(10,8),1.39776 # DEPENDENCYPART_ARC
(10,9),0.0818712 # DEPENDENCYPART_ARC
(10,11),1.30811 # DEPENDENCYPART_ARC
(10,12),0.94633 # DEPENDENCYPART_ARC
(10,13),0.0809398 # DEPENDENCYPART_ARC
(10,14),0.124327 # DEPENDENCYPART_ARC
(10,15),-0.209254 # DEPENDENCYPART_ARC
(10,16),2.07247 # DEPENDENCYPART_ARC
(10,17),0.999787 # DEPENDENCYPART_ARC
(10,18),-2.93684 # DEPENDENCYPART_ARC
(10,19),1.58534 # DEPENDENCYPART_ARC
(10,20),0.14602 # DEPENDENCYPART_ARC
(10,23),-0.628668 # DEPENDENCYPART_ARC
(10,25),-0.259462 # DEPENDENCYPART_ARC
(10,27),-1.40762 # DEPENDENCYPART_ARC
(11,9),-1.48186 # DEPENDENCYPART_ARC
(11,12),-0.662374 # DEPENDENCYPART_ARC
(11,13),-0.914415 # DEPENDENCYPART_ARC
(12,1),-2.24208 # DEPENDENCYPART_ARC
(12,3),-2.01267 # DEPENDENCYPART_ARC
(12,7),-1.56531 # DEPENDENCYPART_ARC
(12,8),-1.67754 # DEPENDENCYPART_ARC
(12,9),-1.28393 # DEPENDENCYPART_ARC
(12,11),0.723269 # DEPENDENCYPART_ARC
(12,13),0.408703 # DEPENDENCYPART_ARC
(12,14),-0.817135 # DEPENDENCYPART_ARC
(12,15),-1.03797 # DEPENDENCYPART_ARC
(12,16),-1.33241 # DEPENDENCYPART_ARC
(13,5),-1.38363 # DEPENDENCYPART_ARC
(13,6),-1.32767 # DEPENDENCYPART_ARC
(13,8),-1.09977 # DEPENDENCYPART_ARC
(13,11),-0.39082 # DEPENDENCYPART_ARC
(13,12),0.000279278 # DEPENDENCYPART_ARC
(13,14),-0.705748 # DEPENDENCYPART_ARC
(13,15),-0.977697 # DEPENDENCYPART_ARC
(13,16),-1.68133 # DEPENDENCYPART_ARC
(13,20),-1.3658 # DEPENDENCYPART_ARC
(14,1),-2.59979 # DEPENDENCYPART_ARC
(14,4),-1.87137 # DEPENDENCYPART_ARC
(14,6),-3.37008 # DEPENDENCYPART_ARC
(14,8),-2.72144 # DEPENDENCYPART_ARC
(14,9),-2.43858 # DEPENDENCYPART_ARC
(14,11),0.0477244 # DEPENDENCYPART_ARC
(14,12),0.75905 # DEPENDENCYPART_ARC
(14,13),1.10035 # DEPENDENCYPART_ARC
(14,15),1.07274 # DEPENDENCYPART_ARC
(14,16),-0.147595 # DEPENDENCYPART_ARC
(14,17),-0.36732 # DEPENDENCYPART_ARC
(14,19),-1.56968 # DEPENDENCYPART_ARC
