# _root_ Cigarety v nákupní hodnotě asi 6 miliónů korun budou pravděpodobně dodatečně procleny , čímž se jejich prodejní cena zvýší asi o jeden milión korun , a prodány v Praze a Bratislavě .
#goldHeads=26,1,4,2,6,4,6,7,26,26,12,26,19,19,19,18,18,19,12,23,19,23,21,23,19,0,26,27,30,28,30,0,
#predictedHeads=12,1,4,2,6,4,6,7,12,12,12,13,19,19,19,18,18,19,26,23,19,23,21,23,26,0,26,27,30,28,30,0,
(0,1),-0.258673 # DEPENDENCYPART_ARC
(0,2),0.204122 # DEPENDENCYPART_ARC
(0,4),-1.05954 # DEPENDENCYPART_ARC
(0,6),-0.97771 # DEPENDENCYPART_ARC
(0,9),0.752335 # DEPENDENCYPART_ARC
(0,12),-0.480872 # DEPENDENCYPART_ARC
(0,13),0.0354691 # DEPENDENCYPART_ARC
(0,19),-1.35881 # DEPENDENCYPART_ARC
(0,22),-3.9997 # DEPENDENCYPART_ARC
(0,25),-1.11579 # DEPENDENCYPART_ARC
(0,26),0.861514 # DEPENDENCYPART_ARC
(0,27),-1.65862 # DEPENDENCYPART_ARC
(0,30),-1.05107 # DEPENDENCYPART_ARC
(0,32),4.86101 # DEPENDENCYPART_ARC
(1,2),2.03757 # DEPENDENCYPART_ARC
(1,3),-0.825239 # DEPENDENCYPART_ARC
(1,4),-0.15888 # DEPENDENCYPART_ARC
(1,5),-0.0638755 # DEPENDENCYPART_ARC
(1,6),-0.296538 # DEPENDENCYPART_ARC
(1,7),-0.679592 # DEPENDENCYPART_ARC
(1,8),-0.324987 # DEPENDENCYPART_ARC
(2,1),-3.02509 # DEPENDENCYPART_ARC
(2,3),0.363073 # DEPENDENCYPART_ARC
(2,4),4.04154 # DEPENDENCYPART_ARC
(2,7),-2.07562 # DEPENDENCYPART_ARC
(4,2),-0.236771 # DEPENDENCYPART_ARC
(4,3),4.53359 # DEPENDENCYPART_ARC
(4,5),0.352132 # DEPENDENCYPART_ARC
(4,6),0.706671 # DEPENDENCYPART_ARC
(4,7),0.0706367 # DEPENDENCYPART_ARC
(4,8),0.724021 # DEPENDENCYPART_ARC
(5,1),-1.41451 # DEPENDENCYPART_ARC
(5,2),-0.709391 # DEPENDENCYPART_ARC
(5,3),-0.695423 # DEPENDENCYPART_ARC
(5,4),-0.488295 # DEPENDENCYPART_ARC
(5,7),-0.941658 # DEPENDENCYPART_ARC
(5,8),-1.36417 # DEPENDENCYPART_ARC
(5,9),-0.857279 # DEPENDENCYPART_ARC
(5,10),-1.38802 # DEPENDENCYPART_ARC
(5,11),-1.37142 # DEPENDENCYPART_ARC
(5,12),-1.35118 # DEPENDENCYPART_ARC
(5,13),-1.14744 # DEPENDENCYPART_ARC
(6,1),-0.697999 # DEPENDENCYPART_ARC
(6,2),-0.30806 # DEPENDENCYPART_ARC
(6,3),0.498816 # DEPENDENCYPART_ARC
(6,4),-0.151686 # DEPENDENCYPART_ARC
(6,5),2.562 # DEPENDENCYPART_ARC
(6,7),2.89052 # DEPENDENCYPART_ARC
(6,8),0.785276 # DEPENDENCYPART_ARC
(7,3),-3.49985 # DEPENDENCYPART_ARC
