# _root_ Se Zlínem jsem loni uhrál v Ostravě bezbrankovou remízu , proto si myslím , že ani s Brnem nejsem bez šancí .
#goldHeads=5,1,5,5,11,5,6,9,5,11,0,13,11,15,13,18,19,17,15,19,20,0,
#predictedHeads=5,1,5,5,11,5,6,9,5,11,0,13,11,15,13,18,19,17,15,19,20,0,
(0,1),-0.864044 # DEPENDENCYPART_ARC
(0,3),0.378425 # DEPENDENCYPART_ARC
(0,4),-1.23965 # DEPENDENCYPART_ARC
(0,5),-0.593673 # DEPENDENCYPART_ARC
(0,10),-0.523221 # DEPENDENCYPART_ARC
(0,11),0.224357 # DEPENDENCYPART_ARC
(0,13),-1.76199 # DEPENDENCYPART_ARC
(0,14),-0.941596 # DEPENDENCYPART_ARC
(0,19),-1.38533 # DEPENDENCYPART_ARC
(0,22),4.62134 # DEPENDENCYPART_ARC
(1,2),4.8243 # DEPENDENCYPART_ARC
(2,3),-0.746537 # DEPENDENCYPART_ARC
(2,4),-0.376636 # DEPENDENCYPART_ARC
(2,5),-2.54784 # DEPENDENCYPART_ARC
(2,8),-4.29286 # DEPENDENCYPART_ARC
(3,1),0.564495 # DEPENDENCYPART_ARC
(3,2),-1.3289 # DEPENDENCYPART_ARC
(3,4),1.15568 # DEPENDENCYPART_ARC
(3,5),-1.81179 # DEPENDENCYPART_ARC
(3,6),-0.359499 # DEPENDENCYPART_ARC
(3,7),-3.37648 # DEPENDENCYPART_ARC
(3,8),-3.3099 # DEPENDENCYPART_ARC
(3,9),-0.712299 # DEPENDENCYPART_ARC
(3,10),-0.188988 # DEPENDENCYPART_ARC
(3,11),-0.535614 # DEPENDENCYPART_ARC
(3,13),-3.98687 # DEPENDENCYPART_ARC
(3,14),-0.714828 # DEPENDENCYPART_ARC
(3,15),-2.58375 # DEPENDENCYPART_ARC
(4,1),-0.893947 # DEPENDENCYPART_ARC
(4,3),-0.835947 # DEPENDENCYPART_ARC
(5,1),1.70649 # DEPENDENCYPART_ARC
(5,2),0.874654 # DEPENDENCYPART_ARC
(5,3),2.74728 # DEPENDENCYPART_ARC
(5,4),2.73874 # DEPENDENCYPART_ARC
(5,6),2.664 # DEPENDENCYPART_ARC
(5,7),-0.64315 # DEPENDENCYPART_ARC
(5,8),-1.82779 # DEPENDENCYPART_ARC
(5,9),1.66 # DEPENDENCYPART_ARC
(5,10),0.469352 # DEPENDENCYPART_ARC
(5,11),0.949913 # DEPENDENCYPART_ARC
(5,13),0.476986 # DEPENDENCYPART_ARC
(5,14),0.197371 # DEPENDENCYPART_ARC
(5,15),-0.3932 # DEPENDENCYPART_ARC
(5,16),-0.441522 # DEPENDENCYPART_ARC
(5,17),-1.65477 # DEPENDENCYPART_ARC
(5,19),-2.63644 # DEPENDENCYPART_ARC
(5,20),-1.43951 # DEPENDENCYPART_ARC
(6,7),4.14125 # DEPENDENCYPART_ARC
(6,8),-1.81202 # DEPENDENCYPART_ARC
(6,9),-2.37164 # DEPENDENCYPART_ARC
(7,1),-0.995674 # DEPENDENCYPART_ARC
(7,4),-0.451558 # DEPENDENCYPART_ARC
(7,6),1.08148 # DEPENDENCYPART_ARC
(7,8),-0.610812 # DEPENDENCYPART_ARC
(7,9),-2.51397 # DEPENDENCYPART_ARC
(7,10),-0.795799 # DEPENDENCYPART_ARC
(7,11),-0.798558 # DEPENDENCYPART_ARC
(7,13),-1.85572 # DEPENDENCYPART_ARC
(7,15),-1.5494 # DEPENDENCYPART_ARC
(7,17),-2.83158 # DEPENDENCYPART_ARC
(8,1),-0.269093 # DEPENDENCYPART_ARC
(8,4),-0.70145 # DEPENDENCYPART_ARC
(8,6),0.365408 # DEPENDENCYPART_ARC
(8,7),-1.20247 # DEPENDENCYPART_ARC
(8,9),0.203436 # DEPENDENCYPART_ARC
(8,11),-0.397207 # DEPENDENCYPART_ARC
(8,15),-0.973852 # DEPENDENCYPART_ARC
(9,4),-0.485615 # DEPENDENCYPART_ARC
(9,6),0.0788272 # DEPENDENCYPART_ARC
(9,7),-0.801792 # DEPENDENCYPART_ARC
(9,8),5.38166 # DEPENDENCYPART_ARC
(9,10),-0.234741 # DEPENDENCYPART_ARC
(9,11),0.00865051 # DEPENDENCYPART_ARC
(9,13),-0.0348324 # DEPENDENCYPART_ARC
(9,15),-0.906904 # DEPENDENCYPART_ARC
(9,19),-2.99431 # DEPENDENCYPART_ARC
(10,3),-0.765307 # DEPENDENCYPART_ARC
(10,5),-0.638843 # DEPENDENCYPART_ARC
(10,6),-0.490868 # DEPENDENCYPART_ARC
(10,7),0.135053 # DEPENDENCYPART_ARC
(10,8),-0.72204 # DEPENDENCYPART_ARC
(10,9),-0.609145 # DEPENDENCYPART_ARC
(10,11),-0.007335 # DEPENDENCYPART_ARC
(10,13),0.0696319 # DEPENDENCYPART_ARC
(10,14),-0.256318 # DEPENDENCYPART_ARC
(10,15),-0.408147 # DEPENDENCYPART_ARC
(10,16),-0.86658 # DEPENDENCYPART_ARC
(10,19),-1.17742 # DEPENDENCYPART_ARC
(10,20),-2.06104 # DEPENDENCYPART_ARC
(11,1),-1.42702 # DEPENDENCYPART_ARC
(11,2),-0.573451 # DEPENDENCYPART_ARC
(11,3),1.19632 # DEPENDENCYPART_ARC
(11,4),0.43675 # DEPENDENCYPART_ARC
(11,5),1.6663 # DEPENDENCYPART_ARC
(11,6),-0.440799 # DEPENDENCYPART_ARC
(11,7),0.686211 # DEPENDENCYPART_ARC
(11,8),-0.0716494 # DEPENDENCYPART_ARC
(11,9),0.0738665 # DEPENDENCYPART_ARC
(11,10),2.39284 # DEPENDENCYPART_ARC
(11,12),-0.865949 # DEPENDENCYPART_ARC
(11,13),1.6375 # DEPENDENCYPART_ARC
(11,14),0.635303 # DEPENDENCYPART_ARC
(11,15),-1.20017 # DEPENDENCYPART_ARC
(11,16),-1.72574 # DEPENDENCYPART_ARC
(11,17),-1.62715 # DEPENDENCYPART_ARC
(11,19),-0.631478 # DEPENDENCYPART_ARC
(11,20),-2.55814 # DEPENDENCYPART_ARC
(11,22),-0.203261 # DEPENDENCYPART_ARC
(13,1),-0.897458 # DEPENDENCYPART_ARC
(13,2),-1.93642 # DEPENDENCYPART_ARC
(13,3),-2.52002 # DEPENDENCYPART_ARC
(13,4),-0.326915 # DEPENDENCYPART_ARC
(13,5),-2.60215 # DEPENDENCYPART_ARC
(13,6),-0.636029 # DEPENDENCYPART_ARC
(13,7),-2.80834 # DEPENDENCYPART_ARC
(13,8),-3.40105 # DEPENDENCYPART_ARC
(13,9),-1.48739 # DEPENDENCYPART_ARC
(13,10),0.244294 # DEPENDENCYPART_ARC
(13,11),-0.350341 # DEPENDENCYPART_ARC
(13,12),3.55986 # DEPENDENCYPART_ARC
(13,14),0.766351 # DEPENDENCYPART_ARC
(13,15),2.31403 # DEPENDENCYPART_ARC
(13,16),0.129924 # DEPENDENCYPART_ARC
(13,17),-1.50105 # DEPENDENCYPART_ARC
(13,19),-2.36114 # DEPENDENCYPART_ARC
(13,20),-1.66336 # DEPENDENCYPART_ARC
(14,3),-1.25203 # DEPENDENCYPART_ARC
(14,5),-0.911416 # DEPENDENCYPART_ARC
(14,7),-0.609231 # DEPENDENCYPART_ARC
(14,10),-0.0446172 # DEPENDENCYPART_ARC
(14,12),-0.616391 # DEPENDENCYPART_ARC
(14,16),-1.16338 # DEPENDENCYPART_ARC
(14,17),-1.79141 # DEPENDENCYPART_ARC
(14,19),-1.02006 # DEPENDENCYPART_ARC
(14,20),-1.85224 # DEPENDENCYPART_ARC
(15,3),-3.07093 # DEPENDENCYPART_ARC
(15,5),-2.77609 # DEPENDENCYPART_ARC
(15,9),-1.86508 # DEPENDENCYPART_ARC
(15,10),0.652816 # DEPENDENCYPART_ARC
(15,11),1.19048 # DEPENDENCYPART_ARC
(15,13),-1.57657 # DEPENDENCYPART_ARC
(15,14),3.72959 # DEPENDENCYPART_ARC
(15,16),0.26741 # DEPENDENCYPART_ARC
(15,17),0.24344 # DEPENDENCYPART_ARC
(15,19),1.90851 # DEPENDENCYPART_ARC
(15,20),-1.35242 # DEPENDENCYPART_ARC
(15,22),-0.259967 # DEPENDENCYPART_ARC
(16,1),-1.29215 # DEPENDENCYPART_ARC
(16,5),-2.50528 # DEPENDENCYPART_ARC
