# _root_ Světová návrhářská smetánka se totiž rozhodla všem , které jsou nevšímavé vůči kouzlu negližé , vyhlásit nelítostný boj a ve svých kolekcích povýšit prádlo do řad oficiálního svrchního ošacení .
#goldHeads=3,3,6,6,6,0,16,10,10,7,10,11,12,13,10,19,18,16,6,23,22,20,19,23,23,25,29,29,26,0,
#predictedHeads=3,3,6,6,6,0,6,10,10,7,10,11,12,13,10,19,18,16,10,23,22,20,19,23,23,25,29,29,26,0,
(0,1),-0.55771 # DEPENDENCYPART_ARC
(0,2),-0.654579 # DEPENDENCYPART_ARC
(0,3),-1.40942 # DEPENDENCYPART_ARC
(0,5),-0.694117 # DEPENDENCYPART_ARC
(0,6),0.295409 # DEPENDENCYPART_ARC
(0,7),-2.03494 # DEPENDENCYPART_ARC
(0,8),-0.12561 # DEPENDENCYPART_ARC
(0,9),-2.34412 # DEPENDENCYPART_ARC
(0,10),-1.34118 # DEPENDENCYPART_ARC
(0,15),-0.854934 # DEPENDENCYPART_ARC
(0,16),-0.525017 # DEPENDENCYPART_ARC
(0,19),-1.00608 # DEPENDENCYPART_ARC
(0,23),-2.07665 # DEPENDENCYPART_ARC
(0,30),4.58147 # DEPENDENCYPART_ARC
(1,2),-0.799655 # DEPENDENCYPART_ARC
(1,3),-0.909523 # DEPENDENCYPART_ARC
(1,5),-0.970901 # DEPENDENCYPART_ARC
(1,6),-3.39975 # DEPENDENCYPART_ARC
(2,1),-0.228384 # DEPENDENCYPART_ARC
(2,4),-0.690275 # DEPENDENCYPART_ARC
(3,1),4.078 # DEPENDENCYPART_ARC
(3,2),4.90442 # DEPENDENCYPART_ARC
(3,4),-0.296282 # DEPENDENCYPART_ARC
(3,5),-0.19436 # DEPENDENCYPART_ARC
(3,6),-1.3524 # DEPENDENCYPART_ARC
(3,7),-0.955823 # DEPENDENCYPART_ARC
(3,10),-2.01523 # DEPENDENCYPART_ARC
(5,1),-1.17575 # DEPENDENCYPART_ARC
(5,3),-1.3969 # DEPENDENCYPART_ARC
(5,6),-1.01554 # DEPENDENCYPART_ARC
(5,7),-1.28258 # DEPENDENCYPART_ARC
(6,1),-0.268338 # DEPENDENCYPART_ARC
(6,2),-0.652661 # DEPENDENCYPART_ARC
(6,3),2.15212 # DEPENDENCYPART_ARC
(6,4),3.78702 # DEPENDENCYPART_ARC
(6,5),2.84542 # DEPENDENCYPART_ARC
(6,7),2.03792 # DEPENDENCYPART_ARC
(6,8),0.41774 # DEPENDENCYPART_ARC
(6,10),-1.40199 # DEPENDENCYPART_ARC
(6,11),-1.51046 # DEPENDENCYPART_ARC
(6,12),0.203509 # DEPENDENCYPART_ARC
(6,13),-1.5928 # DEPENDENCYPART_ARC
(6,14),-1.31727 # DEPENDENCYPART_ARC
(6,15),0.665246 # DEPENDENCYPART_ARC
(6,16),0.10576 # DEPENDENCYPART_ARC
(6,18),-1.06573 # DEPENDENCYPART_ARC
(6,19),-0.540351 # DEPENDENCYPART_ARC
(6,22),-3.6955 # DEPENDENCYPART_ARC
(6,23),-0.46109 # DEPENDENCYPART_ARC
(6,25),-1.51129 # DEPENDENCYPART_ARC
(6,29),-5.48669 # DEPENDENCYPART_ARC
(7,5),-0.381932 # DEPENDENCYPART_ARC
(7,8),0.244484 # DEPENDENCYPART_ARC
(7,10),2.68384 # DEPENDENCYPART_ARC
(7,12),-0.454161 # DEPENDENCYPART_ARC
(8,3),-2.39991 # DEPENDENCYPART_ARC
(8,4),-1.70764 # DEPENDENCYPART_ARC
(8,6),-1.23777 # DEPENDENCYPART_ARC
(8,7),-1.0591 # DEPENDENCYPART_ARC
(8,10),-0.130336 # DEPENDENCYPART_ARC
(8,11),-1.54941 # DEPENDENCYPART_ARC
(8,16),-1.40302 # DEPENDENCYPART_ARC
(9,8),-0.318942 # DEPENDENCYPART_ARC
(9,10),-0.425264 # DEPENDENCYPART_ARC
(9,11),-0.702675 # DEPENDENCYPART_ARC
(10,1),-1.48665 # DEPENDENCYPART_ARC
(10,2),-1.93538 # DEPENDENCYPART_ARC
(10,3),-1.12465 # DEPENDENCYPART_ARC
(10,4),-0.897851 # DEPENDENCYPART_ARC
(10,5),0.203294 # DEPENDENCYPART_ARC
