# _root_ Kdo tomu věří i dnes , vidí - stejně jako dřív - svět jako rejdiště ideologů , a útočných záměrů .
#goldHeads=3,3,7,5,3,3,0,9,7,9,10,9,7,15,13,18,18,15,20,18,0,
#predictedHeads=3,3,6,5,3,7,0,9,7,9,10,9,12,9,14,15,18,15,20,18,0,
(0,1),-1.62287 # DEPENDENCYPART_ARC
(0,2),-1.69335 # DEPENDENCYPART_ARC
(0,3),-0.22415 # DEPENDENCYPART_ARC
(0,4),-2.38294 # DEPENDENCYPART_ARC
(0,5),-1.64541 # DEPENDENCYPART_ARC
(0,6),-0.516078 # DEPENDENCYPART_ARC
(0,7),0.0255157 # DEPENDENCYPART_ARC
(0,8),-0.433995 # DEPENDENCYPART_ARC
(0,9),-1.95918 # DEPENDENCYPART_ARC
(0,12),-0.621083 # DEPENDENCYPART_ARC
(0,18),-1.7598 # DEPENDENCYPART_ARC
(0,21),3.89716 # DEPENDENCYPART_ARC
(2,3),-0.471525 # DEPENDENCYPART_ARC
(2,4),-0.0235895 # DEPENDENCYPART_ARC
(2,7),-2.24104 # DEPENDENCYPART_ARC
(3,1),1.95924 # DEPENDENCYPART_ARC
(3,2),2.57061 # DEPENDENCYPART_ARC
(3,4),-0.238393 # DEPENDENCYPART_ARC
(3,5),1.45109 # DEPENDENCYPART_ARC
(3,6),0.832393 # DEPENDENCYPART_ARC
(3,7),-1.3528 # DEPENDENCYPART_ARC
(3,8),-0.622084 # DEPENDENCYPART_ARC
(3,9),-0.552907 # DEPENDENCYPART_ARC
(3,10),-0.191006 # DEPENDENCYPART_ARC
(3,17),-0.186066 # DEPENDENCYPART_ARC
(3,18),-0.734778 # DEPENDENCYPART_ARC
(4,1),-0.205092 # DEPENDENCYPART_ARC
(4,2),0.175845 # DEPENDENCYPART_ARC
(4,3),0.0202433 # DEPENDENCYPART_ARC
(4,5),0.432502 # DEPENDENCYPART_ARC
(4,6),0.657666 # DEPENDENCYPART_ARC
(4,7),-0.135558 # DEPENDENCYPART_ARC
(4,8),-0.576948 # DEPENDENCYPART_ARC
(4,9),-1.37139 # DEPENDENCYPART_ARC
(4,10),-1.49952 # DEPENDENCYPART_ARC
(4,11),-1.07594 # DEPENDENCYPART_ARC
(4,12),-0.544214 # DEPENDENCYPART_ARC
(4,19),-1.99502 # DEPENDENCYPART_ARC
(5,2),-0.0156322 # DEPENDENCYPART_ARC
(5,3),0.0896881 # DEPENDENCYPART_ARC
(5,4),2.07698 # DEPENDENCYPART_ARC
(5,6),-0.213108 # DEPENDENCYPART_ARC
(6,2),0.172672 # DEPENDENCYPART_ARC
(6,3),0.672784 # DEPENDENCYPART_ARC
(6,4),0.438065 # DEPENDENCYPART_ARC
(6,5),0.271117 # DEPENDENCYPART_ARC
(6,7),0.613778 # DEPENDENCYPART_ARC
(6,8),-0.00983825 # DEPENDENCYPART_ARC
(6,9),-0.316429 # DEPENDENCYPART_ARC
(6,10),-1.02844 # DEPENDENCYPART_ARC
(7,1),0.61072 # DEPENDENCYPART_ARC
(7,2),1.08623 # DEPENDENCYPART_ARC
(7,3),-0.288955 # DEPENDENCYPART_ARC
(7,4),0.666899 # DEPENDENCYPART_ARC
(7,5),1.26404 # DEPENDENCYPART_ARC
(7,6),1.01382 # DEPENDENCYPART_ARC
(7,8),0.481944 # DEPENDENCYPART_ARC
(7,9),0.896536 # DEPENDENCYPART_ARC
(7,10),0.903341 # DEPENDENCYPART_ARC
(7,11),0.4458 # DEPENDENCYPART_ARC
(7,12),0.199148 # DEPENDENCYPART_ARC
(7,13),-1.41969 # DEPENDENCYPART_ARC
(7,14),0.173937 # DEPENDENCYPART_ARC
(7,15),-1.90869 # DEPENDENCYPART_ARC
(7,16),-3.38471 # DEPENDENCYPART_ARC
(7,17),0.644572 # DEPENDENCYPART_ARC
(7,18),0.0546151 # DEPENDENCYPART_ARC
(7,19),-7.21901 # DEPENDENCYPART_ARC
(7,20),-3.81222 # DEPENDENCYPART_ARC
(7,21),-0.0608908 # DEPENDENCYPART_ARC
(8,2),0.0965026 # DEPENDENCYPART_ARC
(8,3),-0.177673 # DEPENDENCYPART_ARC
(8,4),0.300021 # DEPENDENCYPART_ARC
(8,5),0.01126 # DEPENDENCYPART_ARC
(8,6),-0.13063 # DEPENDENCYPART_ARC
(8,7),0.274931 # DEPENDENCYPART_ARC
(8,9),-0.118914 # DEPENDENCYPART_ARC
(8,10),-0.130053 # DEPENDENCYPART_ARC
(8,11),-0.404405 # DEPENDENCYPART_ARC
(8,12),-0.256466 # DEPENDENCYPART_ARC
(8,13),-0.81436 # DEPENDENCYPART_ARC
(8,14),-0.590949 # DEPENDENCYPART_ARC
(8,18),-0.48507 # DEPENDENCYPART_ARC
(9,2),0.14029 # DEPENDENCYPART_ARC
(9,3),-0.13436 # DEPENDENCYPART_ARC
(9,4),0.235802 # DEPENDENCYPART_ARC
(9,5),0.0213634 # DEPENDENCYPART_ARC
(9,6),0.613228 # DEPENDENCYPART_ARC
(9,7),0.181752 # DEPENDENCYPART_ARC
(9,8),1.73087 # DEPENDENCYPART_ARC
(9,10),2.8497 # DEPENDENCYPART_ARC
(9,11),0.377378 # DEPENDENCYPART_ARC
(9,12),1.10269 # DEPENDENCYPART_ARC
(9,13),-0.13754 # DEPENDENCYPART_ARC
(9,14),1.71169 # DEPENDENCYPART_ARC
(9,15),-0.511442 # DEPENDENCYPART_ARC
(9,16),0.412705 # DEPENDENCYPART_ARC
(9,17),1.11345 # DEPENDENCYPART_ARC
(9,21),-0.838842 # DEPENDENCYPART_ARC
(10,5),-1.16778 # DEPENDENCYPART_ARC
(10,6),-0.533482 # DEPENDENCYPART_ARC
(10,7),-1.45011 # DEPENDENCYPART_ARC
(10,8),-0.15194 # DEPENDENCYPART_ARC
(10,9),0.281859 # DEPENDENCYPART_ARC
(10,11),2.8023 # DEPENDENCYPART_ARC
(10,12),0.320082 # DEPENDENCYPART_ARC
(10,13),0.536517 # DEPENDENCYPART_ARC
(10,14),-0.20901 # DEPENDENCYPART_ARC
(10,15),-0.718282 # DEPENDENCYPART_ARC
(10,16),-0.907488 # DEPENDENCYPART_ARC
(10,17),-0.125101 # DEPENDENCYPART_ARC
(10,18),-0.247665 # DEPENDENCYPART_ARC
(10,20),-1.42236 # DEPENDENCYPART_ARC
(10,21),-0.681655 # DEPENDENCYPART_ARC
(11,4),0.299007 # DEPENDENCYPART_ARC
(11,5),-0.405559 # DEPENDENCYPART_ARC
(11,6),-0.213733 # DEPENDENCYPART_ARC
(11,8),0.520244 # DEPENDENCYPART_ARC
(11,9),1.3261 # DEPENDENCYPART_ARC
(11,10),1.23215 # DEPENDENCYPART_ARC
(11,12),0.527585 # DEPENDENCYPART_ARC
(11,13),-1.18858 # DEPENDENCYPART_ARC
(11,14),0.558603 # DEPENDENCYPART_ARC
(11,15),-1.60191 # DEPENDENCYPART_ARC
(11,20),-0.286052 # DEPENDENCYPART_ARC
(11,21),-1.85162 # DEPENDENCYPART_ARC
(12,2),0.174636 # DEPENDENCYPART_ARC
(12,3),-0.435355 # DEPENDENCYPART_ARC
(12,5),-0.968371 # DEPENDENCYPART_ARC
(12,7),-0.296041 # DEPENDENCYPART_ARC
(12,8),0.10763 # DEPENDENCYPART_ARC
(12,9),-0.0923466 # DEPENDENCYPART_ARC
(12,10),0.604227 # DEPENDENCYPART_ARC
(12,11),0.487583 # DEPENDENCYPART_ARC
(12,13),1.37858 # DEPENDENCYPART_ARC
(12,14),0.382376 # DEPENDENCYPART_ARC
(12,15),-0.0804799 # DEPENDENCYPART_ARC
(12,16),-0.0770094 # DEPENDENCYPART_ARC
(12,17),0.149206 # DEPENDENCYPART_ARC
(12,18),0.0658349 # DEPENDENCYPART_ARC
(12,19),-0.551039 # DEPENDENCYPART_ARC
(12,20),-1.17622 # DEPENDENCYPART_ARC
(12,21),-0.230495 # DEPENDENCYPART_ARC
(13,10),0.438689 # DEPENDENCYPART_ARC
(13,11),-1.69533 # DEPENDENCYPART_ARC
(13,12),-0.46123 # DEPENDENCYPART_ARC
(13,14),0.0973868 # DEPENDENCYPART_ARC
(13,15),0.730661 # DEPENDENCYPART_ARC
(13,16),1.06283 # DEPENDENCYPART_ARC
(13,19),-3.25495 # DEPENDENCYPART_ARC
(13,20),0.315766 # DEPENDENCYPART_ARC
(14,11),-1.03811 # DEPENDENCYPART_ARC
(14,12),-0.537276 # DEPENDENCYPART_ARC
(14,13),0.594184 # DEPENDENCYPART_ARC
(14,15),2.12132 # DEPENDENCYPART_ARC
(14,16),0.986131 # DEPENDENCYPART_ARC
(14,17),-0.186267 # DEPENDENCYPART_ARC
(14,18),-0.00552043 # DEPENDENCYPART_ARC
(14,20),-0.564265 # DEPENDENCYPART_ARC
(14,21),-0.762452 # DEPENDENCYPART_ARC
(15,11),-1.92941 # DEPENDENCYPART_ARC
(15,13),-2.17101 # DEPENDENCYPART_ARC
(15,14),1.63601 # DEPENDENCYPART_ARC
(15,16),2.59119 # DEPENDENCYPART_ARC
(15,17),-0.478585 # DEPENDENCYPART_ARC
(15,18),0.301677 # DEPENDENCYPART_ARC
(15,19),-3.12575 # DEPENDENCYPART_ARC
(15,20),0.241389 # DEPENDENCYPART_ARC
(16,13),-5.95134 # DEPENDENCYPART_ARC
(16,14),0.738077 # DEPENDENCYPART_ARC
(16,15),-1.74871 # DEPENDENCYPART_ARC
(16,17),-0.555596 # DEPENDENCYPART_ARC
(16,18),0.0474274 # DEPENDENCYPART_ARC
(16,19),-1.53904 # DEPENDENCYPART_ARC
(16,20),0.0701748 # DEPENDENCYPART_ARC
(17,16),-0.627275 # DEPENDENCYPART_ARC
(17,19),-1.50295 # DEPENDENCYPART_ARC
(18,1),-0.575215 # DEPENDENCYPART_ARC
(18,2),-1.54065 # DEPENDENCYPART_ARC
(18,3),-1.27502 # DEPENDENCYPART_ARC
(18,4),-0.397148 # DEPENDENCYPART_ARC
(18,6),-0.341718 # DEPENDENCYPART_ARC
(18,7),-0.215846 # DEPENDENCYPART_ARC
(18,8),-0.0252898 # DEPENDENCYPART_ARC
