# _root_ Havel se vyslovil pro to , co si myslí většina na obou stranách : Měli bychom hledět do budoucnosti , aniž by se zapomnělo poučení minulosti .
#goldHeads=3,3,0,3,14,9,9,9,5,9,10,13,11,4,14,15,15,17,18,21,17,24,24,21,24,25,0,
#predictedHeads=3,3,0,3,4,9,9,9,5,9,10,13,11,9,5,15,15,17,18,21,15,24,24,21,24,25,0,
(0,1),-1.5185 # DEPENDENCYPART_ARC
(0,3),-0.188317 # DEPENDENCYPART_ARC
(0,4),-2.20016 # DEPENDENCYPART_ARC
(0,5),-2.40213 # DEPENDENCYPART_ARC
(0,6),-0.663719 # DEPENDENCYPART_ARC
(0,7),-1.50784 # DEPENDENCYPART_ARC
(0,9),-1.0907 # DEPENDENCYPART_ARC
(0,14),-0.436084 # DEPENDENCYPART_ARC
(0,15),-0.283793 # DEPENDENCYPART_ARC
(0,17),-2.79218 # DEPENDENCYPART_ARC
(0,20),-1.54296 # DEPENDENCYPART_ARC
(0,24),-2.98292 # DEPENDENCYPART_ARC
(0,27),3.8934 # DEPENDENCYPART_ARC
(1,2),-0.466353 # DEPENDENCYPART_ARC
(1,3),-1.15198 # DEPENDENCYPART_ARC
(1,4),-3.05955 # DEPENDENCYPART_ARC
(1,5),-2.49405 # DEPENDENCYPART_ARC
(1,9),-1.46633 # DEPENDENCYPART_ARC
(3,1),3.23936 # DEPENDENCYPART_ARC
(3,2),3.66139 # DEPENDENCYPART_ARC
(3,4),2.13535 # DEPENDENCYPART_ARC
(3,5),0.900554 # DEPENDENCYPART_ARC
(3,6),0.321939 # DEPENDENCYPART_ARC
(3,7),-1.7626 # DEPENDENCYPART_ARC
(3,9),-1.0331 # DEPENDENCYPART_ARC
(3,10),-0.494143 # DEPENDENCYPART_ARC
(3,11),-0.0402815 # DEPENDENCYPART_ARC
(3,12),-3.35561 # DEPENDENCYPART_ARC
(3,13),-2.50296 # DEPENDENCYPART_ARC
(3,14),0.796581 # DEPENDENCYPART_ARC
(3,17),-2.04899 # DEPENDENCYPART_ARC
(3,18),-1.78759 # DEPENDENCYPART_ARC
(3,20),-0.722025 # DEPENDENCYPART_ARC
(3,21),-1.29241 # DEPENDENCYPART_ARC
(4,1),-3.76952 # DEPENDENCYPART_ARC
(4,5),3.93003 # DEPENDENCYPART_ARC
(4,6),0.230127 # DEPENDENCYPART_ARC
(5,1),-2.08466 # DEPENDENCYPART_ARC
(5,3),-0.690669 # DEPENDENCYPART_ARC
(5,6),0.191435 # DEPENDENCYPART_ARC
(5,7),0.170237 # DEPENDENCYPART_ARC
(5,9),2.74171 # DEPENDENCYPART_ARC
(5,10),-0.8746 # DEPENDENCYPART_ARC
(5,11),-0.556075 # DEPENDENCYPART_ARC
(5,15),0.545511 # DEPENDENCYPART_ARC
(5,20),1.97548 # DEPENDENCYPART_ARC
(6,1),-0.938187 # DEPENDENCYPART_ARC
(6,2),-0.752487 # DEPENDENCYPART_ARC
(6,3),0.133894 # DEPENDENCYPART_ARC
(6,4),-0.391096 # DEPENDENCYPART_ARC
(6,5),0.136684 # DEPENDENCYPART_ARC
(6,7),-0.285529 # DEPENDENCYPART_ARC
(6,9),0.51335 # DEPENDENCYPART_ARC
(6,11),-1.25756 # DEPENDENCYPART_ARC
(6,14),0.196032 # DEPENDENCYPART_ARC
(6,15),-0.461093 # DEPENDENCYPART_ARC
(6,17),-1.55121 # DEPENDENCYPART_ARC
(6,24),-3.0056 # DEPENDENCYPART_ARC
(7,6),0.211585 # DEPENDENCYPART_ARC
(7,10),-0.445983 # DEPENDENCYPART_ARC
(7,11),-0.683795 # DEPENDENCYPART_ARC
(7,13),-0.602183 # DEPENDENCYPART_ARC
(9,1),1.16413 # DEPENDENCYPART_ARC
(9,2),0.158103 # DEPENDENCYPART_ARC
(9,3),-1.54923 # DEPENDENCYPART_ARC
(9,4),0.431691 # DEPENDENCYPART_ARC
(9,5),-1.30825 # DEPENDENCYPART_ARC
(9,6),2.37538 # DEPENDENCYPART_ARC
(9,7),1.6966 # DEPENDENCYPART_ARC
(9,8),3.21465 # DEPENDENCYPART_ARC
(9,10),3.94219 # DEPENDENCYPART_ARC
(9,11),1.49228 # DEPENDENCYPART_ARC
(9,12),-2.45411 # DEPENDENCYPART_ARC
(9,13),-0.149559 # DEPENDENCYPART_ARC
(9,14),1.05842 # DEPENDENCYPART_ARC
(9,15),-2.40795 # DEPENDENCYPART_ARC
(9,17),-1.38182 # DEPENDENCYPART_ARC
(9,18),-0.744587 # DEPENDENCYPART_ARC
(9,20),-0.0966616 # DEPENDENCYPART_ARC
(9,21),-0.111286 # DEPENDENCYPART_ARC
(9,24),-5.96649 # DEPENDENCYPART_ARC
(10,8),-2.76677 # DEPENDENCYPART_ARC
(10,11),1.88145 # DEPENDENCYPART_ARC
(10,12),-0.753462 # DEPENDENCYPART_ARC
(10,13),-0.904021 # DEPENDENCYPART_ARC
(10,14),-0.570576 # DEPENDENCYPART_ARC
(10,15),-1.55455 # DEPENDENCYPART_ARC
(10,17),-1.57877 # DEPENDENCYPART_ARC
(10,21),-1.489 # DEPENDENCYPART_ARC
(11,10),-1.46062 # DEPENDENCYPART_ARC
(11,12),1.40755 # DEPENDENCYPART_ARC
(11,13),4.23178 # DEPENDENCYPART_ARC
(11,14),0.038618 # DEPENDENCYPART_ARC
(12,13),2.52129 # DEPENDENCYPART_ARC
(12,15),-3.34833 # DEPENDENCYPART_ARC
(12,18),-1.95903 # DEPENDENCYPART_ARC
(13,4),-0.890533 # DEPENDENCYPART_ARC
(13,5),-2.86737 # DEPENDENCYPART_ARC
(13,8),-2.82565 # DEPENDENCYPART_ARC
(13,10),-0.669863 # DEPENDENCYPART_ARC
(13,11),-0.169047 # DEPENDENCYPART_ARC
(13,12),3.85846 # DEPENDENCYPART_ARC
(13,14),-0.670791 # DEPENDENCYPART_ARC
(13,15),-1.42298 # DEPENDENCYPART_ARC
(13,16),-1.32295 # DEPENDENCYPART_ARC
(13,17),-2.36169 # DEPENDENCYPART_ARC
(14,1),-0.807951 # DEPENDENCYPART_ARC
(14,3),-0.363264 # DEPENDENCYPART_ARC
(14,4),-1.0496 # DEPENDENCYPART_ARC
(14,5),0.248592 # DEPENDENCYPART_ARC
(14,6),-0.992671 # DEPENDENCYPART_ARC
(14,9),-0.018225 # DEPENDENCYPART_ARC
(14,10),0.365672 # DEPENDENCYPART_ARC
(14,11),0.108148 # DEPENDENCYPART_ARC
(14,12),0.587693 # DEPENDENCYPART_ARC
(14,13),0.182846 # DEPENDENCYPART_ARC
(14,15),0.163471 # DEPENDENCYPART_ARC
(14,17),-0.43501 # DEPENDENCYPART_ARC
(14,18),-1.34408 # DEPENDENCYPART_ARC
(14,19),-1.77082 # DEPENDENCYPART_ARC
(14,20),0.630328 # DEPENDENCYPART_ARC
(14,21),-0.28601 # DEPENDENCYPART_ARC
(14,24),-1.56941 # DEPENDENCYPART_ARC
(15,1),-0.594928 # DEPENDENCYPART_ARC
(15,2),-1.75061 # DEPENDENCYPART_ARC
(15,3),-4.09627 # DEPENDENCYPART_ARC
(15,4),-1.68771 # DEPENDENCYPART_ARC
(15,5),-1.54765 # DEPENDENCYPART_ARC
(15,6),0.417841 # DEPENDENCYPART_ARC
(15,7),-0.2052 # DEPENDENCYPART_ARC
(15,8),0.200916 # DEPENDENCYPART_ARC
(15,9),-2.31443 # DEPENDENCYPART_ARC
(15,10),-0.720906 # DEPENDENCYPART_ARC
(15,11),-0.185278 # DEPENDENCYPART_ARC
(15,12),-1.61814 # DEPENDENCYPART_ARC
(15,13),-1.02439 # DEPENDENCYPART_ARC
(15,14),0.309878 # DEPENDENCYPART_ARC
(15,16),3.66106 # DEPENDENCYPART_ARC
(15,17),3.09854 # DEPENDENCYPART_ARC
(15,18),1.66178 # DEPENDENCYPART_ARC
(15,19),-1.85749 # DEPENDENCYPART_ARC
(15,20),0.686162 # DEPENDENCYPART_ARC
(15,21),1.39392 # DEPENDENCYPART_ARC
(15,24),-4.35601 # DEPENDENCYPART_ARC
(15,25),-3.82019 # DEPENDENCYPART_ARC
(15,26),-4.67197 # DEPENDENCYPART_ARC
(17,1),-1.50203 # DEPENDENCYPART_ARC
(17,2),-1.08195 # DEPENDENCYPART_ARC
(17,3),-4.98149 # DEPENDENCYPART_ARC
(17,4),-1.1179 # DEPENDENCYPART_ARC
(17,5),-0.232758 # DEPENDENCYPART_ARC
