# _root_ Dříve byly ty slabší lacinější , ale když slyšíte , kolik teď stojí připravit špičkový šestnáctkový motor . . .
#goldHeads=2,7,2,3,2,7,0,7,8,13,13,13,9,13,17,17,14,0,0,0,
#predictedHeads=2,7,2,3,7,7,0,7,8,8,14,13,8,13,17,17,14,0,0,0,
(0,1),-0.463018 # DEPENDENCYPART_ARC
(0,2),-0.131997 # DEPENDENCYPART_ARC
(0,3),-2.00265 # DEPENDENCYPART_ARC
(0,4),-1.7696 # DEPENDENCYPART_ARC
(0,6),-0.680448 # DEPENDENCYPART_ARC
(0,7),0.251139 # DEPENDENCYPART_ARC
(0,8),-2.06092 # DEPENDENCYPART_ARC
(0,9),-1.82197 # DEPENDENCYPART_ARC
(0,10),-1.48938 # DEPENDENCYPART_ARC
(0,11),-2.31415 # DEPENDENCYPART_ARC
(0,13),-1.92182 # DEPENDENCYPART_ARC
(0,14),-2.17025 # DEPENDENCYPART_ARC
(0,18),2.09863 # DEPENDENCYPART_ARC
(0,19),1.93978 # DEPENDENCYPART_ARC
(0,20),3.70099 # DEPENDENCYPART_ARC
(1,2),-1.40599 # DEPENDENCYPART_ARC
(1,3),-0.710767 # DEPENDENCYPART_ARC
(2,1),1.62854 # DEPENDENCYPART_ARC
(2,3),0.833153 # DEPENDENCYPART_ARC
(2,4),-0.215286 # DEPENDENCYPART_ARC
(2,5),0.0181378 # DEPENDENCYPART_ARC
(2,6),0.266893 # DEPENDENCYPART_ARC
(2,7),0.336943 # DEPENDENCYPART_ARC
(2,8),1.0931 # DEPENDENCYPART_ARC
(2,9),-0.867652 # DEPENDENCYPART_ARC
(2,10),0.296721 # DEPENDENCYPART_ARC
(2,12),-1.63443 # DEPENDENCYPART_ARC
(2,18),-0.629726 # DEPENDENCYPART_ARC
(2,19),-0.473272 # DEPENDENCYPART_ARC
(3,1),-0.150781 # DEPENDENCYPART_ARC
(3,2),-1.78967 # DEPENDENCYPART_ARC
(3,4),0.902673 # DEPENDENCYPART_ARC
(3,5),0.453035 # DEPENDENCYPART_ARC
(3,6),0.447326 # DEPENDENCYPART_ARC
(3,7),0.128931 # DEPENDENCYPART_ARC
(3,8),-0.277409 # DEPENDENCYPART_ARC
(3,9),-1.57301 # DEPENDENCYPART_ARC
(3,10),0.403823 # DEPENDENCYPART_ARC
(3,13),-2.78118 # DEPENDENCYPART_ARC
(4,1),-0.414281 # DEPENDENCYPART_ARC
(4,3),-0.354478 # DEPENDENCYPART_ARC
(4,5),-1.12502 # DEPENDENCYPART_ARC
(4,6),-0.107895 # DEPENDENCYPART_ARC
(4,7),0.482997 # DEPENDENCYPART_ARC
(4,8),0.388953 # DEPENDENCYPART_ARC
(4,13),-3.42284 # DEPENDENCYPART_ARC
(5,1),-0.028695 # DEPENDENCYPART_ARC
(5,2),-2.10229 # DEPENDENCYPART_ARC
(5,3),-0.0702816 # DEPENDENCYPART_ARC
(5,4),-1.03363 # DEPENDENCYPART_ARC
(5,6),0.197863 # DEPENDENCYPART_ARC
(5,7),0.109895 # DEPENDENCYPART_ARC
(5,8),0.0466078 # DEPENDENCYPART_ARC
(6,2),-0.975214 # DEPENDENCYPART_ARC
(6,4),-1.22925 # DEPENDENCYPART_ARC
(6,5),-1.14398 # DEPENDENCYPART_ARC
(6,9),-0.992645 # DEPENDENCYPART_ARC
(7,1),-0.361194 # DEPENDENCYPART_ARC
(7,2),0.559323 # DEPENDENCYPART_ARC
(7,3),-0.585807 # DEPENDENCYPART_ARC
(7,4),0.46417 # DEPENDENCYPART_ARC
(7,5),1.026 # DEPENDENCYPART_ARC
(7,6),2.6447 # DEPENDENCYPART_ARC
(7,8),1.64016 # DEPENDENCYPART_ARC
(7,9),1.13247 # DEPENDENCYPART_ARC
(7,10),0.877718 # DEPENDENCYPART_ARC
(7,12),-0.172999 # DEPENDENCYPART_ARC
(7,13),0.0426241 # DEPENDENCYPART_ARC
(7,14),-0.607999 # DEPENDENCYPART_ARC
(7,15),-1.49261 # DEPENDENCYPART_ARC
(7,17),-1.47283 # DEPENDENCYPART_ARC
(7,18),-0.0889771 # DEPENDENCYPART_ARC
(7,19),0.0835868 # DEPENDENCYPART_ARC
(7,20),-0.248135 # DEPENDENCYPART_ARC
(8,2),-0.751482 # DEPENDENCYPART_ARC
(8,5),-1.0201 # DEPENDENCYPART_ARC
(8,6),2.12425 # DEPENDENCYPART_ARC
(8,7),0.713263 # DEPENDENCYPART_ARC
(8,9),2.74042 # DEPENDENCYPART_ARC
(8,10),1.25617 # DEPENDENCYPART_ARC
(8,12),-0.785404 # DEPENDENCYPART_ARC
(8,13),0.174539 # DEPENDENCYPART_ARC
(8,14),-0.608406 # DEPENDENCYPART_ARC
(8,18),-1.12918 # DEPENDENCYPART_ARC
(8,19),-1.04511 # DEPENDENCYPART_ARC
(8,20),-1.29993 # DEPENDENCYPART_ARC
(9,1),-0.973197 # DEPENDENCYPART_ARC
(9,2),-4.27432 # DEPENDENCYPART_ARC
(9,3),-3.11172 # DEPENDENCYPART_ARC
(9,4),-2.51593 # DEPENDENCYPART_ARC
(9,5),-2.31958 # DEPENDENCYPART_ARC
(9,6),-0.680277 # DEPENDENCYPART_ARC
(9,7),-1.10248 # DEPENDENCYPART_ARC
(9,8),0.9153 # DEPENDENCYPART_ARC
(9,10),0.154148 # DEPENDENCYPART_ARC
(9,12),0.0435609 # DEPENDENCYPART_ARC
(9,13),-0.698086 # DEPENDENCYPART_ARC
(9,14),0.962001 # DEPENDENCYPART_ARC
(9,15),-4.98261 # DEPENDENCYPART_ARC
(9,17),-0.467167 # DEPENDENCYPART_ARC
(9,19),-0.818127 # DEPENDENCYPART_ARC
(10,1),-1.14681 # DEPENDENCYPART_ARC
(10,2),-0.641725 # DEPENDENCYPART_ARC
(10,3),-0.450654 # DEPENDENCYPART_ARC
(10,4),-0.789519 # DEPENDENCYPART_ARC
(10,5),-0.84013 # DEPENDENCYPART_ARC
(10,6),0.0910164 # DEPENDENCYPART_ARC
(10,7),0.174763 # DEPENDENCYPART_ARC
(10,8),-0.095735 # DEPENDENCYPART_ARC
(10,9),-0.143298 # DEPENDENCYPART_ARC
(10,11),-0.562373 # DEPENDENCYPART_ARC
(10,12),-0.221774 # DEPENDENCYPART_ARC
(10,13),-0.131619 # DEPENDENCYPART_ARC
(10,14),-0.899966 # DEPENDENCYPART_ARC
(10,15),-1.26545 # DEPENDENCYPART_ARC
(10,17),-1.9157 # DEPENDENCYPART_ARC
(10,18),-0.539167 # DEPENDENCYPART_ARC
(11,17),2.62315 # DEPENDENCYPART_ARC
(12,9),-0.199311 # DEPENDENCYPART_ARC
(12,10),-0.290298 # DEPENDENCYPART_ARC
(12,14),-1.07116 # DEPENDENCYPART_ARC
(12,17),-2.1498 # DEPENDENCYPART_ARC
(13,1),-0.181891 # DEPENDENCYPART_ARC
(13,2),-3.5329 # DEPENDENCYPART_ARC
(13,3),-2.63237 # DEPENDENCYPART_ARC
(13,4),-1.35107 # DEPENDENCYPART_ARC
(13,5),-1.24077 # DEPENDENCYPART_ARC
(13,6),-0.948319 # DEPENDENCYPART_ARC
(13,7),-0.0525305 # DEPENDENCYPART_ARC
(13,8),0.948284 # DEPENDENCYPART_ARC
(13,9),-0.505733 # DEPENDENCYPART_ARC
(13,10),0.751419 # DEPENDENCYPART_ARC
(13,11),0.912818 # DEPENDENCYPART_ARC
(13,12),2.19685 # DEPENDENCYPART_ARC
(13,14),3.52027 # DEPENDENCYPART_ARC
(13,15),-1.77216 # DEPENDENCYPART_ARC
(13,16),-2.70982 # DEPENDENCYPART_ARC
(13,17),1.21055 # DEPENDENCYPART_ARC
(13,18),0.355191 # DEPENDENCYPART_ARC
(13,19),0.648144 # DEPENDENCYPART_ARC
(13,20),0.217688 # DEPENDENCYPART_ARC
(14,1),-0.697405 # DEPENDENCYPART_ARC
(14,7),-0.29057 # DEPENDENCYPART_ARC
(14,8),1.06342 # DEPENDENCYPART_ARC
(14,9),-1.93031 # DEPENDENCYPART_ARC
(14,10),0.0630112 # DEPENDENCYPART_ARC
(14,11),1.24413 # DEPENDENCYPART_ARC
(14,12),1.2882 # DEPENDENCYPART_ARC
(14,13),0.223529 # DEPENDENCYPART_ARC
(14,15),0.746824 # DEPENDENCYPART_ARC
(14,16),-0.786358 # DEPENDENCYPART_ARC
(14,17),2.79196 # DEPENDENCYPART_ARC
(14,18),-0.0288836 # DEPENDENCYPART_ARC
(14,19),0.0966393 # DEPENDENCYPART_ARC
(14,20),-0.157074 # DEPENDENCYPART_ARC
(15,12),-0.728189 # DEPENDENCYPART_ARC
(15,14),-0.0295073 # DEPENDENCYPART_ARC
(15,16),-0.981079 # DEPENDENCYPART_ARC
(15,17),-0.361484 # DEPENDENCYPART_ARC
(15,18),-0.241632 # DEPENDENCYPART_ARC
(15,19),-0.702387 # DEPENDENCYPART_ARC
(16,12),-0.68531 # DEPENDENCYPART_ARC
(16,15),-0.37623 # DEPENDENCYPART_ARC
(16,18),-0.00499527 # DEPENDENCYPART_ARC
(17,3),-2.56494 # DEPENDENCYPART_ARC
(17,4),-3.54702 # DEPENDENCYPART_ARC
(17,5),-5.39649 # DEPENDENCYPART_ARC
(17,10),-0.652817 # DEPENDENCYPART_ARC
(17,12),-0.217353 # DEPENDENCYPART_ARC
(17,15),5.15886 # DEPENDENCYPART_ARC
(17,16),5.53909 # DEPENDENCYPART_ARC
(17,18),1.0356 # DEPENDENCYPART_ARC
(17,19),0.144218 # DEPENDENCYPART_ARC
(17,20),-0.576461 # DEPENDENCYPART_ARC
(18,13),-2.6564 # DEPENDENCYPART_ARC
(18,14),-2.56733 # DEPENDENCYPART_ARC
(18,17),-1.72086 # DEPENDENCYPART_ARC
(18,19),-1.00258 # DEPENDENCYPART_ARC
(19,13),-2.44029 # DEPENDENCYPART_ARC
(19,14),-2.42744 # DEPENDENCYPART_ARC
(19,17),-1.56439 # DEPENDENCYPART_ARC
