# _root_ Toman žádal později v dopise ministra vnitra Noska , s kterým se dobře znal , o vydání svého syna a stejně učinili i příbuzní ze Slovenska a dokonce až z Austrálie .
#goldHeads=2,20,2,2,4,8,6,2,14,14,10,14,14,8,14,2,16,19,17,0,22,20,24,22,27,25,24,31,31,27,30,0,
#predictedHeads=2,0,2,2,4,8,6,2,14,14,10,14,14,8,20,14,16,19,17,17,22,20,24,22,24,25,22,29,31,27,30,0,
(0,1),-1.4782 # DEPENDENCYPART_ARC
(0,2),-0.433579 # DEPENDENCYPART_ARC
(0,3),-0.743314 # DEPENDENCYPART_ARC
(0,4),-1.29253 # DEPENDENCYPART_ARC
(0,8),-1.51446 # DEPENDENCYPART_ARC
(0,9),-0.833133 # DEPENDENCYPART_ARC
(0,14),-1.54698 # DEPENDENCYPART_ARC
(0,15),-1.13604 # DEPENDENCYPART_ARC
(0,16),-3.42602 # DEPENDENCYPART_ARC
(0,20),-0.883504 # DEPENDENCYPART_ARC
(0,22),-1.65645 # DEPENDENCYPART_ARC
(0,27),-1.53711 # DEPENDENCYPART_ARC
(0,32),4.21425 # DEPENDENCYPART_ARC
(1,2),-0.435795 # DEPENDENCYPART_ARC
(2,1),3.31767 # DEPENDENCYPART_ARC
(2,3),2.07354 # DEPENDENCYPART_ARC
(2,4),2.60984 # DEPENDENCYPART_ARC
(2,5),0.837577 # DEPENDENCYPART_ARC
(2,6),2.55211 # DEPENDENCYPART_ARC
(2,7),0.413689 # DEPENDENCYPART_ARC
(2,8),2.61215 # DEPENDENCYPART_ARC
(2,9),0.989552 # DEPENDENCYPART_ARC
(2,10),0.628911 # DEPENDENCYPART_ARC
(2,13),0.561785 # DEPENDENCYPART_ARC
(2,14),-1.168 # DEPENDENCYPART_ARC
(2,15),0.556798 # DEPENDENCYPART_ARC
(2,16),-1.18363 # DEPENDENCYPART_ARC
(2,17),-1.45664 # DEPENDENCYPART_ARC
(2,19),-3.56417 # DEPENDENCYPART_ARC
(2,20),0.0135791 # DEPENDENCYPART_ARC
(2,21),-0.337365 # DEPENDENCYPART_ARC
(2,27),-0.430514 # DEPENDENCYPART_ARC
(2,28),-2.52007 # DEPENDENCYPART_ARC
(3,1),-1.54738 # DEPENDENCYPART_ARC
