# _root_ " Podnikám a nezakrývám , že závodění a firma někdy nejdou dohromady , jedno druhému zabírá čas .
#goldHeads=3,3,0,3,6,4,8,11,8,11,13,11,6,16,16,13,16,0,
#predictedHeads=3,3,0,3,6,4,8,6,8,11,6,11,11,11,16,13,16,0,
(0,1),-0.984251 # DEPENDENCYPART_ARC
(0,2),0.162483 # DEPENDENCYPART_ARC
(0,3),-0.153239 # DEPENDENCYPART_ARC
(0,4),-1.93255 # DEPENDENCYPART_ARC
(0,5),-0.872548 # DEPENDENCYPART_ARC
(0,6),-2.58998 # DEPENDENCYPART_ARC
(0,8),-1.71895 # DEPENDENCYPART_ARC
(0,11),-1.71466 # DEPENDENCYPART_ARC
(0,13),-1.65529 # DEPENDENCYPART_ARC
(0,14),-2.96868 # DEPENDENCYPART_ARC
(0,16),-2.45807 # DEPENDENCYPART_ARC
(0,18),3.06181 # DEPENDENCYPART_ARC
(1,2),-2.69654 # DEPENDENCYPART_ARC
(1,3),-3.26301 # DEPENDENCYPART_ARC
(1,4),-3.98019 # DEPENDENCYPART_ARC
(1,6),-3.63362 # DEPENDENCYPART_ARC
(2,1),0.813419 # DEPENDENCYPART_ARC
(2,3),-0.0279804 # DEPENDENCYPART_ARC
(2,4),-0.584246 # DEPENDENCYPART_ARC
(2,5),-0.224295 # DEPENDENCYPART_ARC
(2,6),0.0201682 # DEPENDENCYPART_ARC
(2,8),-0.526653 # DEPENDENCYPART_ARC
(2,13),-0.643313 # DEPENDENCYPART_ARC
(3,1),1.81942 # DEPENDENCYPART_ARC
(3,2),3.99341 # DEPENDENCYPART_ARC
(3,4),2.95114 # DEPENDENCYPART_ARC
(3,5),0.0310744 # DEPENDENCYPART_ARC
(3,6),-0.288806 # DEPENDENCYPART_ARC
(3,7),-0.515746 # DEPENDENCYPART_ARC
(3,8),-0.892853 # DEPENDENCYPART_ARC
(3,10),-0.377974 # DEPENDENCYPART_ARC
(3,11),-0.817767 # DEPENDENCYPART_ARC
(3,13),-0.0348328 # DEPENDENCYPART_ARC
(3,15),-2.11125 # DEPENDENCYPART_ARC
(3,16),-1.67777 # DEPENDENCYPART_ARC
(4,1),-0.156391 # DEPENDENCYPART_ARC
(4,2),-0.227446 # DEPENDENCYPART_ARC
(4,3),0.0123425 # DEPENDENCYPART_ARC
(4,5),0.026103 # DEPENDENCYPART_ARC
(4,6),1.32023 # DEPENDENCYPART_ARC
(4,7),-1.90946 # DEPENDENCYPART_ARC
(4,8),-0.104322 # DEPENDENCYPART_ARC
(4,9),-2.18584 # DEPENDENCYPART_ARC
(4,10),-1.34939 # DEPENDENCYPART_ARC
(4,11),-3.07739 # DEPENDENCYPART_ARC
(4,12),-1.56099 # DEPENDENCYPART_ARC
(4,15),-4.06769 # DEPENDENCYPART_ARC
(5,1),-0.164132 # DEPENDENCYPART_ARC
(5,2),-0.00830276 # DEPENDENCYPART_ARC
(5,3),-0.237723 # DEPENDENCYPART_ARC
(5,4),-0.694907 # DEPENDENCYPART_ARC
(6,1),-1.00839 # DEPENDENCYPART_ARC
(6,2),-1.96458 # DEPENDENCYPART_ARC
(6,3),-0.00269496 # DEPENDENCYPART_ARC
(6,4),-1.44264 # DEPENDENCYPART_ARC
(6,5),2.78891 # DEPENDENCYPART_ARC
(6,7),-0.426116 # DEPENDENCYPART_ARC
(6,8),0.482505 # DEPENDENCYPART_ARC
(6,9),-1.93844 # DEPENDENCYPART_ARC
(6,10),-0.91302 # DEPENDENCYPART_ARC
(6,11),1.63216 # DEPENDENCYPART_ARC
(6,13),0.039447 # DEPENDENCYPART_ARC
(6,16),0.00866946 # DEPENDENCYPART_ARC
(7,6),-2.92532 # DEPENDENCYPART_ARC
(7,9),-0.314576 # DEPENDENCYPART_ARC
(7,14),-0.824561 # DEPENDENCYPART_ARC
(8,1),-0.758585 # DEPENDENCYPART_ARC
(8,2),0.0967893 # DEPENDENCYPART_ARC
(8,3),-0.199494 # DEPENDENCYPART_ARC
(8,4),0.213264 # DEPENDENCYPART_ARC
(8,5),0.981186 # DEPENDENCYPART_ARC
(8,6),0.380713 # DEPENDENCYPART_ARC
(8,7),3.5475 # DEPENDENCYPART_ARC
(8,9),3.64388 # DEPENDENCYPART_ARC
(8,10),0.154916 # DEPENDENCYPART_ARC
(8,11),1.12947 # DEPENDENCYPART_ARC
(8,12),-0.20395 # DEPENDENCYPART_ARC
(8,13),-0.0326008 # DEPENDENCYPART_ARC
(8,15),-0.820732 # DEPENDENCYPART_ARC
(8,16),-0.676653 # DEPENDENCYPART_ARC
(8,17),-1.72073 # DEPENDENCYPART_ARC
(8,18),-0.968678 # DEPENDENCYPART_ARC
(9,7),-2.72393 # DEPENDENCYPART_ARC
(9,10),0.164401 # DEPENDENCYPART_ARC
(9,11),-2.29175 # DEPENDENCYPART_ARC
(9,12),-0.788335 # DEPENDENCYPART_ARC
(9,14),-0.549189 # DEPENDENCYPART_ARC
(9,15),-3.11656 # DEPENDENCYPART_ARC
(9,16),-2.93668 # DEPENDENCYPART_ARC
(9,17),-6.07882 # DEPENDENCYPART_ARC
(10,7),-1.34786 # DEPENDENCYPART_ARC
(10,8),-0.767512 # DEPENDENCYPART_ARC
(10,9),-1.12684 # DEPENDENCYPART_ARC
(10,12),-1.37907 # DEPENDENCYPART_ARC
(10,14),-1.73828 # DEPENDENCYPART_ARC
(10,16),-2.09645 # DEPENDENCYPART_ARC
(10,17),-2.71054 # DEPENDENCYPART_ARC
(11,1),-0.212804 # DEPENDENCYPART_ARC
(11,2),-1.85951 # DEPENDENCYPART_ARC
(11,3),-0.705145 # DEPENDENCYPART_ARC
(11,4),-2.05993 # DEPENDENCYPART_ARC
(11,5),-0.535689 # DEPENDENCYPART_ARC
(11,6),-0.912325 # DEPENDENCYPART_ARC
(11,7),1.02394 # DEPENDENCYPART_ARC
(11,8),0.270752 # DEPENDENCYPART_ARC
(11,9),2.14833 # DEPENDENCYPART_ARC
(11,10),2.32157 # DEPENDENCYPART_ARC
(11,12),2.19175 # DEPENDENCYPART_ARC
(11,13),0.604078 # DEPENDENCYPART_ARC
(11,14),1.28813 # DEPENDENCYPART_ARC
(11,15),-1.20842 # DEPENDENCYPART_ARC
(11,16),-0.774886 # DEPENDENCYPART_ARC
(11,17),0.896513 # DEPENDENCYPART_ARC
(11,18),-0.0712032 # DEPENDENCYPART_ARC
(12,5),-1.21123 # DEPENDENCYPART_ARC
(12,7),-1.62923 # DEPENDENCYPART_ARC
(12,9),-1.32389 # DEPENDENCYPART_ARC
(12,10),-0.266741 # DEPENDENCYPART_ARC
(12,11),-0.663845 # DEPENDENCYPART_ARC
(12,13),-0.231446 # DEPENDENCYPART_ARC
(12,14),-0.82496 # DEPENDENCYPART_ARC
(12,15),-1.33363 # DEPENDENCYPART_ARC
(12,16),-1.21495 # DEPENDENCYPART_ARC
(12,17),-1.39376 # DEPENDENCYPART_ARC
(13,1),-0.574537 # DEPENDENCYPART_ARC
(13,2),-0.365397 # DEPENDENCYPART_ARC
(13,3),-0.583864 # DEPENDENCYPART_ARC
(13,4),-0.692559 # DEPENDENCYPART_ARC
(13,5),0.0626664 # DEPENDENCYPART_ARC
(13,6),-0.717043 # DEPENDENCYPART_ARC
(13,7),-0.543092 # DEPENDENCYPART_ARC
(13,8),-0.596569 # DEPENDENCYPART_ARC
(13,9),-0.679911 # DEPENDENCYPART_ARC
(13,10),0.020697 # DEPENDENCYPART_ARC
(13,11),-0.0136618 # DEPENDENCYPART_ARC
(13,12),0.666441 # DEPENDENCYPART_ARC
(13,14),0.621758 # DEPENDENCYPART_ARC
(13,15),0.0868189 # DEPENDENCYPART_ARC
(13,16),0.428796 # DEPENDENCYPART_ARC
(13,17),-0.174249 # DEPENDENCYPART_ARC
(13,18),-0.0180734 # DEPENDENCYPART_ARC
(14,12),0.328693 # DEPENDENCYPART_ARC
