# _root_ Protože na výslechu svědka trvá státní zástupce i obhájce Lukáše Kužely , který měl Vopálenskou na objednávku zastřelit , musel předseda senátu projednávání nájemné vraždy znovu odročit .
#goldHeads=20,5,2,3,1,7,8,5,8,11,8,14,14,11,18,18,16,14,1,0,20,21,27,25,23,27,20,0,
#predictedHeads=20,5,2,3,1,7,8,5,8,11,9,14,14,11,14,14,16,14,1,0,20,21,27,25,23,27,20,0,
(0,1),-0.249659 # DEPENDENCYPART_ARC
(0,2),-0.766926 # DEPENDENCYPART_ARC
(0,5),-0.337189 # DEPENDENCYPART_ARC
(0,12),-1.05396 # DEPENDENCYPART_ARC
(0,14),-0.955424 # DEPENDENCYPART_ARC
(0,18),-2.12032 # DEPENDENCYPART_ARC
(0,19),-1.41306 # DEPENDENCYPART_ARC
(0,20),-1.75877 # DEPENDENCYPART_ARC
(0,27),-3.18227 # DEPENDENCYPART_ARC
(0,28),3.92379 # DEPENDENCYPART_ARC
(1,2),-0.500513 # DEPENDENCYPART_ARC
(1,3),-0.604993 # DEPENDENCYPART_ARC
(1,4),-1.13231 # DEPENDENCYPART_ARC
(1,5),2.49497 # DEPENDENCYPART_ARC
(1,8),-0.349625 # DEPENDENCYPART_ARC
(1,12),0.93549 # DEPENDENCYPART_ARC
(1,14),0.333776 # DEPENDENCYPART_ARC
(1,18),0.382947 # DEPENDENCYPART_ARC
(1,19),1.53289 # DEPENDENCYPART_ARC
(1,20),-0.635251 # DEPENDENCYPART_ARC
(2,3),3.66025 # DEPENDENCYPART_ARC
(2,4),-1.16698 # DEPENDENCYPART_ARC
(2,6),-2.80226 # DEPENDENCYPART_ARC
(3,1),0.243813 # DEPENDENCYPART_ARC
(3,2),1.26094 # DEPENDENCYPART_ARC
(3,4),3.68162 # DEPENDENCYPART_ARC
(3,5),-0.911255 # DEPENDENCYPART_ARC
(3,6),-2.51593 # DEPENDENCYPART_ARC
(3,7),-2.48888 # DEPENDENCYPART_ARC
(3,8),-0.0405849 # DEPENDENCYPART_ARC
(4,1),-0.35356 # DEPENDENCYPART_ARC
(4,2),0.168902 # DEPENDENCYPART_ARC
(4,3),-1.21471 # DEPENDENCYPART_ARC
(4,5),-0.927628 # DEPENDENCYPART_ARC
