# _root_ Měl jsem pocit , že je motor obsahem handicapován a nasadil dvojité zapalování , ale se zvýšením výkonu mi nedošly jiné souvislosti .
#goldHeads=15,1,1,5,3,10,6,9,6,5,10,13,11,15,0,20,16,17,20,15,22,20,0,
#predictedHeads=0,1,1,5,3,5,6,9,10,5,10,13,11,15,11,20,16,17,20,15,22,20,0,
(0,1),-0.484353 # DEPENDENCYPART_ARC
(0,2),-0.640289 # DEPENDENCYPART_ARC
(0,3),-2.66533 # DEPENDENCYPART_ARC
(0,4),-0.630573 # DEPENDENCYPART_ARC
(0,5),-3.03261 # DEPENDENCYPART_ARC
(0,6),-2.191 # DEPENDENCYPART_ARC
(0,10),-1.00816 # DEPENDENCYPART_ARC
(0,11),-3.22043 # DEPENDENCYPART_ARC
(0,14),-1.48251 # DEPENDENCYPART_ARC
(0,15),-0.791139 # DEPENDENCYPART_ARC
(0,20),-3.30687 # DEPENDENCYPART_ARC
(0,23),4.15619 # DEPENDENCYPART_ARC
(1,2),3.66663 # DEPENDENCYPART_ARC
(1,3),3.58271 # DEPENDENCYPART_ARC
(1,4),0.378082 # DEPENDENCYPART_ARC
(1,5),0.872838 # DEPENDENCYPART_ARC
(1,6),-0.989716 # DEPENDENCYPART_ARC
(1,7),-0.846873 # DEPENDENCYPART_ARC
(1,8),-1.57121 # DEPENDENCYPART_ARC
(1,9),-1.66442 # DEPENDENCYPART_ARC
(1,10),0.508061 # DEPENDENCYPART_ARC
(1,11),-4.74195 # DEPENDENCYPART_ARC
(1,14),-0.389936 # DEPENDENCYPART_ARC
(1,15),-1.18474 # DEPENDENCYPART_ARC
(2,1),-0.517153 # DEPENDENCYPART_ARC
(2,3),1.2925 # DEPENDENCYPART_ARC
(2,4),-0.453982 # DEPENDENCYPART_ARC
(2,5),-0.504819 # DEPENDENCYPART_ARC
(3,2),-1.52002 # DEPENDENCYPART_ARC
(3,4),-0.172131 # DEPENDENCYPART_ARC
(3,5),2.02962 # DEPENDENCYPART_ARC
(3,6),-1.4993 # DEPENDENCYPART_ARC
(3,7),-1.76141 # DEPENDENCYPART_ARC
(3,8),-1.24903 # DEPENDENCYPART_ARC
(3,10),0.020913 # DEPENDENCYPART_ARC
(4,1),-0.122722 # DEPENDENCYPART_ARC
(4,2),-0.555694 # DEPENDENCYPART_ARC
(4,3),-0.25992 # DEPENDENCYPART_ARC
(4,5),0.326757 # DEPENDENCYPART_ARC
(4,6),-0.42194 # DEPENDENCYPART_ARC
(5,1),-1.04064 # DEPENDENCYPART_ARC
(5,2),-0.725986 # DEPENDENCYPART_ARC
(5,3),-1.04019 # DEPENDENCYPART_ARC
(5,4),2.39846 # DEPENDENCYPART_ARC
(5,6),2.43637 # DEPENDENCYPART_ARC
(5,7),-1.46077 # DEPENDENCYPART_ARC
(5,8),-2.46426 # DEPENDENCYPART_ARC
(5,9),1.09826 # DEPENDENCYPART_ARC
(5,10),1.07026 # DEPENDENCYPART_ARC
(5,11),-0.49728 # DEPENDENCYPART_ARC
(5,14),0.334354 # DEPENDENCYPART_ARC
(5,15),-0.0886813 # DEPENDENCYPART_ARC
(5,20),-1.27396 # DEPENDENCYPART_ARC
(6,1),-2.27248 # DEPENDENCYPART_ARC
(6,2),-2.16357 # DEPENDENCYPART_ARC
(6,3),-1.72079 # DEPENDENCYPART_ARC
(6,4),-0.484098 # DEPENDENCYPART_ARC
