# _root_ Nyní věnujme pozornost oblasti , která sice není středem pozornosti širší veřejnosti , přesto může podstatnou měrou ovlivnit rozvoj budoucích generací - mimoškolní činnosti dětí a žáků .
#goldHeads=2,0,2,22,14,14,14,14,8,9,12,10,14,4,14,17,18,15,18,21,19,2,24,22,26,24,26,0,
#predictedHeads=2,13,2,2,2,8,8,4,8,9,12,10,14,15,0,17,15,15,18,21,19,15,26,22,26,24,26,0,
(0,1),-0.198383 # DEPENDENCYPART_ARC
(0,2),-0.393817 # DEPENDENCYPART_ARC
(0,3),-1.49979 # DEPENDENCYPART_ARC
(0,4),-0.857433 # DEPENDENCYPART_ARC
(0,5),0.0730862 # DEPENDENCYPART_ARC
(0,8),-0.254857 # DEPENDENCYPART_ARC
(0,13),-0.782911 # DEPENDENCYPART_ARC
(0,14),-0.55919 # DEPENDENCYPART_ARC
(0,15),0.587753 # DEPENDENCYPART_ARC
(0,18),-2.00697 # DEPENDENCYPART_ARC
(0,26),-1.73494 # DEPENDENCYPART_ARC
(0,28),4.03879 # DEPENDENCYPART_ARC
(1,3),-1.40818 # DEPENDENCYPART_ARC
(1,4),-1.83947 # DEPENDENCYPART_ARC
(2,1),3.23 # DEPENDENCYPART_ARC
(2,3),3.23163 # DEPENDENCYPART_ARC
(2,4),1.9714 # DEPENDENCYPART_ARC
(2,5),1.15557 # DEPENDENCYPART_ARC
(2,7),0.487011 # DEPENDENCYPART_ARC
(2,9),-0.301719 # DEPENDENCYPART_ARC
(2,10),-1.78387 # DEPENDENCYPART_ARC
(2,12),-2.40278 # DEPENDENCYPART_ARC
(2,13),0.436765 # DEPENDENCYPART_ARC
(2,22),-0.0926535 # DEPENDENCYPART_ARC
(3,1),-0.252349 # DEPENDENCYPART_ARC
(3,2),0.155558 # DEPENDENCYPART_ARC
(3,4),0.808628 # DEPENDENCYPART_ARC
(3,6),-2.95863 # DEPENDENCYPART_ARC
(3,8),-0.96359 # DEPENDENCYPART_ARC
(3,11),-1.88765 # DEPENDENCYPART_ARC
(4,1),-0.123709 # DEPENDENCYPART_ARC
(4,2),0.0226714 # DEPENDENCYPART_ARC
(4,3),1.30422 # DEPENDENCYPART_ARC
(4,5),-0.0444548 # DEPENDENCYPART_ARC
(4,6),-1.64466 # DEPENDENCYPART_ARC
(4,7),0.136715 # DEPENDENCYPART_ARC
(4,8),0.844238 # DEPENDENCYPART_ARC
(4,11),-0.217336 # DEPENDENCYPART_ARC
(4,15),-1.05754 # DEPENDENCYPART_ARC
(5,1),-1.2131 # DEPENDENCYPART_ARC
(5,2),-0.712647 # DEPENDENCYPART_ARC
(5,3),-1.0714 # DEPENDENCYPART_ARC
(5,4),-1.4223 # DEPENDENCYPART_ARC
(5,8),-0.26711 # DEPENDENCYPART_ARC
(6,5),-0.648744 # DEPENDENCYPART_ARC
(6,7),0.188058 # DEPENDENCYPART_ARC
(6,9),-2.12895 # DEPENDENCYPART_ARC
(7,6),-0.039553 # DEPENDENCYPART_ARC
(7,8),-0.584365 # DEPENDENCYPART_ARC
(8,1),0.578224 # DEPENDENCYPART_ARC
(8,2),-1.53781 # DEPENDENCYPART_ARC
(8,3),-0.562315 # DEPENDENCYPART_ARC
(8,4),-0.779098 # DEPENDENCYPART_ARC
(8,5),0.919909 # DEPENDENCYPART_ARC
(8,6),1.82166 # DEPENDENCYPART_ARC
(8,7),1.9737 # DEPENDENCYPART_ARC
(8,9),3.20107 # DEPENDENCYPART_ARC
(8,10),0.947251 # DEPENDENCYPART_ARC
(8,11),-1.52199 # DEPENDENCYPART_ARC
(8,12),-0.340836 # DEPENDENCYPART_ARC
(8,13),0.0174492 # DEPENDENCYPART_ARC
(8,14),0.243218 # DEPENDENCYPART_ARC
(8,15),-1.98272 # DEPENDENCYPART_ARC
(8,17),-1.31315 # DEPENDENCYPART_ARC
(8,18),-0.394493 # DEPENDENCYPART_ARC
(8,19),-0.810963 # DEPENDENCYPART_ARC
(8,22),-1.07519 # DEPENDENCYPART_ARC
(8,25),-4.28198 # DEPENDENCYPART_ARC
(8,26),-0.0829711 # DEPENDENCYPART_ARC
(9,2),-1.9146 # DEPENDENCYPART_ARC
(9,6),-2.04115 # DEPENDENCYPART_ARC
(9,7),-0.0300839 # DEPENDENCYPART_ARC
(9,10),3.54469 # DEPENDENCYPART_ARC
(9,11),-0.63603 # DEPENDENCYPART_ARC
(9,12),1.47227 # DEPENDENCYPART_ARC
(9,13),0.312928 # DEPENDENCYPART_ARC
(9,15),-0.546045 # DEPENDENCYPART_ARC
(9,17),-1.56865 # DEPENDENCYPART_ARC
(9,18),-0.771305 # DEPENDENCYPART_ARC
(9,26),-0.216962 # DEPENDENCYPART_ARC
(10,9),-1.30168 # DEPENDENCYPART_ARC
(10,11),2.36868 # DEPENDENCYPART_ARC
(10,12),3.13885 # DEPENDENCYPART_ARC
(10,13),-0.140796 # DEPENDENCYPART_ARC
(10,14),-0.492967 # DEPENDENCYPART_ARC
(10,15),-0.886667 # DEPENDENCYPART_ARC
(10,17),-2.03908 # DEPENDENCYPART_ARC
(10,24),-2.83608 # DEPENDENCYPART_ARC
(11,10),-0.639009 # DEPENDENCYPART_ARC
(11,12),1.05119 # DEPENDENCYPART_ARC
(12,9),-2.59066 # DEPENDENCYPART_ARC
(12,10),-0.00599925 # DEPENDENCYPART_ARC
(12,11),4.93512 # DEPENDENCYPART_ARC
(12,14),-0.876273 # DEPENDENCYPART_ARC
(12,15),-0.162857 # DEPENDENCYPART_ARC
(12,16),-1.66662 # DEPENDENCYPART_ARC
(12,17),-3.03968 # DEPENDENCYPART_ARC
(12,18),-0.668832 # DEPENDENCYPART_ARC
(12,20),-1.80101 # DEPENDENCYPART_ARC
(12,23),-3.88515 # DEPENDENCYPART_ARC
(13,1),0.0217346 # DEPENDENCYPART_ARC
(13,2),-0.189282 # DEPENDENCYPART_ARC
(13,3),-0.240323 # DEPENDENCYPART_ARC
(13,4),-0.321653 # DEPENDENCYPART_ARC
(13,5),0.216221 # DEPENDENCYPART_ARC
(13,6),-0.179152 # DEPENDENCYPART_ARC
(13,7),0.479335 # DEPENDENCYPART_ARC
