# _root_ Předpisem , který upravuje organizování a hlavně financování soutěží a přehlídek žáků , je vyhláška č . 431 / 1992 Sb .
#goldHeads=14,4,4,1,6,4,8,6,10,6,10,11,4,0,14,15,16,16,20,18,16,21,
#predictedHeads=14,4,4,6,4,1,8,6,10,8,10,11,4,0,14,15,16,16,20,18,20,0,
(0,1),-0.248865 # DEPENDENCYPART_ARC
(0,2),0.044523 # DEPENDENCYPART_ARC
(0,3),-1.09206 # DEPENDENCYPART_ARC
(0,4),0.24495 # DEPENDENCYPART_ARC
(0,6),-0.030568 # DEPENDENCYPART_ARC
(0,7),-1.02326 # DEPENDENCYPART_ARC
(0,8),-1.8025 # DEPENDENCYPART_ARC
(0,10),-1.0512 # DEPENDENCYPART_ARC
(0,13),-0.932609 # DEPENDENCYPART_ARC
(0,14),0.484836 # DEPENDENCYPART_ARC
(0,17),0.903933 # DEPENDENCYPART_ARC
(0,22),3.53701 # DEPENDENCYPART_ARC
(1,2),0.159283 # DEPENDENCYPART_ARC
(1,3),-1.98637 # DEPENDENCYPART_ARC
(1,4),1.79595 # DEPENDENCYPART_ARC
(1,5),-2.89503 # DEPENDENCYPART_ARC
(1,6),0.770324 # DEPENDENCYPART_ARC
(1,7),-0.477636 # DEPENDENCYPART_ARC
(1,10),0.0909345 # DEPENDENCYPART_ARC
(2,1),-0.388867 # DEPENDENCYPART_ARC
(2,4),-0.276513 # DEPENDENCYPART_ARC
(3,2),-0.34261 # DEPENDENCYPART_ARC
(3,4),-0.496041 # DEPENDENCYPART_ARC
(3,5),-1.30109 # DEPENDENCYPART_ARC
(4,1),0.0749361 # DEPENDENCYPART_ARC
(4,2),1.71563 # DEPENDENCYPART_ARC
(4,3),2.87234 # DEPENDENCYPART_ARC
(4,5),3.48115 # DEPENDENCYPART_ARC
(4,6),1.16792 # DEPENDENCYPART_ARC
(4,7),0.0849803 # DEPENDENCYPART_ARC
(4,8),0.954835 # DEPENDENCYPART_ARC
(4,9),-0.779072 # DEPENDENCYPART_ARC
(4,10),1.07021 # DEPENDENCYPART_ARC
(4,11),-2.63057 # DEPENDENCYPART_ARC
(4,12),-2.33815 # DEPENDENCYPART_ARC
(4,13),1.28255 # DEPENDENCYPART_ARC
(4,14),-3.30252 # DEPENDENCYPART_ARC
(4,15),-0.33067 # DEPENDENCYPART_ARC
(4,16),-1.8359 # DEPENDENCYPART_ARC
(4,18),-1.07009 # DEPENDENCYPART_ARC
(4,19),-0.789449 # DEPENDENCYPART_ARC
(4,20),-1.92076 # DEPENDENCYPART_ARC
(5,1),-4.02186 # DEPENDENCYPART_ARC
(5,3),-2.02613 # DEPENDENCYPART_ARC
(5,4),-1.14658 # DEPENDENCYPART_ARC
(5,6),-0.504843 # DEPENDENCYPART_ARC
(6,1),1.21089 # DEPENDENCYPART_ARC
(6,2),1.62042 # DEPENDENCYPART_ARC
(6,3),1.83003 # DEPENDENCYPART_ARC
(6,4),2.31593 # DEPENDENCYPART_ARC
(6,5),1.54019 # DEPENDENCYPART_ARC
(6,7),0.841472 # DEPENDENCYPART_ARC
(6,8),2.16955 # DEPENDENCYPART_ARC
(6,9),1.80203 # DEPENDENCYPART_ARC
(6,10),0.503421 # DEPENDENCYPART_ARC
(6,11),0.981314 # DEPENDENCYPART_ARC
(6,12),0.353001 # DEPENDENCYPART_ARC
(6,13),0.395616 # DEPENDENCYPART_ARC
(6,14),-0.312485 # DEPENDENCYPART_ARC
(6,15),-1.51924 # DEPENDENCYPART_ARC
(6,16),-1.2245 # DEPENDENCYPART_ARC
(6,18),-1.03222 # DEPENDENCYPART_ARC
(6,19),-0.847496 # DEPENDENCYPART_ARC
(6,20),-1.13309 # DEPENDENCYPART_ARC
(6,21),-2.22506 # DEPENDENCYPART_ARC
(7,1),-2.94391 # DEPENDENCYPART_ARC
(7,2),-2.14229 # DEPENDENCYPART_ARC
(7,3),-2.71712 # DEPENDENCYPART_ARC
(7,6),-0.723251 # DEPENDENCYPART_ARC
(7,8),-0.244855 # DEPENDENCYPART_ARC
(7,9),-0.301179 # DEPENDENCYPART_ARC
(7,10),-0.579208 # DEPENDENCYPART_ARC
(7,13),-0.727008 # DEPENDENCYPART_ARC
(7,14),-2.20032 # DEPENDENCYPART_ARC
(8,3),-3.65269 # DEPENDENCYPART_ARC
(8,5),-1.43728 # DEPENDENCYPART_ARC
(8,6),-0.0323423 # DEPENDENCYPART_ARC
(8,7),1.19936 # DEPENDENCYPART_ARC
(8,9),3.51285 # DEPENDENCYPART_ARC
(8,10),1.26315 # DEPENDENCYPART_ARC
(8,11),0.230849 # DEPENDENCYPART_ARC
(8,12),0.274251 # DEPENDENCYPART_ARC
(8,13),-0.665765 # DEPENDENCYPART_ARC
(8,14),-2.05101 # DEPENDENCYPART_ARC
(9,3),-5.73099 # DEPENDENCYPART_ARC
(9,5),-4.87315 # DEPENDENCYPART_ARC
(9,6),-0.66375 # DEPENDENCYPART_ARC
(9,7),-0.21497 # DEPENDENCYPART_ARC
(9,8),-1.86062 # DEPENDENCYPART_ARC
(9,11),0.199121 # DEPENDENCYPART_ARC
(10,1),0.738824 # DEPENDENCYPART_ARC
(10,2),0.382577 # DEPENDENCYPART_ARC
(10,3),0.636925 # DEPENDENCYPART_ARC
(10,4),0.486734 # DEPENDENCYPART_ARC
(10,5),2.60004 # DEPENDENCYPART_ARC
(10,6),-0.0339022 # DEPENDENCYPART_ARC
(10,7),1.05859 # DEPENDENCYPART_ARC
(10,8),1.90824 # DEPENDENCYPART_ARC
(10,9),4.12808 # DEPENDENCYPART_ARC
(10,11),3.2329 # DEPENDENCYPART_ARC
(10,12),1.86574 # DEPENDENCYPART_ARC
(10,13),0.069701 # DEPENDENCYPART_ARC
(10,14),0.0520611 # DEPENDENCYPART_ARC
(10,15),-0.89454 # DEPENDENCYPART_ARC
(10,16),-0.678067 # DEPENDENCYPART_ARC
(10,17),-1.35236 # DEPENDENCYPART_ARC
(10,18),-1.25438 # DEPENDENCYPART_ARC
(10,19),-0.852051 # DEPENDENCYPART_ARC
(10,20),-1.34468 # DEPENDENCYPART_ARC
(10,21),-1.80343 # DEPENDENCYPART_ARC
(11,12),2.62782 # DEPENDENCYPART_ARC
(11,14),-1.94688 # DEPENDENCYPART_ARC
(11,15),-2.95887 # DEPENDENCYPART_ARC
(11,16),-0.0516496 # DEPENDENCYPART_ARC
(11,21),-1.84614 # DEPENDENCYPART_ARC
(12,5),-5.85571 # DEPENDENCYPART_ARC
(12,7),-0.557559 # DEPENDENCYPART_ARC
(12,8),-3.81984 # DEPENDENCYPART_ARC
(12,9),-5.14516 # DEPENDENCYPART_ARC
(12,10),0.555477 # DEPENDENCYPART_ARC
(12,11),-1.55862 # DEPENDENCYPART_ARC
(12,13),-0.784026 # DEPENDENCYPART_ARC
(12,14),-2.14813 # DEPENDENCYPART_ARC
(12,15),-3.42045 # DEPENDENCYPART_ARC
(12,16),-0.0476462 # DEPENDENCYPART_ARC
(12,17),-1.39635 # DEPENDENCYPART_ARC
(12,19),-0.420288 # DEPENDENCYPART_ARC
(12,20),-1.00464 # DEPENDENCYPART_ARC
(13,1),-0.686271 # DEPENDENCYPART_ARC
(13,2),-0.486693 # DEPENDENCYPART_ARC
(13,4),-0.112723 # DEPENDENCYPART_ARC
(13,5),0.00156396 # DEPENDENCYPART_ARC
(13,6),-0.210257 # DEPENDENCYPART_ARC
(13,7),-0.201763 # DEPENDENCYPART_ARC
(13,8),0.0790275 # DEPENDENCYPART_ARC
(13,9),0.00895926 # DEPENDENCYPART_ARC
(13,10),-0.434272 # DEPENDENCYPART_ARC
(13,11),-0.129993 # DEPENDENCYPART_ARC
(13,12),-0.468109 # DEPENDENCYPART_ARC
(13,14),-0.187896 # DEPENDENCYPART_ARC
(13,15),-1.10863 # DEPENDENCYPART_ARC
(13,16),-0.839622 # DEPENDENCYPART_ARC
(13,17),-0.89116 # DEPENDENCYPART_ARC
(14,1),0.815757 # DEPENDENCYPART_ARC
(14,2),-0.4694 # DEPENDENCYPART_ARC
(14,3),-0.38013 # DEPENDENCYPART_ARC
(14,4),-1.30408 # DEPENDENCYPART_ARC
(14,5),-1.04913 # DEPENDENCYPART_ARC
(14,6),-0.101575 # DEPENDENCYPART_ARC
(14,7),-0.0306649 # DEPENDENCYPART_ARC
(14,8),0.17815 # DEPENDENCYPART_ARC
(14,9),-2.49332 # DEPENDENCYPART_ARC
(14,10),-0.57446 # DEPENDENCYPART_ARC
(14,11),-0.855195 # DEPENDENCYPART_ARC
(14,12),-2.42475 # DEPENDENCYPART_ARC
(14,13),-0.00524957 # DEPENDENCYPART_ARC
(14,15),3.24584 # DEPENDENCYPART_ARC
(14,16),1.69503 # DEPENDENCYPART_ARC
(14,17),-0.224605 # DEPENDENCYPART_ARC
(14,18),0.446619 # DEPENDENCYPART_ARC
(14,19),-0.110217 # DEPENDENCYPART_ARC
(14,20),-0.491633 # DEPENDENCYPART_ARC
(14,21),-0.992616 # DEPENDENCYPART_ARC
(14,22),-0.573745 # DEPENDENCYPART_ARC
(15,16),4.04105 # DEPENDENCYPART_ARC
(15,17),1.20462 # DEPENDENCYPART_ARC
(15,18),0.900485 # DEPENDENCYPART_ARC
(15,19),0.800634 # DEPENDENCYPART_ARC
(15,20),0.975949 # DEPENDENCYPART_ARC
(15,21),0.498031 # DEPENDENCYPART_ARC
(16,8),-3.12863 # DEPENDENCYPART_ARC
(16,9),-7.39308 # DEPENDENCYPART_ARC
(16,11),-4.95386 # DEPENDENCYPART_ARC
(16,12),-4.77471 # DEPENDENCYPART_ARC
(16,15),-1.03189 # DEPENDENCYPART_ARC
(16,17),2.81111 # DEPENDENCYPART_ARC
(16,18),2.15312 # DEPENDENCYPART_ARC
(16,19),1.06214 # DEPENDENCYPART_ARC
(16,20),1.4502 # DEPENDENCYPART_ARC
(16,21),1.04371 # DEPENDENCYPART_ARC
(16,22),-1.66288 # DEPENDENCYPART_ARC
(17,18),-1.89683 # DEPENDENCYPART_ARC
(17,21),-2.01437 # DEPENDENCYPART_ARC
(18,9),0.0441393 # DEPENDENCYPART_ARC
(18,12),0.191929 # DEPENDENCYPART_ARC
(18,13),-0.437573 # DEPENDENCYPART_ARC
(18,15),0.0259112 # DEPENDENCYPART_ARC
(18,16),0.443299 # DEPENDENCYPART_ARC
(18,17),0.568963 # DEPENDENCYPART_ARC
(18,19),1.40965 # DEPENDENCYPART_ARC
(18,20),1.97863 # DEPENDENCYPART_ARC
(18,21),0.860195 # DEPENDENCYPART_ARC
(18,22),0.027885 # DEPENDENCYPART_ARC
(19,1),-2.05728 # DEPENDENCYPART_ARC
(19,2),-1.16407 # DEPENDENCYPART_ARC
(19,4),-1.04349 # DEPENDENCYPART_ARC
(19,10),-0.826373 # DEPENDENCYPART_ARC
(19,11),-0.605153 # DEPENDENCYPART_ARC
(19,12),-0.247151 # DEPENDENCYPART_ARC
(19,13),-0.554682 # DEPENDENCYPART_ARC
(19,14),-0.493242 # DEPENDENCYPART_ARC
(19,15),0.663511 # DEPENDENCYPART_ARC
(19,16),1.02582 # DEPENDENCYPART_ARC
(19,17),0.8352 # DEPENDENCYPART_ARC
(19,18),1.54717 # DEPENDENCYPART_ARC
(19,20),1.76232 # DEPENDENCYPART_ARC
(19,21),1.23857 # DEPENDENCYPART_ARC
(19,22),-0.823657 # DEPENDENCYPART_ARC
(20,17),-0.412904 # DEPENDENCYPART_ARC
(20,18),0.214053 # DEPENDENCYPART_ARC
(20,19),1.58282 # DEPENDENCYPART_ARC
(20,21),1.31091 # DEPENDENCYPART_ARC
(20,22),-0.597438 # DEPENDENCYPART_ARC
(21,18),-0.808578 # DEPENDENCYPART_ARC
(21,19),0.161517 # DEPENDENCYPART_ARC
(21,20),0.212182 # DEPENDENCYPART_ARC
(21,22),1.97058 # DEPENDENCYPART_ARC
