# _root_ Je také patrné , že vyvratitelné jsou jen teorie , ne ( spolehlivé ) experimenty .
#goldHeads=0,1,1,5,1,7,5,9,10,7,15,13,15,13,10,0,
#predictedHeads=0,1,1,5,1,7,5,9,7,7,13,11,15,13,10,0,
(0,1),-0.228274 # DEPENDENCYPART_ARC
(0,2),-1.11172 # DEPENDENCYPART_ARC
(0,3),-1.48882 # DEPENDENCYPART_ARC
(0,4),-0.904286 # DEPENDENCYPART_ARC
(0,5),-2.51827 # DEPENDENCYPART_ARC
(0,7),-1.61803 # DEPENDENCYPART_ARC
(0,8),-2.38814 # DEPENDENCYPART_ARC
(0,10),-1.29064 # DEPENDENCYPART_ARC
(0,11),-2.25554 # DEPENDENCYPART_ARC
(0,16),3.31029 # DEPENDENCYPART_ARC
(1,2),2.66909 # DEPENDENCYPART_ARC
(1,3),3.35396 # DEPENDENCYPART_ARC
(1,4),0.340687 # DEPENDENCYPART_ARC
(1,5),1.76916 # DEPENDENCYPART_ARC
(1,6),-0.76692 # DEPENDENCYPART_ARC
(1,7),-1.34369 # DEPENDENCYPART_ARC
(1,8),-0.545256 # DEPENDENCYPART_ARC
(1,9),-1.61145 # DEPENDENCYPART_ARC
(1,10),0.265401 # DEPENDENCYPART_ARC
(1,11),-0.523624 # DEPENDENCYPART_ARC
(1,12),-0.0855308 # DEPENDENCYPART_ARC
(1,13),-2.7599 # DEPENDENCYPART_ARC
(1,14),-0.499728 # DEPENDENCYPART_ARC
(1,15),-2.86585 # DEPENDENCYPART_ARC
(1,16),-0.735053 # DEPENDENCYPART_ARC
(2,1),-1.40571 # DEPENDENCYPART_ARC
(2,3),-1.24664 # DEPENDENCYPART_ARC
(2,4),-1.14474 # DEPENDENCYPART_ARC
(2,5),-1.20592 # DEPENDENCYPART_ARC
(3,1),-1.75549 # DEPENDENCYPART_ARC
(3,2),1.32265 # DEPENDENCYPART_ARC
(3,4),-0.175928 # DEPENDENCYPART_ARC
(3,5),0.319713 # DEPENDENCYPART_ARC
(3,7),-2.79524 # DEPENDENCYPART_ARC
(4,1),-0.0465883 # DEPENDENCYPART_ARC
(4,2),0.121289 # DEPENDENCYPART_ARC
(4,3),-0.656233 # DEPENDENCYPART_ARC
(4,5),0.352573 # DEPENDENCYPART_ARC
(4,6),-0.288031 # DEPENDENCYPART_ARC
(4,7),-0.232062 # DEPENDENCYPART_ARC
(4,8),-1.07431 # DEPENDENCYPART_ARC
(4,13),-1.43116 # DEPENDENCYPART_ARC
(4,15),-2.32084 # DEPENDENCYPART_ARC
(5,1),-1.63709 # DEPENDENCYPART_ARC
(5,2),-0.0399191 # DEPENDENCYPART_ARC
(5,3),0.615756 # DEPENDENCYPART_ARC
(5,4),2.98499 # DEPENDENCYPART_ARC
(5,6),0.120774 # DEPENDENCYPART_ARC
(5,7),1.92366 # DEPENDENCYPART_ARC
(5,8),-0.734416 # DEPENDENCYPART_ARC
(5,9),-1.75843 # DEPENDENCYPART_ARC
(5,10),0.150456 # DEPENDENCYPART_ARC
(5,12),-1.19945 # DEPENDENCYPART_ARC
(5,14),-0.741994 # DEPENDENCYPART_ARC
(5,15),-2.97675 # DEPENDENCYPART_ARC
(6,2),-2.12782 # DEPENDENCYPART_ARC
(6,3),-3.43641 # DEPENDENCYPART_ARC
(6,4),-0.860731 # DEPENDENCYPART_ARC
(6,5),-0.463501 # DEPENDENCYPART_ARC
(6,7),-1.55612 # DEPENDENCYPART_ARC
(6,9),-2.77893 # DEPENDENCYPART_ARC
(7,1),-1.91752 # DEPENDENCYPART_ARC
(7,2),-0.669683 # DEPENDENCYPART_ARC
(7,3),-1.49621 # DEPENDENCYPART_ARC
(7,4),0.613735 # DEPENDENCYPART_ARC
(7,5),0.100964 # DEPENDENCYPART_ARC
(7,6),1.96967 # DEPENDENCYPART_ARC
(7,8),0.399234 # DEPENDENCYPART_ARC
(7,9),2.36786 # DEPENDENCYPART_ARC
(7,10),0.83279 # DEPENDENCYPART_ARC
(7,11),0.193054 # DEPENDENCYPART_ARC
(7,12),0.145847 # DEPENDENCYPART_ARC
(7,13),-0.0563976 # DEPENDENCYPART_ARC
(7,14),0.316282 # DEPENDENCYPART_ARC
(7,15),-0.399188 # DEPENDENCYPART_ARC
(7,16),-0.488838 # DEPENDENCYPART_ARC
(8,1),-2.05475 # DEPENDENCYPART_ARC
(8,6),-0.900678 # DEPENDENCYPART_ARC
(8,7),-0.653649 # DEPENDENCYPART_ARC
(8,10),-1.00375 # DEPENDENCYPART_ARC
(8,12),-1.33191 # DEPENDENCYPART_ARC
(8,14),-1.48644 # DEPENDENCYPART_ARC
(8,16),-2.05319 # DEPENDENCYPART_ARC
(9,2),-0.141019 # DEPENDENCYPART_ARC
(9,3),-3.24144 # DEPENDENCYPART_ARC
(9,4),-0.527298 # DEPENDENCYPART_ARC
(9,5),-1.27289 # DEPENDENCYPART_ARC
(9,6),0.762165 # DEPENDENCYPART_ARC
(9,8),2.15527 # DEPENDENCYPART_ARC
(9,10),-0.229383 # DEPENDENCYPART_ARC
(9,11),-0.122854 # DEPENDENCYPART_ARC
(9,12),-0.506543 # DEPENDENCYPART_ARC
(9,13),-0.771228 # DEPENDENCYPART_ARC
(9,14),0.245363 # DEPENDENCYPART_ARC
(9,15),-1.80201 # DEPENDENCYPART_ARC
(10,1),-0.0328786 # DEPENDENCYPART_ARC
(10,2),-0.137268 # DEPENDENCYPART_ARC
(10,3),-0.933518 # DEPENDENCYPART_ARC
(10,4),0.486887 # DEPENDENCYPART_ARC
(10,5),-0.0946819 # DEPENDENCYPART_ARC
(10,6),-0.510443 # DEPENDENCYPART_ARC
(10,7),1.12006 # DEPENDENCYPART_ARC
(10,8),0.127707 # DEPENDENCYPART_ARC
(10,9),1.09919 # DEPENDENCYPART_ARC
