# _root_ Za to , co se stalo v Dublinu , nám před deseti roky Evropa uzavřela dveře .
#goldHeads=15,1,6,6,6,2,6,7,6,15,15,13,11,15,0,15,0,
#predictedHeads=15,1,15,6,6,2,6,7,15,15,15,13,11,15,0,15,0,
(0,1),-1.37791 # DEPENDENCYPART_ARC
(0,2),-1.49457 # DEPENDENCYPART_ARC
(0,3),-0.2924 # DEPENDENCYPART_ARC
(0,4),-1.05882 # DEPENDENCYPART_ARC
(0,6),0.0343311 # DEPENDENCYPART_ARC
(0,7),-2.21651 # DEPENDENCYPART_ARC
(0,9),-0.794684 # DEPENDENCYPART_ARC
(0,10),-2.58839 # DEPENDENCYPART_ARC
(0,12),-2.22841 # DEPENDENCYPART_ARC
(0,15),-0.353019 # DEPENDENCYPART_ARC
(0,17),3.86246 # DEPENDENCYPART_ARC
(1,2),3.74317 # DEPENDENCYPART_ARC
(1,3),-0.0295845 # DEPENDENCYPART_ARC
(1,6),-1.58388 # DEPENDENCYPART_ARC
(1,8),-3.08932 # DEPENDENCYPART_ARC
(2,3),0.0940178 # DEPENDENCYPART_ARC
(2,4),0.358593 # DEPENDENCYPART_ARC
(2,6),2.63348 # DEPENDENCYPART_ARC
(2,7),-1.05562 # DEPENDENCYPART_ARC
(2,9),0.6937 # DEPENDENCYPART_ARC
(2,11),-0.947343 # DEPENDENCYPART_ARC
(2,15),0.767589 # DEPENDENCYPART_ARC
(3,1),-0.709694 # DEPENDENCYPART_ARC
(3,2),0.136684 # DEPENDENCYPART_ARC
(3,4),-0.285529 # DEPENDENCYPART_ARC
(3,6),0.73816 # DEPENDENCYPART_ARC
(3,7),-1.14936 # DEPENDENCYPART_ARC
(3,9),-0.159372 # DEPENDENCYPART_ARC
(3,15),-0.699505 # DEPENDENCYPART_ARC
(4,3),0.0189748 # DEPENDENCYPART_ARC
(4,6),0.423412 # DEPENDENCYPART_ARC
(4,7),-0.782858 # DEPENDENCYPART_ARC
(4,8),-0.653943 # DEPENDENCYPART_ARC
(6,1),1.12287 # DEPENDENCYPART_ARC
(6,2),-0.5341 # DEPENDENCYPART_ARC
(6,3),1.96387 # DEPENDENCYPART_ARC
(6,4),2.67217 # DEPENDENCYPART_ARC
