# _root_ Za prvé bych chtěl připomenout to , že má být prodloužení věkové hranice postupné , že je rozloženo v čase a že k němu má dojít úplně až v roce 2007 .
#goldHeads=4,1,4,0,4,5,21,15,8,9,15,13,11,10,21,15,16,17,18,19,6,21,26,23,22,25,26,30,25,29,30,0,
#predictedHeads=4,1,4,0,4,5,8,6,8,9,9,13,11,10,16,21,16,17,18,19,9,21,26,23,22,25,26,30,26,29,30,0,
(0,1),-1.13051 # DEPENDENCYPART_ARC
(0,2),-1.37544 # DEPENDENCYPART_ARC
(0,4),-0.211499 # DEPENDENCYPART_ARC
(0,5),-1.3048 # DEPENDENCYPART_ARC
(0,6),-2.10436 # DEPENDENCYPART_ARC
(0,7),-0.630675 # DEPENDENCYPART_ARC
(0,8),-3.70424 # DEPENDENCYPART_ARC
(0,32),5.10206 # DEPENDENCYPART_ARC
(1,2),3.82941 # DEPENDENCYPART_ARC
(1,4),-0.943405 # DEPENDENCYPART_ARC
(1,7),-1.08441 # DEPENDENCYPART_ARC
(1,8),-2.13679 # DEPENDENCYPART_ARC
(2,1),-0.459605 # DEPENDENCYPART_ARC
(2,4),-1.88803 # DEPENDENCYPART_ARC
(2,5),-1.17296 # DEPENDENCYPART_ARC
(2,6),-2.21556 # DEPENDENCYPART_ARC
(2,8),-0.801395 # DEPENDENCYPART_ARC
(4,1),2.34527 # DEPENDENCYPART_ARC
(4,2),-0.413135 # DEPENDENCYPART_ARC
(4,3),3.55459 # DEPENDENCYPART_ARC
(4,5),3.75747 # DEPENDENCYPART_ARC
(4,6),1.51131 # DEPENDENCYPART_ARC
(4,7),0.420006 # DEPENDENCYPART_ARC
(4,8),0.674961 # DEPENDENCYPART_ARC
(4,9),-1.41295 # DEPENDENCYPART_ARC
(4,10),-0.424541 # DEPENDENCYPART_ARC
(4,15),0.242773 # DEPENDENCYPART_ARC
(4,31),-3.8938 # DEPENDENCYPART_ARC
(5,1),1.24051 # DEPENDENCYPART_ARC
(5,2),-0.213327 # DEPENDENCYPART_ARC
(5,3),0.336692 # DEPENDENCYPART_ARC
(5,4),-0.886209 # DEPENDENCYPART_ARC
(5,6),2.92439 # DEPENDENCYPART_ARC
(5,7),0.332053 # DEPENDENCYPART_ARC
(5,8),1.47725 # DEPENDENCYPART_ARC
(5,9),-0.708891 # DEPENDENCYPART_ARC
(5,10),-0.75919 # DEPENDENCYPART_ARC
(5,15),0.0209727 # DEPENDENCYPART_ARC
(6,2),-0.855144 # DEPENDENCYPART_ARC
(6,4),-1.04367 # DEPENDENCYPART_ARC
(6,5),0.658526 # DEPENDENCYPART_ARC
(6,7),0.417377 # DEPENDENCYPART_ARC
(6,8),2.23662 # DEPENDENCYPART_ARC
(6,9),-0.186554 # DEPENDENCYPART_ARC
(6,10),0.209963 # DEPENDENCYPART_ARC
(6,11),-0.338596 # DEPENDENCYPART_ARC
(6,16),-0.551295 # DEPENDENCYPART_ARC
(6,21),-0.644275 # DEPENDENCYPART_ARC
(7,2),-2.03904 # DEPENDENCYPART_ARC
(7,4),-0.884144 # DEPENDENCYPART_ARC
(7,5),-0.787976 # DEPENDENCYPART_ARC
(7,6),-0.209164 # DEPENDENCYPART_ARC
(7,9),-0.536127 # DEPENDENCYPART_ARC
(8,4),-1.30276 # DEPENDENCYPART_ARC
(8,7),2.54681 # DEPENDENCYPART_ARC
(8,9),2.59692 # DEPENDENCYPART_ARC
(8,10),1.7606 # DEPENDENCYPART_ARC
(8,12),-1.23686 # DEPENDENCYPART_ARC
(8,15),0.648269 # DEPENDENCYPART_ARC
(8,16),-0.483556 # DEPENDENCYPART_ARC
(8,17),-0.968845 # DEPENDENCYPART_ARC
(8,18),-0.912321 # DEPENDENCYPART_ARC
(8,21),-0.589369 # DEPENDENCYPART_ARC
(8,25),-2.28252 # DEPENDENCYPART_ARC
(8,26),-2.35502 # DEPENDENCYPART_ARC
(9,1),-1.09661 # DEPENDENCYPART_ARC
(9,2),-2.75732 # DEPENDENCYPART_ARC
(9,5),-1.52698 # DEPENDENCYPART_ARC
(9,6),-1.5163 # DEPENDENCYPART_ARC
(9,7),0.267718 # DEPENDENCYPART_ARC
(9,8),-0.495007 # DEPENDENCYPART_ARC
(9,10),2.8366 # DEPENDENCYPART_ARC
(9,11),2.47238 # DEPENDENCYPART_ARC
(9,12),-3.34866 # DEPENDENCYPART_ARC
(9,13),-0.128774 # DEPENDENCYPART_ARC
(9,14),0.306836 # DEPENDENCYPART_ARC
(9,15),0.221316 # DEPENDENCYPART_ARC
(9,16),0.83943 # DEPENDENCYPART_ARC
(9,18),-0.570593 # DEPENDENCYPART_ARC
(9,21),-0.473761 # DEPENDENCYPART_ARC
(9,26),-2.30499 # DEPENDENCYPART_ARC
(9,27),-2.46653 # DEPENDENCYPART_ARC
(9,28),-1.67744 # DEPENDENCYPART_ARC
(9,31),-2.71845 # DEPENDENCYPART_ARC
(10,1),-1.07898 # DEPENDENCYPART_ARC
(10,2),-0.146317 # DEPENDENCYPART_ARC
(10,5),-2.92276 # DEPENDENCYPART_ARC
(10,6),0.505937 # DEPENDENCYPART_ARC
(10,7),-0.871151 # DEPENDENCYPART_ARC
(10,8),-1.05356 # DEPENDENCYPART_ARC
(10,9),0.00759258 # DEPENDENCYPART_ARC
(10,11),1.12017 # DEPENDENCYPART_ARC
(10,12),-0.24458 # DEPENDENCYPART_ARC
(10,13),-0.314208 # DEPENDENCYPART_ARC
(10,14),1.90818 # DEPENDENCYPART_ARC
(10,15),-0.104668 # DEPENDENCYPART_ARC
(10,16),0.0435757 # DEPENDENCYPART_ARC
(10,21),-0.813989 # DEPENDENCYPART_ARC
(11,1),-1.23179 # DEPENDENCYPART_ARC
