# _root_ 4 / Prosím , prosím , tady něco páchne .
#goldHeads=0,1,4,6,4,0,9,9,6,0,
#predictedHeads=3,3,4,0,4,9,9,9,5,0,
(0,1),0.78903 # DEPENDENCYPART_ARC
(0,2),-0.402548 # DEPENDENCYPART_ARC
(0,3),0.991983 # DEPENDENCYPART_ARC
(0,4),0.616806 # DEPENDENCYPART_ARC
(0,5),0.367211 # DEPENDENCYPART_ARC
(0,6),0.276225 # DEPENDENCYPART_ARC
(0,7),-0.461029 # DEPENDENCYPART_ARC
(0,8),-0.80524 # DEPENDENCYPART_ARC
(0,9),-1.01741 # DEPENDENCYPART_ARC
(0,10),3.5792 # DEPENDENCYPART_ARC
(1,2),0.231486 # DEPENDENCYPART_ARC
(1,3),-1.38458 # DEPENDENCYPART_ARC
(1,4),-1.39787 # DEPENDENCYPART_ARC
(1,5),-1.83154 # DEPENDENCYPART_ARC
(1,6),-1.51835 # DEPENDENCYPART_ARC
(2,1),0.30843 # DEPENDENCYPART_ARC
(2,3),0.159868 # DEPENDENCYPART_ARC
(2,4),-0.242789 # DEPENDENCYPART_ARC
(2,5),-1.02745 # DEPENDENCYPART_ARC
(2,6),-0.594166 # DEPENDENCYPART_ARC
(2,7),-1.38151 # DEPENDENCYPART_ARC
(2,9),-1.69053 # DEPENDENCYPART_ARC
(3,1),0.828504 # DEPENDENCYPART_ARC
(3,2),0.503089 # DEPENDENCYPART_ARC
(3,4),0.303538 # DEPENDENCYPART_ARC
(3,5),-1.31221 # DEPENDENCYPART_ARC
(3,6),-1.27805 # DEPENDENCYPART_ARC
(3,7),-1.37109 # DEPENDENCYPART_ARC
(3,8),-1.85361 # DEPENDENCYPART_ARC
(3,9),-2.44598 # DEPENDENCYPART_ARC
(4,1),-0.207397 # DEPENDENCYPART_ARC
(4,2),0.295163 # DEPENDENCYPART_ARC
(4,3),1.20552 # DEPENDENCYPART_ARC
(4,5),0.713992 # DEPENDENCYPART_ARC
(4,6),-0.232492 # DEPENDENCYPART_ARC
(4,7),-0.934614 # DEPENDENCYPART_ARC
(4,8),-1.03225 # DEPENDENCYPART_ARC
(4,9),-1.32488 # DEPENDENCYPART_ARC
(5,1),0.217309 # DEPENDENCYPART_ARC
(5,2),-0.364806 # DEPENDENCYPART_ARC
(5,3),0.273591 # DEPENDENCYPART_ARC
(5,4),0.3402 # DEPENDENCYPART_ARC
(5,6),0.323553 # DEPENDENCYPART_ARC
(5,7),0.380852 # DEPENDENCYPART_ARC
(5,8),-0.301424 # DEPENDENCYPART_ARC
(5,9),-0.170472 # DEPENDENCYPART_ARC
(5,10),-0.891636 # DEPENDENCYPART_ARC
(6,1),-0.478122 # DEPENDENCYPART_ARC
(6,2),-0.267232 # DEPENDENCYPART_ARC
(6,3),0.0661868 # DEPENDENCYPART_ARC
(6,4),0.677673 # DEPENDENCYPART_ARC
(6,5),0.460009 # DEPENDENCYPART_ARC
(6,7),-0.00893331 # DEPENDENCYPART_ARC
(6,8),-0.115847 # DEPENDENCYPART_ARC
(6,9),0.258642 # DEPENDENCYPART_ARC
(6,10),0.105814 # DEPENDENCYPART_ARC
(7,1),-0.268517 # DEPENDENCYPART_ARC
(7,2),-1.04318 # DEPENDENCYPART_ARC
(7,3),-0.00611219 # DEPENDENCYPART_ARC
(7,4),-0.426163 # DEPENDENCYPART_ARC
(7,5),0.150928 # DEPENDENCYPART_ARC
(7,6),0.291672 # DEPENDENCYPART_ARC
(7,8),-0.230144 # DEPENDENCYPART_ARC
(7,9),0.180321 # DEPENDENCYPART_ARC
(7,10),0.087002 # DEPENDENCYPART_ARC
(8,6),-0.318871 # DEPENDENCYPART_ARC
(8,7),0.768255 # DEPENDENCYPART_ARC
(8,9),0.651021 # DEPENDENCYPART_ARC
(8,10),-0.398467 # DEPENDENCYPART_ARC
(9,1),-0.279711 # DEPENDENCYPART_ARC
(9,2),-0.998228 # DEPENDENCYPART_ARC
(9,3),-1.38032 # DEPENDENCYPART_ARC
(9,4),-0.689835 # DEPENDENCYPART_ARC
(9,5),-0.295034 # DEPENDENCYPART_ARC
(9,6),1.30102 # DEPENDENCYPART_ARC
(9,7),2.55291 # DEPENDENCYPART_ARC
(9,8),3.16026 # DEPENDENCYPART_ARC
(9,10),-0.276436 # DEPENDENCYPART_ARC
(10,2),-2.66118 # DEPENDENCYPART_ARC
(10,4),-2.32995 # DEPENDENCYPART_ARC
(10,6),-2.51937 # DEPENDENCYPART_ARC
(10,9),-3.93239 # DEPENDENCYPART_ARC
