# _root_ Do oblasti Plitvických jezer , kde působí náš prapor jako součást ochranných sil OSN , se začnou přesunovat autobusy 10 . října .
#goldHeads=17,1,4,2,7,7,2,9,7,11,9,13,11,13,7,18,0,17,17,22,20,17,0,
#predictedHeads=7,1,4,2,7,7,0,9,7,11,9,13,11,13,17,18,13,17,18,22,20,19,0,
(0,1),-0.695957 # DEPENDENCYPART_ARC
(0,2),-1.7393 # DEPENDENCYPART_ARC
(0,3),-1.98991 # DEPENDENCYPART_ARC
(0,4),-1.7487 # DEPENDENCYPART_ARC
(0,5),-0.661668 # DEPENDENCYPART_ARC
(0,6),-1.04984 # DEPENDENCYPART_ARC
(0,7),-0.390828 # DEPENDENCYPART_ARC
(0,15),-1.38697 # DEPENDENCYPART_ARC
(0,17),-0.730439 # DEPENDENCYPART_ARC
(0,18),-1.82122 # DEPENDENCYPART_ARC
(0,21),-0.0717785 # DEPENDENCYPART_ARC
(0,23),3.68933 # DEPENDENCYPART_ARC
(1,2),2.65015 # DEPENDENCYPART_ARC
(1,3),-1.12913 # DEPENDENCYPART_ARC
(1,4),-0.422806 # DEPENDENCYPART_ARC
(1,5),-0.90192 # DEPENDENCYPART_ARC
(1,10),-2.41569 # DEPENDENCYPART_ARC
(2,1),1.02855 # DEPENDENCYPART_ARC
(2,3),-0.155493 # DEPENDENCYPART_ARC
(2,4),2.99373 # DEPENDENCYPART_ARC
(2,5),-0.0722504 # DEPENDENCYPART_ARC
(2,6),-0.15227 # DEPENDENCYPART_ARC
(2,7),-0.163138 # DEPENDENCYPART_ARC
(2,9),-2.14663 # DEPENDENCYPART_ARC
(2,10),-0.496239 # DEPENDENCYPART_ARC
(2,11),-2.44101 # DEPENDENCYPART_ARC
(2,13),0.165531 # DEPENDENCYPART_ARC
(3,1),-0.171169 # DEPENDENCYPART_ARC
(3,2),-0.738919 # DEPENDENCYPART_ARC
(3,4),0.134392 # DEPENDENCYPART_ARC
(3,6),-0.678895 # DEPENDENCYPART_ARC
(3,7),-3.07733 # DEPENDENCYPART_ARC
(3,10),-0.284955 # DEPENDENCYPART_ARC
(4,1),-0.563609 # DEPENDENCYPART_ARC
(4,2),-1.33322 # DEPENDENCYPART_ARC
(4,3),4.76272 # DEPENDENCYPART_ARC
(4,5),-0.522853 # DEPENDENCYPART_ARC
(4,6),-0.175978 # DEPENDENCYPART_ARC
(4,7),-0.102927 # DEPENDENCYPART_ARC
(4,9),-2.53621 # DEPENDENCYPART_ARC
(4,10),-0.790585 # DEPENDENCYPART_ARC
(4,12),-1.79721 # DEPENDENCYPART_ARC
(4,17),-1.43238 # DEPENDENCYPART_ARC
(4,18),-2.32041 # DEPENDENCYPART_ARC
(5,1),-1.05602 # DEPENDENCYPART_ARC
(5,2),0.177611 # DEPENDENCYPART_ARC
(5,3),-0.360283 # DEPENDENCYPART_ARC
(5,4),-0.3486 # DEPENDENCYPART_ARC
(5,6),-0.718942 # DEPENDENCYPART_ARC
(5,7),-0.229194 # DEPENDENCYPART_ARC
(5,9),-1.03731 # DEPENDENCYPART_ARC
(5,10),-0.870918 # DEPENDENCYPART_ARC
(5,12),-1.47895 # DEPENDENCYPART_ARC
(5,15),-0.803731 # DEPENDENCYPART_ARC
