# _root_ Jestliže však byla tak váhavá dokonce i země , která ostatní Evropany k unii před lety vyzvala a potom tlačila , neznamená to snad konec snu o integraci ?
#goldHeads=22,0,1,5,3,8,8,3,18,18,12,18,18,13,17,15,18,8,20,18,1,2,22,22,22,25,26,27,0,
#predictedHeads=22,3,1,5,3,8,8,3,1,17,12,17,17,13,14,15,18,1,20,18,1,0,22,22,22,25,26,27,0,
(0,1),-0.294125 # DEPENDENCYPART_ARC
(0,2),1.3758 # DEPENDENCYPART_ARC
(0,3),-0.363546 # DEPENDENCYPART_ARC
(0,9),-0.771459 # DEPENDENCYPART_ARC
(0,10),-1.30965 # DEPENDENCYPART_ARC
(0,17),-0.734168 # DEPENDENCYPART_ARC
(0,18),-1.17997 # DEPENDENCYPART_ARC
(0,20),-1.54979 # DEPENDENCYPART_ARC
(0,21),-1.48652 # DEPENDENCYPART_ARC
(0,22),-0.0111316 # DEPENDENCYPART_ARC
(0,29),3.88483 # DEPENDENCYPART_ARC
(1,2),0.904494 # DEPENDENCYPART_ARC
(1,3),2.16166 # DEPENDENCYPART_ARC
(1,4),0.495811 # DEPENDENCYPART_ARC
(1,5),0.131697 # DEPENDENCYPART_ARC
(1,6),-0.221972 # DEPENDENCYPART_ARC
(1,7),-0.0853382 # DEPENDENCYPART_ARC
(1,9),1.83659 # DEPENDENCYPART_ARC
(1,17),0.303953 # DEPENDENCYPART_ARC
(1,18),1.00288 # DEPENDENCYPART_ARC
(1,20),-0.421915 # DEPENDENCYPART_ARC
(1,21),2.34773 # DEPENDENCYPART_ARC
(1,22),-0.759993 # DEPENDENCYPART_ARC
(1,29),-1.37354 # DEPENDENCYPART_ARC
(2,1),0.855782 # DEPENDENCYPART_ARC
(2,3),1.27478 # DEPENDENCYPART_ARC
(2,4),-0.734007 # DEPENDENCYPART_ARC
(2,5),-0.57585 # DEPENDENCYPART_ARC
(2,9),0.124227 # DEPENDENCYPART_ARC
(2,17),0.241493 # DEPENDENCYPART_ARC
(2,18),-0.161876 # DEPENDENCYPART_ARC
(2,20),-0.495042 # DEPENDENCYPART_ARC
