# _root_ Náš brankář Hnilička inteligentní není a přesně to , co navrhoval agent Winter Hrbkovi , udělal .
#goldHeads=2,3,6,5,6,0,8,16,11,11,8,13,11,11,11,6,0,
#predictedHeads=2,3,5,3,6,8,11,16,11,11,8,13,11,11,11,0,0,
(0,2),-1.00143 # DEPENDENCYPART_ARC
(0,3),-0.560169 # DEPENDENCYPART_ARC
(0,4),-1.34376 # DEPENDENCYPART_ARC
(0,5),-0.414116 # DEPENDENCYPART_ARC
(0,6),0.0730224 # DEPENDENCYPART_ARC
(0,7),-1.16656 # DEPENDENCYPART_ARC
(0,8),-2.41904 # DEPENDENCYPART_ARC
(0,9),-0.609329 # DEPENDENCYPART_ARC
(0,10),-1.50283 # DEPENDENCYPART_ARC
(0,11),-1.1357 # DEPENDENCYPART_ARC
(0,15),-1.22557 # DEPENDENCYPART_ARC
(0,16),-0.5877 # DEPENDENCYPART_ARC
(0,17),4.02188 # DEPENDENCYPART_ARC
(2,1),3.71482 # DEPENDENCYPART_ARC
(2,3),0.322365 # DEPENDENCYPART_ARC
(2,4),1.20529 # DEPENDENCYPART_ARC
(2,5),-1.66777 # DEPENDENCYPART_ARC
(2,11),-1.47822 # DEPENDENCYPART_ARC
(3,1),2.67082 # DEPENDENCYPART_ARC
(3,2),4.69397 # DEPENDENCYPART_ARC
(3,4),2.78525 # DEPENDENCYPART_ARC
(3,5),-1.5991 # DEPENDENCYPART_ARC
(3,6),0.150003 # DEPENDENCYPART_ARC
(3,7),-1.17547 # DEPENDENCYPART_ARC
(3,8),-2.05129 # DEPENDENCYPART_ARC
(3,9),-0.471608 # DEPENDENCYPART_ARC
(3,11),-0.897173 # DEPENDENCYPART_ARC
(4,1),-0.191948 # DEPENDENCYPART_ARC
(4,2),1.14341 # DEPENDENCYPART_ARC
(4,3),0.0929177 # DEPENDENCYPART_ARC
(4,5),-0.411842 # DEPENDENCYPART_ARC
(4,6),0.0585302 # DEPENDENCYPART_ARC
(4,7),-0.369965 # DEPENDENCYPART_ARC
(4,8),-2.04351 # DEPENDENCYPART_ARC
(5,2),1.56249 # DEPENDENCYPART_ARC
(5,3),1.23408 # DEPENDENCYPART_ARC
(5,4),1.93879 # DEPENDENCYPART_ARC
(5,6),-0.0784749 # DEPENDENCYPART_ARC
(5,7),0.106518 # DEPENDENCYPART_ARC
(5,8),-0.984867 # DEPENDENCYPART_ARC
(5,9),-0.893863 # DEPENDENCYPART_ARC
(5,11),-1.52024 # DEPENDENCYPART_ARC
(5,12),-1.06641 # DEPENDENCYPART_ARC
(5,13),-1.13456 # DEPENDENCYPART_ARC
(5,14),-1.51258 # DEPENDENCYPART_ARC
(5,15),-0.603406 # DEPENDENCYPART_ARC
(6,1),0.330238 # DEPENDENCYPART_ARC
(6,2),0.810599 # DEPENDENCYPART_ARC
(6,3),0.876183 # DEPENDENCYPART_ARC
(6,4),0.779154 # DEPENDENCYPART_ARC
(6,5),2.17413 # DEPENDENCYPART_ARC
(6,7),0.149733 # DEPENDENCYPART_ARC
(6,8),-0.348575 # DEPENDENCYPART_ARC
(6,9),-0.0188799 # DEPENDENCYPART_ARC
(6,11),1.14456 # DEPENDENCYPART_ARC
(6,12),-0.763315 # DEPENDENCYPART_ARC
(6,13),-1.48012 # DEPENDENCYPART_ARC
(6,14),-1.55214 # DEPENDENCYPART_ARC
(6,15),0.19307 # DEPENDENCYPART_ARC
(6,16),-0.396887 # DEPENDENCYPART_ARC
(6,17),-1.54762 # DEPENDENCYPART_ARC
(7,6),-0.435699 # DEPENDENCYPART_ARC
(7,8),0.178331 # DEPENDENCYPART_ARC
(7,9),-1.1794 # DEPENDENCYPART_ARC
(7,14),-3.8256 # DEPENDENCYPART_ARC
(7,16),-2.0191 # DEPENDENCYPART_ARC
(8,2),-1.45151 # DEPENDENCYPART_ARC
(8,3),-1.86249 # DEPENDENCYPART_ARC
(8,4),-2.29754 # DEPENDENCYPART_ARC
(8,5),-0.536697 # DEPENDENCYPART_ARC
(8,6),1.51255 # DEPENDENCYPART_ARC
(8,7),1.20157 # DEPENDENCYPART_ARC
(8,9),0.447302 # DEPENDENCYPART_ARC
(8,10),0.546965 # DEPENDENCYPART_ARC
(8,11),2.45233 # DEPENDENCYPART_ARC
(8,12),-0.570152 # DEPENDENCYPART_ARC
(8,13),-0.845492 # DEPENDENCYPART_ARC
(8,15),1.0203 # DEPENDENCYPART_ARC
(8,16),-0.273367 # DEPENDENCYPART_ARC
