# _root_ Jednotky , které se již stabilizovaly , odvádějí naopak dobré výsledky .
#goldHeads=8,6,6,6,6,1,6,0,8,11,8,0,
#predictedHeads=8,6,6,6,6,1,6,0,8,11,8,0,
(0,1),-0.0383393 # DEPENDENCYPART_ARC
(0,2),0.0629851 # DEPENDENCYPART_ARC
(0,3),-1.23241 # DEPENDENCYPART_ARC
(0,5),-0.341835 # DEPENDENCYPART_ARC
(0,6),0.201957 # DEPENDENCYPART_ARC
(0,7),-0.193535 # DEPENDENCYPART_ARC
(0,8),0.557733 # DEPENDENCYPART_ARC
(0,9),-0.396314 # DEPENDENCYPART_ARC
(0,11),-2.14969 # DEPENDENCYPART_ARC
(0,12),3.71975 # DEPENDENCYPART_ARC
(1,2),0.285691 # DEPENDENCYPART_ARC
(1,3),0.132624 # DEPENDENCYPART_ARC
(1,5),0.179974 # DEPENDENCYPART_ARC
(1,6),2.20609 # DEPENDENCYPART_ARC
(1,7),0.403906 # DEPENDENCYPART_ARC
(1,8),0.153893 # DEPENDENCYPART_ARC
(1,9),0.00183418 # DEPENDENCYPART_ARC
(1,10),-3.38776 # DEPENDENCYPART_ARC
(1,11),-5.52921 # DEPENDENCYPART_ARC
(2,1),-0.511047 # DEPENDENCYPART_ARC
(2,5),-1.31947 # DEPENDENCYPART_ARC
(2,6),-0.513437 # DEPENDENCYPART_ARC
(2,7),-1.05994 # DEPENDENCYPART_ARC
(2,8),-1.64617 # DEPENDENCYPART_ARC
(2,9),-1.9609 # DEPENDENCYPART_ARC
(2,10),-2.22067 # DEPENDENCYPART_ARC
(2,11),-3.01661 # DEPENDENCYPART_ARC
(3,2),-0.439449 # DEPENDENCYPART_ARC
(3,5),-0.448483 # DEPENDENCYPART_ARC
(3,6),-0.438283 # DEPENDENCYPART_ARC
(3,7),-0.671934 # DEPENDENCYPART_ARC
(3,11),-2.56237 # DEPENDENCYPART_ARC
(5,1),-2.20513 # DEPENDENCYPART_ARC
(5,2),-1.116 # DEPENDENCYPART_ARC
(5,3),-1.404 # DEPENDENCYPART_ARC
(5,6),-1.12422 # DEPENDENCYPART_ARC
(5,7),-1.37327 # DEPENDENCYPART_ARC
(5,8),-2.15476 # DEPENDENCYPART_ARC
(5,9),-1.81601 # DEPENDENCYPART_ARC
(5,11),-3.22682 # DEPENDENCYPART_ARC
(6,1),1.7822 # DEPENDENCYPART_ARC
(6,2),2.02973 # DEPENDENCYPART_ARC
(6,3),2.85812 # DEPENDENCYPART_ARC
(6,4),4.01376 # DEPENDENCYPART_ARC
(6,5),2.99406 # DEPENDENCYPART_ARC
(6,7),0.997563 # DEPENDENCYPART_ARC
(6,8),-1.24726 # DEPENDENCYPART_ARC
(6,9),-0.76616 # DEPENDENCYPART_ARC
(6,10),-3.28588 # DEPENDENCYPART_ARC
(6,11),0.248693 # DEPENDENCYPART_ARC
(7,1),-0.303506 # DEPENDENCYPART_ARC
(7,2),-0.0688722 # DEPENDENCYPART_ARC
(7,3),0.264659 # DEPENDENCYPART_ARC
(7,4),0.329217 # DEPENDENCYPART_ARC
(7,5),-0.00940676 # DEPENDENCYPART_ARC
(7,6),0.569515 # DEPENDENCYPART_ARC
(7,8),0.202695 # DEPENDENCYPART_ARC
(7,9),-0.547376 # DEPENDENCYPART_ARC
(7,10),-0.624 # DEPENDENCYPART_ARC
(7,11),-1.52921 # DEPENDENCYPART_ARC
(8,1),2.14978 # DEPENDENCYPART_ARC
(8,2),1.11074 # DEPENDENCYPART_ARC
(8,3),1.74717 # DEPENDENCYPART_ARC
(8,4),1.77313 # DEPENDENCYPART_ARC
(8,5),1.30102 # DEPENDENCYPART_ARC
(8,6),-0.14861 # DEPENDENCYPART_ARC
(8,7),0.384897 # DEPENDENCYPART_ARC
(8,9),1.93985 # DEPENDENCYPART_ARC
(8,10),-1.02454 # DEPENDENCYPART_ARC
(8,11),3.09182 # DEPENDENCYPART_ARC
(8,12),0.452921 # DEPENDENCYPART_ARC
(9,1),-1.72978 # DEPENDENCYPART_ARC
(9,2),-1.03137 # DEPENDENCYPART_ARC
(9,3),-1.06149 # DEPENDENCYPART_ARC
(9,5),-0.779665 # DEPENDENCYPART_ARC
(9,6),-0.703699 # DEPENDENCYPART_ARC
(9,7),-0.6764 # DEPENDENCYPART_ARC
(9,8),-0.154969 # DEPENDENCYPART_ARC
(9,10),-0.608802 # DEPENDENCYPART_ARC
(9,11),-0.484723 # DEPENDENCYPART_ARC
(9,12),-0.431507 # DEPENDENCYPART_ARC
(10,1),-5.20338 # DEPENDENCYPART_ARC
(10,2),-1.82425 # DEPENDENCYPART_ARC
(10,4),-2.15921 # DEPENDENCYPART_ARC
(10,5),-1.07462 # DEPENDENCYPART_ARC
(10,7),-1.27941 # DEPENDENCYPART_ARC
(10,8),-3.50478 # DEPENDENCYPART_ARC
(10,9),0.94623 # DEPENDENCYPART_ARC
(10,11),-0.246822 # DEPENDENCYPART_ARC
(11,1),-5.84066 # DEPENDENCYPART_ARC
(11,2),-0.778027 # DEPENDENCYPART_ARC
(11,3),-3.2191 # DEPENDENCYPART_ARC
(11,4),-2.713 # DEPENDENCYPART_ARC
(11,5),-0.711591 # DEPENDENCYPART_ARC
(11,6),-1.47441 # DEPENDENCYPART_ARC
(11,7),-0.70928 # DEPENDENCYPART_ARC
(11,8),-0.835737 # DEPENDENCYPART_ARC
(11,9),0.841368 # DEPENDENCYPART_ARC
(11,10),3.95576 # DEPENDENCYPART_ARC
(11,12),0.437942 # DEPENDENCYPART_ARC
(12,8),-3.46276 # DEPENDENCYPART_ARC
