# _root_ Psaní je pro mne paralelní život - i když hlubší než můj život veřejný , a navíc si myslím , že být spisovatelem z povolání je nebezpečné . . .
#goldHeads=2,16,2,3,6,2,9,9,5,9,10,13,11,13,16,0,19,19,16,21,19,26,22,23,24,21,26,0,0,0,
#predictedHeads=2,16,2,3,6,2,9,9,2,9,10,13,16,13,16,0,19,19,16,21,19,26,22,23,24,21,26,0,0,0,
(0,1),-1.58322 # DEPENDENCYPART_ARC
(0,2),-0.109881 # DEPENDENCYPART_ARC
(0,6),-1.0924 # DEPENDENCYPART_ARC
(0,7),-1.01681 # DEPENDENCYPART_ARC
(0,8),-1.83409 # DEPENDENCYPART_ARC
(0,9),-2.52703 # DEPENDENCYPART_ARC
(0,11),-3.27139 # DEPENDENCYPART_ARC
(0,15),-1.79118 # DEPENDENCYPART_ARC
(0,16),-1.54976 # DEPENDENCYPART_ARC
(0,19),-1.72975 # DEPENDENCYPART_ARC
(0,20),-2.18284 # DEPENDENCYPART_ARC
(0,22),-3.59004 # DEPENDENCYPART_ARC
(0,26),-1.83742 # DEPENDENCYPART_ARC
(0,28),2.16591 # DEPENDENCYPART_ARC
(0,29),2.31977 # DEPENDENCYPART_ARC
(0,30),4.41819 # DEPENDENCYPART_ARC
(1,2),-0.582467 # DEPENDENCYPART_ARC
(1,3),-0.0325219 # DEPENDENCYPART_ARC
(1,4),0.675701 # DEPENDENCYPART_ARC
(1,5),-1.16224 # DEPENDENCYPART_ARC
(1,6),-1.44736 # DEPENDENCYPART_ARC
(2,1),2.74926 # DEPENDENCYPART_ARC
(2,3),2.64995 # DEPENDENCYPART_ARC
(2,4),0.91125 # DEPENDENCYPART_ARC
(2,5),1.26567 # DEPENDENCYPART_ARC
(2,6),2.39886 # DEPENDENCYPART_ARC
(2,7),0.252315 # DEPENDENCYPART_ARC
(2,8),0.335015 # DEPENDENCYPART_ARC
(2,9),1.47694 # DEPENDENCYPART_ARC
(2,10),0.11314 # DEPENDENCYPART_ARC
(2,13),-0.522771 # DEPENDENCYPART_ARC
(2,14),0.385087 # DEPENDENCYPART_ARC
(2,15),0.333374 # DEPENDENCYPART_ARC
(2,16),-0.436696 # DEPENDENCYPART_ARC
(2,17),-1.58783 # DEPENDENCYPART_ARC
(2,20),0.225587 # DEPENDENCYPART_ARC
(2,21),-2.56889 # DEPENDENCYPART_ARC
(2,27),-2.53327 # DEPENDENCYPART_ARC
(3,1),-2.87038 # DEPENDENCYPART_ARC
(3,4),3.47665 # DEPENDENCYPART_ARC
(3,5),-1.32645 # DEPENDENCYPART_ARC
(3,6),-0.917021 # DEPENDENCYPART_ARC
(3,7),-0.0753271 # DEPENDENCYPART_ARC
(3,8),-0.734218 # DEPENDENCYPART_ARC
(3,9),-0.859894 # DEPENDENCYPART_ARC
(4,1),-1.54441 # DEPENDENCYPART_ARC
(4,3),-0.0730008 # DEPENDENCYPART_ARC
(4,5),-0.544405 # DEPENDENCYPART_ARC
(4,6),-0.844028 # DEPENDENCYPART_ARC
(4,7),-0.617126 # DEPENDENCYPART_ARC
(4,8),-0.938128 # DEPENDENCYPART_ARC
(5,1),-2.55961 # DEPENDENCYPART_ARC
(5,3),0.591255 # DEPENDENCYPART_ARC
(5,4),0.0179541 # DEPENDENCYPART_ARC
(5,6),-0.532495 # DEPENDENCYPART_ARC
(6,3),0.561378 # DEPENDENCYPART_ARC
(6,4),-0.447514 # DEPENDENCYPART_ARC
(6,5),4.28756 # DEPENDENCYPART_ARC
(6,7),0.010921 # DEPENDENCYPART_ARC
(6,8),-0.290506 # DEPENDENCYPART_ARC
(6,9),-0.969259 # DEPENDENCYPART_ARC
(6,10),-1.13841 # DEPENDENCYPART_ARC
(6,14),-1.31951 # DEPENDENCYPART_ARC
(6,16),-1.72866 # DEPENDENCYPART_ARC
(6,19),-1.73302 # DEPENDENCYPART_ARC
(7,1),-0.859777 # DEPENDENCYPART_ARC
