# _root_ Tím , že Schumpeter opouští abstraktní schéma tržní ekonomiky a zkoumá kapitalistický systém , je blíž klasické škole a Marxovi než Marshallovi a Walrasovi .
#goldHeads=15,3,1,10,10,7,5,9,7,3,10,13,11,3,0,15,18,19,16,19,16,23,21,23,0,
#predictedHeads=19,3,1,5,10,7,5,9,7,3,10,13,11,11,0,15,18,19,15,19,16,21,21,23,0,
(0,1),-1.28261 # DEPENDENCYPART_ARC
(0,2),-0.267124 # DEPENDENCYPART_ARC
(0,3),-1.20675 # DEPENDENCYPART_ARC
(0,5),-0.267524 # DEPENDENCYPART_ARC
(0,10),-1.04296 # DEPENDENCYPART_ARC
(0,11),-1.93688 # DEPENDENCYPART_ARC
(0,14),-1.18623 # DEPENDENCYPART_ARC
(0,15),-0.000813566 # DEPENDENCYPART_ARC
(0,19),-2.32456 # DEPENDENCYPART_ARC
(0,23),-2.90583 # DEPENDENCYPART_ARC
(0,25),4.42297 # DEPENDENCYPART_ARC
(1,2),-0.174349 # DEPENDENCYPART_ARC
(1,3),2.01822 # DEPENDENCYPART_ARC
(1,4),-1.66126 # DEPENDENCYPART_ARC
(1,5),-0.468358 # DEPENDENCYPART_ARC
(1,10),-0.290321 # DEPENDENCYPART_ARC
(2,1),-0.766964 # DEPENDENCYPART_ARC
(2,5),-0.296779 # DEPENDENCYPART_ARC
(3,2),2.44826 # DEPENDENCYPART_ARC
(3,4),-1.11931 # DEPENDENCYPART_ARC
(3,5),2.2457 # DEPENDENCYPART_ARC
(3,6),-1.05285 # DEPENDENCYPART_ARC
(3,10),0.867761 # DEPENDENCYPART_ARC
(3,11),0.114599 # DEPENDENCYPART_ARC
(3,14),0.778494 # DEPENDENCYPART_ARC
(3,15),-0.0203855 # DEPENDENCYPART_ARC
(3,19),-0.178321 # DEPENDENCYPART_ARC
(3,23),-0.567355 # DEPENDENCYPART_ARC
(4,1),-3.92824 # DEPENDENCYPART_ARC
(4,2),-0.531948 # DEPENDENCYPART_ARC
(4,3),-1.09382 # DEPENDENCYPART_ARC
(4,5),-0.437953 # DEPENDENCYPART_ARC
(4,6),-2.19211 # DEPENDENCYPART_ARC
(4,7),-3.53317 # DEPENDENCYPART_ARC
(4,8),-2.34587 # DEPENDENCYPART_ARC
(4,9),-1.41467 # DEPENDENCYPART_ARC
(5,1),-0.206287 # DEPENDENCYPART_ARC
(5,2),0.296041 # DEPENDENCYPART_ARC
(5,3),-0.472441 # DEPENDENCYPART_ARC
(5,4),3.11452 # DEPENDENCYPART_ARC
(5,6),-0.793484 # DEPENDENCYPART_ARC
(5,7),2.52357 # DEPENDENCYPART_ARC
(5,8),-3.44233 # DEPENDENCYPART_ARC
(5,9),-0.0254083 # DEPENDENCYPART_ARC
(5,10),-0.228473 # DEPENDENCYPART_ARC
(5,11),-2.38233 # DEPENDENCYPART_ARC
(5,12),-4.21573 # DEPENDENCYPART_ARC
(5,13),0.464084 # DEPENDENCYPART_ARC
(5,14),0.115711 # DEPENDENCYPART_ARC
(5,16),-1.21789 # DEPENDENCYPART_ARC
(5,18),-1.03478 # DEPENDENCYPART_ARC
(5,19),-0.894771 # DEPENDENCYPART_ARC
(5,23),-1.6064 # DEPENDENCYPART_ARC
(7,1),-3.3657 # DEPENDENCYPART_ARC
(7,2),0.131939 # DEPENDENCYPART_ARC
(7,3),-1.67502 # DEPENDENCYPART_ARC
(7,4),-2.40156 # DEPENDENCYPART_ARC
(7,6),4.88672 # DEPENDENCYPART_ARC
(7,8),0.352752 # DEPENDENCYPART_ARC
(7,9),3.55858 # DEPENDENCYPART_ARC
