# _root_ كَما أَعْلَنَت أَنَّ طائِراتِ مُكافَحَةِ المُخَدِّراتِ , وَ هِيَ جُزْءٌ مِن بَرْنامَجِ المُراقَبَةِ الجَوِّيَّةِ الَّذِي تُمَوِّلُ هُ الوِلاياتُ المُتَّحِدَةُ , سَ يَتِمُّ اِسْتِئْنافُ العَمَلِ بِ ها قَرِيباً جِدّاً .
#goldHeads=0,0,2,22,4,5,10,10,10,4,10,11,12,13,12,12,16,16,18,10,22,3,22,23,24,25,22,27,0,
#predictedHeads=0,0,2,10,4,5,6,0,10,8,10,11,12,13,13,13,16,16,18,19,22,10,22,23,22,25,22,27,0,
(0,1),2.12626 # DEPENDENCYPART_ARC
(0,2),1.24348 # DEPENDENCYPART_ARC
(0,3),-2.12572 # DEPENDENCYPART_ARC
(0,4),-2.0373 # DEPENDENCYPART_ARC
(0,5),-2.70447 # DEPENDENCYPART_ARC
(0,6),-2.58878 # DEPENDENCYPART_ARC
(0,7),-0.740745 # DEPENDENCYPART_ARC
(0,8),0.800831 # DEPENDENCYPART_ARC
(0,9),-1.26107 # DEPENDENCYPART_ARC
(0,10),-1.49397 # DEPENDENCYPART_ARC
(0,11),-1.69468 # DEPENDENCYPART_ARC
(0,12),-2.76677 # DEPENDENCYPART_ARC
(0,13),-2.68795 # DEPENDENCYPART_ARC
(0,14),-2.2315 # DEPENDENCYPART_ARC
(0,15),-1.98728 # DEPENDENCYPART_ARC
(0,16),-1.74479 # DEPENDENCYPART_ARC
(0,17),-2.12399 # DEPENDENCYPART_ARC
(0,18),-2.34872 # DEPENDENCYPART_ARC
(0,19),-2.58235 # DEPENDENCYPART_ARC
(0,20),-2.74933 # DEPENDENCYPART_ARC
(0,21),-3.25944 # DEPENDENCYPART_ARC
(0,22),-1.49624 # DEPENDENCYPART_ARC
(0,23),-2.31901 # DEPENDENCYPART_ARC
(0,24),-3.83957 # DEPENDENCYPART_ARC
(0,25),-3.60198 # DEPENDENCYPART_ARC
(0,26),-3.91906 # DEPENDENCYPART_ARC
(0,27),-2.65244 # DEPENDENCYPART_ARC
(0,28),-3.1344 # DEPENDENCYPART_ARC
(0,29),4.78136 # DEPENDENCYPART_ARC
(1,2),-0.239938 # DEPENDENCYPART_ARC
(1,3),-1.84043 # DEPENDENCYPART_ARC
(1,4),-2.1286 # DEPENDENCYPART_ARC
(1,5),-2.26216 # DEPENDENCYPART_ARC
(1,6),-2.34204 # DEPENDENCYPART_ARC
(1,7),-1.97601 # DEPENDENCYPART_ARC
(1,8),-1.85909 # DEPENDENCYPART_ARC
(1,9),-2.74689 # DEPENDENCYPART_ARC
(1,10),-2.04428 # DEPENDENCYPART_ARC
(1,11),-2.31247 # DEPENDENCYPART_ARC
(1,12),-2.6769 # DEPENDENCYPART_ARC
(1,13),-2.57057 # DEPENDENCYPART_ARC
(1,14),-2.75372 # DEPENDENCYPART_ARC
(1,15),-2.73155 # DEPENDENCYPART_ARC
(1,16),-2.88739 # DEPENDENCYPART_ARC
(1,17),-3.3871 # DEPENDENCYPART_ARC
(1,18),-2.69815 # DEPENDENCYPART_ARC
(1,19),-3.02712 # DEPENDENCYPART_ARC
(1,20),-3.26958 # DEPENDENCYPART_ARC
(1,21),-2.81031 # DEPENDENCYPART_ARC
(1,22),-3.30378 # DEPENDENCYPART_ARC
(1,23),-3.02312 # DEPENDENCYPART_ARC
(1,24),-3.3344 # DEPENDENCYPART_ARC
(1,25),-3.90397 # DEPENDENCYPART_ARC
(1,26),-3.80829 # DEPENDENCYPART_ARC
(1,27),-4.02598 # DEPENDENCYPART_ARC
(1,28),-3.5504 # DEPENDENCYPART_ARC
(1,29),-3.58751 # DEPENDENCYPART_ARC
(2,1),0.765668 # DEPENDENCYPART_ARC
(2,3),2.15955 # DEPENDENCYPART_ARC
(2,4),-0.260205 # DEPENDENCYPART_ARC
(2,5),-1.97873 # DEPENDENCYPART_ARC
(2,6),-1.55122 # DEPENDENCYPART_ARC
(2,7),-0.280128 # DEPENDENCYPART_ARC
(2,8),0.00572074 # DEPENDENCYPART_ARC
(2,9),-2.31755 # DEPENDENCYPART_ARC
(2,10),-1.38596 # DEPENDENCYPART_ARC
(2,11),-0.884568 # DEPENDENCYPART_ARC
(2,12),-3.03395 # DEPENDENCYPART_ARC
(2,13),-3.21025 # DEPENDENCYPART_ARC
(2,14),-3.25321 # DEPENDENCYPART_ARC
(2,15),-2.1938 # DEPENDENCYPART_ARC
(2,16),-2.75182 # DEPENDENCYPART_ARC
(2,17),-2.45405 # DEPENDENCYPART_ARC
(2,18),-1.62113 # DEPENDENCYPART_ARC
(2,19),-3.8194 # DEPENDENCYPART_ARC
(2,20),-1.04605 # DEPENDENCYPART_ARC
(2,21),-1.8178 # DEPENDENCYPART_ARC
(2,22),-3.86771 # DEPENDENCYPART_ARC
(2,23),-2.3432 # DEPENDENCYPART_ARC
(2,24),-3.483 # DEPENDENCYPART_ARC
(2,25),-3.2288 # DEPENDENCYPART_ARC
(2,26),-5.49072 # DEPENDENCYPART_ARC
(2,27),-1.59576 # DEPENDENCYPART_ARC
(2,28),-3.16436 # DEPENDENCYPART_ARC
(2,29),-1.5595 # DEPENDENCYPART_ARC
(3,1),-1.00286 # DEPENDENCYPART_ARC
(3,2),-0.0126334 # DEPENDENCYPART_ARC
(3,4),-0.130807 # DEPENDENCYPART_ARC
(3,5),-0.623346 # DEPENDENCYPART_ARC
(3,6),-0.309349 # DEPENDENCYPART_ARC
(3,7),0.0488436 # DEPENDENCYPART_ARC
(3,8),0.455499 # DEPENDENCYPART_ARC
(3,9),-0.605077 # DEPENDENCYPART_ARC
(3,10),0.0460733 # DEPENDENCYPART_ARC
(3,11),0.0673486 # DEPENDENCYPART_ARC
(3,12),-0.467812 # DEPENDENCYPART_ARC
(3,13),-0.517697 # DEPENDENCYPART_ARC
(3,14),-0.0950736 # DEPENDENCYPART_ARC
(3,15),-0.422054 # DEPENDENCYPART_ARC
(3,16),-0.0334909 # DEPENDENCYPART_ARC
(3,17),-1.1637 # DEPENDENCYPART_ARC
(3,18),-0.395691 # DEPENDENCYPART_ARC
(3,19),-0.679827 # DEPENDENCYPART_ARC
(3,20),-0.738511 # DEPENDENCYPART_ARC
(3,21),-1.15607 # DEPENDENCYPART_ARC
(3,22),-0.161004 # DEPENDENCYPART_ARC
(3,23),-0.771237 # DEPENDENCYPART_ARC
(3,24),-0.94013 # DEPENDENCYPART_ARC
(3,25),-1.84523 # DEPENDENCYPART_ARC
(3,26),-2.14932 # DEPENDENCYPART_ARC
(3,27),-1.58159 # DEPENDENCYPART_ARC
(3,28),-0.950357 # DEPENDENCYPART_ARC
(3,29),-2.04929 # DEPENDENCYPART_ARC
(4,1),-1.16789 # DEPENDENCYPART_ARC
(4,2),-0.880841 # DEPENDENCYPART_ARC
(4,3),-0.326034 # DEPENDENCYPART_ARC
(4,5),2.5534 # DEPENDENCYPART_ARC
(4,6),1.34854 # DEPENDENCYPART_ARC
(4,7),0.66342 # DEPENDENCYPART_ARC
(4,8),0.603504 # DEPENDENCYPART_ARC
(4,9),-0.690677 # DEPENDENCYPART_ARC
(4,10),-1.02376 # DEPENDENCYPART_ARC
(4,11),0.43092 # DEPENDENCYPART_ARC
(4,12),-0.896242 # DEPENDENCYPART_ARC
(4,13),-0.592927 # DEPENDENCYPART_ARC
(4,14),-1.24931 # DEPENDENCYPART_ARC
(4,15),0.51474 # DEPENDENCYPART_ARC
(4,16),0.47305 # DEPENDENCYPART_ARC
(4,17),-2.77892 # DEPENDENCYPART_ARC
(4,18),-1.35402 # DEPENDENCYPART_ARC
(4,19),-1.64837 # DEPENDENCYPART_ARC
(4,20),-1.49769 # DEPENDENCYPART_ARC
(4,21),-1.15054 # DEPENDENCYPART_ARC
(4,22),-1.98455 # DEPENDENCYPART_ARC
(4,23),-2.68892 # DEPENDENCYPART_ARC
(4,24),-1.87147 # DEPENDENCYPART_ARC
(4,25),-1.24307 # DEPENDENCYPART_ARC
(4,26),-3.95249 # DEPENDENCYPART_ARC
(4,27),-4.74959 # DEPENDENCYPART_ARC
(4,28),-2.40442 # DEPENDENCYPART_ARC
(4,29),-1.93853 # DEPENDENCYPART_ARC
(5,1),-0.555137 # DEPENDENCYPART_ARC
(5,2),-1.16368 # DEPENDENCYPART_ARC
(5,3),-0.0416563 # DEPENDENCYPART_ARC
(5,4),0.608944 # DEPENDENCYPART_ARC
(5,6),3.30077 # DEPENDENCYPART_ARC
(5,7),0.401226 # DEPENDENCYPART_ARC
(5,8),0.328277 # DEPENDENCYPART_ARC
(5,9),-0.987966 # DEPENDENCYPART_ARC
(5,10),-1.45486 # DEPENDENCYPART_ARC
(5,11),0.0880972 # DEPENDENCYPART_ARC
(5,12),-1.3042 # DEPENDENCYPART_ARC
(5,13),-0.175553 # DEPENDENCYPART_ARC
(5,14),-0.334026 # DEPENDENCYPART_ARC
(5,15),0.477411 # DEPENDENCYPART_ARC
(5,16),-0.031895 # DEPENDENCYPART_ARC
(5,17),-3.01588 # DEPENDENCYPART_ARC
(5,18),-2.06045 # DEPENDENCYPART_ARC
(5,19),-2.15571 # DEPENDENCYPART_ARC
(5,20),-1.77332 # DEPENDENCYPART_ARC
(5,21),-1.47974 # DEPENDENCYPART_ARC
(5,22),-2.35936 # DEPENDENCYPART_ARC
(5,23),-3.12298 # DEPENDENCYPART_ARC
(5,24),-2.13739 # DEPENDENCYPART_ARC
(5,25),-2.27434 # DEPENDENCYPART_ARC
(5,26),-4.01379 # DEPENDENCYPART_ARC
(5,27),-4.83102 # DEPENDENCYPART_ARC
(5,28),-3.23017 # DEPENDENCYPART_ARC
(5,29),-2.4963 # DEPENDENCYPART_ARC
(6,1),-0.990505 # DEPENDENCYPART_ARC
(6,2),-1.27741 # DEPENDENCYPART_ARC
(6,3),-0.354779 # DEPENDENCYPART_ARC
(6,4),-0.899749 # DEPENDENCYPART_ARC
(6,5),-2.95605 # DEPENDENCYPART_ARC
(6,7),1.42492 # DEPENDENCYPART_ARC
(6,8),0.0815711 # DEPENDENCYPART_ARC
(6,9),-2.40952 # DEPENDENCYPART_ARC
(6,10),-2.83589 # DEPENDENCYPART_ARC
(6,11),-0.629675 # DEPENDENCYPART_ARC
(6,12),-2.03927 # DEPENDENCYPART_ARC
(6,13),-0.913279 # DEPENDENCYPART_ARC
(6,14),-0.437537 # DEPENDENCYPART_ARC
(6,15),-0.139011 # DEPENDENCYPART_ARC
(6,16),-0.4046 # DEPENDENCYPART_ARC
(6,17),-4.52349 # DEPENDENCYPART_ARC
(6,18),-2.76918 # DEPENDENCYPART_ARC
(6,19),-2.47651 # DEPENDENCYPART_ARC
(6,20),-1.95332 # DEPENDENCYPART_ARC
(6,21),-1.95022 # DEPENDENCYPART_ARC
(6,22),-2.29844 # DEPENDENCYPART_ARC
(6,23),-4.05349 # DEPENDENCYPART_ARC
(6,24),-3.37324 # DEPENDENCYPART_ARC
(6,25),-2.53373 # DEPENDENCYPART_ARC
(6,26),-5.22289 # DEPENDENCYPART_ARC
(6,27),-6.55169 # DEPENDENCYPART_ARC
(6,28),-4.41848 # DEPENDENCYPART_ARC
(6,29),-3.00972 # DEPENDENCYPART_ARC
(7,1),-1.05565 # DEPENDENCYPART_ARC
(7,2),-0.795893 # DEPENDENCYPART_ARC
(7,3),-0.708724 # DEPENDENCYPART_ARC
(7,4),-0.0441387 # DEPENDENCYPART_ARC
(7,5),0.100512 # DEPENDENCYPART_ARC
(7,6),0.199395 # DEPENDENCYPART_ARC
(7,8),-0.473516 # DEPENDENCYPART_ARC
(7,9),-1.3079 # DEPENDENCYPART_ARC
(7,10),-1.18939 # DEPENDENCYPART_ARC
(7,11),-1.30698 # DEPENDENCYPART_ARC
(7,12),-1.4934 # DEPENDENCYPART_ARC
(7,13),-1.71966 # DEPENDENCYPART_ARC
(7,14),-1.56684 # DEPENDENCYPART_ARC
(7,15),-1.73538 # DEPENDENCYPART_ARC
(7,16),-1.09641 # DEPENDENCYPART_ARC
(7,17),-1.96071 # DEPENDENCYPART_ARC
(7,18),-2.40164 # DEPENDENCYPART_ARC
(7,19),-2.38429 # DEPENDENCYPART_ARC
(7,20),-2.02085 # DEPENDENCYPART_ARC
(7,21),-1.9109 # DEPENDENCYPART_ARC
(7,22),-1.58513 # DEPENDENCYPART_ARC
(7,23),-2.431 # DEPENDENCYPART_ARC
(7,24),-2.55383 # DEPENDENCYPART_ARC
(7,25),-2.61024 # DEPENDENCYPART_ARC
(7,26),-2.15294 # DEPENDENCYPART_ARC
(7,27),-2.64441 # DEPENDENCYPART_ARC
(7,28),-2.77193 # DEPENDENCYPART_ARC
(7,29),-2.44268 # DEPENDENCYPART_ARC
(8,1),-0.0317926 # DEPENDENCYPART_ARC
(8,2),0.235046 # DEPENDENCYPART_ARC
(8,3),0.367884 # DEPENDENCYPART_ARC
(8,4),0.0843619 # DEPENDENCYPART_ARC
(8,5),0.424408 # DEPENDENCYPART_ARC
(8,6),0.113759 # DEPENDENCYPART_ARC
(8,7),0.175165 # DEPENDENCYPART_ARC
(8,9),-0.336652 # DEPENDENCYPART_ARC
(8,10),0.378915 # DEPENDENCYPART_ARC
(8,11),-0.304362 # DEPENDENCYPART_ARC
(8,12),-0.0688982 # DEPENDENCYPART_ARC
(8,13),-0.153754 # DEPENDENCYPART_ARC
(8,14),-1.07994 # DEPENDENCYPART_ARC
(8,15),-0.895531 # DEPENDENCYPART_ARC
(8,16),-0.777321 # DEPENDENCYPART_ARC
(8,17),-1.41439 # DEPENDENCYPART_ARC
(8,18),-1.35636 # DEPENDENCYPART_ARC
(8,19),-1.94476 # DEPENDENCYPART_ARC
(8,20),-1.03861 # DEPENDENCYPART_ARC
(8,21),-1.52535 # DEPENDENCYPART_ARC
(8,22),-1.20448 # DEPENDENCYPART_ARC
(8,23),-2.16353 # DEPENDENCYPART_ARC
(8,24),-2.16821 # DEPENDENCYPART_ARC
(8,25),-2.12812 # DEPENDENCYPART_ARC
(8,26),-2.25044 # DEPENDENCYPART_ARC
(8,27),-3.09356 # DEPENDENCYPART_ARC
(8,28),-3.04551 # DEPENDENCYPART_ARC
(8,29),-1.39869 # DEPENDENCYPART_ARC
(9,1),-1.23372 # DEPENDENCYPART_ARC
(9,2),-1.98324 # DEPENDENCYPART_ARC
(9,3),-0.953972 # DEPENDENCYPART_ARC
(9,4),-0.631601 # DEPENDENCYPART_ARC
(9,5),-1.5014 # DEPENDENCYPART_ARC
(9,6),-0.772871 # DEPENDENCYPART_ARC
(9,7),-0.791486 # DEPENDENCYPART_ARC
(9,8),0.0107402 # DEPENDENCYPART_ARC
(9,10),-0.107403 # DEPENDENCYPART_ARC
(9,11),-0.468337 # DEPENDENCYPART_ARC
(9,12),-0.938833 # DEPENDENCYPART_ARC
(9,13),-1.98342 # DEPENDENCYPART_ARC
(9,14),-2.13492 # DEPENDENCYPART_ARC
(9,15),-0.987131 # DEPENDENCYPART_ARC
(9,16),-1.69287 # DEPENDENCYPART_ARC
(9,17),-1.77234 # DEPENDENCYPART_ARC
(9,18),-1.43055 # DEPENDENCYPART_ARC
(9,19),-2.82865 # DEPENDENCYPART_ARC
(9,20),-1.4805 # DEPENDENCYPART_ARC
(9,21),-1.56031 # DEPENDENCYPART_ARC
(9,22),-2.45552 # DEPENDENCYPART_ARC
(9,23),-1.48286 # DEPENDENCYPART_ARC
(9,24),-2.17403 # DEPENDENCYPART_ARC
(9,25),-1.93474 # DEPENDENCYPART_ARC
(9,26),-2.00056 # DEPENDENCYPART_ARC
(9,27),-2.33749 # DEPENDENCYPART_ARC
(9,28),-1.49915 # DEPENDENCYPART_ARC
(9,29),-1.89743 # DEPENDENCYPART_ARC
(10,1),0.0114936 # DEPENDENCYPART_ARC
(10,2),-0.287297 # DEPENDENCYPART_ARC
(10,3),0.593057 # DEPENDENCYPART_ARC
(10,4),1.41431 # DEPENDENCYPART_ARC
(10,5),-0.470128 # DEPENDENCYPART_ARC
(10,6),0.287217 # DEPENDENCYPART_ARC
(10,7),0.514784 # DEPENDENCYPART_ARC
(10,8),0.42121 # DEPENDENCYPART_ARC
(10,9),3.09991 # DEPENDENCYPART_ARC
(10,11),2.14299 # DEPENDENCYPART_ARC
(10,12),0.104024 # DEPENDENCYPART_ARC
(10,13),0.122927 # DEPENDENCYPART_ARC
(10,14),-0.463746 # DEPENDENCYPART_ARC
(10,15),1.315 # DEPENDENCYPART_ARC
(10,16),1.2831 # DEPENDENCYPART_ARC
(10,17),-1.87708 # DEPENDENCYPART_ARC
(10,18),-1.08949 # DEPENDENCYPART_ARC
(10,19),-1.54442 # DEPENDENCYPART_ARC
(10,20),-0.18892 # DEPENDENCYPART_ARC
(10,21),-0.792049 # DEPENDENCYPART_ARC
(10,22),0.00442416 # DEPENDENCYPART_ARC
(10,23),-0.971416 # DEPENDENCYPART_ARC
(10,24),-1.37513 # DEPENDENCYPART_ARC
(10,25),-0.394429 # DEPENDENCYPART_ARC
(10,26),-3.40548 # DEPENDENCYPART_ARC
(10,27),-3.90273 # DEPENDENCYPART_ARC
(10,28),-2.82461 # DEPENDENCYPART_ARC
(10,29),-1.38725 # DEPENDENCYPART_ARC
(11,1),-1.42942 # DEPENDENCYPART_ARC
(11,2),-0.907849 # DEPENDENCYPART_ARC
(11,3),-1.1704 # DEPENDENCYPART_ARC
(11,4),-0.609369 # DEPENDENCYPART_ARC
(11,5),-0.564941 # DEPENDENCYPART_ARC
(11,6),-0.360594 # DEPENDENCYPART_ARC
(11,7),-0.720169 # DEPENDENCYPART_ARC
(11,8),-0.36325 # DEPENDENCYPART_ARC
(11,9),0.265939 # DEPENDENCYPART_ARC
(11,10),0.443287 # DEPENDENCYPART_ARC
(11,12),2.32164 # DEPENDENCYPART_ARC
(11,13),0.585947 # DEPENDENCYPART_ARC
(11,14),-0.417994 # DEPENDENCYPART_ARC
(11,15),-0.441647 # DEPENDENCYPART_ARC
(11,16),-1.15664 # DEPENDENCYPART_ARC
(11,17),-0.930769 # DEPENDENCYPART_ARC
(11,18),-0.833751 # DEPENDENCYPART_ARC
(11,19),-1.54197 # DEPENDENCYPART_ARC
(11,20),-0.481667 # DEPENDENCYPART_ARC
(11,21),-1.11377 # DEPENDENCYPART_ARC
(11,22),-2.15665 # DEPENDENCYPART_ARC
(11,23),-1.24612 # DEPENDENCYPART_ARC
(11,24),-1.4025 # DEPENDENCYPART_ARC
(11,25),-1.52192 # DEPENDENCYPART_ARC
(11,26),-1.41916 # DEPENDENCYPART_ARC
(11,27),-1.74389 # DEPENDENCYPART_ARC
(11,28),-1.70081 # DEPENDENCYPART_ARC
(11,29),-2.53805 # DEPENDENCYPART_ARC
(12,1),-1.15539 # DEPENDENCYPART_ARC
(12,2),-1.55894 # DEPENDENCYPART_ARC
(12,3),-0.633988 # DEPENDENCYPART_ARC
(12,4),-0.854878 # DEPENDENCYPART_ARC
(12,5),-2.02078 # DEPENDENCYPART_ARC
(12,6),-2.09949 # DEPENDENCYPART_ARC
(12,7),-0.575566 # DEPENDENCYPART_ARC
(12,8),-0.803238 # DEPENDENCYPART_ARC
(12,9),-1.27595 # DEPENDENCYPART_ARC
(12,10),-0.611762 # DEPENDENCYPART_ARC
(12,11),0.267174 # DEPENDENCYPART_ARC
(12,13),2.60186 # DEPENDENCYPART_ARC
(12,14),1.38934 # DEPENDENCYPART_ARC
(12,15),1.5398 # DEPENDENCYPART_ARC
