# _root_ تَجْدُرُ الإِشارَةُ إِلَى أَنَّ بونومى البالِغُ مِن العُمْرِ 44 عاماً , وَ هُوَ مُحام سابِقٌ , كانَ يَعْمَلُ رَئِيساً لِ مَجْلِسِ إِدارَةِ شَرِكَةِ / إِس آي أَي / المَسْؤُولَةِ عَن إِدارَةِ مَطارَيْ ليناتى ومالبينسا فِي مِيلانُو خِلالَ الفَتْرَةِ مِن 1997 ـ 1999 .
#goldHeads=0,1,2,3,6,12,6,7,8,9,10,4,14,12,14,15,14,17,18,19,20,21,22,27,27,27,23,27,23,29,30,31,34,32,32,35,29,37,38,41,39,41,0,
#predictedHeads=0,1,1,3,4,5,6,7,8,9,10,14,14,17,14,15,4,17,18,19,20,21,22,27,27,27,21,27,23,29,30,31,34,32,31,35,31,37,38,39,39,41,0,
(0,1),1.39342 # DEPENDENCYPART_ARC
(0,2),-1.58897 # DEPENDENCYPART_ARC
(0,3),-1.2197 # DEPENDENCYPART_ARC
(0,4),-0.762339 # DEPENDENCYPART_ARC
(0,5),-1.16253 # DEPENDENCYPART_ARC
(0,6),-0.729675 # DEPENDENCYPART_ARC
(0,7),-0.745452 # DEPENDENCYPART_ARC
(0,8),-2.27295 # DEPENDENCYPART_ARC
(0,9),-0.84298 # DEPENDENCYPART_ARC
(0,10),-1.72455 # DEPENDENCYPART_ARC
(0,11),-0.637782 # DEPENDENCYPART_ARC
(0,12),0.574767 # DEPENDENCYPART_ARC
(0,13),-1.35659 # DEPENDENCYPART_ARC
(0,14),-0.938133 # DEPENDENCYPART_ARC
(0,15),-0.987377 # DEPENDENCYPART_ARC
(0,16),-1.38301 # DEPENDENCYPART_ARC
(0,17),-0.0247572 # DEPENDENCYPART_ARC
(0,18),-0.497026 # DEPENDENCYPART_ARC
(0,19),-1.97921 # DEPENDENCYPART_ARC
(0,20),-2.77908 # DEPENDENCYPART_ARC
(0,21),-2.55842 # DEPENDENCYPART_ARC
(0,22),-2.41506 # DEPENDENCYPART_ARC
(0,23),-2.71593 # DEPENDENCYPART_ARC
(0,24),-1.9221 # DEPENDENCYPART_ARC
