# _root_ وَ وَقَعَت الهَزَّةُ فِي الساعَةِ 10,30 بِ التَوْقِيتِ المَحَلِّيِّ ( 1,30 تغ ) فِي هٰذِهِ الجَزِيرَةِ الَّتِي تَقَعُ عَلَى بُعْدِ 150 كلم جَنُوبَ طُوكِيُو وَ تُؤْوِي 3100 نَسَمَةٍ .
#goldHeads=0,0,2,2,4,5,6,7,8,5,5,11,5,2,16,14,16,25,18,19,20,21,18,23,16,25,26,27,0,
#predictedHeads=0,0,2,2,4,5,2,7,8,7,10,11,11,2,16,14,16,25,18,19,20,21,21,23,14,25,26,27,0,
(0,1),2.97555 # DEPENDENCYPART_ARC
(0,2),1.09396 # DEPENDENCYPART_ARC
(0,3),-2.27563 # DEPENDENCYPART_ARC
(0,4),-1.93043 # DEPENDENCYPART_ARC
(0,5),-2.68758 # DEPENDENCYPART_ARC
(0,6),-1.39701 # DEPENDENCYPART_ARC
(0,7),-1.60934 # DEPENDENCYPART_ARC
(0,8),-2.84702 # DEPENDENCYPART_ARC
(0,9),-2.25687 # DEPENDENCYPART_ARC
(0,10),-0.709295 # DEPENDENCYPART_ARC
(0,11),-1.40817 # DEPENDENCYPART_ARC
(0,12),-0.845007 # DEPENDENCYPART_ARC
(0,13),-0.417653 # DEPENDENCYPART_ARC
(0,14),-1.09631 # DEPENDENCYPART_ARC
(0,15),-1.42866 # DEPENDENCYPART_ARC
(0,16),-2.34001 # DEPENDENCYPART_ARC
(0,17),-1.75864 # DEPENDENCYPART_ARC
(0,18),-2.37497 # DEPENDENCYPART_ARC
(0,19),-1.59954 # DEPENDENCYPART_ARC
(0,20),-2.59928 # DEPENDENCYPART_ARC
(0,21),-2.21202 # DEPENDENCYPART_ARC
(0,22),-1.06047 # DEPENDENCYPART_ARC
(0,23),-2.31086 # DEPENDENCYPART_ARC
(0,24),-0.671166 # DEPENDENCYPART_ARC
(0,25),-1.35185 # DEPENDENCYPART_ARC
(0,26),-0.965758 # DEPENDENCYPART_ARC
(0,27),-2.48325 # DEPENDENCYPART_ARC
(0,28),-2.47909 # DEPENDENCYPART_ARC
(0,29),3.67938 # DEPENDENCYPART_ARC
(1,2),-0.997372 # DEPENDENCYPART_ARC
(1,3),-1.34932 # DEPENDENCYPART_ARC
(1,4),-1.23204 # DEPENDENCYPART_ARC
(1,5),-1.75495 # DEPENDENCYPART_ARC
(1,6),-2.03208 # DEPENDENCYPART_ARC
(1,7),-1.65893 # DEPENDENCYPART_ARC
(1,8),-2.11264 # DEPENDENCYPART_ARC
(1,9),-2.43148 # DEPENDENCYPART_ARC
(1,10),-1.87278 # DEPENDENCYPART_ARC
(1,11),-2.40175 # DEPENDENCYPART_ARC
(1,12),-2.10476 # DEPENDENCYPART_ARC
(1,13),-1.92064 # DEPENDENCYPART_ARC
(1,14),-1.58867 # DEPENDENCYPART_ARC
(1,15),-2.99406 # DEPENDENCYPART_ARC
(1,16),-3.10604 # DEPENDENCYPART_ARC
(1,17),-2.91684 # DEPENDENCYPART_ARC
(1,18),-2.73768 # DEPENDENCYPART_ARC
(1,19),-2.77018 # DEPENDENCYPART_ARC
(1,20),-4.04952 # DEPENDENCYPART_ARC
(1,21),-2.91721 # DEPENDENCYPART_ARC
