# _root_ تَوَقَّعَت الحُكُومَةُ المِصْرِيَّةُ زِيادَةً فِي حَجْمِ مُوازَنَةِ السَنَةِ المُقْبِلَةِ بِ نِسْبَةِ 13 فِي المِئَةِ إِلَى 140 بِلْيُونَ جُنَيْهٍ ( 33 بِلْيُونَ دُولارٍ ) اِرْتِفاعاً مِن 8,126 بِلْيُونَ جُنَيْهٍ ( 7,29 بِلْيُونَ دُولارٍ ) لِ المُوازَنَةِ الحالِيَّةِ . وَ شَدَّدَ وَزِيرُ المالِ مِدْحَت حَسانَيْن فِي تَصْرِيحٍ لِ » الحَياَةِ « عَلَى ضَرُورَةِ أَن تَتَحَوَّلَ مُوازَنَةُ الدَوْلَةِ إِلَى » مُوازَنَةِ مَوارِدَ وَ بَرامِجَ وَ أَداءٍ وَ لَيْسَت مُوازَنَةِ إِنْفاقٍ « مُشِيراً إِلَى أَنَّ المُشْكِلَةَ تَكْمُنُ فِي تَراجُعِ حَجْمِ الإِيراداتِ وَ اِرْتِفاعِ حَجْمِ الإِنْفاقِ سَنَوِيّاً .
#goldHeads=0,1,2,1,4,5,6,7,8,4,10,11,12,13,4,19,16,17,15,19,20,21,19,4,24,29,26,27,25,29,30,31,29,24,34,35,0,0,0,39,40,43,40,39,44,45,48,46,48,39,50,51,52,53,54,53,64,64,60,58,60,60,60,56,66,64,66,64,39,69,70,73,71,73,78,75,76,74,78,79,80,78,0,
#predictedHeads=0,1,2,1,1,5,6,7,8,1,10,11,12,13,1,19,16,17,15,19,20,21,19,19,24,25,26,27,24,29,30,31,29,1,34,35,0,0,38,39,40,43,40,39,44,45,48,46,48,39,50,51,52,53,54,53,58,56,60,58,60,60,60,60,64,78,66,58,39,69,70,73,71,73,74,75,76,75,78,79,80,78,0,
(0,1),1.28241 # DEPENDENCYPART_ARC
(0,2),-1.36522 # DEPENDENCYPART_ARC
(0,3),-1.20194 # DEPENDENCYPART_ARC
(0,4),-0.957136 # DEPENDENCYPART_ARC
(0,5),-1.61251 # DEPENDENCYPART_ARC
(0,6),-1.82324 # DEPENDENCYPART_ARC
(0,7),-1.78758 # DEPENDENCYPART_ARC
(0,8),-1.93388 # DEPENDENCYPART_ARC
(0,9),-1.76452 # DEPENDENCYPART_ARC
(0,10),-1.46586 # DEPENDENCYPART_ARC
(0,11),-1.7379 # DEPENDENCYPART_ARC
(0,12),-1.44589 # DEPENDENCYPART_ARC
(0,13),-1.78011 # DEPENDENCYPART_ARC
(0,14),-2.0804 # DEPENDENCYPART_ARC
(0,15),-2.13498 # DEPENDENCYPART_ARC
(0,16),-1.37371 # DEPENDENCYPART_ARC
(0,17),-1.92523 # DEPENDENCYPART_ARC
(0,18),-2.27442 # DEPENDENCYPART_ARC
(0,19),-1.62256 # DEPENDENCYPART_ARC
(0,20),-1.51098 # DEPENDENCYPART_ARC
(0,21),-2.01653 # DEPENDENCYPART_ARC
(0,22),-2.24308 # DEPENDENCYPART_ARC
(0,23),-1.64563 # DEPENDENCYPART_ARC
(0,24),-2.07167 # DEPENDENCYPART_ARC
(0,25),-3.6729 # DEPENDENCYPART_ARC
(0,26),-2.36291 # DEPENDENCYPART_ARC
(0,27),-2.30861 # DEPENDENCYPART_ARC
(0,28),-2.64887 # DEPENDENCYPART_ARC
(0,29),-1.98233 # DEPENDENCYPART_ARC
(0,30),-2.42413 # DEPENDENCYPART_ARC
(0,31),-2.34947 # DEPENDENCYPART_ARC
(0,32),-2.73036 # DEPENDENCYPART_ARC
(0,33),-2.13842 # DEPENDENCYPART_ARC
