# _root_ وَ تُعارِضُ إِيرانُ ، ثانِي أَكْبَرِ مُنْتِجٍ لِ النَفْطِ فِي أُوبِك حَيْثُ يَبْلُغُ إِنْتاجُ ها 3,7 مِلْيُون بَرْمِيلٍ فِي اليَوْمِ بَيْنَ ها 2,4 مِلْيُون بَرْمِيلٍ مُخَصَّصَةٍ لِ التَصْدِيرِ ، أَيَّ رَفْعٍ لِ الإِنْتاجِ رَغْمَ اِعْتِمادِ ها عَلَى عائِداتِ النَفْطِ .
#goldHeads=0,0,4,2,4,5,6,7,8,6,10,11,12,13,14,13,16,17,18,19,16,21,21,23,24,23,26,27,4,2,30,31,32,2,34,35,35,37,38,0,
#predictedHeads=0,0,2,3,2,5,6,7,8,9,10,11,12,13,14,13,16,17,13,19,16,21,26,23,24,16,26,27,28,29,30,31,32,33,34,35,35,37,38,0,
(0,1),2.97555 # DEPENDENCYPART_ARC
(0,2),1.58317 # DEPENDENCYPART_ARC
(0,3),-0.588494 # DEPENDENCYPART_ARC
(0,4),-0.565932 # DEPENDENCYPART_ARC
(0,5),-1.53372 # DEPENDENCYPART_ARC
(0,6),-1.97134 # DEPENDENCYPART_ARC
(0,7),-2.31218 # DEPENDENCYPART_ARC
(0,8),-2.24552 # DEPENDENCYPART_ARC
(0,9),-2.83392 # DEPENDENCYPART_ARC
(0,10),-1.95174 # DEPENDENCYPART_ARC
(0,11),-1.72351 # DEPENDENCYPART_ARC
(0,12),-1.30557 # DEPENDENCYPART_ARC
(0,13),-1.03662 # DEPENDENCYPART_ARC
(0,14),-1.58523 # DEPENDENCYPART_ARC
(0,16),-1.43265 # DEPENDENCYPART_ARC
(0,17),-1.93052 # DEPENDENCYPART_ARC
(0,18),-2.74794 # DEPENDENCYPART_ARC
(0,19),-3.45614 # DEPENDENCYPART_ARC
(0,20),-3.32128 # DEPENDENCYPART_ARC
(0,21),-3.32606 # DEPENDENCYPART_ARC
(0,23),-2.26093 # DEPENDENCYPART_ARC
(0,24),-2.51118 # DEPENDENCYPART_ARC
(0,25),-3.06933 # DEPENDENCYPART_ARC
(0,26),-2.53922 # DEPENDENCYPART_ARC
(0,27),-4.23124 # DEPENDENCYPART_ARC
(0,28),-3.74948 # DEPENDENCYPART_ARC
(0,29),-3.568 # DEPENDENCYPART_ARC
(0,30),-3.04651 # DEPENDENCYPART_ARC
(0,31),-3.51684 # DEPENDENCYPART_ARC
(0,32),-5.22336 # DEPENDENCYPART_ARC
(0,33),-4.13851 # DEPENDENCYPART_ARC
(0,34),-3.91624 # DEPENDENCYPART_ARC
(0,35),-3.95591 # DEPENDENCYPART_ARC
(0,37),-3.9554 # DEPENDENCYPART_ARC
(0,38),-4.08456 # DEPENDENCYPART_ARC
(0,39),-4.64981 # DEPENDENCYPART_ARC
(0,40),6.26131 # DEPENDENCYPART_ARC
(1,2),-1.06895 # DEPENDENCYPART_ARC
(1,3),-1.93271 # DEPENDENCYPART_ARC
(1,4),-1.96755 # DEPENDENCYPART_ARC
(1,5),-2.07278 # DEPENDENCYPART_ARC
(1,6),-2.39342 # DEPENDENCYPART_ARC
(1,7),-2.25111 # DEPENDENCYPART_ARC
(1,8),-2.41709 # DEPENDENCYPART_ARC
(1,9),-2.77782 # DEPENDENCYPART_ARC
(1,10),-2.1772 # DEPENDENCYPART_ARC
(1,11),-3.10727 # DEPENDENCYPART_ARC
(1,12),-1.66893 # DEPENDENCYPART_ARC
(1,13),-2.91662 # DEPENDENCYPART_ARC
(1,14),-3.46908 # DEPENDENCYPART_ARC
(1,15),-3.76831 # DEPENDENCYPART_ARC
(1,16),-2.88268 # DEPENDENCYPART_ARC
(1,17),-3.83494 # DEPENDENCYPART_ARC
(1,18),-3.90299 # DEPENDENCYPART_ARC
(1,19),-2.97646 # DEPENDENCYPART_ARC
(1,20),-4.28737 # DEPENDENCYPART_ARC
(1,21),-3.1506 # DEPENDENCYPART_ARC
(1,22),-4.76786 # DEPENDENCYPART_ARC
(1,23),-3.26153 # DEPENDENCYPART_ARC
(1,24),-4.96184 # DEPENDENCYPART_ARC
(1,25),-4.98741 # DEPENDENCYPART_ARC
(1,26),-5.7 # DEPENDENCYPART_ARC
(1,27),-4.29463 # DEPENDENCYPART_ARC
(1,28),-5.28658 # DEPENDENCYPART_ARC
(1,29),-4.09082 # DEPENDENCYPART_ARC
(1,30),-5.47641 # DEPENDENCYPART_ARC
(1,31),-5.66271 # DEPENDENCYPART_ARC
(1,32),-5.08225 # DEPENDENCYPART_ARC
(1,33),-6.23704 # DEPENDENCYPART_ARC
(1,34),-4.80069 # DEPENDENCYPART_ARC
(1,35),-6.79861 # DEPENDENCYPART_ARC
(1,36),-7.4393 # DEPENDENCYPART_ARC
(1,37),-4.7012 # DEPENDENCYPART_ARC
(1,38),-7.19706 # DEPENDENCYPART_ARC
(1,39),-7.86197 # DEPENDENCYPART_ARC
(1,40),-5.47888 # DEPENDENCYPART_ARC
(2,1),0.0631337 # DEPENDENCYPART_ARC
(2,3),1.86469 # DEPENDENCYPART_ARC
(2,4),0.67366 # DEPENDENCYPART_ARC
(2,5),0.478003 # DEPENDENCYPART_ARC
(2,6),-0.846138 # DEPENDENCYPART_ARC
(2,7),-0.350097 # DEPENDENCYPART_ARC
(2,8),0.565353 # DEPENDENCYPART_ARC
(2,9),-1.67179 # DEPENDENCYPART_ARC
(2,10),0.432058 # DEPENDENCYPART_ARC
(2,11),-0.595662 # DEPENDENCYPART_ARC
(2,12),0.354925 # DEPENDENCYPART_ARC
(2,13),-1.70007 # DEPENDENCYPART_ARC
(2,14),-0.0521883 # DEPENDENCYPART_ARC
(2,15),-2.47645 # DEPENDENCYPART_ARC
(2,16),-0.670234 # DEPENDENCYPART_ARC
(2,17),-1.20908 # DEPENDENCYPART_ARC
(2,18),-1.55194 # DEPENDENCYPART_ARC
(2,19),-0.566202 # DEPENDENCYPART_ARC
(2,20),-2.65163 # DEPENDENCYPART_ARC
(2,21),-1.20037 # DEPENDENCYPART_ARC
(2,22),-3.37969 # DEPENDENCYPART_ARC
(2,23),-1.25866 # DEPENDENCYPART_ARC
(2,24),-1.56549 # DEPENDENCYPART_ARC
