# _root_ القاهِرَةُ - » الحَياَةُ « - زادَت مُعَدَّلاتُ » الدَوْلَرَةِ « داخِلَ الاِقْتِصادِ المِصْرِيِّ عَلَى نَحْوٍ باتٍّ يَزْعَجُ الحُكُومَةَ الَّتِي خَفَّضَت مَطْلَعَ الشَهْرِ الماضِي قِيمَةَ الجُنَيْهِ فِي مُواجَهَةِ الدُولارِ ، وَ بَدَأَت هٰذِهِ المُعَدَّلاتُ تَقْتَرِبُ مِن حاجِزِ عامِ 1994 فِي بِدايَةِ بَرْنامَجِ الإِصْلاحِ الاِقْتِصادِيِّ . وَ أَشارَ تَقْرِيرٌ لِ وِزارَةِ الاِقْتِصادِ إِلَى أَنَّ مُعَدَّلَ » الدَوْلَرَةِ « تَجاوَزَ 22 فِي المِئَةِ مِن إِجْمالِيِّ حَجْمِ السُيُولَةِ وَ هُوَ فِي سَبِيلِ هُ إِلَى الصُعُودِ تَدْرِيجاً بِ مُعَدَّلٍ يُراوِحُ بَيْنَ 3,0 وَ 4,0 فِي المِئَةِ شَهْرِيّاً .
#goldHeads=0,0,4,0,4,0,31,7,10,8,10,7,12,13,7,15,16,17,18,19,19,21,22,23,21,25,21,27,27,29,0,31,34,32,32,35,36,37,38,32,40,41,42,43,0,0,0,47,48,49,50,47,52,58,56,54,56,53,58,59,60,59,62,63,64,67,68,58,68,69,69,71,72,72,74,75,76,79,77,79,79,81,79,0,
#predictedHeads=0,0,4,0,4,0,0,7,10,8,10,7,12,13,7,15,16,31,18,19,31,21,22,23,21,25,26,27,28,29,0,31,34,32,34,35,36,37,38,39,40,41,42,43,0,0,0,47,48,49,50,47,52,58,56,54,56,53,58,59,60,59,62,63,64,64,68,63,68,69,69,71,72,73,74,75,76,79,77,79,80,81,79,0,
(0,1),1.49318 # DEPENDENCYPART_ARC
(0,2),1.04293 # DEPENDENCYPART_ARC
(0,3),0.0853064 # DEPENDENCYPART_ARC
(0,4),1.23056 # DEPENDENCYPART_ARC
(0,5),-0.249911 # DEPENDENCYPART_ARC
(0,6),1.79903 # DEPENDENCYPART_ARC
(0,7),1.72684 # DEPENDENCYPART_ARC
(0,8),-0.669043 # DEPENDENCYPART_ARC
(0,9),-0.0330298 # DEPENDENCYPART_ARC
(0,10),-1.07765 # DEPENDENCYPART_ARC
(0,11),-1.19375 # DEPENDENCYPART_ARC
(0,12),-0.374187 # DEPENDENCYPART_ARC
(0,13),-1.3506 # DEPENDENCYPART_ARC
(0,14),-1.17524 # DEPENDENCYPART_ARC
(0,15),-0.63921 # DEPENDENCYPART_ARC
(0,16),-1.06502 # DEPENDENCYPART_ARC
(0,17),-1.41378 # DEPENDENCYPART_ARC
(0,18),0.142823 # DEPENDENCYPART_ARC
(0,19),-1.2338 # DEPENDENCYPART_ARC
(0,20),-1.15238 # DEPENDENCYPART_ARC
(0,21),-1.00744 # DEPENDENCYPART_ARC
(0,22),-1.35723 # DEPENDENCYPART_ARC
(0,23),-2.14089 # DEPENDENCYPART_ARC
(0,24),-3.1155 # DEPENDENCYPART_ARC
(0,25),-1.62545 # DEPENDENCYPART_ARC
(0,26),-2.58804 # DEPENDENCYPART_ARC
(0,27),-3.6754 # DEPENDENCYPART_ARC
(0,28),-2.8471 # DEPENDENCYPART_ARC
(0,29),-2.66814 # DEPENDENCYPART_ARC
(0,30),-1.53589 # DEPENDENCYPART_ARC
(0,31),2.42511 # DEPENDENCYPART_ARC
(0,32),-0.519278 # DEPENDENCYPART_ARC
(0,33),-2.05639 # DEPENDENCYPART_ARC
(0,34),-2.11588 # DEPENDENCYPART_ARC
(0,35),-1.11806 # DEPENDENCYPART_ARC
(0,36),-4.49233 # DEPENDENCYPART_ARC
(0,37),-2.87969 # DEPENDENCYPART_ARC
(0,38),-2.72056 # DEPENDENCYPART_ARC
(0,39),-1.70452 # DEPENDENCYPART_ARC
(0,40),-4.55662 # DEPENDENCYPART_ARC
(0,41),-3.15963 # DEPENDENCYPART_ARC
(0,42),-3.34734 # DEPENDENCYPART_ARC
(0,43),-3.67009 # DEPENDENCYPART_ARC
(0,44),-3.94882 # DEPENDENCYPART_ARC
(0,45),6.3578 # DEPENDENCYPART_ARC
(0,46),2.49099 # DEPENDENCYPART_ARC
(0,47),2.86567 # DEPENDENCYPART_ARC
(0,48),-2.76445 # DEPENDENCYPART_ARC
(0,49),-7.39625 # DEPENDENCYPART_ARC
(0,50),-3.87814 # DEPENDENCYPART_ARC
(0,51),-4.50273 # DEPENDENCYPART_ARC
(0,52),-5.8302 # DEPENDENCYPART_ARC
(0,53),-4.21678 # DEPENDENCYPART_ARC
(0,54),-4.01398 # DEPENDENCYPART_ARC
(0,55),-3.30938 # DEPENDENCYPART_ARC
(0,56),-4.28679 # DEPENDENCYPART_ARC
(0,57),-4.97139 # DEPENDENCYPART_ARC
(0,58),-0.950686 # DEPENDENCYPART_ARC
(0,59),-3.81048 # DEPENDENCYPART_ARC
(0,60),-6.75504 # DEPENDENCYPART_ARC
(0,61),-4.71623 # DEPENDENCYPART_ARC
(0,62),-7.45138 # DEPENDENCYPART_ARC
(0,63),-4.80192 # DEPENDENCYPART_ARC
(0,64),-4.80016 # DEPENDENCYPART_ARC
(0,65),-4.94654 # DEPENDENCYPART_ARC
(0,66),-0.977791 # DEPENDENCYPART_ARC
(0,67),-5.50382 # DEPENDENCYPART_ARC
(0,68),-7.37894 # DEPENDENCYPART_ARC
(0,69),-5.07275 # DEPENDENCYPART_ARC
(0,70),-3.99785 # DEPENDENCYPART_ARC
(0,71),-6.95036 # DEPENDENCYPART_ARC
(0,72),-5.5993 # DEPENDENCYPART_ARC
(0,73),-5.02741 # DEPENDENCYPART_ARC
(0,74),-4.48122 # DEPENDENCYPART_ARC
(0,75),-5.31177 # DEPENDENCYPART_ARC
(0,76),-2.07169 # DEPENDENCYPART_ARC
(0,77),-5.50822 # DEPENDENCYPART_ARC
(0,78),-4.75917 # DEPENDENCYPART_ARC
(0,79),-0.649177 # DEPENDENCYPART_ARC
(0,80),-4.98947 # DEPENDENCYPART_ARC
(0,81),-8.44984 # DEPENDENCYPART_ARC
(0,82),-5.8432 # DEPENDENCYPART_ARC
(0,83),-5.36886 # DEPENDENCYPART_ARC
(0,84),11.9374 # DEPENDENCYPART_ARC
(1,2),0.351214 # DEPENDENCYPART_ARC
(1,3),-0.911542 # DEPENDENCYPART_ARC
(1,4),-1.22022 # DEPENDENCYPART_ARC
(1,5),-0.363704 # DEPENDENCYPART_ARC
(1,6),-0.902852 # DEPENDENCYPART_ARC
(1,7),-1.94299 # DEPENDENCYPART_ARC
(1,8),-2.55243 # DEPENDENCYPART_ARC
(1,9),-1.60727 # DEPENDENCYPART_ARC
(1,10),-1.78643 # DEPENDENCYPART_ARC
(1,11),-1.38238 # DEPENDENCYPART_ARC
(1,12),-2.47316 # DEPENDENCYPART_ARC
(1,13),-1.61191 # DEPENDENCYPART_ARC
(1,14),-2.16151 # DEPENDENCYPART_ARC
(1,15),-2.42241 # DEPENDENCYPART_ARC
(1,16),-2.23439 # DEPENDENCYPART_ARC
(1,17),-2.87393 # DEPENDENCYPART_ARC
(1,18),-3.22223 # DEPENDENCYPART_ARC
(1,19),-3.73601 # DEPENDENCYPART_ARC
(1,20),-2.08218 # DEPENDENCYPART_ARC
(1,21),-2.77087 # DEPENDENCYPART_ARC
(1,22),-3.49685 # DEPENDENCYPART_ARC
(1,23),-2.12637 # DEPENDENCYPART_ARC
(1,24),-2.26293 # DEPENDENCYPART_ARC
(1,25),-4.64013 # DEPENDENCYPART_ARC
(1,26),-2.6187 # DEPENDENCYPART_ARC
(1,27),-2.91111 # DEPENDENCYPART_ARC
(1,28),-3.37115 # DEPENDENCYPART_ARC
(1,29),-2.74721 # DEPENDENCYPART_ARC
(1,30),-3.21543 # DEPENDENCYPART_ARC
(1,31),-3.20403 # DEPENDENCYPART_ARC
(1,32),-3.76972 # DEPENDENCYPART_ARC
(1,33),-3.04881 # DEPENDENCYPART_ARC
(1,34),-4.08908 # DEPENDENCYPART_ARC
(1,35),-3.80118 # DEPENDENCYPART_ARC
(1,36),-2.84169 # DEPENDENCYPART_ARC
(1,37),-3.27659 # DEPENDENCYPART_ARC
(1,38),-3.53755 # DEPENDENCYPART_ARC
(1,39),-3.53318 # DEPENDENCYPART_ARC
(1,40),-3.21453 # DEPENDENCYPART_ARC
(1,41),-3.96921 # DEPENDENCYPART_ARC
(1,42),-3.98641 # DEPENDENCYPART_ARC
(1,43),-3.78873 # DEPENDENCYPART_ARC
(1,44),-4.53777 # DEPENDENCYPART_ARC
(1,45),-4.38097 # DEPENDENCYPART_ARC
(1,46),-3.86846 # DEPENDENCYPART_ARC
(1,47),-4.63799 # DEPENDENCYPART_ARC
(1,48),-5.34709 # DEPENDENCYPART_ARC
(1,49),-4.24568 # DEPENDENCYPART_ARC
(1,50),-5.15045 # DEPENDENCYPART_ARC
(1,51),-4.45605 # DEPENDENCYPART_ARC
(1,52),-3.99438 # DEPENDENCYPART_ARC
(1,53),-3.98711 # DEPENDENCYPART_ARC
(1,54),-5.92857 # DEPENDENCYPART_ARC
(1,55),-5.41895 # DEPENDENCYPART_ARC
(1,56),-5.05731 # DEPENDENCYPART_ARC
(1,57),-4.42952 # DEPENDENCYPART_ARC
(1,58),-5.42894 # DEPENDENCYPART_ARC
(1,59),-4.79199 # DEPENDENCYPART_ARC
(1,60),-4.26674 # DEPENDENCYPART_ARC
(1,61),-5.33126 # DEPENDENCYPART_ARC
(1,62),-3.5812 # DEPENDENCYPART_ARC
(1,63),-5.15961 # DEPENDENCYPART_ARC
(1,64),-5.22008 # DEPENDENCYPART_ARC
(1,65),-5.48629 # DEPENDENCYPART_ARC
(1,66),-4.079 # DEPENDENCYPART_ARC
(1,67),-4.79164 # DEPENDENCYPART_ARC
(1,68),-4.42951 # DEPENDENCYPART_ARC
(1,69),-5.44966 # DEPENDENCYPART_ARC
(1,70),-4.88047 # DEPENDENCYPART_ARC
(1,71),-4.5058 # DEPENDENCYPART_ARC
(1,72),-5.29274 # DEPENDENCYPART_ARC
(1,73),-7.0122 # DEPENDENCYPART_ARC
(1,74),-5.62449 # DEPENDENCYPART_ARC
(1,75),-5.96407 # DEPENDENCYPART_ARC
(1,76),-5.91539 # DEPENDENCYPART_ARC
(1,77),-4.40043 # DEPENDENCYPART_ARC
(1,78),-6.06284 # DEPENDENCYPART_ARC
(1,79),-4.19763 # DEPENDENCYPART_ARC
(1,80),-6.06158 # DEPENDENCYPART_ARC
(1,81),-4.42262 # DEPENDENCYPART_ARC
(1,82),-6.11403 # DEPENDENCYPART_ARC
(1,83),-8.41629 # DEPENDENCYPART_ARC
(1,84),-6.82866 # DEPENDENCYPART_ARC
(2,1),-0.0176028 # DEPENDENCYPART_ARC
(2,3),0.653509 # DEPENDENCYPART_ARC
(2,4),-0.18441 # DEPENDENCYPART_ARC
(2,5),-0.351442 # DEPENDENCYPART_ARC
(2,6),-0.0508739 # DEPENDENCYPART_ARC
(2,7),-0.805599 # DEPENDENCYPART_ARC
(2,8),-0.817193 # DEPENDENCYPART_ARC
(2,9),-1.3565 # DEPENDENCYPART_ARC
(2,10),-0.938015 # DEPENDENCYPART_ARC
(2,11),-1.25417 # DEPENDENCYPART_ARC
(2,12),-1.42062 # DEPENDENCYPART_ARC
(2,13),-1.29797 # DEPENDENCYPART_ARC
(2,14),-0.864808 # DEPENDENCYPART_ARC
(2,15),-1.63415 # DEPENDENCYPART_ARC
(2,16),-1.38183 # DEPENDENCYPART_ARC
(2,17),-1.01311 # DEPENDENCYPART_ARC
(2,18),-1.63957 # DEPENDENCYPART_ARC
(2,19),-1.63161 # DEPENDENCYPART_ARC
(2,20),-1.51045 # DEPENDENCYPART_ARC
(2,21),-1.71346 # DEPENDENCYPART_ARC
(2,22),-1.91926 # DEPENDENCYPART_ARC
(2,23),-2.02238 # DEPENDENCYPART_ARC
(2,24),-1.27185 # DEPENDENCYPART_ARC
(2,25),-2.22166 # DEPENDENCYPART_ARC
(2,26),-2.33535 # DEPENDENCYPART_ARC
(2,27),-3.16023 # DEPENDENCYPART_ARC
(2,28),-2.50672 # DEPENDENCYPART_ARC
(2,29),-2.31036 # DEPENDENCYPART_ARC
(2,30),-2.9198 # DEPENDENCYPART_ARC
(2,31),-4.14994 # DEPENDENCYPART_ARC
(2,32),-2.29677 # DEPENDENCYPART_ARC
(2,33),-1.98572 # DEPENDENCYPART_ARC
(2,34),-2.91978 # DEPENDENCYPART_ARC
(2,35),-2.53393 # DEPENDENCYPART_ARC
(2,36),-2.63433 # DEPENDENCYPART_ARC
(2,37),-3.11045 # DEPENDENCYPART_ARC
(2,38),-2.94458 # DEPENDENCYPART_ARC
(2,39),-1.99378 # DEPENDENCYPART_ARC
(2,40),-4.21904 # DEPENDENCYPART_ARC
(2,41),-3.35144 # DEPENDENCYPART_ARC
(2,42),-3.27011 # DEPENDENCYPART_ARC
(2,43),-3.79453 # DEPENDENCYPART_ARC
(2,44),-3.74378 # DEPENDENCYPART_ARC
(2,45),-4.17096 # DEPENDENCYPART_ARC
(2,46),-6.07922 # DEPENDENCYPART_ARC
(2,47),-3.10013 # DEPENDENCYPART_ARC
(2,48),-4.08658 # DEPENDENCYPART_ARC
(2,49),-4.48239 # DEPENDENCYPART_ARC
(2,50),-4.35544 # DEPENDENCYPART_ARC
(2,51),-4.44286 # DEPENDENCYPART_ARC
(2,52),-3.63873 # DEPENDENCYPART_ARC
(2,53),-4.78845 # DEPENDENCYPART_ARC
(2,54),-4.41007 # DEPENDENCYPART_ARC
(2,55),-6.697 # DEPENDENCYPART_ARC
