# _root_ وَ يُشَكِّلُ هٰذا الخَفْضُ , بِ الإِضافَةِ إِلَى ثَلاثَةِ آلافِ آخَرِينَ فِي مارِس الماضِي , نِسْبَةَ 11 بِ المِائَةِ مِن مَجْمُوعِ عَدَدِ العامِلِينَ عَلَى أَجْهِزَةِ الفَحْصِ وَ البالِغِ 55600 شَخْصٍ . وَ مِن المُتَوَقَّعِ أَن تُوَفِّرَ إِدارَةُ أَمْنِ النَقْلِ مَبْلَغاً يَقْرَبُ مِن 280 مِلْيُونَ دُولارٍ أَمْرِيكِيٍّ .
#goldHeads=0,0,4,8,4,8,8,2,8,9,10,11,12,13,14,2,16,17,18,17,20,21,22,23,24,25,28,22,28,29,0,0,0,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
#predictedHeads=0,0,4,2,4,8,8,2,8,9,10,9,12,13,14,15,16,17,18,17,20,21,22,23,24,25,25,27,28,29,0,0,29,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
(0,1),3.00576 # DEPENDENCYPART_ARC
(0,2),0.997267 # DEPENDENCYPART_ARC
(0,3),-0.703632 # DEPENDENCYPART_ARC
(0,4),-1.64508 # DEPENDENCYPART_ARC
(0,5),-0.741013 # DEPENDENCYPART_ARC
(0,6),-1.54303 # DEPENDENCYPART_ARC
(0,7),-2.33387 # DEPENDENCYPART_ARC
(0,8),-1.97606 # DEPENDENCYPART_ARC
(0,9),-2.35681 # DEPENDENCYPART_ARC
(0,10),-2.59957 # DEPENDENCYPART_ARC
(0,11),-1.87884 # DEPENDENCYPART_ARC
(0,12),-2.17682 # DEPENDENCYPART_ARC
(0,13),-1.76017 # DEPENDENCYPART_ARC
(0,14),-2.26585 # DEPENDENCYPART_ARC
(0,15),-2.10213 # DEPENDENCYPART_ARC
(0,16),-1.84088 # DEPENDENCYPART_ARC
(0,17),-1.15077 # DEPENDENCYPART_ARC
(0,18),-2.1043 # DEPENDENCYPART_ARC
(0,19),-2.78749 # DEPENDENCYPART_ARC
(0,20),-3.25008 # DEPENDENCYPART_ARC
(0,21),-3.02744 # DEPENDENCYPART_ARC
(0,22),-3.02897 # DEPENDENCYPART_ARC
(0,23),-3.96492 # DEPENDENCYPART_ARC
(0,24),-2.72507 # DEPENDENCYPART_ARC
(0,25),-3.34533 # DEPENDENCYPART_ARC
(0,26),-3.88708 # DEPENDENCYPART_ARC
(0,27),-2.09325 # DEPENDENCYPART_ARC
(0,28),-3.16806 # DEPENDENCYPART_ARC
(0,29),-2.92534 # DEPENDENCYPART_ARC
(0,30),-3.5516 # DEPENDENCYPART_ARC
(0,31),4.08976 # DEPENDENCYPART_ARC
(0,32),0.614538 # DEPENDENCYPART_ARC
(0,33),-3.76349 # DEPENDENCYPART_ARC
(0,34),-4.18137 # DEPENDENCYPART_ARC
(0,35),-7.7916 # DEPENDENCYPART_ARC
(0,36),-0.659507 # DEPENDENCYPART_ARC
(0,37),-3.94442 # DEPENDENCYPART_ARC
(0,38),-4.35738 # DEPENDENCYPART_ARC
(0,39),-4.8502 # DEPENDENCYPART_ARC
(0,40),-3.87321 # DEPENDENCYPART_ARC
(0,41),-1.40638 # DEPENDENCYPART_ARC
(0,42),-5.31053 # DEPENDENCYPART_ARC
(0,43),-4.37431 # DEPENDENCYPART_ARC
(0,44),-4.84155 # DEPENDENCYPART_ARC
(0,45),-5.0115 # DEPENDENCYPART_ARC
(0,46),-4.5262 # DEPENDENCYPART_ARC
(0,47),7.3193 # DEPENDENCYPART_ARC
(1,2),-0.809922 # DEPENDENCYPART_ARC
